name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019
TotalRevenue,"293,057,000","72,364,000","76,418,000","73,421,000","70,854,000","67,938,000","62,652,000","58,906,000","58,322,000","53,953,000","52,827,000","46,570,000","47,919,000"
	OperatingRevenue,"293,057,000","72,364,000","76,418,000","73,421,000","70,854,000","67,938,000","62,652,000","58,906,000","58,322,000","53,953,000","52,827,000","46,570,000","47,919,000"
CostOfRevenue,"124,873,000","32,069,000","32,089,000","30,951,000","29,764,000","27,750,000","27,542,000","25,030,000","29,643,000","23,396,000","23,613,000","20,523,000","20,248,000"
GrossProfit,"168,184,000","40,295,000","44,329,000","42,470,000","41,090,000","40,188,000","35,110,000","33,876,000","28,679,000","30,557,000","29,214,000","26,047,000","27,671,000"
OperatingExpense,"174,897,000","45,022,000","44,718,000","40,523,000","44,634,000","41,121,000","41,463,000","38,119,000","50,140,000","32,104,000","31,000,000","29,775,000","29,243,000"
	SellingGeneralAndAdministration,"121,515,000","30,786,000","30,402,000","28,202,000","32,125,000","28,866,000","28,782,000","27,015,000","35,512,000","21,907,000","20,992,000","20,556,000","19,646,000"
		GeneralAndAdministrativeExpense,"65,040,000","14,783,000","16,831,000","15,035,000","18,391,000","15,238,000","14,617,000","14,418,000","18,746,000","10,184,000","9,747,000","9,985,000","9,419,000"
			OtherGandA,"65,040,000","14,783,000","16,831,000","15,035,000","18,391,000","15,238,000","14,617,000","14,418,000","18,746,000","10,184,000","9,747,000","9,985,000","9,419,000"
		SellingAndMarketingExpense,"56,475,000","16,003,000","13,571,000","13,167,000","13,734,000","13,628,000","14,165,000","12,597,000","16,766,000","11,723,000","11,245,000","10,571,000","10,227,000"
	ResearchAndDevelopment,"53,382,000","14,236,000","14,316,000","12,321,000","12,509,000","12,255,000","12,681,000","11,104,000","14,628,000","10,197,000","10,008,000","9,219,000","9,597,000"
	OtherOperatingExpenses,,,,,,,,,"112,000",,,,"840,000"
OperatingIncome,"-6,713,000","-4,727,000","-389,000","1,947,000","-3,544,000","-933,000","-6,353,000","-4,243,000","-21,461,000","-1,547,000","-1,786,000","-3,728,000","-1,572,000"
NetNonOperatingInterestIncomeExpense,"117,000","283,000","-35,000","-118,000","-13,000","-6,000","-38,000","-43,000","30,000","-60,000","-45,000","-281,000","-15,000"
	InterestIncomeNonOperating,,,,,,,,,"30,000",,,,
	InterestExpenseNonOperating,,,"35,000","118,000","13,000","6,000","38,000","43,000","-30,000","60,000","45,000","281,000","15,000"
	TotalOtherFinanceCost,,"-283,000",,,,,,,,,,,
OtherIncomeExpense,"-2,870,000","-913,000","-32,000","-763,000","-1,162,000","935,000","415,000","-50,000","625,000","-126,000","-320,000","329,000","-1,093,000"
	SpecialIncomeCharges,"-651,000","0","0","-67,000","-584,000","389,000","-95,000","-3,000","-112,000","190,000","-167,000","-44,000","-840,000"
		RestructuringAndMergernAcquisition,"651,000","0","0","67,000","584,000","-389,000","95,000","3,000","112,000","-190,000","167,000","44,000","840,000"
	OtherNonOperatingIncomeExpenses,"-2,219,000","-913,000","-32,000","-696,000","-578,000","546,000","510,000","-47,000","737,000","-316,000","-153,000","373,000","-253,000"
PretaxIncome,"-9,466,000","-5,357,000","-456,000","1,066,000","-4,719,000","-4,000","-5,976,000","-4,336,000","-20,806,000","-1,732,000","-2,152,000","-3,680,000","-2,680,000"
