name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011
OperatingCashFlow,"33,274,000","7,553,000","12,021,000","3,391,000","10,309,000","6,656,000","13,409,000","1,656,000","6,441,000","3,496,000","7,468,000","9,646,000","1,824,000","2,432,000","2,364,000","3,562,000","1,731,000","2,751,000","-1,156,000","2,992,000","1,933,000","2,746,000","1,190,642","947,327","2,030,785","4,233,768","450,327","2,697,498","1,340,704","265,306","1,510,979","1,295,408","343,476","393,759","1,343,486","-111,648","869,377","-2,561,568","605,491","108,102","455,440","-31,256","626,892","671,446"
	CashFlowFromContinuingOperatingActivities,"33,274,000","7,553,000","12,021,000","3,391,000","10,309,000","6,656,000","13,409,000","1,656,000","6,441,000","3,496,000","7,468,000","9,646,000","1,824,000","2,432,000","2,364,000","3,562,000","1,731,000","2,751,000","-1,156,000","2,992,000","1,933,000","2,746,000","1,190,642","947,327","2,030,785","4,233,768","450,327","2,697,498","1,340,704","265,306","1,510,979","1,295,408","343,476","393,759","1,343,486","-111,648","869,377","-2,561,568","605,491","108,102","455,440","-31,256","626,892","671,446"
		NetIncomeFromContinuingOperations,"4,147,000","1,187,000","1,988,000","1,503,000","-531,000","554,000","91,000","1,581,000","182,000","3,101,000","958,000","522,000","174,000","108,000","-1,083,000","6,019,000","-1,852,000","-318,000","-215,000","-247,000","255,000","173,000","83,034","34,602","115,860","239,992","367,864","206,396","-30,289","24,574","54,670","100,373","-301,094","20,918","-1,307,316","4,761","30,356","47,516","242,965","28,559","176,345","152,504","225,155","-231,458"
		OperatingGainsLosses,"2,792,000","1,005,000","715,000","19,000","1,053,000","811,000","1,330,000","214,000","575,000","65,000","174,000","135,000","-13,000","32,000","715,000",,,,"-57,000",,,,,,,,,,,,,,,,,,,,,,,,"0","0"
			GainLossOnInvestmentSecurities,"2,715,000","976,000","696,000","1,000","1,042,000","798,000","1,319,000","195,000","567,000","99,000","174,000","135,000","-13,000","32,000","715,000",,,,"-57,000",,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"77,000","29,000","19,000","18,000","11,000","13,000","11,000","19,000","8,000","-34,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"29,656,000","8,369,000","8,015,000","6,965,000","6,307,000","6,018,000","4,657,000","3,922,000","3,819,000","4,257,000","3,838,000","3,419,000","2,936,000","2,597,000","2,570,000","2,375,000","2,241,000","2,189,000","2,114,000","2,052,000","1,599,000","1,472,000","1,443,720","1,431,846","1,334,973","976,710","800,612","809,445","711,803","791,632","669,875","447,252","330,486","288,031","213,345","171,751","177,323","160,036","168,223","119,272","91,620","95,365","119,440","136,891"
			DepreciationAndAmortization,"29,656,000","8,369,000","8,015,000","6,965,000","6,307,000","6,018,000","4,657,000","3,922,000","3,819,000","4,257,000","3,838,000","3,419,000","2,936,000","2,597,000","2,570,000","2,375,000","2,241,000","2,189,000","2,114,000","2,052,000","1,599,000","1,472,000","1,443,720","1,431,846","1,334,973","976,710","800,612","809,445","711,803","791,632","669,875","447,252","330,486","288,031","213,345","171,751","177,323","160,036","168,223","119,272","91,620","95,365","119,440","136,891"
				Depreciation,"29,656,000","8,369,000","8,015,000","6,965,000","6,307,000","6,018,000",,"3,922,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-743,676","0","0","0","130,750","0","-41,760","-5,262","-160,373","2,797"
