name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"1,066,414,000","313,801,000","275,333,000","251,524,000","225,756,000","213,607,000","213,699,000","207,170,000","183,264,000","212,942,000"
	OperatingRevenue,"1,061,857,000","312,443,000","273,671,000","251,324,000","224,419,000","211,392,000","211,532,000","206,040,000","169,106,000","212,094,000"
CostOfRevenue,"997,942,000","283,459,000","250,446,000","225,369,000","238,668,000","188,075,000","190,301,000","185,673,000","165,852,000","192,667,000"
GrossProfit,"68,472,000","30,342,000","24,887,000","26,155,000","-12,912,000","25,532,000","23,398,000","21,497,000","17,412,000","20,275,000"
OperatingExpense,"305,362,000","41,889,000","44,234,000","38,964,000","180,275,000","17,625,000","19,236,000","12,954,000","11,233,000","13,779,000"
	SellingGeneralAndAdministration,"302,225,000","40,771,000","43,121,000","38,498,000","179,835,000","17,180,000","18,782,000","12,497,000","10,639,000","13,441,000"
		GeneralAndAdministrativeExpense,"277,998,000","36,110,000","39,321,000","33,910,000","168,657,000","13,996,000","14,820,000","9,788,000","8,419,000","10,989,000"
			OtherGandA,"277,998,000","36,110,000","39,321,000","33,910,000","168,657,000","13,996,000","14,820,000","9,788,000","8,419,000","10,989,000"
		SellingAndMarketingExpense,"24,227,000","4,661,000","3,800,000","4,588,000","11,178,000","3,184,000","3,962,000","2,709,000","2,220,000","2,452,000"
	DepreciationAmortizationDepletionIncomeStatement,"3,137,000","1,118,000","1,113,000","466,000","440,000","445,000","454,000","457,000","594,000","338,000"
		DepreciationAndAmortizationInIncomeStatement,"3,137,000","1,118,000","1,113,000","466,000","440,000","445,000","454,000","457,000","594,000","338,000"
OperatingIncome,"-236,890,000","-11,547,000","-19,347,000","-12,809,000","-193,187,000","7,907,000","4,162,000","8,543,000","6,179,000","6,496,000"
NetNonOperatingInterestIncomeExpense,"-1,011,000","-232,000","-185,000","-292,000","-302,000","-291,000","-437,000","-504,000","-509,000","-467,000"
	InterestExpenseNonOperating,"1,011,000","232,000","185,000","292,000","302,000","291,000","437,000","504,000","509,000","467,000"
PretaxIncome,"-237,901,000","-11,779,000","-19,532,000","-13,101,000","-193,489,000","7,616,000","3,725,000","8,039,000","5,670,000","6,029,000"
TaxProvision,"-23,549,000","6,308,000","-7,643,000","-2,210,000","-20,004,000","2,000,000","-54,000","-8,561,000","474,000","700,000"
NetIncomeCommonStockholders,"-211,138,000","-17,510,000","-11,979,000","-9,115,000","-172,534,000","5,398,000","3,864,000","16,685,000","5,281,000","5,414,000"
	NetIncome,"-211,138,000","-17,510,000","-11,979,000","-9,115,000","-172,534,000","5,398,000","3,864,000","16,685,000","5,281,000","5,414,000"
		NetIncomeIncludingNoncontrollingInterests,"-214,352,000","-18,087,000","-11,889,000","-10,891,000","-173,485,000","5,616,000","3,779,000","16,600,000","5,196,000","5,329,000"
			NetIncomeContinuousOperations,"-214,352,000","-18,087,000","-11,889,000","-10,891,000","-173,485,000","5,616,000","3,779,000","16,600,000","5,196,000","5,329,000"
		MinorityInterests,"3,214,000","577,000","-90,000","1,776,000","951,000","-218,000","85,000","85,000","85,000","85,000"
DilutedNIAvailtoComStockholders,"-211,138,000","-17,510,000","-11,979,000","-9,115,000","-172,534,000","5,398,000","3,864,000","16,685,000","5,281,000","5,414,000"
BasicEPS,,"-0.16","-0.11","-0.09","-1.68","0.052",,"0.162","0.051","0.053"
DilutedEPS,,"-0.16","-0.11","-0.09","-1.68","0.052",,"0.162","0.051","0.053"
BasicAverageShares,,"108,059,064","107,034,298","105,896,622","102,739,033","103,896,928",,"102,785,817","102,785,817","102,785,817"
DilutedAverageShares,,"108,059,064","107,034,298","105,896,622","102,739,033","103,896,928",,"102,785,817","102,785,817","102,785,817"
TotalOperatingIncomeAsReported,"-236,890,000","-11,547,000","-19,347,000","-12,809,000","-193,187,000","7,907,000","4,162,000","8,543,000","6,179,000","6,496,000"
