name,ttm
OperatingCashFlow,"50,700,394"
FinancingCashFlow,"-50,343,848"
EndCashPosition,"5,270,925"
	ChangesInCash,"356,546"
	EffectOfExchangeRateChanges,"8,609"
	BeginningCashPosition,"4,905,770"
RepurchaseOfCapitalStock,"-559,569"
FreeCashFlow,"50,700,394"
