name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997
TotalRevenue,"2,211,436,000","610,106,000","472,691,000","462,310,000","666,328,000","523,095,000","411,524,000","398,762,000","498,304,000","308,475,000","304,172,000","308,136,000","383,494,000","303,586,000","241,937,000","308,591,000","361,254,000","270,605,000","236,921,000","250,618,000","329,809,000","245,018,000","226,875,000","227,355,000","345,592,000","199,566,000","169,537,000","189,252,000","231,849,000","172,143,000","158,126,000","164,085,000","214,401,000","136,615,000","109,592,000","149,682,000","175,756,000","160,008,000","99,051,000","137,347,000","151,330,000","143,992,000","91,787,000","119,777,000","153,171,000","115,756,000","92,190,000","124,392,000","115,383,000","110,116,000","100,449,000","207,239,000","151,514,000","129,608,000","100,224,000","165,593,000","271,277,000","233,262,000","215,268,000","315,400,000","379,780,000","326,067,000","234,738,000","323,622,000","421,348,000","287,387,000","181,184,000","228,634,000","306,141,000","228,384,000","184,188,000","183,303,000","219,729,000","203,266,000","156,659,000","163,290,000","187,173,000","159,063,000","97,975,000","135,741,000","170,595,000","133,794,000","100,585,000","110,376,000","165,694,000","143,224,000","84,777,000","127,351,000","174,546,000","155,240,000","93,500,000","125,700,000","161,600,000","93,500,000","69,300,000","102,900,000","84,800,000","51,800,000","51,800,000"
	OperatingRevenue,"2,211,436,000","610,106,000","472,691,000","462,310,000","666,328,000","523,095,000","411,524,000","398,762,000","498,304,000","308,475,000","304,172,000","308,136,000","383,494,000","303,586,000","241,937,000","308,591,000","361,254,000","270,605,000","236,921,000","250,618,000","329,809,000","245,018,000","226,875,000","227,355,000","345,592,000","199,566,000","169,537,000","189,252,000","231,849,000","172,143,000","158,126,000","164,085,000","214,401,000","136,615,000","109,592,000","149,682,000","175,756,000","160,008,000","99,051,000","137,347,000","151,330,000","143,992,000","91,787,000","119,777,000","153,171,000","115,756,000","92,190,000","124,392,000","115,383,000","110,116,000","100,449,000","207,239,000","151,514,000","129,608,000","100,224,000","165,593,000","271,277,000","233,262,000","215,268,000","315,400,000","379,780,000","326,067,000","234,738,000","323,622,000","421,348,000","287,387,000","181,184,000","228,634,000","306,141,000","228,384,000","184,188,000","183,303,000","219,729,000","203,266,000","156,659,000","163,290,000","187,173,000","159,063,000","97,975,000","135,741,000","170,595,000","133,794,000","100,585,000","110,376,000","165,694,000","143,224,000","84,777,000","127,351,000","174,546,000","155,240,000","93,500,000","125,700,000","161,600,000","93,500,000","69,300,000","102,900,000","84,800,000","51,800,000","51,800,000"
CostOfRevenue,"1,459,696,000","404,791,000","305,492,000","287,758,000","461,654,000","366,289,000","288,123,000","282,296,000","374,851,000","229,699,000","224,154,000","220,694,000","285,784,000","229,384,000","178,459,000","229,587,000","270,567,000","201,312,000","177,672,000","184,292,000","245,017,000","183,959,000","173,737,000","170,870,000","266,690,000","150,539,000","127,923,000","141,180,000","174,809,000","129,943,000","120,671,000","121,167,000","160,195,000","101,829,000","79,682,000","109,564,000","128,949,000","122,358,000","72,773,000","104,306,000","111,040,000","109,614,000","66,213,000","89,743,000","114,088,000","88,961,000","68,608,000","94,316,000","80,829,000","85,910,000","78,478,000","194,612,000","118,898,000","109,894,000","76,521,000","123,862,000","209,432,000","178,783,000","167,144,000","234,772,000","291,248,000","252,554,000","177,677,000","230,044,000","321,089,000","218,812,000","136,836,000","163,937,000","235,475,000","173,368,000","140,064,000","130,203,000","164,691,000","158,110,000","121,559,000","117,118,000","143,469,000","124,822,000","74,320,000","98,569,000","130,466,000","106,233,000","80,868,000","79,525,000","127,301,000","111,759,000","63,493,000","91,240,000","131,381,000","121,541,000","71,900,000","91,300,000","122,800,000","69,600,000","52,100,000","74,600,000","64,100,000",,
GrossProfit,"751,740,000","205,315,000","167,199,000","174,552,000","204,674,000","156,806,000","123,401,000","116,466,000","123,453,000","78,776,000","80,018,000","87,442,000","97,710,000","74,202,000","63,478,000","79,004,000","90,687,000","69,293,000","59,249,000","66,326,000","84,792,000","61,059,000","53,138,000","56,485,000","78,902,000","49,027,000","41,614,000","48,072,000","57,040,000","42,200,000","37,455,000","42,918,000","54,206,000","34,786,000","29,910,000","40,118,000","46,807,000","37,650,000","26,278,000","33,041,000","40,290,000","34,378,000","25,574,000","30,034,000","39,083,000","26,795,000","23,582,000","30,076,000","34,554,000","24,206,000","21,971,000","12,627,000","32,616,000","19,714,000","23,703,000","41,731,000","61,845,000","54,479,000","48,124,000","80,628,000","88,532,000","73,513,000","57,061,000","93,578,000","100,259,000","68,575,000","44,348,000","64,697,000","70,666,000","55,016,000","44,124,000","53,100,000","55,038,000","45,156,000","35,100,000","46,172,000","43,704,000","34,241,000","23,655,000","37,172,000","40,129,000","27,561,000","19,717,000","30,851,000","38,393,000","31,465,000","21,284,000","36,111,000","43,165,000","33,699,000","21,600,000","34,400,000","38,800,000","23,900,000","17,200,000","28,300,000","20,700,000",,
OperatingExpense,"508,149,000","133,532,000","119,997,000","130,854,000","123,766,000","103,936,000","91,417,000","83,714,000","74,838,000","69,060,000","64,386,000","74,864,000","68,968,000","63,976,000","54,492,000","62,056,000","64,089,000","58,659,000","50,246,000","58,593,000","59,557,000","54,781,000","47,095,000","49,041,000","54,325,000","43,459,000","38,951,000","41,734,000","41,049,000","40,557,000","36,095,000","36,824,000","41,652,000","35,687,000","32,282,000","33,914,000","33,047,000","36,100,000","29,443,000","33,690,000","34,659,000","30,994,000","28,570,000","34,785,000","35,224,000","30,446,000","27,441,000","31,372,000","33,340,000","29,631,000","29,629,000","45,801,000","38,975,000","36,360,000","38,862,000","56,373,000","173,714,000","56,198,000","53,191,000","64,293,000","63,541,000","60,518,000","56,872,000","67,017,000","65,229,000","50,088,000","40,472,000","46,011,000","45,903,000","40,921,000","37,140,000","38,584,000","36,602,000","34,269,000","30,015,000","32,848,000","29,278,000","27,370,000","23,802,000","26,786,000","27,126,000","21,852,000","19,803,000","22,501,000","24,390,000","-24,777,000","22,014,000","24,107,000","25,489,000","26,332,000","19,600,000","22,300,000","24,200,000","19,400,000","16,200,000","18,100,000","11,700,000",,
	SellingGeneralAndAdministration,"508,149,000","133,532,000","119,997,000","130,854,000","123,766,000","103,936,000","91,417,000","83,714,000","74,838,000","69,060,000","64,386,000","74,864,000","68,968,000","63,976,000","54,492,000","62,056,000","64,089,000","58,659,000","50,246,000","58,593,000","59,557,000","54,781,000","47,095,000","49,041,000","54,325,000","43,459,000","38,951,000","41,734,000","41,049,000","40,557,000","36,095,000","36,824,000","41,652,000","35,687,000","32,282,000","33,914,000","33,047,000","36,100,000","29,443,000","33,690,000","34,659,000","30,994,000","28,570,000","34,785,000","35,224,000","30,446,000","27,441,000","31,372,000","33,340,000","29,631,000","29,629,000","45,801,000","38,975,000","36,360,000","38,862,000","56,373,000","51,623,000","56,198,000","53,191,000","64,293,000","63,541,000","60,518,000","56,872,000","67,017,000","65,229,000","50,088,000","40,472,000","46,011,000","45,903,000","40,921,000","37,140,000","38,584,000","36,602,000","34,269,000","30,015,000","32,848,000","29,278,000","27,370,000","23,802,000","26,786,000","27,126,000","21,852,000","19,803,000","22,501,000","24,390,000","24,776,000","21,067,000","23,427,000","24,946,000","25,412,000","18,700,000","22,500,000","23,300,000","18,100,000","15,600,000","17,100,000","11,400,000",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"959,000","947,000","680,000","543,000","920,000","900,000","-200,000","900,000","1,300,000","600,000","1,000,000","300,000",,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"959,000","947,000","680,000","543,000","920,000","900,000","-200,000","900,000","1,300,000","600,000","1,000,000","300,000",,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","122,091,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-50,512,000",,,,,,,,,,,,,
OperatingIncome,"243,591,000","71,783,000","47,202,000","43,698,000","80,908,000","52,870,000","31,984,000","32,752,000","48,615,000","9,716,000","15,632,000","12,578,000","28,742,000","10,226,000","8,986,000","16,948,000","26,598,000","10,634,000","9,003,000","7,733,000","25,235,000","6,278,000","6,043,000","7,444,000","24,577,000","5,568,000","2,663,000","6,338,000","15,991,000","1,643,000","1,360,000","6,094,000","12,554,000","-901,000","-2,372,000","6,204,000","13,760,000","1,550,000","-3,165,000","-649,000","5,631,000","3,384,000","-2,996,000","-4,751,000","3,859,000","-3,651,000","-3,859,000","-1,296,000","1,214,000","-5,425,000","-7,658,000","-33,174,000","-6,359,000","-16,646,000","-15,159,000","-14,642,000","-111,869,000","-1,719,000","-5,067,000","16,335,000","24,991,000","12,995,000","189,000","26,561,000","35,030,000","18,487,000","3,876,000","18,686,000","24,763,000","14,095,000","6,984,000","14,516,000","18,436,000","10,887,000","5,085,000","13,324,000","14,426,000","6,871,000","-147,000","10,386,000","13,003,000","5,709,000","-86,000","8,350,000","14,003,000","56,242,000","-730,000","12,004,000","17,676,000","7,367,000","2,000,000","12,100,000","14,600,000","4,500,000","1,000,000","10,200,000","9,000,000","51,800,000","51,800,000"
