name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986
TotalRevenue,"5,899,765,000","1,374,714,000","1,732,021,000","1,335,656,000","1,457,374,000","1,625,552,000","1,737,915,000","1,377,925,000","1,644,197,000","1,439,149,000","1,606,982,000","1,167,988,000","1,252,414,000","1,295,796,000","1,598,551,000","1,149,402,000","1,222,169,000","1,267,983,000","1,642,068,000","1,110,824,000","1,221,301,000","1,296,787,000","1,579,211,000","1,105,498,000","1,203,155,000","1,312,575,000","1,583,967,000","1,116,474,000","1,209,686,000","1,280,455,000","1,593,349,000","1,107,095,000","1,195,363,000","1,281,271,000","1,612,558,000","1,152,444,000","1,225,572,000","1,311,338,000","1,753,396,000","1,134,205,000","1,218,037,000","1,294,481,000","1,669,574,000","1,138,286,000","1,167,135,000","1,227,274,000","1,518,943,000","1,055,830,000","1,142,309,000","1,235,162,000","1,463,280,000","1,035,269,000","1,086,567,000","1,141,656,000","1,366,925,000","1,021,580,000","1,105,189,000","1,151,589,000","1,412,374,000","1,030,638,000","1,084,891,000","1,128,399,000","1,545,354,000","1,049,537,000","1,056,535,000","1,091,622,000","1,238,716,000","1,041,046,000","1,051,053,000","1,099,090,000","1,380,897,000","980,027,000","994,950,000","1,019,198,000","1,328,609,000","948,117,000","949,275,000","948,382,000","1,216,991,000","868,163,000","879,255,000","904,141,000","1,138,214,000","773,106,000","748,380,000","773,621,000","1,111,936,000","733,495,000","708,518,000","1,004,347,000","1,847,017,000","999,600,000","929,800,000","923,700,000","1,690,100,000","856,400,000","823,900,000","823,300,000","2,166,300,000","669,800,000","624,300,000","594,900,000","1,136,400,000","616,500,000","551,400,000","343,200,000","537,900,000","357,600,000","325,100,000","291,800,000","453,400,000","310,100,000","272,800,000","242,300,000","349,600,000","261,100,000","234,400,000","210,200,000","305,500,000","228,600,000","203,200,000","192,000,000","250,800,000","186,200,000","176,700,000","157,800,000","213,400,000","166,800,000","159,100,000","140,000,000","208,200,000","135,900,000","133,000,000","131,600,000","215,900,000","147,200,000","136,200,000","127,400,000","191,900,000","144,500,000","137,000,000","117,200,000","104,000,000","102,200,000","87,100,000","103,900,000"
	OperatingRevenue,"5,899,765,000","1,374,714,000","1,732,021,000","1,335,656,000","1,457,374,000","1,625,552,000","1,737,915,000","1,377,925,000","1,644,197,000","1,439,149,000","1,606,982,000","1,167,988,000","1,252,414,000","1,295,796,000","1,598,551,000","1,149,402,000","1,222,169,000","1,267,983,000","1,642,068,000","1,110,824,000","1,221,301,000","1,296,787,000","1,579,211,000","1,105,498,000","1,203,155,000","1,312,575,000","1,583,967,000","1,116,474,000","1,209,686,000","1,280,455,000","1,593,349,000","1,107,095,000","1,195,363,000","1,281,271,000","1,612,558,000","1,152,444,000","1,225,572,000","1,311,338,000","1,753,396,000","1,134,205,000","1,218,037,000","1,294,481,000","1,669,574,000","1,138,286,000","1,167,135,000","1,227,274,000","1,518,943,000","1,055,830,000","1,142,309,000","1,235,162,000","1,463,280,000","1,035,269,000","1,086,567,000","1,141,656,000","1,366,925,000","1,021,580,000","1,105,189,000","1,151,589,000","1,412,374,000","1,030,638,000","1,084,891,000","1,128,399,000","1,545,354,000","1,049,537,000","1,056,535,000","1,091,622,000","1,238,716,000","1,041,046,000","1,051,053,000","1,099,090,000","1,380,897,000","980,027,000","994,950,000","1,019,198,000","1,328,609,000","948,117,000","949,275,000","948,382,000","1,216,991,000","868,163,000","879,255,000","904,141,000","1,138,214,000","773,106,000","748,380,000","773,621,000","1,111,936,000","733,495,000","708,518,000","1,004,347,000","1,847,017,000","999,600,000","929,800,000","923,700,000","1,690,100,000","856,400,000","823,900,000","823,300,000","2,166,300,000","669,800,000","624,300,000","594,900,000","1,136,400,000","616,500,000","551,400,000","343,200,000","537,900,000","357,600,000","325,100,000","291,800,000","453,400,000","310,100,000","272,800,000","242,300,000","349,600,000","261,100,000","234,400,000","210,200,000","305,500,000","228,600,000","203,200,000","192,000,000","250,800,000","186,200,000","176,700,000","157,800,000","213,400,000","166,800,000","159,100,000","140,000,000","208,200,000","135,900,000","133,000,000","131,600,000","215,900,000","147,200,000","136,200,000","127,400,000","191,900,000","144,500,000","137,000,000","117,200,000","104,000,000","102,200,000","87,100,000","103,900,000"
CostOfRevenue,"3,652,111,000","870,120,000","1,085,939,000","816,475,000","879,577,000","971,605,000","1,052,742,000","820,032,000","960,633,000","868,393,000","972,963,000","704,602,000","754,184,000","776,749,000","939,207,000","690,228,000","730,750,000","756,025,000","960,027,000","667,198,000","728,801,000","772,512,000","925,888,000","663,506,000","716,732,000","794,894,000","936,738,000","676,467,000","733,852,000","776,339,000","943,420,000","676,153,000","725,836,000","787,715,000","986,795,000","708,985,000","746,117,000","794,709,000","1,058,619,000","701,615,000","740,202,000","782,032,000","998,192,000","693,926,000","706,599,000","733,145,000","898,979,000","627,723,000","679,884,000","733,207,000","858,528,000","617,278,000","652,184,000","679,476,000","814,353,000","615,318,000","670,385,000","687,798,000","851,824,000","618,832,000","663,817,000","681,486,000","919,882,000","634,192,000","644,242,000","653,300,000","784,181,000","634,330,000","629,307,000","650,421,000","826,209,000","583,816,000","588,682,000","598,928,000","764,223,000","555,897,000","557,634,000","550,270,000","698,082,000","501,919,000","510,993,000","525,639,000","727,562,000","456,465,000","448,453,000","443,993,000","625,222,000","405,030,000","406,860,000","573,554,000","1,064,442,000","560,500,000","520,900,000","517,200,000","1,005,800,000","482,400,000","456,800,000","462,400,000","1,295,500,000","371,500,000","348,400,000","340,900,000","653,000,000","339,000,000","312,500,000","189,600,000","299,900,000","195,500,000","180,600,000","162,100,000","250,600,000","168,200,000","149,700,000","134,500,000","188,600,000","140,300,000","126,100,000","115,700,000","167,900,000","124,400,000","112,700,000","107,300,000","142,800,000","105,700,000","103,600,000","91,500,000","134,500,000","97,300,000","92,200,000","80,500,000","127,400,000","73,100,000",,,,,,,,,,,,,,
GrossProfit,"2,247,654,000","504,594,000","646,082,000","519,181,000","577,797,000","653,947,000","685,173,000","557,893,000","683,564,000","570,756,000","634,019,000","463,386,000","498,230,000","519,047,000","659,344,000","459,174,000","491,419,000","511,958,000","682,041,000","443,626,000","492,500,000","524,275,000","653,323,000","441,992,000","486,423,000","517,681,000","647,229,000","440,007,000","475,834,000","504,116,000","649,929,000","430,942,000","469,527,000","493,556,000","625,763,000","443,459,000","479,455,000","516,629,000","694,777,000","432,590,000","477,835,000","512,449,000","671,382,000","444,360,000","460,536,000","494,129,000","619,964,000","428,107,000","462,425,000","501,955,000","604,752,000","417,991,000","434,383,000","462,180,000","552,572,000","406,262,000","434,804,000","463,791,000","560,550,000","411,806,000","421,074,000","446,913,000","625,472,000","415,345,000","412,293,000","438,322,000","454,535,000","406,716,000","421,746,000","448,669,000","554,688,000","396,211,000","406,268,000","420,270,000","564,386,000","392,220,000","391,641,000","398,112,000","518,909,000","366,244,000","368,262,000","378,502,000","410,652,000","316,641,000","299,927,000","329,628,000","486,714,000","328,465,000","301,658,000","430,793,000","782,575,000","439,100,000","408,900,000","406,500,000","684,300,000","374,000,000","367,100,000","360,900,000","870,800,000","298,300,000","275,900,000","254,000,000","483,400,000","277,500,000","238,900,000","153,600,000","238,000,000","162,100,000","144,500,000","129,700,000","202,800,000","141,900,000","123,100,000","107,800,000","161,000,000","120,800,000","108,300,000","94,500,000","137,600,000","104,200,000","90,500,000","84,700,000","108,000,000","80,500,000","73,100,000","66,300,000","78,900,000","69,500,000","66,900,000","59,500,000","80,800,000","62,800,000",,,,,,,,,,,,,,
OperatingExpense,"2,143,994,000","518,135,000","578,604,000","523,308,000","523,947,000","531,395,000","554,203,000","515,393,000","537,974,000","496,321,000","508,473,000","471,466,000","485,049,000","493,402,000","510,927,000","468,737,000","457,101,000","466,621,000","514,160,000","437,822,000","444,540,000","444,567,000","508,791,000","440,047,000","447,497,000","455,111,000","492,521,000","442,165,000","445,297,000","451,471,000","496,511,000","434,999,000","441,585,000","446,371,000","512,842,000","455,444,000","446,644,000","459,937,000","497,817,000","439,282,000","438,491,000","443,607,000","480,752,000","435,454,000","400,775,000","407,831,000","442,800,000","401,204,000","399,222,000","411,880,000","435,255,000","370,414,000","386,730,000","401,897,000","419,392,000","386,137,000","391,343,000","405,634,000","422,688,000","389,074,000","387,651,000","404,450,000","488,504,000","413,029,000","405,043,000","417,042,000","387,181,000","441,389,000","440,934,000","421,718,000","467,802,000","422,249,000","413,755,000","406,106,000","440,987,000","396,947,000","401,179,000","376,918,000","404,558,000","369,160,000","358,054,000","353,493,000","409,181,000","336,617,000","312,770,000","325,539,000","367,371,000","309,818,000","281,391,000","450,275,000","587,157,000","461,100,000","410,600,000","407,900,000","483,800,000","392,700,000","350,700,000","355,500,000","652,400,000","284,500,000","266,800,000","261,200,000","290,000,000","276,700,000","244,000,000","146,300,000","166,800,000","142,800,000","128,900,000","123,700,000","137,800,000","125,500,000","110,100,000","103,600,000","113,100,000","107,800,000","95,900,000","91,800,000","98,700,000","94,600,000","81,200,000","78,300,000","79,300,000","75,800,000","68,400,000","66,100,000","66,900,000","66,000,000","63,200,000","63,500,000","71,800,000","61,900,000",,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,998,043,000","480,779,000","541,228,000","487,378,000","488,658,000","497,418,000","520,617,000","482,307,000","504,000,000","458,631,000","471,064,000","436,714,000","455,026,000","460,605,000","476,893,000","436,826,000","426,605,000","438,092,000","484,556,000","408,314,000","415,154,000","415,972,000","479,101,000","409,753,000","416,740,000","425,412,000","462,172,000","411,994,000","414,305,000","420,246,000","465,344,000","404,732,000","412,142,000","417,546,000","482,798,000","425,985,000","418,495,000","432,467,000","469,680,000","412,692,000","412,220,000","418,319,000","455,437,000","412,581,000","379,347,000","387,167,000","421,726,000","381,620,000","380,374,000","392,780,000","416,699,000","365,194,000","367,781,000","382,682,000","399,636,000","366,505,000","370,885,000","386,856,000","399,064,000","367,806,000","365,823,000","382,686,000","461,793,000","388,041,000","380,116,000","392,389,000","364,794,000","410,583,000","412,421,000","408,338,000","436,172,000","396,815,000","413,755,000","406,106,000","440,987,000","396,947,000","401,179,000","376,918,000","404,558,000","369,160,000","358,054,000","353,493,000","409,181,000","336,617,000","312,770,000","309,829,000","351,623,000","293,927,000","278,243,000","422,772,000","556,693,000","436,700,000","386,300,000","386,600,000","467,200,000","371,000,000","325,900,000","334,600,000","616,900,000","271,600,000","251,100,000","246,100,000","277,700,000","262,200,000","230,600,000","138,100,000","158,700,000","134,200,000","122,400,000","116,900,000","130,100,000","119,200,000","104,600,000","97,500,000","106,500,000","102,100,000","90,800,000","86,600,000","92,900,000","90,000,000","77,300,000","74,400,000","75,100,000","71,800,000","64,600,000","62,300,000","63,200,000","62,100,000","59,100,000","59,400,000","67,600,000","58,400,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"145,951,000","37,356,000","37,376,000","35,930,000","35,289,000","33,977,000","33,586,000","33,086,000","33,974,000","37,690,000","37,409,000","34,752,000","30,023,000","32,797,000","34,034,000","31,911,000","30,496,000","28,529,000","29,604,000","29,508,000","29,386,000","28,595,000","29,690,000","30,294,000","30,757,000","29,699,000","30,349,000","30,171,000","30,992,000","31,225,000","31,167,000","30,267,000","29,443,000","28,825,000","30,044,000","29,459,000","28,149,000","27,470,000","28,137,000","26,590,000","26,271,000","25,288,000","25,315,000","22,873,000","21,428,000","20,664,000","21,074,000","19,584,000","18,848,000","19,100,000","18,556,000","18,184,000","18,949,000","19,215,000","19,756,000","19,632,000","20,458,000","18,778,000","23,624,000","21,268,000","21,828,000","21,764,000","26,711,000","24,988,000","24,927,000","24,653,000","22,387,000","30,806,000","28,513,000","26,951,000","31,630,000","25,434,000",,,,,,,,,,,,,,"15,710,000","15,748,000","15,891,000","3,148,000","27,503,000","30,464,000","24,400,000","24,300,000","21,300,000","16,600,000","21,700,000","24,800,000","20,900,000","35,500,000","12,900,000","15,700,000","15,100,000","12,300,000","14,500,000","13,400,000","8,200,000","8,100,000","8,600,000","6,500,000","6,800,000","7,700,000","6,300,000","5,500,000","6,100,000","6,600,000","5,700,000","5,100,000","5,200,000","5,800,000","4,600,000","3,900,000","3,900,000","4,200,000","4,000,000","3,800,000","3,800,000","3,700,000","3,900,000","4,100,000","4,100,000","4,200,000","3,500,000",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"145,951,000","37,356,000","37,376,000","35,930,000","35,289,000","33,977,000","33,586,000","33,086,000","33,974,000","37,690,000","37,409,000","34,752,000","30,023,000","32,797,000","34,034,000","31,911,000","30,496,000","28,529,000","29,604,000","29,508,000","29,386,000","28,595,000","29,690,000","30,294,000","30,757,000","29,699,000","30,349,000","30,171,000","30,992,000","31,225,000","31,167,000","30,267,000","29,443,000","28,825,000","30,044,000","29,459,000","28,149,000","27,470,000","28,137,000","26,590,000","26,271,000","25,288,000","25,315,000","22,873,000","21,428,000","20,664,000","21,074,000","19,584,000","18,848,000","19,100,000","18,556,000","18,184,000","18,949,000","19,215,000","19,756,000","19,632,000","20,458,000","18,778,000","23,624,000","21,268,000","21,828,000","21,764,000","26,711,000","24,988,000","24,927,000","24,653,000","22,387,000","30,806,000","28,513,000","26,951,000","31,630,000","25,434,000",,,,,,,,,,,,,,"15,710,000","15,748,000","15,891,000","3,148,000","27,503,000","30,464,000","24,400,000","24,300,000","21,300,000","16,600,000","21,700,000","24,800,000","20,900,000","35,500,000","12,900,000","15,700,000","15,100,000","12,300,000","14,500,000","13,400,000","8,200,000","8,100,000","8,600,000","6,500,000","6,800,000","7,700,000","6,300,000","5,500,000","6,100,000","6,600,000","5,700,000","5,100,000","5,200,000","5,800,000","4,600,000","3,900,000","3,900,000","4,200,000","4,000,000","3,800,000","3,800,000","3,700,000","3,900,000","4,100,000","4,100,000","4,200,000","3,500,000",,,,,,,,,,,,,,
			DepreciationIncomeStatement,"145,951,000","37,356,000","37,376,000","35,930,000","35,289,000","33,977,000","33,586,000","33,086,000","33,974,000","37,690,000","37,409,000","34,752,000","30,023,000","32,797,000","34,034,000","31,911,000","30,496,000","28,529,000","29,604,000","29,508,000","29,386,000","28,595,000","29,690,000","30,294,000","30,757,000","29,699,000","30,349,000","30,171,000","30,992,000","31,225,000","31,167,000","30,267,000","29,443,000","28,825,000","30,044,000","29,459,000","28,149,000","27,470,000","28,137,000","26,590,000","26,271,000","25,288,000","25,315,000","22,873,000","21,428,000","20,664,000","21,074,000","19,584,000","18,848,000","19,100,000","18,556,000","18,184,000","18,949,000","19,215,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-12,964,000",,,,,,,,,,,,,,,,,,"-13,571,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
