name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021
MarketCap,"428,807,702","491,643,475","700,204,485","661,714,889","1,122,054,229"
EnterpriseValue,"328,414,702","390,798,475","669,629,485","631,139,889","1,091,479,229"
ForwardPeRatio,,"500","31.949","20.492",
PsRatio,"1.67","1.568","3.015","2.99","4.956"
PbRatio,"3.538","3.441","4.286","3.66","2,262.206"
EnterprisesValueRevenueRatio,"1.291","7.886","6.583","11.911","21.783"
EnterprisesValueEBITDARatio,"-2.622","-14.314","-28.012","-28.388","-19.717"
