name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
			TaxesReceivable,"12,501,000","10,681,000","12,601,000","10,077,000","10,797,000","10,514,000","6,381,000","9,460,000","16,648,000","17,057,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","1,000,000","1,000,000",,,,,,,,,,,,,,,,,,,
		Inventory,"176,168,000","159,477,000","154,296,000","138,246,000","132,057,000","122,401,000","114,636,000","112,630,000","117,641,000","118,479,000","118,791,000","112,613,000","112,125,000","112,535,000","108,589,000","118,363,000","120,637,000","121,409,000","113,385,000","106,568,000","108,455,000","105,074,000","107,204,000","94,563,000","86,950,000","84,183,000","77,923,000","79,616,000","80,145,000","77,643,000","74,783,000","68,023,000","65,591,000","64,217,000","62,806,000","56,210,000","52,238,000","53,756,000","51,800,000","46,384,000","50,220,000","46,344,000","49,667,000","44,807,000","7,326,000","6,825,000","3,389,000","2,907,000","3,122,000","2,541,000","2,137,000","3,477,000","3,397,000","2,641,000","4,442,000","4,836,000","3,170,000","2,219,000","1,403,000","1,706,000","1,904,000","4,369,000","4,936,000","3,132,000","3,070,000","2,712,000","2,214,000","1,731,000","1,647,000","1,901,000","2,247,000","2,311,000","1,692,000","2,498,000","2,746,000","3,358,000","2,297,000","1,903,000","1,923,000","2,635,000","2,030,000","1,163,000","958,000","1,233,000","1,283,000","1,478,000","1,161,000","1,025,000","477,000","490,000","488,000","168,000","96,000","105,000","120,000","89,000","193,000","35,000",,,,,"100,000","100,000","200,000","200,000","500,000","500,000","400,000",,,,,,,,
			RawMaterials,"111,621,000","96,426,000","89,017,000","80,208,000","74,549,000","68,362,000","62,970,000","61,762,000","60,844,000","61,323,000","65,337,000","66,181,000","66,316,000","61,679,000","61,770,000","65,686,000","64,871,000","64,175,000","59,399,000","58,364,000","59,425,000","60,525,000","64,185,000","58,391,000","53,394,000","50,371,000","47,350,000","49,559,000","51,404,000","48,678,000","46,168,000","43,409,000","43,243,000","33,783,000","35,388,000","32,368,000","26,802,000","28,279,000","29,975,000","28,812,000","31,752,000","29,073,000",,,,"270,000",,,,"0","14,000","140,000","337,000","189,000","197,000","71,000","168,000","329,000","200,000","164,000","398,000","655,000","919,000","1,209,000","1,924,000","1,894,000","1,842,000","1,610,000","961,000","1,622,000","1,795,000","1,414,000","1,486,000","1,960,000","2,277,000","2,488,000","1,616,000","1,562,000","1,277,000","1,837,000","1,407,000","866,000","806,000","943,000","1,202,000","1,118,000",,,,"398,000",,,,,,,,"35,000",,,,,,,,,,,,,,,,,,,
			WorkInProcess,"10,991,000","9,495,000","12,460,000","9,369,000","8,423,000","8,247,000","7,708,000","6,575,000","6,778,000","7,444,000","6,863,000","6,660,000","4,830,000","5,939,000","6,671,000","13,251,000","13,807,000","16,139,000","19,382,000","15,704,000","17,070,000","13,261,000","12,909,000","10,068,000","4,870,000","4,150,000","4,503,000","4,905,000","4,508,000","4,009,000","4,322,000","2,943,000","2,870,000","2,864,000","2,720,000","2,696,000","2,924,000","2,461,000","2,416,000","2,187,000","2,343,000","2,497,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000","128,000","136,000","87,000","53,000","53,000","51,000","56,000","76,000",,,,"20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"53,556,000","53,556,000","52,819,000","48,669,000","49,085,000","45,792,000","43,958,000","44,293,000","50,019,000","49,712,000","46,591,000","39,772,000","40,979,000","44,917,000","40,148,000","39,426,000","41,959,000","41,095,000","34,604,000","32,500,000","31,960,000","31,288,000","30,110,000","26,104,000","28,686,000","29,662,000","26,070,000","25,152,000","24,233,000","24,956,000","24,293,000","21,671,000","19,478,000","27,570,000","24,698,000","21,146,000","22,512,000","23,016,000","19,409,000","15,385,000","16,125,000","14,774,000",,,,"6,555,000",,,,"2,541,000","2,123,000","3,337,000","3,060,000","2,452,000","4,245,000","4,765,000","3,002,000","1,890,000","1,203,000","1,542,000","1,506,000","3,714,000","4,017,000","1,923,000","1,146,000","818,000","372,000","121,000","686,000","279,000","452,000","897,000","206,000","538,000","469,000","870,000","681,000","326,000","518,000","662,000","536,000","244,000","267,000","407,000","193,000","452,000",,,,"192,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-168,000","-168,000","-168,000","-168,000",,,,"-120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"4,751,000","3,407,000","5,671,000","8,007,000","8,143,000","3,930,000","5,933,000","6,689,000","9,027,000","7,022,000","39,884,000","50,128,000","55,577,000","54,271,000","57,846,000","62,828,000","56,848,000","51,217,000","37,034,000","39,939,000","43,868,000","36,390,000","38,679,000","47,463,000","45,851,000","42,620,000","27,117,000","33,624,000","31,510,000","29,107,000","31,372,000","29,042,000","27,923,000","21,864,000","15,222,000","16,014,000","13,663,000","12,809,000","17,042,000","16,192,000","11,440,000","9,685,000","11,153,000","10,610,000","1,570,000","1,421,000","1,517,000","1,181,000","680,000","780,000","602,000","511,000","94,000","417,000","366,000","583,000","737,000","595,000","1,148,000","1,251,000","316,000","284,000","106,000","492,000","54,000","7,000","326,000","411,000","287,000","308,000","285,000","335,000","138,000","138,000","412,000","393,000","398,000","563,000","413,000","247,000","155,000","383,000","216,000","124,000","438,000","487,000","726,000",,"426,000","251,000","186,000","391,000","357,000","136,000","111,000","133,000","148,000","196,000",,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,"0","2,506,000","2,505,000","2,505,000","2,505,000","2,504,000","2,504,000","2,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"472,000","182,002,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,000","320,000","503,000","496,000","372,000","873,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,"7,335,000","7,271,000","7,449,000","6,716,000","5,714,000","5,738,000","5,532,000","6,247,000","10,149,000","10,700,000","10,448,000","10,616,000","14,389,000","13,450,000","13,718,000","15,006,000","9,273,000","9,283,000","9,160,000","12,732,000","1,286,000","1,717,000","1,460,000","4,905,000","2,605,000","2,762,000","2,330,000","927,000","740,000","956,000","744,000","986,000","4,170,000","4,121,000","3,935,000","3,784,000","3,900,000","3,762,000","3,691,000","3,839,000","2,654,000","2,285,000","2,316,000","1,447,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
