name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
TotalRevenue,"983,433,000","273,746,000","272,289,000","228,877,000","208,521,000","232,722,000","232,958,000","202,675,000","185,547,000","249,404,000","255,835,000","227,705,000","217,371,000","242,131,000","245,873,000","213,469,000","201,059,000","220,409,000","227,563,000","196,938,000","179,008,000","192,938,000","203,972,000","196,411,000","185,983,000","199,995,000","202,198,000","180,816,000","177,874,000","192,493,000","196,819,000","181,936,000","171,977,000","183,183,000","180,819,000","159,031,000","154,428,000","165,643,000","155,686,000","118,807,000","106,962,000","111,752,000","102,426,000","97,276,000","90,219,000","101,641,000","98,135,000","88,631,000","76,682,000","81,543,000","80,135,000","78,445,000","73,270,000","77,740,000","78,290,000","72,134,000","43,548,000","41,441,000","42,301,000","36,518,000","33,366,000","34,950,000","33,516,000","30,859,000","29,237,000","28,089,000","26,049,000","21,877,000","20,007,000","19,541,000","17,935,000","13,705,000","14,801,000","15,352,000","18,033,473","13,338,000"
	OperatingRevenue,"983,433,000","273,746,000","272,289,000","228,877,000","208,521,000","232,722,000","232,958,000","202,675,000","185,547,000","249,404,000","255,835,000","227,705,000","217,371,000","242,131,000","245,873,000","213,469,000","201,059,000","220,409,000","227,563,000","196,938,000","179,008,000","192,938,000","203,972,000","196,411,000","185,983,000","199,995,000","202,198,000","180,816,000","177,874,000","192,493,000","196,819,000","181,936,000","171,977,000","183,183,000","180,819,000","159,031,000","154,428,000","165,643,000","155,686,000","118,807,000","106,962,000","111,752,000","102,426,000","97,276,000","90,219,000","101,641,000","98,135,000","88,631,000","76,682,000","81,543,000","80,135,000","78,445,000","73,270,000","77,740,000","78,290,000","72,134,000","43,548,000","41,603,000","42,428,000","36,739,000","33,680,000","35,657,000","34,123,000","31,153,000","29,381,000","28,274,000","27,225,000","22,273,000","20,051,000","20,029,000","17,604,000","14,011,000","14,801,000","15,352,000","18,033,473","13,338,000"
CostOfRevenue,"452,689,000","112,763,000","109,658,000","126,286,000","103,982,000","102,668,000","102,332,000","115,362,000","93,934,000","102,047,000","105,125,000","121,088,000","99,082,000","100,312,000","98,786,000","115,703,000","93,410,000","95,683,000","89,617,000","107,225,000","82,891,000","82,305,000","87,338,000","107,726,000","84,581,000","85,631,000","86,226,000","103,523,000","84,145,000","84,725,000","85,933,000","104,116,000","81,534,000","81,076,000","79,645,000","93,268,000","74,946,000","71,953,000","72,390,000","64,785,000","48,765,000","49,003,000","53,591,000","52,722,000","41,500,000","41,621,000","147,573,000","6,499,000","37,704,000","36,974,000","154,415,000","0","38,936,000","36,493,000",,"42,086,000",,,,,,,,,,,,,,,,,,,,
GrossProfit,"530,744,000","160,983,000","162,631,000","102,591,000","104,539,000","130,054,000","130,626,000","87,313,000","91,613,000","147,357,000","150,710,000","106,617,000","118,289,000","141,819,000","147,087,000","97,766,000","107,649,000","124,726,000","137,946,000","89,713,000","96,117,000","110,633,000","116,634,000","88,685,000","101,402,000","114,364,000","115,972,000","77,293,000","93,729,000","107,768,000","110,886,000","77,820,000","90,443,000","102,107,000","101,174,000","65,763,000","79,482,000","93,690,000","83,296,000","54,022,000","58,197,000","62,749,000","48,835,000","44,554,000","48,719,000","60,020,000","-49,438,000","82,132,000","38,978,000","44,569,000","-74,280,000","78,445,000","34,334,000","41,247,000",,"30,048,000",,,,,,,,,,,,,,,,,,,,
OperatingExpense,"342,057,000","86,988,000","84,711,000","85,256,000","85,102,000","83,653,000","79,515,000","79,078,000","79,101,000","80,396,000","81,183,000","79,310,000","80,166,000","79,619,000","79,567,000","76,265,000","76,795,000","74,320,000","74,812,000","72,138,000","68,190,000","61,414,000","60,015,000","59,407,000","62,296,000","61,329,000","62,247,000","58,742,000","59,277,000","57,592,000","58,116,000","56,589,000","55,010,000","54,112,000","52,568,000","50,568,000","53,263,000","51,152,000","42,486,000","38,520,000","31,746,000","28,903,000","18,426,000","28,383,000","27,700,000","27,355,000","-78,034,000","65,357,000","21,164,000","20,812,000","-99,334,000","66,537,000","23,229,000","22,850,000","-63,475,000","67,210,000","36,284,000","28,810,000","28,323,000","30,725,000","27,145,000","33,775,000","22,154,000","25,412,000","24,174,000","18,791,000","18,165,000","18,216,000","17,047,000","13,475,000","12,072,000","14,594,000","-9,601,000","9,376,000","13,143,084","10,433,000"
	SellingGeneralAndAdministration,"65,225,000","16,436,000","15,417,000","15,811,000","16,361,000","15,536,000","11,791,000","11,709,000","12,660,000","14,227,000","12,637,000","10,380,000","11,351,000","10,864,000","10,811,000","10,134,000","15,906,000","9,541,000","9,248,000","11,013,000","12,247,000","9,091,000","8,114,000","7,340,000","8,593,000","7,613,000","7,562,000","6,868,000","7,699,000","6,941,000","6,822,000","7,013,000","6,560,000","5,937,000","5,953,000","5,320,000","5,786,000","5,009,000","3,440,000","10,184,000","7,264,000","4,504,000","-2,996,000","6,178,000","5,909,000","5,455,000","-100,005,000","45,377,000","3,369,000","3,324,000","-116,403,000","47,907,000","2,829,000","2,748,000","2,712,000","3,191,000","3,237,000","2,134,000","1,856,000","2,286,000","2,190,000","11,328,000","1,399,000","1,468,000","1,824,000","1,587,000","1,891,000","1,534,000","1,925,000","1,364,000","1,314,000","2,912,000","897,000","453,000","1,590,170","345,000"
		GeneralAndAdministrativeExpense,"65,225,000","16,436,000","15,417,000","15,811,000","16,361,000","15,536,000","11,791,000","11,709,000","12,660,000","14,227,000","12,637,000","10,380,000","11,351,000","10,864,000","10,811,000","10,134,000","15,906,000","9,541,000","9,248,000","11,013,000","12,247,000","9,091,000","8,114,000","7,340,000","8,593,000","7,613,000","7,562,000","6,868,000","7,699,000","6,941,000","6,822,000","7,013,000","6,560,000","5,937,000","5,953,000","5,320,000","5,786,000","5,009,000","8,592,000","8,675,000","5,442,000","4,504,000","-2,996,000","6,178,000",,,,"4,604,000","3,369,000","3,324,000","-116,403,000","47,907,000","3,281,000",,,,,"2,134,000","1,856,000","2,286,000","2,190,000","11,328,000","1,399,000","1,468,000","1,824,000",,"1,891,000","1,534,000","1,925,000","1,364,000","1,314,000","2,912,000","897,000",,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,134,000","1,856,000","2,286,000","2,190,000","11,328,000","1,399,000","1,468,000","1,824,000",,"1,891,000","1,534,000","1,925,000","1,364,000","282,000","2,912,000","897,000",,,
			RentAndLandingFees,"20,603,000","6,138,000","5,528,000","5,502,000","3,435,000","3,208,000","3,480,000","3,071,000","2,893,000","4,069,000","4,151,000","3,215,000","3,236,000","3,549,000","3,329,000","2,951,000","2,733,000","2,842,000","3,062,000","2,329,000","2,465,000","2,357,000","2,431,000","1,965,000","2,467,000","2,304,000","2,391,000","1,782,000","1,961,000","2,098,000","2,046,000","2,206,000","1,582,000","1,563,000","1,653,000","1,386,000","1,160,000","1,203,000","1,387,000","1,093,000","804,000","964,000","984,000","810,000",,,,"888,000","753,000","571,000","629,000","474,000","452,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"44,622,000","10,298,000","9,889,000","10,309,000","12,926,000","12,328,000","8,311,000","8,638,000","9,767,000","10,158,000","8,486,000","7,165,000","8,115,000","7,315,000","7,482,000","7,183,000","13,173,000","6,699,000","6,186,000","8,684,000","9,782,000","6,734,000","5,683,000","5,375,000","6,126,000","5,309,000","5,171,000","5,086,000","5,738,000","4,843,000","4,776,000","4,807,000","4,978,000","4,374,000","4,300,000","3,934,000","4,626,000","3,806,000","7,205,000","7,582,000","4,638,000","3,540,000","-3,980,000","5,368,000",,,,"3,716,000","2,616,000","2,753,000","-117,032,000","47,433,000","2,829,000",,,,,,,,,,,,,,,,,,,,,,,
