name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
TotalAssets,"507,296,000","249,203,000","260,399,000","234,264,000","217,771,000","211,565,000","219,691,000","201,114,000","188,514,000","166,113,000","168,067,000","150,025,000","151,450,000","139,749,000","127,836,000","124,072,000","120,682,000","119,836,000","121,124,000","114,581,000","113,155,000","111,800,000","112,339,000","116,758,000","116,607,000","121,142,000","117,186,000","117,379,000","114,071,000","120,236,000"
	CurrentAssets,"324,233,000","70,149,000","88,802,000","84,708,000","81,144,000","72,620,000","82,285,000","67,456,000","52,848,000","30,190,000","32,183,000","33,416,000","34,415,000","29,906,000","17,738,000","14,367,000","14,844,000","15,908,000","17,209,000","14,215,000","12,857,000","11,116,000","11,370,000","16,269,000","16,048,000","19,620,000","15,350,000","16,245,000","12,398,000","18,121,000"
		CashCashEquivalentsAndShortTermInvestments,"287,013,000","48,583,000","50,125,000","43,504,000","39,993,000","40,858,000","48,230,000","45,766,000","31,030,000","12,849,000","9,472,000","17,075,000","13,625,000","12,493,000","3,023,000","3,147,000","3,848,000","4,063,000","4,589,000","4,447,000","3,436,000","3,750,000","3,828,000","10,014,000","8,316,000","10,690,000","5,717,000","4,875,000","2,902,000","9,723,000"
			CashAndCashEquivalents,"287,013,000","48,583,000","50,125,000","43,504,000","39,993,000","40,858,000","48,230,000","45,766,000","31,030,000","12,849,000","9,472,000","17,075,000","13,625,000","12,493,000","3,023,000","3,147,000","3,848,000","4,063,000","4,589,000","4,447,000","3,436,000","3,750,000","3,828,000","10,014,000","8,316,000","10,690,000","5,717,000","4,875,000","2,902,000","9,723,000"
		Receivables,"6,385,000","8,110,000","6,052,000","5,854,000","5,950,000","8,531,000","5,378,000","5,580,000","5,140,000","5,842,000","5,859,000","5,548,000","4,918,000","5,764,000","3,918,000","4,484,000","3,860,000","7,067,000","4,641,000","3,818,000","3,259,000","3,199,000","2,529,000","2,581,000","2,556,000","3,404,000","3,582,000","4,783,000","2,078,000","2,380,000"
			AccountsReceivable,"6,385,000","5,077,000","6,052,000","5,854,000","5,950,000","4,041,000","5,378,000","5,580,000","5,140,000","4,400,000","5,859,000","5,548,000","4,918,000","3,745,000","3,918,000","4,484,000","3,860,000","3,132,000","4,641,000","3,818,000","3,259,000","2,342,000","2,529,000","2,581,000","2,556,000","3,194,000","2,404,000","2,577,000","2,078,000","2,168,000"
			TaxesReceivable,,"1,117,000",,,,"3,602,000",,,,"667,000",,,,"0",,,,"2,500,000",,,,,,,,,"1,178,000","2,206,000",,
			OtherReceivables,,"1,916,000",,,,"888,000",,,,"775,000",,,,"2,019,000",,,,"1,435,000",,,,"857,000",,,,"236,000",,,,"245,000"
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,"-26,000",,,,"-33,000"
		Inventory,,"484,000",,,,"396,000",,,,"315,000",,,,"299,000",,,,"216,000",,,,"226,000",,,,"182,000","195,000","186,000","193,000","176,000"
		PrepaidAssets,"3,652,000","2,533,000","4,156,000","9,132,000","8,220,000","1,534,000","5,630,000","4,118,000","1,376,000","1,467,000","3,540,000","3,494,000","1,641,000","1,757,000","3,313,000","3,262,000","2,699,000","1,618,000","3,305,000","3,505,000","1,566,000","1,408,000","2,899,000","2,063,000","1,662,000","1,185,000","1,138,000","1,196,000","1,716,000","1,170,000"
		RestrictedCash,"27,183,000","9,645,000","28,469,000","26,218,000","26,981,000","21,301,000","23,047,000","11,992,000","15,302,000","9,717,000","13,312,000","7,299,000","14,231,000","9,593,000","7,484,000","3,474,000","4,437,000","2,944,000","4,674,000","2,445,000","4,596,000","2,533,000","2,114,000","1,611,000","3,514,000","3,774,000","3,410,000","3,805,000","4,145,000","3,170,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,308,000","1,400,000","1,364,000","1,408,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,308,000","1,400,000","1,364,000","1,408,000"
		OtherCurrentAssets,,"794,000",,,,,,,,,,,,,,,,,,,,,,,,"385,000",,,,"94,000"
	TotalNonCurrentAssets,"183,063,000","179,054,000","171,597,000","149,556,000","136,627,000","138,945,000","137,406,000","133,658,000","135,666,000","135,923,000","135,884,000","116,609,000","117,035,000","109,843,000","110,098,000","109,705,000","105,838,000","103,928,000","103,915,000","100,366,000","100,298,000","100,684,000","100,969,000","100,489,000","100,559,000","101,522,000","101,836,000","101,134,000","101,673,000","102,115,000"
		NetPPE,"57,314,000","54,503,000","49,151,000","39,598,000","30,473,000","27,948,000","27,196,000","27,220,000","28,434,000","27,842,000","27,291,000","8,361,000","8,299,000","8,338,000","7,363,000","6,328,000","5,768,000","5,826,000","5,681,000","5,441,000","4,993,000","4,999,000","4,871,000","4,805,000","4,519,000","4,593,000","4,510,000","3,328,000","3,393,000","3,622,000"
			GrossPPE,,"77,307,000",,,,"45,595,000",,,,"43,605,000",,,,"21,083,000",,,,"16,486,000",,,,"13,964,000",,,,"12,714,000",,,,"10,951,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0"
				LandAndImprovements,,"2,828,000",,,,"2,828,000",,,,"2,828,000",,,,,,,,,,,,,,,,,,,,
