name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalAssets,"2,736,952,000","2,767,979,000","2,796,551,000","2,839,310,000","2,895,951,000","2,948,700,000","3,011,332,000","3,057,689,000","3,103,087,000","3,730,407,000","3,751,230,000","3,759,671,000","3,757,847,000","3,774,649,000","3,814,052,000","3,784,718,000","2,228,201,000","1,492,087,000","1,471,945,000","1,463,885,000","1,477,806,000","1,472,412,000","1,477,083,000","1,488,582,000","1,495,854,000","1,509,771,000","1,672,184,000","1,628,890,000","1,612,597,000","1,516,482,000","1,430,312,000","1,355,791,000","1,265,902,000","1,185,884,000","1,136,975,000","901,318,432","887,564,591","872,644,745","849,823,888","827,403,691","763,633,350","727,875,976","654,607,486","630,396,409","612,590,749","614,717,728"
	CurrentAssets,"211,666,000","204,987,000","198,939,000","198,741,000","204,268,000","199,555,000","214,087,000","216,983,000","223,700,000","230,923,000","232,698,000","240,586,000","226,244,000","217,740,000","229,543,000","216,291,000","786,278,000","76,889,000","79,433,000","73,675,000","77,211,000","72,969,000","55,168,000","51,625,000","52,936,000","52,967,000","56,610,000","48,936,000","45,275,000","38,034,000","36,722,000","43,379,000","37,759,000","32,776,000","23,163,000","18,193,300","17,553,399","14,776,490","15,524,216","14,010,947","15,432,505","13,784,718","12,866,395","14,475,908","16,570,582","14,564,290"
		CashCashEquivalentsAndShortTermInvestments,"15,000","0","250,000","2,000","99,000","2,000","2,000","2,000","2,000","10,000","2,000","2,000","227,000","99,000","2,830,000","2,527,000","710,506,000","47,000","923,000","319,000","7,000","65,000","7,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","6,500","6,500","6,500","6,500","6,500","6,500","3,000","3,000","3,000","2,553,953","3,000"
			CashAndCashEquivalents,"15,000","0","250,000","2,000","99,000","2,000","2,000","2,000","2,000","10,000","2,000","2,000","227,000","99,000","2,830,000","2,527,000","710,506,000","47,000","923,000","319,000","7,000","65,000","7,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","6,500","6,500","6,500","6,500","6,500","6,500","3,000","3,000","3,000","2,553,953","3,000"
		Receivables,"114,917,000","113,155,000","108,121,000","110,204,000","116,506,000","112,477,000","121,616,000","121,194,000","129,222,000","136,794,000","136,816,000","141,271,000","129,395,000","127,042,000","139,475,000","126,305,000","38,427,000","40,563,000","40,077,000","38,316,000","42,370,000","41,265,000","26,486,000","28,064,000","30,802,000","31,488,000","31,911,000","25,930,000","27,472,000","28,085,000","26,579,000","30,692,000","22,766,000","20,429,000","14,223,000","10,876,776","10,405,523","8,755,071","10,573,371","9,419,085","9,363,098","8,923,765","8,089,546","8,898,550","7,235,097","7,766,045"
			AccountsReceivable,"69,581,000","68,175,000","63,077,000","62,044,000","69,685,000","63,727,000","71,308,000","71,226,000","78,485,000","80,276,000","80,926,000","90,348,000","78,990,000","75,572,000","89,010,000","75,836,000","34,794,000","32,063,000","31,379,000","29,481,000","33,370,000","32,237,000","23,258,000","24,911,000","27,737,000","28,465,000","28,723,000","23,056,000","24,653,000","25,159,000","23,800,000","27,982,000","22,703,000","20,079,000","14,030,000","10,830,391","10,276,444","8,618,164","10,567,221","9,419,085","9,363,098","8,872,159","8,089,546","8,898,550","7,235,097","7,766,045"
				GrossAccountsReceivable,"71,074,000","70,232,000","65,465,000","65,582,000","73,185,000","68,709,000",,"76,587,000","81,961,000","82,776,000",,"92,148,000","80,690,000","77,272,000","90,710,000","76,936,000","35,094,000","32,463,000","31,879,000","30,081,000","33,970,000","32,937,000","23,858,000","25,611,000","29,037,000","30,565,000","30,223,000","23,956,000","25,153,000","25,533,000","24,400,000","28,282,000","23,003,000","20,325,000","14,239,000","10,830,691","10,542,685","8,877,802","10,744,413",,,"9,132,757",,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,493,000","-2,057,000","-2,388,000","-3,538,000","-3,500,000","-4,982,000",,"-5,361,000","-3,476,000","-2,500,000",,"-1,800,000","-1,700,000","-1,700,000","-1,700,000","-1,100,000","-300,000","-400,000","-500,000","-600,000","-600,000","-700,000","-600,000","-700,000","-1,300,000","-2,100,000","-1,500,000","-900,000","-500,000","-374,000","-600,000","-300,000","-300,000","-246,000","-209,000","-300","-266,241","-259,638","-177,192",,,"-260,598",,,,
			DuefromRelatedPartiesCurrent,"45,124,000","44,941,000","45,004,000","44,963,000","44,923,000","45,043,000","44,942,000","45,312,000","45,234,000","45,461,000","48,557,000","47,009,000","45,589,000","47,661,000","46,712,000","46,867,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"212,000","39,000","40,000","3,197,000","1,898,000","3,707,000","5,366,000","4,656,000","5,503,000","11,057,000","7,333,000","3,914,000","4,816,000","3,809,000","3,753,000","3,602,000","3,633,000","8,500,000","8,698,000","8,835,000","9,000,000","9,028,000","3,228,000","3,153,000","3,065,000","3,023,000","3,188,000","2,874,000","2,819,000","2,926,000","2,779,000","2,710,000","63,000","350,000","193,000","46,385","129,079","136,907","6,150",,,"51,606",,,,
