name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
OperatingCashFlow,"1,049,243,000","345,880,000","116,965,000","244,828,000","341,570,000","402,929,000","403,675,000","280,968,000","214,281,000","214,395,000","300,721,000","173,412,000","257,118,000","187,345,000","333,223,000","214,537,000","75,259,000","258,958,000","270,068,000","219,858,000","103,636,000","247,071,000","220,362,000","249,998,000","59,389,000","159,694,000","218,006,000","168,795,000","141,432,000","138,525,000","167,099,000","0","0","31,721,000"
	CashFlowFromContinuingOperatingActivities,"1,049,243,000","345,880,000","116,965,000","244,828,000","341,570,000","402,929,000","403,675,000","280,968,000","214,281,000","214,395,000","300,721,000","173,412,000","257,118,000","187,345,000","333,223,000","214,537,000","75,259,000","258,958,000","270,068,000","219,858,000","103,636,000","247,071,000","220,362,000","249,998,000","59,389,000","159,694,000","218,006,000","168,795,000","141,432,000","138,525,000","167,099,000","0","0","31,721,000"
		NetIncomeFromContinuingOperations,"1,033,353,000","212,275,000","216,263,000","319,189,000","285,626,000","298,737,000","201,035,000","136,917,000","96,922,000","50,390,000","161,356,000","83,038,000","39,541,000","61,517,000","69,517,000","32,084,000","-29,993,000","-12,501,000","-33,082,000","35,919,000","-30,624,000","55,908,000","-78,638,000","11,847,000","-5,675,000","-24,202,000","-11,127,000","4,448,000","2,036,000","6,482,000","189,821,000","0","0","-1,046,000"
		OperatingGainsLosses,"744,000","0",,,,"0",,,,"-1,300,000",,,,"5,424,000","84,502,000","175,000","-2,276,000","36,275,000","8,729,000","3,412,000","1,714,000","1,731,000","2,748,000","2,440,000","-1,477,000","39,000","-334,000","770,000","-3,475,000","7,978,000",,,,"-856,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,"-773,000","417,000","626,000","-2,646,000","-2,291,000","1,691,000","-924,000","2,477,000","-3,303,000","2,139,000","2,773,000","-1,645,000","1,119,000","159,000","351,000","76,000","354,000",,,,"714,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,"-451,000","370,000","38,566,000","7,038,000","4,336,000","-763,000","5,034,000","609,000","-333,000","168,000","-1,080,000","-493,000","419,000","-3,551,000","7,624,000",,,,"-1,798,000"
			EarningsLossesFromEquityInvestments,"0",,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,"0",,,,
		DepreciationAmortizationDepletion,"361,415,000","89,854,000","92,334,000","89,395,000","89,832,000","85,986,000","124,849,000","123,154,000","122,115,000","118,687,000","116,785,000","111,189,000","122,270,000","120,889,000","185,286,000","313,471,000","43,451,000","581,336,000","46,612,000","43,440,000","42,827,000","551,291,000","56,109,000","50,825,000","46,352,000","537,622,000","48,522,000","46,069,000","42,738,000","179,964,000",,,,"40,312,000"
			DepreciationAndAmortization,"361,415,000","89,854,000","92,334,000","89,395,000","89,832,000","85,986,000","124,849,000","123,154,000","122,115,000","118,687,000","116,785,000","111,189,000","122,270,000","120,889,000","185,286,000","313,471,000","43,451,000","581,336,000","46,612,000","43,440,000","42,827,000","551,291,000","56,109,000","50,825,000","46,352,000","537,622,000","48,522,000","46,069,000","42,738,000","179,964,000",,,,"40,312,000"
				Depreciation,"210,949,000","51,911,000","53,833,000","52,758,000","52,447,000","50,869,000","51,538,000","50,812,000","49,987,000","49,318,000","53,692,000","54,718,000","63,904,000","65,638,000","52,794,000","46,763,000","43,451,000","41,546,000","46,612,000","43,440,000","42,827,000","56,539,000","56,109,000","50,825,000","46,352,000","43,033,000","48,522,000","46,069,000","42,738,000","37,215,000",,,,"11,674,000"
				AmortizationCashFlow,"150,466,000","37,943,000","38,501,000","36,637,000","37,385,000","35,117,000","73,311,000","72,342,000","72,128,000","69,369,000","63,093,000","56,471,000","58,366,000","55,251,000","132,492,000",,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"150,466,000","37,943,000","38,501,000","36,637,000","37,385,000","35,117,000","73,311,000","72,342,000","72,128,000","69,369,000","63,093,000","56,471,000","58,366,000","55,251,000","132,492,000",,,,,,,,,,,,,,,,,,,
		DeferredTax,"31,875,000","-5,691,000","39,796,000","-4,230,000","2,000,000","-44,447,000","-10,157,000","52,173,000","-15,705,000","-9,892,000","8,310,000","1,498,000","-11,015,000","-11,953,000","-15,254,000","-16,278,000","-26,684,000","4,409,000","-19,367,000","-12,562,000","-4,728,000","-8,645,000","-6,072,000","-15,819,000","2,509,000","6,864,000","-21,441,000","-1,461,000","3,849,000","-118,715,000",,,,"-1,150,000"
			DeferredIncomeTax,"31,875,000","-5,691,000","39,796,000","-4,230,000","2,000,000","-44,447,000","-10,157,000","52,173,000","-15,705,000","-9,892,000","8,310,000","1,498,000","-11,015,000","-11,953,000","-15,254,000","-16,278,000","-26,684,000","4,409,000","-19,367,000","-12,562,000","-4,728,000","-8,645,000","-6,072,000","-15,819,000","2,509,000","6,864,000","-21,441,000","-1,461,000","3,849,000","-118,715,000",,,,"-1,150,000"
		AssetImpairmentCharge,"48,000,000",,,,,,,,,"18,339,000",,,,"988,000",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"83,507,000","10,271,000","19,307,000","28,691,000","25,238,000","18,168,000","19,247,000","30,048,000","21,859,000","13,768,000","16,381,000","20,876,000","24,953,000","12,706,000","18,624,000","20,905,000","19,345,000","9,859,000","13,715,000","23,458,000","21,126,000","15,554,000","16,655,000","26,042,000","30,594,000","25,308,000","30,308,000","35,730,000","48,170,000","42,110,000",,,,"5,151,000"
