name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,01/31/2014
TotalRevenue,"1,588,668,000","426,728,000","366,268,000","425,991,000","369,681,000","346,564,000","322,193,000","383,861,000","347,827,000","351,663,000","346,105,000","412,468,000","360,343,000","348,628,000","323,002,000","366,326,000","342,475,000","333,690,000","297,051,000","356,508,000","311,142,000","299,901,000","279,872,000","319,408,000","306,314,000"
	OperatingRevenue,"1,588,668,000","426,728,000","366,268,000","425,991,000","369,681,000","346,564,000","322,193,000","383,861,000","347,827,000","351,663,000","346,105,000","412,468,000","360,343,000","348,628,000","323,002,000","366,326,000","342,475,000","333,690,000","297,051,000","356,508,000","311,142,000","299,901,000","279,872,000","319,408,000","306,314,000"
CostOfRevenue,"1,093,186,000","297,842,000","255,760,000","286,932,000","252,652,000","240,645,000","226,848,000","261,213,000","237,593,000","240,457,000","240,390,000","282,141,000","249,049,000","253,017,000","234,272,000","259,976,000","240,468,000","225,693,000","208,672,000","233,585,000","210,715,000","205,568,000","196,813,000","228,897,000","228,227,000"
GrossProfit,"495,482,000","128,886,000","110,508,000","139,059,000","117,029,000","105,919,000","95,345,000","122,648,000","110,234,000","111,206,000","105,715,000","130,327,000","111,294,000","95,611,000","88,730,000","106,350,000","102,007,000","107,997,000","88,379,000","122,923,000","100,427,000","94,333,000","83,059,000","90,511,000","78,087,000"
OperatingExpense,"394,717,000","109,314,000","96,220,000","100,464,000","88,719,000","89,741,000","79,111,000","78,113,000","77,168,000","90,051,000","36,023,000","102,855,000","84,203,000","84,143,000","95,089,000","89,979,000","87,169,000","82,189,000","78,551,000","86,581,000","74,003,000","82,352,000","88,601,000","75,271,000","82,057,000"
	SellingGeneralAndAdministration,"387,709,000","106,835,000","94,278,000","99,888,000","86,708,000","86,758,000","76,211,000","74,152,000","74,722,000","96,106,000","83,784,000","99,832,000","81,484,000","83,650,000","90,983,000","86,599,000","90,849,000","79,072,000","73,305,000","82,795,000","68,082,000","76,901,000","84,279,000","74,405,000","74,131,000"
		GeneralAndAdministrativeExpense,"236,049,000","66,976,000","57,829,000","60,407,000","50,837,000","52,928,000","42,283,000","39,830,000","44,867,000","62,130,000","45,770,000","64,442,000","49,525,000","48,215,000","54,831,000","53,049,000","56,961,000","44,742,000","39,064,000","49,083,000","31,136,000","40,211,000","49,186,000","36,275,000","35,652,000"
			OtherGandA,"236,049,000","66,976,000","57,829,000","60,407,000","50,837,000","52,928,000","42,283,000","39,830,000","44,867,000","62,130,000","45,770,000","64,442,000","49,525,000","48,215,000","54,831,000","53,049,000","56,961,000","44,742,000","39,064,000","49,083,000","31,136,000","40,211,000","49,186,000","36,275,000","35,652,000"
		SellingAndMarketingExpense,"151,660,000","39,859,000","36,449,000","39,481,000","35,871,000","33,830,000","33,928,000","34,322,000","29,855,000","33,976,000","38,014,000","35,390,000","31,959,000","35,435,000","36,152,000","33,550,000","33,888,000","34,330,000","34,241,000","33,712,000","36,946,000","36,690,000","35,093,000","38,130,000","38,479,000"
	ResearchAndDevelopment,"14,132,000","3,751,000","3,452,000","3,516,000","3,413,000","3,393,000","3,123,000","3,543,000","2,782,000","3,189,000","3,684,000","3,916,000","3,281,000","3,957,000","4,146,000","3,521,000","3,682,000","4,021,000","4,653,000","4,306,000","5,592,000","5,086,000","5,005,000","5,428,000","6,728,000"
