name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1993,09/30/1993,06/30/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
MarketCap,"4,919,558,264","5,413,298,827","5,149,665,414","4,760,715,690","4,688,334,436","4,557,963,542","4,040,854,253","3,211,954,461","3,521,877,587","2,520,316,058","5,024,836,299","4,814,245,736","4,777,976,219","4,277,252,321","3,932,662,612","3,965,650,171","3,400,553,480","3,399,458,307","3,451,254,702","2,941,564,777","2,996,551,496","2,935,576,054","2,823,969,743","2,765,735,965","2,598,563,689","2,522,487,305","2,507,474,243","2,557,760,960","2,593,658,210","1,658,257,054","1,697,984,565","1,563,128,000","1,405,891,000","1,129,213,750","800,389,260","725,522,380","72,288,279","79,897,572","61,460,700","84,881,927","64,051,488","83,735,847","49,974,975","49,530,530","85,956,570","50,938,760","33,971,350","35,580,060","36,146,550","33,842,700","27,781,250","67,019,840","31,977,343","24,031,194","79,543,764","342,395,000","424,675,470","584,653,300","539,133,500","621,585,475","597,772,623","795,645,364","869,655,160","627,119,810","545,886,117","476,945,120","447,222,720","487,481,280","505,064,983","501,268,509","453,555,990","437,955,000","221,776,000","173,199,600","147,595,400","128,943,290","120,908,900","93,313,093","86,267,835","87,759,882","95,238,936","92,760,600","107,862,376","102,993,660","122,071,698","86,146,236","96,716,680","92,841,120","84,224,400","89,266,320","91,505,700","90,371,098","82,355,130","89,218,011","109,283,940","118,390,935","175,454,074","177,732,743","103,016,183","94,806,727","54,821,880","46,827,045","25,126,740","22,892,475","17,169,333","12,590,838","13,735,485","14,880,131","16,024,778","14,880,131","19,435,047","22,864,761","20,578,285","19,398,897","19,377,666","18,237,803","23,926,642","17,084,833","25,049,504","27,308,730","26,153,615","21,605,160","22,722,247","26,096,080","26,096,080","24,936,716","36,271,587","18,691,831","21,179,867","28,655,115","24,211,622","28,457,988","28,457,988","23,888,343","32,590,759","31,346,759","36,362,241","57,051,102","55,780,348","51,734,173","61,522,644","56,146,879","54,852,002"
PeRatio,"10.281","11.477","11.868","11.356","16.784","31.959","28.092","24.966","17.978","7.923","15.771","14.456","13.898","13.824","12.795","13.79","13.725","13.841","14.366","13.371","12.846","12.237","11.178","10.67","11.434","11.145","13.182","16.047","13.123","15.253","16.189","13.969","13.303","35.494","0.628","0.555","0.544","0.368","0.283","1.22","0.518","0.35","0.195","0.193","0.782","0.409",,,,,,,,,,"11.742","12.893","5.674","6.426","8.765","9.671","13.403","14.068","12.231","10.697","10.408","11.619","12.762","13.979","14.553","14.35","14.478","11.929","11.704","10.179",,,,,"15.311","13.332","13.512","15.566","14.863","21.498","13.332","10.971","9.781","8.694","7.691","9.09","12.043","10.974","10.371","13.635","92.857",,,,,,,,,,,,,,,,,,,,,,,"10.578","9.376","8.713","7.198",,,,,"5.715","5.358",,,,,,,,,,,"14.026","13.609","12.501","11.192","8.018"
ForwardPeRatio,"10.905","11.793","11.561","11.655","13.298","12.674","11.236","8.953","9.833","7.047","13.889","13.298","12.92","12.804",,"12.121","11.793","12.107","12.24","11.574","12.3","12.739","11.481","11.236","13.569","10.173","9.662","9.911","11.038","12.438","12.24","11.834","12.077","12.92","14.663","12.987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"8.5","9.363","10.048","9.959","10.473","10.171","8.839","7.117","7.646","5.71","11.327","10.434","10.052","9.925","9.2","9.904","9.858","9.95","10.359","9.727","9.285","8.912","8.38","8.165","8.325","7.836","8.103","9.117","9.009","10.653","11.467","11.219","12.723","12.509","4.934","2.026","1.078","1.239","0.953",,,"1.698","1.247","1.236","2.18","1.051","0.697","0.881","0.949","0.658","0.628","1.3","0.547","0.333","0.971","2.995","3.221","4.204","4.697","6.522","6.653","9.368","9.972","8.557","7.483","7.192","7.575","8.32","8.829","8.756","8.514","8.18","8.586","7.279","6.146","5.372","3.068","2.532","2.447","2.278","3.779","3.445","3.969","3.455","3.202","2.273","1.472","3.224","2.866","1.402","3.205","2.847","2.571","1.602","3.943","3.192","5.652","9.164","19.11","35.265","15.517","15.343","5.946","4.496","5.847","4.583","3.712","4.022","4.331","4.022","4.889","5.94","5.027","4.211","4.094","3.424","4.749","3.037",,,,,,,,,,,,,,,,,,,,,,,,,
PbRatio,"1.06","1.18","1.216","1.211","1.207","1.173","1.041","0.829","0.965","0.67","1.343","1.285","1.389","1.291","1.191","1.326","1.199","1.168","1.378","1.174","1.201","1.177","1.135","1.108","1.041","1.012","1.008","1.03","1.78","1.132","1.149","1.261","1.449","1.573","1.122","1.018","9.349","1.088","0.837",,,,,,,,,,,,,"0.314","0.096","0.073","0.198","0.716","0.883","1.161","1.321","1.375","1.403","1.867","2.502","1.745","1.519","1.372","1.345","1.466","1.585","1.575","1.433","1.408","1.6","1.738","1.537","1.324","1.36","1.161","1.026","0.866","0.897","0.904","1.051","0.756","0.757","0.543","0.593","0.559","0.507","0.541","0.577","0.576","0.531","0.568","0.735","0.86","1.283","1.33","0.786","1.711","2.303","1.951","1.026","0.931","0.679","0.506","0.489","0.531","0.572","0.533","0.68","0.613","0.553","0.501","0.385","0.362","0.474","0.336","0.443","0.485",,,,,,,,,,,,,,,,,,,,,,,
