name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
OperatingCashFlow,"35,549,000","-4,900,000","-2,541,000","16,747,000","26,243,000","17,318,000","11,643,000","17,892,000","21,862,000","4,233,000","9,419,000","23,521,000","13,909,000","7,803,000","11,390,000","11,951,000","16,268,000","5,763,000","14,101,000","16,160,000"
	CashFlowFromContinuingOperatingActivities,"35,549,000","-4,900,000","-2,541,000","16,747,000","26,243,000","17,318,000","11,643,000","17,892,000","21,862,000","4,233,000","9,419,000","23,521,000","13,909,000","7,803,000","11,390,000","11,951,000","16,268,000","5,763,000","14,101,000","16,160,000"
		NetIncomeFromContinuingOperations,"-130,979,000","-37,377,000","-41,462,000","-22,903,000","-29,237,000","-29,647,000","-18,288,000","-26,119,000","-22,924,000","-24,250,000","-21,294,000","-16,310,000","-18,478,000","-17,777,000","-25,198,000","-102,362,000","-12,463,000","-14,717,000","8,069,000","-12,982,000"
		OperatingGainsLosses,,,,,,,"0","0","0","-1,001,000","0","0","0","-1,001,000","707,000","58,000","176,000","-999,000","59,000","73,000"
			GainLossOnSaleOfBusiness,,,,,,,,,"0","-1,001,000",,"0","0","-1,001,000",,"58,000","176,000","-999,000","59,000","73,000"
			GainLossOnInvestmentSecurities,,,,,,,"0","0","0","-1,001,000","0","0","0","-1,001,000","-234,000","58,000","176,000","-999,000","59,000","73,000"
		DepreciationAmortizationDepletion,"41,517,000","9,354,000","10,508,000","10,871,000","10,784,000","10,694,000","11,494,000","11,826,000","12,214,000","12,288,000","12,589,000","11,698,000","10,890,000","9,655,000","13,153,000","11,045,000","10,989,000","11,979,000","11,371,000","10,467,000"
			DepreciationAndAmortization,"41,517,000","9,354,000","10,508,000","10,871,000","10,784,000","10,694,000","11,494,000","11,826,000","12,214,000","12,288,000","12,589,000","11,698,000","10,890,000","9,655,000","13,153,000","11,045,000","10,989,000","11,979,000","11,371,000","10,467,000"
		DeferredTax,"-213,000","217,000","-624,000","96,000","98,000","99,000","206,000","413,000","98,000","97,000","-1,810,000","-1,451,000","-510,000","95,000","-939,000","136,000","152,000","143,000","-19,871,000","1,008,000"
			DeferredIncomeTax,"-213,000","217,000","-624,000","96,000","98,000","99,000","206,000","413,000","98,000","97,000","-1,810,000","-1,451,000","-510,000","95,000","-939,000","136,000","152,000","143,000","-19,871,000","1,008,000"
