name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996
TotalAssets,"2,367,883,000","2,305,880,000","2,316,122,000","2,363,313,000","2,369,442,000","2,295,807,000","2,047,319,000","1,791,564,000","1,783,821,000","1,789,408,000","1,781,196,000","1,784,570,000","1,775,390,000","1,661,029,000","1,645,696,000","336,765,000","331,810,000","321,278,000","328,575,000","318,482,000","313,974,000","298,696,000","286,504,000","277,551,000","277,696,000","248,434,000","230,273,000","336,003,000","327,778,000","307,815,000","295,484,000","282,193,000","277,614,000","254,266,000","240,951,000","229,822,000","216,027,000","227,792,000","231,614,000","220,143,000","224,234,000","231,133,000","224,205,000","217,354,000","237,617,000","412,767,000","443,021,000","442,625,000","437,051,000","385,805,000","354,869,000","313,413,000","303,383,000","324,563,000","328,026,000","301,412,000","297,589,000","343,778,000","335,060,000","319,291,000","303,833,000","270,844,000","262,352,000","242,649,000","240,518,000","225,845,000","224,049,000","209,970,000","228,216,000","210,114,000","204,725,000","199,630,000","205,994,000","182,556,000","175,136,000","157,108,000","156,060,000","140,124,000","135,906,000","118,527,000","122,488,000","110,488,000","109,250,000","96,249,000","137,432,000","119,139,000","119,066,000","107,084,000","111,891,000","98,100,000","99,800,000","92,400,000","100,600,000","97,100,000","97,900,000","86,500,000","88,300,000","78,300,000","77,800,000","68,400,000","54,400,000","47,800,000","47,400,000","29,100,000"
	CurrentAssets,"417,848,000","367,786,000","406,481,000","393,635,000","352,928,000","286,122,000","806,375,000","553,496,000","532,783,000","524,094,000","505,613,000","490,321,000","456,589,000","420,361,000","391,410,000","214,172,000","201,422,000","190,348,000","186,760,000","180,051,000","177,400,000","160,543,000","152,702,000","145,781,000","144,494,000","138,798,000","119,726,000","225,299,000","217,583,000","196,651,000","182,680,000","166,483,000","157,776,000","127,340,000","118,316,000","102,259,000","84,995,000","89,655,000","91,937,000","84,930,000","89,389,000","94,668,000","91,056,000","83,791,000","108,220,000","286,324,000","325,289,000","331,851,000","334,592,000","289,975,000","264,718,000","227,892,000","224,937,000","249,498,000","251,322,000","228,148,000","227,692,000","276,083,000","271,044,000","258,116,000","244,043,000","213,832,000","208,301,000","190,586,000","191,208,000","178,322,000","177,062,000","163,229,000","184,656,000","168,134,000","163,925,000","160,339,000","168,168,000","145,758,000","139,960,000","110,473,000","109,704,000","93,788,000","89,711,000","73,551,000","78,093,000","78,596,000","78,085,000","65,627,000","107,296,000","48,137,000","50,712,000","40,952,000","45,966,000","35,100,000","38,400,000","32,900,000","42,700,000","38,500,000","43,900,000","34,700,000","38,300,000","33,600,000","37,500,000","30,300,000","31,400,000","27,800,000","29,200,000","20,500,000"
		CashCashEquivalentsAndShortTermInvestments,"300,204,000","275,419,000","277,406,000","265,625,000","244,745,000","195,066,000","738,261,000","493,425,000","469,687,000","454,567,000","430,549,000","414,803,000","388,873,000","348,853,000","314,521,000","171,600,000","165,867,000","155,933,000","150,483,000","147,867,000","147,099,000","129,245,000","120,502,000","117,422,000","117,498,000","106,889,000","86,917,000","195,557,000","188,279,000","162,283,000","150,471,000","136,076,000","126,200,000","94,760,000","85,220,000","67,540,000","50,762,000","47,517,000","45,609,000","48,690,000","52,704,000","57,137,000","57,071,000","50,558,000","71,094,000","76,493,000","124,806,000","140,918,000","143,982,000","116,516,000","93,383,000","90,440,000","84,012,000","107,331,000","117,088,000","118,448,000","118,866,000","171,335,000","162,420,000","168,478,000","151,441,000","128,426,000","122,617,000","122,586,000","126,213,000","119,806,000","112,335,000","111,271,000","135,505,000","122,757,000","111,658,000","116,709,000","123,916,000","108,040,000","89,968,000","83,816,000","78,511,000","67,256,000","57,823,000","54,177,000","55,453,000","58,705,000","55,453,000","51,812,000","88,919,000","32,116,000","31,932,000","28,432,000","28,449,000","19,100,000","20,200,000","22,000,000","28,500,000","25,900,000","29,300,000","25,014,000","25,500,000","21,800,000","26,400,000","21,300,000","20,900,000","11,800,000","15,600,000","12,900,000"
			CashAndCashEquivalents,"293,419,000","268,918,000","274,774,000","261,585,000","238,290,000","187,509,000","717,804,000","470,319,000","442,845,000","419,693,000","397,094,000","375,515,000","352,387,000","311,732,000","276,382,000","171,600,000","165,867,000","155,933,000","150,483,000","147,867,000","147,099,000","129,245,000","120,502,000","117,422,000","117,498,000","106,889,000","86,917,000","195,557,000","188,279,000","162,283,000","150,471,000","136,076,000","126,200,000","94,760,000","85,220,000","67,540,000","50,762,000","47,517,000","45,609,000","48,690,000","52,704,000","57,137,000","57,071,000","50,558,000","71,094,000","64,107,000","84,122,000","88,010,000","91,266,000","63,958,000","41,036,000","38,598,000","32,497,000","56,379,000","66,866,000","88,382,000","118,866,000","95,036,000","86,462,000","92,812,000","75,629,000","52,663,000","46,854,000","47,163,000","50,742,000","74,212,000","86,698,000","85,601,000","109,884,000","97,004,000","85,823,000","90,956,000","97,965,000","82,089,000","63,935,000","57,415,000","54,330,000","49,135,000","44,695,000","47,155,000","54,405,000","57,659,000","54,413,000","46,136,000","87,906,000","25,190,000","25,032,000","21,502,000","21,510,000","12,200,000","13,300,000","15,000,000","21,400,000","18,600,000","21,800,000","20,200,000","20,100,000","15,900,000","19,900,000","14,300,000","15,600,000","11,800,000","15,600,000","12,900,000"
			OtherShortTermInvestments,"6,785,000","6,501,000","2,632,000","4,040,000","6,455,000","7,557,000","20,457,000","23,106,000","26,842,000","34,874,000","33,455,000","39,288,000","36,486,000","37,121,000","38,139,000",,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","0","0","0","12,386,000","40,684,000","52,908,000","52,716,000","52,558,000","52,347,000","51,842,000","51,515,000","50,952,000","50,222,000","30,066,000",,"76,299,000","75,958,000","75,666,000","75,812,000","75,763,000","75,763,000","75,423,000","75,471,000","45,594,000","25,637,000","25,670,000","25,621,000","25,753,000","25,835,000","25,753,000","25,951,000","25,951,000","26,033,000","26,401,000","24,181,000","18,121,000","13,128,000","7,022,000","1,048,000","1,046,000","1,040,000","5,676,000","1,013,000","6,926,000","6,900,000","6,930,000","6,939,000","6,900,000","6,900,000","7,000,000","7,100,000","7,300,000","7,500,000","4,814,000","5,400,000","5,900,000","6,500,000","7,000,000","5,300,000",,,
		Receivables,"64,798,000","51,590,000","87,123,000","78,609,000","63,469,000","51,598,000","45,958,000","41,004,000","41,335,000","51,523,000","57,934,000","57,858,000","50,842,000","55,694,000","59,522,000","31,187,000","24,997,000","23,122,000","23,360,000","21,827,000","20,323,000","20,532,000","21,362,000","19,950,000","18,613,000","18,519,000","17,064,000","15,222,000","14,962,000","16,942,000","15,712,000","15,009,000","15,481,000","15,842,000","20,593,000","23,336,000","22,181,000","27,716,000","32,073,000","24,354,000","23,320,000","25,400,000","21,200,000","22,349,000","25,711,000","199,600,000","188,459,000","180,655,000","180,886,000","165,142,000","164,702,000","130,912,000","134,285,000","134,992,000","127,578,000","104,052,000","103,466,000","100,651,000","100,175,000","83,847,000","86,671,000","80,753,000","80,441,000","61,021,000","60,897,000","55,935,000","61,015,000","47,427,000","45,420,000","41,698,000","48,596,000","39,792,000","41,744,000","36,062,000","48,654,000","25,696,000","29,838,000","25,759,000","30,129,000","17,508,000","21,215,000","19,012,000","21,327,000","13,244,000","17,600,000","15,264,000","18,141,000","11,752,000","16,378,000","15,000,000","17,000,000","10,200,000","13,500,000","11,800,000","13,900,000","8,800,000","11,700,000","10,100,000","10,200,000","7,600,000","9,500,000","8,900,000","6,500,000","5,500,000"
			AccountsReceivable,"64,798,000","51,277,000","87,123,000","78,609,000","63,469,000","50,169,000","45,958,000","41,004,000","41,335,000","51,523,000","50,964,000","47,340,000","50,842,000","55,694,000","52,527,000","25,595,000","24,997,000","23,122,000","20,626,000","20,342,000","20,323,000","20,532,000","18,925,000","19,053,000","18,613,000","18,519,000","17,064,000","15,222,000","14,962,000","16,942,000","15,712,000","15,009,000","15,481,000","15,842,000","19,686,000","23,336,000","22,181,000","23,262,000","24,109,000","24,218,000","23,320,000","25,006,000","21,200,000","22,349,000","25,711,000","199,600,000","181,695,000",,,"165,142,000","157,877,000","130,912,000","134,285,000","131,458,000","127,120,000","102,406,000","103,466,000","100,651,000","97,820,000","83,847,000","86,671,000","80,753,000","75,884,000","61,021,000",,,,"47,421,000",,,,,,,,,,,"27,635,000","17,508,000","21,215,000","19,012,000","21,327,000","13,244,000","17,600,000","15,264,000","18,141,000","11,752,000","16,378,000","15,000,000","17,000,000","10,200,000","13,500,000","11,800,000","13,900,000","8,800,000","11,700,000","10,100,000","10,200,000","7,600,000","9,500,000",,,
				GrossAccountsReceivable,"109,690,000","100,060,000","136,401,000","128,200,000","112,648,000","99,942,000","90,815,000","83,960,000","79,429,000","82,454,000","82,494,000","78,073,000","80,229,000","84,151,000","77,922,000","40,643,000","38,772,000","35,809,000","33,183,000","32,102,000","31,143,000","30,733,000","28,719,000","29,034,000","28,839,000","28,543,000","26,840,000","23,955,000","23,650,000","25,777,000","24,279,000","24,153,000","26,323,000","26,145,000","25,505,000","29,113,000","28,657,000","29,858,000","31,388,000","31,497,000","31,428,000","32,941,000","29,135,000","30,284,000","32,494,000","207,535,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-44,892,000","-48,783,000","-49,278,000","-49,591,000","-49,179,000","-49,773,000","-44,857,000","-42,956,000","-38,094,000","-30,931,000","-31,530,000","-30,733,000","-29,387,000","-28,457,000","-25,395,000","-15,048,000","-13,775,000","-12,687,000","-12,557,000","-11,760,000","-10,820,000","-10,201,000","-9,794,000","-9,981,000","-10,226,000","-10,024,000","-9,776,000","-8,733,000","-8,688,000","-8,835,000","-8,567,000","-9,144,000","-10,842,000","-10,303,000","-5,819,000","-5,777,000","-6,476,000","-6,596,000","-7,279,000","-7,279,000","-8,108,000","-7,935,000","-7,935,000","-7,935,000","-6,783,000","-7,935,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
