name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
				BuildingsAndImprovements,"2,694,128,000","2,667,024,000","2,559,791,000","2,475,264,000","2,602,661,000","2,724,277,000","2,778,571,000","2,766,924,000","2,759,936,000","2,751,590,000","2,723,453,000","2,715,856,000","2,698,771,000","2,682,320,000","2,555,547,000","2,538,664,000","2,515,520,000","2,414,216,000","2,404,426,000","2,438,245,000","2,415,647,000","2,355,871,000","2,337,446,000","2,330,974,000","2,551,511,000","2,538,719,000","2,532,599,000","2,526,698,000","2,475,699,000","2,427,274,000","2,417,166,000","2,312,806,000","2,324,241,000","2,321,666,000","2,369,198,000","2,365,665,000","2,362,079,000","2,360,648,000","2,364,250,000","2,024,422,000","2,022,057,000","2,001,762,000","2,235,044,000","2,199,046,000","1,904,417,000","1,903,782,000","1,901,344,000","1,811,002,000","1,672,787,000",,"1,668,101,000","1,664,897,000","1,661,710,000","1,658,227,000","1,653,896,000","1,654,027,000","1,630,988,000","1,630,793,000","1,652,615,000","1,650,445,000","1,667,913,000","1,380,737,000","1,090,325,740","1,089,061,333","1,037,348,833","689,789,027","634,507,567",,"283,248,843"
				MachineryFurnitureEquipment,"506,264,000","501,505,000","484,763,000","472,320,000","472,685,000","539,729,000","541,810,000","536,348,000","538,974,000","534,802,000","517,007,000","507,282,000","502,265,000","491,421,000","469,141,000","458,667,000","448,983,000","423,987,000","424,669,000","468,078,000","475,163,000","428,991,000","424,393,000","417,222,000","480,969,000","458,577,000","452,464,000","450,601,000","441,016,000","430,873,000","455,148,000","442,224,000","452,167,000","420,367,000","407,422,000","384,973,000","344,265,000","340,462,000","336,248,000","327,197,000","321,137,000","336,034,000","367,926,000","351,641,000","321,017,000","315,368,000","308,622,000","297,722,000","274,204,000",,"267,183,000","265,967,000","262,122,000","260,805,000","248,072,000","241,661,000","253,223,000","228,556,000","209,821,000","199,992,000","191,921,000","157,521,000","115,957,746","105,046,839","93,981,269","78,460,907","58,885,528","355,586,800","27,210,058"
				OtherProperties,"97,067,000","100,212,000","100,499,000","99,982,000","96,376,000","96,673,000","96,956,000","97,242,000","97,538,000","98,145,000","98,496,000","98,833,000","99,316,000","2,944,617,000",,"2,806,510,000",,"2,692,286,000",,"2,739,193,000",,"2,646,676,000",,,,"2,882,176,000","2,885,190,000",,,"2,764,393,000","2,722,993,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"15,372,000","14,485,000","15,809,000","11,276,000","20,660,000","37,481,000","166,751,000","171,205,000","163,828,000","126,464,000","123,286,000","82,536,000","38,112,000","38,623,000","18,673,000","23,228,000","34,424,000","31,906,000","13,459,000","7,180,000","11,437,000","35,253,000","29,905,000","19,191,000","18,135,000","25,016,000","15,272,000","8,883,000","12,679,000","13,784,000","11,967,000","10,686,000","9,394,000","23,104,000","20,566,000","13,129,000","36,505,000","19,873,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,113,078,000","-1,086,364,000","-1,060,553,000","-1,034,941,000","-1,010,193,000","-1,110,335,000","-1,099,347,000","-1,070,776,000","-1,041,933,000","-1,011,776,000","-981,412,000","-951,877,000","-922,487,000","-893,436,000","-866,161,000","-839,738,000","-813,650,000","-788,696,000","-765,213,000","-785,183,000","-759,582,000","-735,202,000","-711,473,000","-687,852,000","-751,606,000","-726,468,000","-701,477,000","-676,131,000","-650,119,000","-624,370,000","-648,657,000","-623,339,000","-625,692,000","-600,555,000","-599,343,000","-573,332,000","-546,390,000","-519,721,000","-482,641,000","-474,302,000","-453,882,000","-433,178,000","-462,986,000","-439,324,000","-417,981,000","-396,686,000","-367,890,000","-347,336,000","-328,210,000","-309,224,000","-283,797,000","-264,946,000","-245,145,000","-226,400,000","-201,214,000","-182,922,000","-164,820,000","-148,101,000","-126,620,000","-109,095,000","-91,422,000","-75,322,000","-56,830,201","-43,995,609","-37,832,310","-28,747,457","-17,300,783","-9,821,511","-5,447,013"
		GoodwillAndOtherIntangibleAssets,,,,,,,,,,"0","0","0","0","63,945,000","46,216,000","46,395,000","46,731,000","26,690,000","26,795,000","26,902,000","26,508,000","18,013,000","18,076,000","18,138,000","23,866,000","23,955,000","24,057,000","24,171,000","33,338,000","34,274,000","34,425,000","34,576,000","39,677,000","39,936,000","40,194,000","40,452,000","40,711,000","40,972,000","40,746,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,,,,,,,,,,,,,,"63,945,000","46,216,000","46,395,000","46,731,000","26,690,000","26,795,000","26,902,000","26,508,000","18,013,000","18,076,000","18,138,000","23,866,000","23,955,000","24,057,000","24,171,000","33,338,000","34,274,000","34,425,000","34,576,000","39,677,000","39,936,000","40,194,000","40,452,000","40,711,000","40,972,000","40,746,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"8,627,000","7,574,000","7,751,000","7,738,000","8,023,000","8,622,000","6,310,000","6,910,000","7,702,000","7,947,000","8,719,000","9,481,000","9,724,000","8,261,000","8,975,000","9,697,000",,"6,720,000","6,935,000","5,099,000",,"6,040,000","3,365,000","3,549,000",,"3,788,000","2,949,000","3,142,000",,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,970,000",,,,,,"43,954,000","45,022,000",,"45,730,000","46,090,000","46,570,000","47,005,000","14,640,000","13,824,000","13,676,800","13,954,596",,,,,
TotalLiabilitiesNetMinorityInterest,"1,560,307,000","1,444,342,000","1,347,378,000","1,342,658,000","1,448,846,000","1,427,848,000","1,511,934,000","1,531,702,000","1,794,444,000","1,504,704,000","1,504,841,000","1,469,648,000","1,410,941,000","1,306,987,000","1,262,113,000","1,251,143,000","1,283,997,000","1,267,213,000","1,267,309,000","1,262,269,000","1,247,451,000","1,232,676,000","1,234,071,000","1,239,232,000","1,338,694,000","1,495,852,000","1,367,594,000","1,405,196,000","1,325,977,000","1,329,364,000","1,403,478,000","1,394,603,000","1,353,127,000","1,367,081,000","1,330,468,000","1,330,920,000","1,341,618,000","1,248,929,000","1,271,840,000","1,130,077,000","1,141,148,000","1,296,478,000","1,328,047,000","1,278,365,000","1,012,231,000","1,001,092,000","1,011,802,000","1,000,092,000","987,805,000","1,039,985,000","1,007,677,000","1,009,436,000","1,067,686,000","1,084,904,000","1,117,772,000","1,080,357,000","1,068,358,000","1,051,345,000","1,069,829,000","1,068,890,000","1,054,009,000","1,034,037,000","831,956,329","835,490,183","911,920,531","502,623,854","420,636,849","181,236,102","240,920,410"
	CurrentLiabilities,"477,581,000","358,514,000","256,651,000","249,931,000","253,593,000","274,176,000","307,516,000","275,828,000","279,613,000","310,980,000","308,216,000","290,565,000","274,233,000","329,021,000","330,476,000","316,621,000","346,395,000","329,421,000","326,504,000","318,549,000","329,442,000","312,137,000","311,109,000","313,938,000","313,168,000","318,156,000","311,396,000","307,870,000","291,317,000","291,034,000","278,169,000","268,871,000","264,868,000","275,220,000","270,169,000","266,846,000","263,957,000","260,198,000","148,336,000","123,995,000","131,889,000","147,038,000","147,453,000","138,784,000","130,776,000","117,400,000","229,146,000","216,248,000","202,542,000","108,951,000","186,824,000","190,051,000","195,334,000","122,148,000","134,276,000","225,240,000","144,786,000","140,696,000","119,196,000","113,352,000","189,636,000","102,423,000","78,766,004","81,226,232","161,094,742","71,446,797","54,623,672","21,926,876","16,826,161"
		PayablesAndAccruedExpenses,"144,210,000","136,731,000","126,788,000","119,573,000","120,873,000","142,090,000","176,637,000","144,086,000","148,464,000","180,204,000","177,758,000","160,538,000","144,823,000","150,412,000","152,704,000","140,133,000","155,200,000","157,766,000","153,217,000","144,258,000","155,925,000","138,915,000","138,183,000","140,143,000","144,916,000","219,931,000","215,539,000","211,230,000","193,922,000","193,253,000","178,591,000","168,552,000","163,808,000","173,420,000","167,636,000","163,575,000","160,287,000","155,793,000","146,601,000","123,995,000","131,889,000","143,233,000","147,453,000","138,784,000","130,776,000","117,400,000","125,592,000","114,855,000","100,622,000","108,951,000","83,674,000","86,374,000","91,130,000","66,624,000","54,909,000","59,309,000","61,831,000","64,980,000","45,345,000","41,174,000","34,856,000","42,512,000","31,437,386","30,120,132","24,484,030","24,064,047","12,270,323","7,668,851","4,198,601"
			Payables,"144,210,000","136,731,000","126,788,000","119,573,000","120,873,000","142,090,000","176,637,000","144,086,000","148,464,000","180,204,000","177,758,000","160,538,000","144,823,000","150,412,000","152,704,000","140,133,000","155,200,000","157,766,000","153,217,000","144,258,000","155,925,000","138,915,000","138,183,000","140,143,000","144,916,000","219,931,000","215,539,000","211,230,000","193,922,000","193,253,000","178,591,000","168,552,000","163,808,000","173,420,000","167,636,000","163,575,000","160,287,000","155,793,000","146,601,000","123,995,000","131,889,000","143,233,000","147,453,000","138,784,000","130,776,000","117,400,000","125,592,000","114,855,000","100,622,000","108,951,000","83,674,000","86,374,000","91,130,000","66,624,000","54,909,000","59,309,000","61,831,000","64,980,000","45,345,000","41,174,000","34,856,000","42,512,000","31,437,386","30,120,132","24,484,030","24,064,047","12,270,323","7,668,851","4,198,601"
				AccountsPayable,"144,210,000","51,238,000","126,788,000","119,573,000","120,873,000","141,952,000","176,499,000","143,948,000","148,321,000","154,389,000","151,987,000","134,871,000","119,089,000","124,073,000","126,056,000","113,572,000","55,441,000","132,058,000","127,590,000","118,710,000","130,461,000","113,348,000","114,597,000","114,560,000","119,427,000","194,332,000","189,999,000","185,751,000","168,508,000","172,331,000","158,139,000","148,157,000","143,478,000","156,439,000","150,630,000","146,656,000","143,425,000","139,882,000","81,615,000","79,791,000","76,549,000","87,963,000","91,397,000","87,827,000","117,254,000","117,400,000","125,592,000","114,855,000","100,622,000",,,,,"66,624,000","54,909,000","59,309,000","61,831,000","64,980,000","45,345,000","41,174,000","34,856,000","42,512,000","31,437,386","30,120,132","24,484,030","24,064,047","12,270,323","7,668,851","4,198,601"
				DividendsPayable,,,,,,"138,000","138,000","138,000","143,000","25,815,000","25,771,000","25,667,000","25,734,000","26,339,000","26,648,000","26,561,000","25,605,000","25,708,000","25,627,000","25,548,000","25,464,000","25,567,000","23,586,000","25,583,000","25,489,000","25,599,000","25,540,000","25,479,000","25,414,000","20,922,000","20,452,000","20,395,000","20,330,000","16,981,000","17,006,000","16,919,000","16,862,000","15,911,000","15,871,000","155,000","13,600,000","13,594,000","13,569,000","13,549,000","13,522,000","0","0","0","0",,,,,,,,,,,,,,,,,,,,
				DuetoRelatedPartiesCurrent,,"85,493,000",,,,,,,,,,,,,,,"74,154,000",,,,,,,,,,,,,,,,,,,,,,"49,115,000","44,049,000","41,740,000","41,676,000","42,487,000","37,408,000",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"200,000,000","90,000,000",,,"100,000,000","55,000,000","99,985,000","148,985,000","400,000,000","75,000,000","75,000,000","105,000,000","60,000,000","348,219,000","298,498,000","298,383,000","298,268,000","298,153,000","298,037,000","297,922,000",,,,,"60,000,000",,"25,000,000","90,000,000",,,,"41,320,000",,,,,"10,000,000","20,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDebt,"200,000,000","90,000,000",,,"100,000,000","55,000,000","99,985,000","148,985,000","400,000,000","75,000,000","75,000,000","105,000,000","60,000,000","348,219,000","298,498,000","298,383,000","298,268,000","298,153,000","298,037,000","297,922,000",,,,,"60,000,000",,"25,000,000","90,000,000",,,,"41,320,000",,,,,"10,000,000","20,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LineOfCredit,"200,000,000","90,000,000","0","0","100,000,000","55,000,000","99,985,000","148,985,000","400,000,000","75,000,000","75,000,000","105,000,000","60,000,000","348,219,000","298,498,000","298,383,000","298,268,000","298,153,000","298,037,000","297,922,000","0","0",,"0","60,000,000",,"25,000,000","90,000,000","0","0","0","41,320,000","0","0","0","0","10,000,000","20,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
