name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
OperatingCashFlow,"-23,132,000","-9,834,000","-1,368,000","-14,051,000","2,121,000","17,778,000","19,842,000","14,703,000","11,253,000","10,181,000","11,574,000","12,214,000","3,809,000","8,022,000","16,235,000","11,832,000","6,999,000","1,724,000","6,122,000","9,599,000","6,977,000","3,013,000","13,184,000","4,429,000","8,046,000","1,786,000","12,970,000","13,186,000","9,914,000","6,122,000","11,412,000","8,603,000","2,964,000","295,000","4,800,941","8,294,286","-3,440,227","-2,637,000","9,748,496","6,000,047"
	CashFlowFromContinuingOperatingActivities,"-23,132,000","-9,834,000","-1,368,000","-14,051,000","2,121,000","17,778,000","19,842,000","14,703,000","11,253,000","10,181,000","11,574,000","12,214,000","3,809,000","8,022,000","16,235,000","11,832,000","6,999,000","1,724,000","6,122,000","9,599,000","6,977,000","3,013,000","13,184,000","4,429,000","8,046,000","1,786,000","12,970,000","13,186,000","9,914,000","6,122,000","11,412,000","8,603,000","2,964,000","295,000","4,800,941","8,294,286","-3,440,227","-2,637,000","9,748,496","6,000,047"
		NetIncomeFromContinuingOperations,"-35,578,000","-13,228,000","-1,208,000","-14,801,000","-6,341,000","33,381,000","8,793,000","5,217,000","-6,605,000","-9,543,000","3,779,000","-3,169,000","-2,348,000","-1,733,000","2,922,000","-1,054,000","-5,106,000","-7,559,000","-22,044,000","682,000","5,181,000","2,745,000","5,922,000","4,349,000","5,029,000","2,700,000","4,934,000","2,911,000","3,432,000","2,462,000","4,327,000","664,000","5,318,000","248,000","2,086,539","-4,675,488","-1,183,051","-525,000","6,550,080","955,690"
		OperatingGainsLosses,"19,702,000","4,772,000","3,139,000","3,222,000","8,569,000","-32,609,000","3,852,000","987,000","10,400,000","7,019,000","6,185,000","6,865,000","9,823,000","7,376,000","7,933,000","8,652,000","8,791,000","9,792,000","9,410,000","2,450,000","2,000","0","0","-9,000","16,000","-1,000","2,000","0","34,000","-3,000","0","1,172,000","16,000","-2,000","131,877","1,648,546","42,577","25,000","49,000","0"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,"39,000","0","5,000","-5,000","-35,000","-3,000","-25,000","0","2,000","0",,,"16,000","-1,000","2,000","0","34,000","-3,000","0",,"16,000","-2,000","131,423","0","42,577","24,535","49,000","0"
			EarningsLossesFromEquityInvestments,"19,702,000","4,772,000","3,139,000","3,222,000","8,569,000","-32,609,000","4,062,000","988,000","10,189,000","7,019,000","6,223,000","6,888,000","9,784,000","7,376,000","7,928,000","8,657,000","8,826,000","9,795,000","9,435,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"46,399,000","11,512,000","12,043,000","14,686,000","8,158,000","6,473,000","7,564,000","6,342,000","8,404,000","6,557,000","6,822,000","6,041,000","6,363,000","7,441,000","7,593,000","7,443,000","7,067,000","6,487,000","6,239,000","6,814,000","7,403,000","7,578,000","7,280,000","7,103,000","7,010,000","7,397,000","7,562,000","7,132,000","6,977,000","7,250,000","7,359,000","7,276,000","7,265,000","5,022,000","4,996,572","5,863,784","4,472,644","2,751,000","2,791,933","2,905,647"
			DepreciationAndAmortization,"46,399,000","11,512,000","12,043,000","14,686,000","8,158,000","6,473,000","7,564,000","6,342,000","8,404,000","6,557,000","6,822,000","6,041,000","6,363,000","7,441,000","7,593,000","7,443,000","7,067,000","6,487,000","6,239,000","6,814,000","7,403,000","7,578,000","7,280,000","7,103,000","7,010,000","7,397,000","7,562,000","7,132,000","6,977,000","7,250,000","7,359,000","7,276,000","7,265,000","5,022,000","4,996,572","5,863,784","4,472,644","2,751,000","2,791,933","2,905,647"
				Depreciation,"31,080,000","7,800,000","7,786,000","11,001,000","4,493,000","2,785,000","2,969,000","2,880,000","2,931,000","3,246,000","3,458,000","2,710,000","2,666,000","4,185,000","4,041,000","4,023,000","4,020,000","3,997,000","4,005,000","4,041,000","4,067,000","4,115,000","4,108,000","4,083,000","4,061,000","4,356,000","4,289,000","4,283,000","4,265,000","4,381,000","4,475,000","4,667,000","4,832,000","2,578,000","2,584,610","3,318,353","1,849,037","1,010,000","980,823","919,788"
				AmortizationCashFlow,"15,319,000","3,712,000","4,257,000","3,685,000","3,665,000","3,688,000","4,595,000","3,462,000","5,473,000","3,311,000","3,364,000","3,331,000","3,697,000","3,256,000","3,552,000","3,420,000","3,047,000","2,490,000","2,234,000","2,773,000","3,336,000","3,463,000","3,172,000","3,020,000","2,949,000","3,041,000","3,273,000","2,849,000","2,712,000","2,869,000","2,884,000","2,609,000","2,433,000","2,444,000","2,411,962","2,545,431","2,623,607","1,741,000","1,811,110","1,985,859"
