name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalAssets,"1,246,022,000","1,517,808,419","1,295,092,036","1,168,985,978","1,215,838,090","1,153,835,369","1,114,352,881","1,391,244,384","1,387,117,808","1,418,050,163","1,285,838,013","1,304,174,274","1,282,187,973","1,221,766,808","1,160,118,827","1,141,381,765","1,153,547,187","1,184,193,090","1,202,195,841","1,227,648,953","1,285,573,265","1,385,612,403","1,238,935,878","1,285,415,422","1,275,926,604","1,299,519,528","1,368,778,273","1,404,885,240","1,389,272,799","1,421,165,067","1,411,827,197","1,290,174,604","1,331,424,359","1,255,432,535","1,153,327,092","1,101,994,293","1,152,276,946","1,112,149,580","1,018,967,531","992,159,718","935,905,429","867,443,519","928,738,214","817,592,955","774,913,453","717,319,253","711,493,846","637,038,519","602,385,911","526,897,794","512,381,369","401,103,013","401,248,407","336,482,292","419,810,699","432,286,051","423,699,666","429,678,981","555,007,676","581,223,084","244,776,478"
	CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,487,821","63,052,820","47,052,138","57,009,062","101,189,699","38,648,997","16,263,221","13,050,843","46,769,440","13,860,921","14,688,559","13,756,468","42,621,296","7,964,782","37,751,201","7,668,917","47,662,879","46,579,248",,,,"306,179,392","8,842,139"
		CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,559,453","9,316,015","26,964,225","42,075,768","71,604,519","28,808,966","1,546,429","3,022,137","1,814,451","1,303,502","934,570","7,051,165","33,247,666","541,136","29,906,268","601,540","40,249,201","41,030,236","417,133,784","423,971,302","291,016,608","288,104,949","1,687,267"
			CashAndCashEquivalents,"26,251,000","39,581,423","20,357,016","14,212,253","33,855,496","20,157,299","25,806,002","51,565,044","25,127,515","32,107,649","59,516,236","21,744,836","30,307,029","24,653,889","19,506,154","107,091,091","170,219,549","72,832,675","38,202,068","103,196,132","66,565,207","45,340,576","75,608,113","37,872,854","33,195,129","26,254,919","49,619,256","83,328,972","62,823,624","54,329,248","66,518,682","64,390,787","56,302,305","30,803,635","58,440,829","16,322,503","17,333,318","31,291,517","7,559,453","9,316,015","26,964,225","42,075,768","71,604,519","28,808,966","1,546,429","3,022,137","1,814,451","1,303,502","934,570","7,051,165","33,247,666","541,136","29,906,268","601,540","40,249,201","41,030,236","81,249,903","81,780,690","257,959,635","288,104,949","1,687,267"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,322,503","17,333,318","31,291,517","7,559,453","9,316,015","26,964,225",,"71,604,519","28,808,966",,,"1,814,451",,,,"33,247,666",,,,"40,249,201",,"81,249,903","81,780,690","257,959,635",,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"335,883,881","342,190,612","291,016,608",,
		Receivables,"5,814,000","32,837,254","19,445,186","6,575,211","6,368,119","6,210,432","6,399,431","5,230,894","6,872,137","6,055,204","6,226,539","7,219,742","6,937,338","5,506,564","7,606,964","7,967,079","33,102,424","7,759,810","5,906,976","20,378,264","22,253,296","12,749,323","7,032,858","7,396,797","7,407,261","7,003,999","7,590,197","13,851,364","12,715,483","12,594,493","13,703,525","14,000,558","11,498,342","8,685,856","10,894,893","13,175,682","14,621,482","10,815,263","15,807,066","48,349,947","15,192,900","9,400,881","23,997,203","6,258,266","11,576,869","7,357,002","43,068,870","10,906,095","12,965,743","5,760,020","8,265,063","6,151,703","6,734,435","5,830,272","6,046,199","4,024,013","5,070,891","4,263,953","4,517,850","16,605,189","7,154,872"
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"878,204","36,984,788","4,179,031",,"13,118,967",,,,,,,,"2,726,007",,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,928,862","11,365,159","11,013,869",,"10,878,236","6,258,266",,,,,,,"5,539,056",,,,,,"5,070,891","4,263,953","4,517,850",,
		PrepaidAssets,,,"0","0","376,932","376,573","376,030","1,099,585","1,071,214","1,034,351","662,442","373,782","271,393","152,544","920,235","1,578,759","2,285,185","2,979,549","4,509,289","5,150,297","2,275,115","1,978,725","2,615,232","3,564,680","3,825,834","4,376,249",,,,,,,,"6,661,622","5,815,817","6,231,236","5,444,939","5,635,205","5,121,302","5,386,858","4,895,013","5,532,413","5,587,977","3,581,765","3,139,923","2,671,704","1,886,119","1,651,324","788,246","945,283","1,108,567","1,271,943","1,110,498","1,237,105","1,367,479","1,524,999","1,494,991","1,443,726","1,513,583","1,469,254",
