name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"1,284,038,000","324,764,000","321,645,000","326,589,000","311,040,000","341,173,000","363,918,000","364,455,000","360,712,000","359,183,000","358,025,000","340,340,000","321,479,000","307,050,000","307,216,000","308,616,000","255,993,000","263,852,000","278,312,000","278,315,000","272,796,000","273,501,000","289,904,000","294,620,000","286,738,000","272,109,000","243,639,000","234,321,000","228,127,000","220,522,000","217,858,000","216,915,000","212,981,000","211,496,000","214,722,000","211,866,000","223,806,000","227,972,000","244,825,000","238,468,000","232,132,000","230,281,000","216,406,000","214,048,000","225,777,000","238,882,000","245,317,000","242,173,000","231,484,000","232,970,000","264,810,000","293,603,000","306,894,000","310,643,000","301,768,000","305,913,000","310,306,000","305,693,000","300,735,000","285,965,000","276,530,000","264,414,000","259,735,000","243,935,000","236,406,000","238,781,000","241,759,000","241,359,000","221,254,000","205,898,000","208,011,000","205,189,000","213,084,000","227,132,000","292,341,000","184,746,000","178,042,000","169,958,000","173,833,000","173,235,000","182,381,000","181,620,000","182,332,000","181,167,000","180,864,000","171,414,000","237,125,000","173,100,000","168,287,000","163,507,000","175,898,000","147,100,000","142,300,000","134,900,000","152,827,000","129,100,000","122,700,000","117,200,000"
	OperatingRevenue,"1,284,038,000","324,764,000","321,645,000","326,589,000","311,040,000","341,173,000","363,918,000","364,455,000","360,712,000","359,183,000","358,025,000","340,340,000","321,479,000","307,050,000","307,216,000","308,616,000","255,993,000","263,852,000","279,582,000","277,907,000","272,365,000","273,071,000","289,331,000","293,564,000","285,737,000","271,218,000","242,897,000","233,371,000","227,065,000","219,363,000","216,575,000","215,579,000","211,738,000","210,600,000","213,804,000","209,697,000","222,624,000","226,923,000","241,384,000","238,468,000","232,132,000","230,281,000","216,406,000","214,048,000","225,777,000","238,882,000","245,317,000","242,173,000","231,484,000","232,970,000","264,810,000","293,603,000","306,894,000","310,643,000","301,768,000","305,913,000","310,306,000","305,693,000","300,735,000","285,965,000","276,530,000","264,414,000","259,735,000","243,935,000","236,406,000","238,781,000","241,759,000","241,359,000","221,254,000","205,898,000","208,011,000","205,189,000","213,084,000","227,132,000","292,341,000","184,746,000","178,042,000","169,958,000","173,833,000","173,235,000","182,381,000","181,620,000","182,332,000","181,167,000","180,864,000","171,414,000","237,125,000","173,100,000","168,287,000","163,507,000","175,898,000","147,100,000","142,300,000","134,900,000","152,827,000","129,100,000","122,700,000","117,200,000"
CostOfRevenue,"522,837,000","133,965,000","124,107,000","131,996,000","132,769,000","143,620,000","138,296,000","126,186,000","123,583,000","115,335,000","111,435,000","112,247,000","107,248,000","111,216,000","99,152,000","103,092,000","74,147,000","78,374,000","71,989,000","72,454,000","71,370,000","73,402,000","68,740,000","75,731,000","75,225,000","76,770,000","68,870,000","70,624,000","70,940,000","76,498,000","72,161,000","70,724,000","70,693,000","71,759,000","68,725,000","65,620,000","67,855,000","66,937,000","65,278,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"761,201,000","190,799,000","197,538,000","194,593,000","178,271,000","197,553,000","225,622,000","238,269,000","237,129,000","243,848,000","246,590,000","228,093,000","214,231,000","195,834,000","208,064,000","205,524,000","181,846,000","185,478,000","206,323,000","205,861,000","201,426,000","200,099,000","221,164,000","218,889,000","211,513,000","195,339,000","174,769,000","163,697,000","157,187,000","144,024,000","145,697,000","146,191,000","142,288,000","139,737,000","145,997,000","146,246,000","155,951,000","161,035,000","179,546,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"408,458,000","106,850,000","108,955,000","96,191,000","96,462,000","100,075,000","110,847,000","124,888,000","139,878,000","151,104,000","143,799,000","138,786,000","129,291,000","124,945,000","120,110,000","123,626,000","101,089,000","105,807,000","115,489,000","117,171,000","117,215,000","122,326,000","136,342,000","130,253,000","123,843,000","120,784,000","97,884,000","89,453,000","87,908,000","84,986,000","84,063,000","85,363,000","83,446,000","83,092,000","86,239,000","88,488,000","89,923,000","92,836,000","96,354,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"373,548,000","97,373,000","98,723,000","88,656,000","88,794,000","91,979,000","103,727,000","117,966,000","131,597,000","144,249,000","140,557,000","131,228,000","124,614,000","120,312,000","115,655,000","116,357,000","100,600,000","104,152,000","111,933,000","112,289,000","114,157,000","118,505,000","131,651,000","127,059,000","120,422,000","118,363,000","93,436,000","86,375,000","82,069,000","81,330,000","77,447,000","79,025,000","77,441,000","76,558,000","80,378,000","81,026,000","83,201,000","86,247,000","-102,686,000","140,525,000","157,019,000","148,055,000","148,216,000","140,530,000","140,660,000","166,452,000","152,796,000","156,207,000","129,795,000","149,604,000","165,721,000","185,136,000","205,433,000","216,727,000","200,884,000","196,113,000","201,331,000","111,302,000","99,766,000","94,405,000","91,529,000","83,098,000","78,158,000","75,822,000","74,107,000","73,904,000","69,507,000","70,312,000","56,742,000","41,574,000","40,734,000","40,991,000","44,821,000","45,303,000","123,500,000","16,630,000","18,881,000","17,529,000","19,726,000","19,197,000","18,492,000","17,904,000","17,627,000","16,803,000","18,034,000","15,815,000","19,985,000","15,079,000","15,639,000","67,155,000","-131,368,000","63,200,000","61,700,000","61,700,000","-129,658,000","59,500,000","57,800,000","58,600,000"
		GeneralAndAdministrativeExpense,"186,983,000","46,079,000","49,336,000","45,510,000","46,056,000","44,766,000","39,456,000","41,319,000","39,494,000","43,094,000","42,822,000","39,044,000","37,917,000","38,490,000","36,999,000","39,702,000","27,917,000","28,426,000","28,755,000","25,106,000","23,888,000","25,191,000","26,094,000","24,948,000","21,743,000","26,540,000","23,722,000","24,242,000","24,507,000","24,364,000","23,805,000","25,605,000","25,226,000","24,561,000","26,815,000","26,000,000","25,456,000","24,585,000","-171,574,000","72,820,000","91,375,000","83,434,000","85,952,000","82,203,000","80,021,000","98,598,000","81,024,000","84,683,000","64,416,000","88,958,000","86,471,000","87,155,000","88,236,000","91,771,000","82,042,000","85,584,000","86,869,000","107,626,000","96,078,000","90,839,000","87,288,000","80,202,000","74,413,000","72,172,000","70,313,000","69,952,000","66,476,000","65,538,000","52,320,000","38,354,000","37,063,000","37,336,000","40,544,000","41,499,000",,,,,,,,,,,,,,,,,,,,,,,,"47,200,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,131,000","65,215,000","64,065,000","60,620,000","57,930,000","62,493,000","64,396,000","56,384,000","61,387,000","60,686,000","64,396,000","62,360,000","62,232,000","63,609,000","66,227,000","56,219,000","60,482,000","59,022,000","61,463,000","71,212,000","52,139,000","51,552,000","54,185,000","49,626,000","48,099,000","44,780,000","49,576,000","42,461,000","45,642,000","44,005,000","44,409,000","41,633,000","42,088,000","41,852,000","49,553,000","46,221,000","47,718,000","46,492,000",,,,,,,,,,,,,,,,,,,,,"37,500,000"
			OtherGandA,"186,983,000","46,079,000","49,336,000","45,510,000","46,056,000","44,766,000","39,456,000","41,319,000","39,494,000","43,094,000","42,822,000","39,044,000","37,917,000","38,490,000","36,999,000","39,702,000","27,917,000","28,426,000","28,755,000","25,106,000","23,888,000","25,191,000","26,094,000","24,948,000","21,743,000","26,540,000","23,722,000","24,242,000","24,507,000","24,364,000","23,805,000","25,605,000","25,226,000","24,561,000","26,815,000","26,000,000","25,456,000","24,585,000","22,837,000","7,689,000","26,160,000","19,369,000","25,332,000","24,273,000","17,528,000","34,202,000","24,640,000","23,296,000","3,730,000","24,562,000","24,111,000","24,923,000","24,627,000","25,544,000","25,823,000","25,102,000","27,847,000","46,163,000","24,866,000","38,700,000","35,736,000","26,017,000","24,787,000","24,073,000","25,533,000","20,376,000","24,015,000","19,896,000","8,315,000","-6,055,000","-4,570,000","-4,752,000","-1,308,000","-8,054,000","109,872,000","-47,718,000","-46,492,000",,,,,,,,,,,,,,,,,,,,,"9,700,000"
		SellingAndMarketingExpense,"186,565,000","51,294,000","49,387,000","43,146,000","42,738,000","47,213,000","64,271,000","76,647,000","92,103,000","101,155,000","97,735,000","92,184,000","86,697,000","81,822,000","78,656,000","76,655,000","72,683,000","75,726,000","83,178,000","87,183,000","90,269,000","93,314,000","105,557,000","102,111,000","98,679,000","91,823,000","69,714,000","62,133,000","57,562,000","56,966,000","53,642,000","53,420,000","52,215,000","51,997,000","53,563,000","55,026,000","57,745,000","61,662,000","68,888,000","67,705,000","65,644,000","64,621,000","62,264,000","58,327,000","60,639,000","67,854,000","71,772,000","71,524,000","65,379,000","60,646,000","79,250,000","97,981,000","117,197,000","124,956,000","118,842,000","110,529,000","114,462,000","3,676,000","3,688,000","3,566,000","4,241,000","2,896,000","3,745,000","3,650,000","3,794,000","3,952,000","3,031,000","4,774,000","4,422,000","3,220,000","3,671,000","3,655,000","4,277,000","3,804,000","-32,593,000","16,630,000","18,881,000","17,529,000","19,726,000","19,197,000","18,492,000","17,904,000","17,627,000","16,803,000","18,034,000","15,815,000","19,985,000","15,079,000","15,639,000",,,,,,,,,"11,400,000"
