name,03/31/2022,12/31/2021,09/30/2021,12/31/2020
TotalAssets,"1,057,484,000","980,847,000","955,377,000","187,869,000"
	CurrentAssets,"746,182,000","774,764,000","855,016,000","93,114,000"
		CashCashEquivalentsAndShortTermInvestments,"603,144,000","690,959,000","792,660,000","52,792,000"
			CashAndCashEquivalents,"603,144,000","690,959,000","792,660,000","52,792,000"
		Receivables,"42,478,000","19,010,000","13,409,000","10,645,000"
			AccountsReceivable,"32,990,000","13,957,000","13,336,000","2,730,000"
			OtherReceivables,"9,488,000","5,053,000","73,000","7,915,000"
		Inventory,"77,888,000","47,904,000","38,365,000","26,135,000"
			RawMaterials,"25,691,000","21,517,000","18,001,000","14,023,000"
			WorkInProcess,"48,826,000","24,166,000","20,364,000","12,112,000"
			FinishedGoods,"3,371,000","2,221,000",,"0"
		PrepaidAssets,"17,906,000","14,787,000","8,777,000","2,628,000"
		CurrentDeferredAssets,,"2,490,000","73,000","2,045,000"
		OtherCurrentAssets,"4,766,000","2,104,000","1,805,000","914,000"
	TotalNonCurrentAssets,"311,302,000","206,083,000","100,361,000","94,755,000"
		NetPPE,"149,075,000","93,763,000","80,238,000","76,734,000"
			GrossPPE,"174,699,000","115,954,000","101,048,000","92,582,000"
				Properties,"0","0","0","0"
				BuildingsAndImprovements,"36,126,000","25,075,000","24,799,000","20,330,000"
				MachineryFurnitureEquipment,"57,564,000","30,465,000","29,589,000","27,591,000"
				OtherProperties,"61,733,000","38,035,000","34,172,000","34,484,000"
				ConstructionInProgress,"19,276,000","22,379,000","12,488,000","10,177,000"
			AccumulatedDepreciation,"-25,624,000","-22,191,000","-20,810,000","-15,848,000"
		GoodwillAndOtherIntangibleAssets,"146,384,000","100,795,000","13,087,000","14,482,000"
			Goodwill,"58,767,000","43,308,000","3,195,000","3,133,000"
			OtherIntangibleAssets,"87,617,000","57,487,000","9,892,000","11,349,000"
		NonCurrentDeferredAssets,"7,221,000","5,859,000","5,907,000","2,398,000"
			NonCurrentDeferredTaxesAssets,"7,221,000","5,859,000","5,907,000","2,398,000"
		OtherNonCurrentAssets,"8,622,000","5,666,000","1,129,000","1,141,000"
TotalLiabilitiesNetMinorityInterest,"324,889,000","282,399,000","281,259,000","354,577,000"
	CurrentLiabilities,"173,384,000","96,307,000","76,744,000","48,419,000"
		PayablesAndAccruedExpenses,"55,115,000","22,732,000","15,076,000","14,521,000"
			Payables,"38,064,000","11,755,000","7,857,000","7,950,000"
				AccountsPayable,"15,106,000","3,489,000","2,205,000","3,368,000"
				OtherPayable,"22,958,000","8,266,000","5,652,000","4,582,000"
			CurrentAccruedExpenses,"17,051,000","10,977,000","7,219,000","6,571,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,"8,266,000","5,652,000","4,582,000"
		CurrentDebtAndCapitalLeaseObligation,"2,846,000","2,827,000","2,807,000",
			CurrentDebt,"2,846,000","2,827,000","2,807,000",
				OtherCurrentBorrowings,"2,846,000","2,827,000","2,807,000",
		CurrentDeferredLiabilities,"97,116,000","59,749,000","51,163,000","26,132,000"
			CurrentDeferredRevenue,"97,116,000","59,749,000","51,163,000","26,132,000"
		OtherCurrentLiabilities,"18,307,000","10,999,000","7,698,000","7,766,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"151,505,000","186,092,000","204,515,000","306,158,000"
		LongTermDebtAndCapitalLeaseObligation,"146,095,000","125,599,000","122,531,000","27,299,000"
			LongTermDebt,"97,967,000","97,297,000","96,616,000",
			LongTermCapitalLeaseObligation,"48,128,000","28,302,000","25,915,000","27,299,000"
		NonCurrentDeferredLiabilities,"509,000","466,000",,"0"
			NonCurrentDeferredTaxesLiabilities,"509,000","466,000",,"0"
		DerivativeProductLiabilities,"0","58,227,000","81,984,000","0"
		PreferredSecuritiesOutsideStockEquity,,"0","0","274,960,000"
		OtherNonCurrentLiabilities,"4,901,000","1,800,000",,"3,899,000"
TotalEquityGrossMinorityInterest,"732,595,000","698,448,000","674,118,000","-166,708,000"
	StockholdersEquity,"732,595,000","698,448,000","674,118,000","-166,708,000"
		CapitalStock,"46,000","45,000","45,000","8,000"
			CommonStock,"46,000","45,000","45,000","8,000"
		AdditionalPaidInCapital,"1,062,085,000","1,002,106,000","981,159,000","19,920,000"
		RetainedEarnings,"-331,720,000","-305,011,000","-308,207,000","-187,691,000"
		GainsLossesNotAffectingRetainedEarnings,"2,184,000","1,308,000","1,121,000","1,055,000"
TotalCapitalization,"830,562,000","795,745,000","770,734,000","-166,708,000"
CommonStockEquity,"732,595,000","698,448,000","674,118,000","-166,708,000"
CapitalLeaseObligations,"48,128,000","28,302,000","25,915,000","27,299,000"
NetTangibleAssets,"586,211,000","597,653,000","661,031,000","-181,190,000"
WorkingCapital,"572,798,000","678,457,000","778,272,000","44,695,000"
InvestedCapital,"833,408,000","798,572,000","773,541,000","-166,708,000"
TangibleBookValue,"586,211,000","597,653,000","661,031,000","-181,190,000"
TotalDebt,"148,941,000","128,426,000","125,338,000","27,299,000"
ShareIssued,"462,742,812","450,180,479","449,039,446","447,919,591"
OrdinarySharesNumber,"462,742,812","450,180,479","449,039,446","447,919,591"
