name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
TotalRevenue,"3,650,803,000","987,486,000","895,586,000","868,943,000","898,788,000","800,629,000","637,989,000","631,185,000","476,425,000","652,524,000","725,238,000","650,489,000","689,828,000","690,608,000","605,912,000","594,595,000","629,237,000","627,705,000","545,076,000","540,507,000","566,262,000","567,686,000","484,710,000","481,637,000","508,808,000","515,559,000","454,351,000","438,089,000","454,698,000","460,230,000","404,425,000","385,218,000","395,363,000","397,142,000","376,020,000","334,770,000","352,119,000","359,676,000","309,531,000","308,656,000","320,275,000","324,869,000","276,616,000","269,253,000","279,572,000","283,785,000","244,594,000","245,613,000","255,162,000","259,624,000","227,368,000","226,467,000","242,423,000","246,073,000","234,202,000","217,735,000","217,311,000","211,213,000","186,312,000","189,454,000","180,986,000","178,337,000","152,558,000","148,454,000","146,720,000","149,399,000","117,633,000","114,327,000","115,757,000","111,067,000","96,947,000","92,247,000","87,870,000","83,898,000","75,391,000","72,428,000"
	OperatingRevenue,"3,650,803,000","987,486,000","895,586,000","868,943,000","898,788,000","800,629,000","637,989,000","631,185,000","476,425,000","652,524,000","725,238,000","650,489,000","689,828,000","690,608,000","605,912,000","594,595,000","629,237,000","627,705,000","545,076,000","540,507,000","566,262,000","567,686,000","484,710,000","481,637,000","508,808,000","515,559,000","454,351,000","438,089,000","454,698,000","460,230,000","404,425,000","385,218,000","395,363,000","397,142,000","376,020,000","334,770,000","352,119,000","359,676,000","309,531,000","308,656,000","320,275,000","324,869,000","276,616,000","269,253,000","279,572,000","283,785,000","244,594,000","245,613,000","255,162,000","259,624,000","227,368,000","226,467,000","242,423,000","246,073,000","234,202,000","217,735,000","217,311,000","211,213,000","186,312,000","189,454,000","180,986,000","178,337,000","152,558,000","148,454,000","146,720,000","149,399,000","117,633,000","114,327,000","115,757,000","111,067,000","96,947,000","92,247,000","87,870,000","83,898,000","75,391,000","72,428,000"
CostOfRevenue,"3,029,884,000","819,789,000","748,267,000","727,615,000","734,213,000","647,349,000","548,972,000","535,284,000","461,262,000","569,019,000","596,574,000","537,236,000","563,618,000","562,522,000","505,348,000","493,887,000","510,672,000","503,045,000","449,041,000","440,789,000","455,705,000","451,069,000","398,344,000","391,036,000","407,636,000","408,313,000","371,332,000","362,014,000","377,657,000","369,680,000","334,808,000","317,835,000","320,754,000","318,379,000","309,733,000","274,703,000","284,076,000","289,048,000","252,872,000","251,109,000","257,029,000","260,483,000","228,055,000","218,771,000","226,816,000","227,199,000","201,015,000","199,741,000","205,211,000","205,576,000","186,038,000","185,926,000","196,129,000","200,312,000","209,050,000","181,615,000","175,525,000","168,567,000","165,238,000","152,093,000","144,157,000","140,085,000","122,584,000","117,821,000","116,501,000","117,459,000","94,946,000","91,354,000","58,015,000","55,417,000","49,122,000","46,019,000","43,738,000","65,405,000",,"23,420,000"
GrossProfit,"620,919,000","167,697,000","147,319,000","141,328,000","164,575,000","153,280,000","89,017,000","95,901,000","15,163,000","83,505,000","128,664,000","113,253,000","126,210,000","128,086,000","100,564,000","100,708,000","118,565,000","124,660,000","96,035,000","99,718,000","110,557,000","116,617,000","86,366,000","90,601,000","101,172,000","107,246,000","83,019,000","76,075,000","77,041,000","90,550,000","69,617,000","67,383,000","74,609,000","78,763,000","66,287,000","60,067,000","68,043,000","70,628,000","56,659,000","57,547,000","63,246,000","64,386,000","48,561,000","50,482,000","52,756,000","56,586,000","43,579,000","45,872,000","49,951,000","54,048,000","41,330,000","40,541,000","46,294,000","45,761,000","25,152,000","36,120,000","41,786,000","42,646,000","21,074,000","37,361,000","36,829,000","38,252,000","29,974,000","30,633,000","30,219,000","31,940,000","22,687,000","22,973,000","57,742,000","55,650,000","47,825,000","46,228,000","44,132,000","18,493,000",,"49,008,000"
OperatingExpense,"314,932,000","78,205,000","82,296,000","79,601,000","74,830,000","71,849,000","67,229,000","60,209,000","62,921,000","67,120,000","76,546,000","68,308,000","72,611,000","67,624,000","67,207,000","65,244,000","64,276,000","59,703,000","57,935,000","54,205,000","56,343,000","67,584,000","55,402,000","52,120,000","51,360,000","54,424,000","48,332,000","45,519,000","45,345,000","41,950,000","41,948,000","38,578,000","40,199,000","38,562,000","41,821,000","34,268,000","38,219,000","32,403,000","33,023,000","29,789,000","31,979,000","34,965,000","29,209,000","27,397,000","28,988,000","26,377,000","26,142,000","24,380,000","26,522,000","23,784,000","23,254,000","23,461,000","24,786,000","23,564,000","14,286,000","22,699,000","24,746,000","21,946,000","9,656,000","20,168,000","21,927,000","18,552,000","18,224,000","16,392,000","15,938,000","17,843,000","12,976,000","11,849,000","45,058,000","41,873,000","39,678,000","35,661,000","34,027,000","7,814,000","-89,304,000","40,702,000"
	SellingGeneralAndAdministration,"161,062,000","40,294,000","42,673,000","41,234,000","36,861,000","36,712,000","30,983,000","25,951,000","29,615,000","32,954,000","38,221,000","35,225,000","39,960,000","35,983,000","35,961,000","35,023,000","35,004,000","30,175,000","28,700,000","26,123,000","28,223,000","40,248,000","27,862,000","26,162,000","26,711,000","30,060,000","24,992,000","21,927,000","23,620,000","21,797,000","20,676,000","19,469,000","21,311,000","20,200,000","21,042,000","17,060,000","21,789,000","17,367,000","8,628,000","17,961,000","20,433,000","23,618,000","18,224,000","16,826,000","18,435,000","15,751,000","15,720,000","14,118,000","16,260,000","13,447,000","12,914,000","13,066,000","14,170,000","13,093,000","2,250,000","13,212,000","15,649,000","12,697,000","-608,000","12,140,000","14,697,000","11,907,000","12,508,000","10,812,000","10,783,000","12,937,000","8,935,000","8,031,000","41,583,000","38,625,000","36,364,000","32,885,000","31,555,000","4,569,000","4,691,000","4,121,000"
		GeneralAndAdministrativeExpense,"161,062,000","40,294,000","42,673,000","41,234,000","36,861,000","36,712,000","30,983,000","25,951,000","29,615,000","32,954,000","38,221,000","35,225,000","39,960,000","35,983,000","35,961,000","35,023,000","35,004,000","30,175,000","28,700,000","26,123,000","28,223,000","40,248,000","27,862,000","26,162,000","26,711,000","30,060,000","24,992,000","21,927,000","23,620,000","21,797,000","20,676,000","19,469,000","21,311,000","20,200,000","21,042,000","17,060,000","21,789,000","17,367,000","17,451,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"161,062,000","40,294,000","42,673,000","41,234,000","36,861,000","36,712,000","30,983,000","25,951,000","29,615,000","32,954,000","38,221,000","35,225,000","39,960,000","35,983,000","35,961,000","35,023,000","35,004,000","30,175,000","28,700,000","26,123,000","28,223,000","40,248,000","27,862,000","26,162,000","26,711,000","30,060,000","24,992,000","21,927,000","23,620,000","21,797,000","20,676,000","19,469,000","21,311,000","20,200,000","21,042,000","17,060,000","21,789,000","17,367,000","17,451,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"129,512,000","33,620,000","32,615,000","31,627,000","31,650,000","30,869,000","30,443,000","29,364,000","29,016,000","29,054,000","30,970,000","28,347,000","28,454,000","27,773,000","25,724,000","25,843,000","25,165,000","24,484,000","24,263,000","23,534,000","23,106,000","22,596,000","22,246,000","20,941,000","20,238,000","19,539,000","18,700,000","17,843,000","16,816,000","16,335,000","15,497,000","15,164,000","14,433,000","14,085,000","14,698,000","12,462,000","12,190,000","12,212,000","11,996,000","11,828,000","11,546,000","11,347,000","10,985,000","10,571,000","10,553,000","10,600,000","10,422,000","10,262,000","10,262,000","10,337,000","10,340,000","10,395,000","10,616,000","10,471,000","10,638,000","9,444,000","9,066,000","8,546,000","8,543,000","8,028,000","7,230,000","6,645,000","5,716,000","5,580,000","5,155,000","4,906,000","4,041,000","3,818,000","3,475,000","3,248,000","3,314,000","2,776,000","2,472,000","2,349,000","2,243,000","2,160,000"
		DepreciationAndAmortizationInIncomeStatement,"129,512,000","33,620,000","32,615,000","31,627,000","31,650,000","30,869,000","30,443,000","29,364,000","29,016,000","29,054,000","30,970,000","28,347,000","28,454,000","27,773,000","25,724,000","25,843,000","25,165,000","24,484,000","24,263,000","23,534,000","23,106,000","22,596,000","22,246,000","20,941,000","20,238,000","19,539,000","18,700,000","17,843,000","16,816,000","16,335,000","15,497,000","15,164,000","14,433,000","14,085,000","14,698,000","12,462,000","12,190,000","12,212,000","11,996,000","11,828,000","11,546,000","11,347,000","10,985,000","10,571,000","10,553,000","10,600,000","10,422,000","10,262,000","10,262,000","10,337,000","10,340,000","10,395,000","10,616,000","10,471,000","10,638,000","9,444,000","9,066,000","8,546,000","8,543,000","8,028,000","7,230,000","6,645,000","5,716,000","5,580,000","5,155,000","4,906,000","4,041,000","3,818,000","3,475,000","3,248,000","3,314,000","2,776,000","2,472,000","2,349,000","2,243,000","2,160,000"
