name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,08/31/2017,05/31/2017,02/28/2017,12/31/2016,08/31/2016,05/31/2016,02/29/2016
TotalAssets,"12,639,000,000","13,223,000,000","11,506,000,000","11,304,000,000","10,837,000,000","10,875,000,000","10,386,000,000","6,963,000,000","6,577,000,000","6,950,000,000","6,710,000,000","6,725,000,000","6,762,000,000","4,610,000,000","4,691,000,000","4,730,000,000","4,894,000,000","4,263,000,000","4,460,000,000","4,021,000,000","3,977,000,000","3,727,000,000","3,463,000,000","3,753,000,000","3,449,000,000"
	CurrentAssets,"4,266,000,000","4,716,000,000","5,082,000,000","5,040,000,000","4,756,000,000","4,936,000,000","4,800,000,000","2,303,000,000","2,045,000,000","2,259,000,000","2,256,000,000","2,137,000,000","2,067,000,000","1,952,000,000","2,046,000,000","2,093,000,000","2,121,000,000","1,802,000,000","2,054,000,000","1,692,000,000","1,722,000,000","1,426,000,000","1,158,000,000","1,452,000,000","1,120,000,000"
		CashCashEquivalentsAndShortTermInvestments,"3,669,000,000","3,996,000,000","4,377,000,000","4,348,000,000","4,110,000,000","4,263,000,000","4,206,000,000","1,708,000,000","1,538,000,000","1,657,000,000","1,719,000,000","1,580,000,000","1,531,000,000","1,388,000,000","1,532,000,000","1,539,000,000","1,594,000,000","1,264,000,000","1,568,000,000","1,202,000,000","1,254,000,000","964,000,000","750,000,000","1,021,000,000","672,000,000"
			CashAndCashEquivalents,"1,047,000,000","1,136,000,000","1,278,000,000","1,209,000,000","1,084,000,000","1,158,000,000","1,782,000,000","674,000,000","1,048,000,000","1,046,000,000","1,355,000,000","1,296,000,000","1,247,000,000","1,266,000,000","1,334,000,000","1,261,000,000","1,318,000,000","1,059,000,000","1,477,000,000","892,000,000","1,074,000,000","885,000,000","750,000,000","968,000,000","672,000,000"
			OtherShortTermInvestments,"2,622,000,000","2,860,000,000","3,099,000,000","3,139,000,000","3,026,000,000","3,105,000,000","2,424,000,000","1,034,000,000","490,000,000","611,000,000","364,000,000","284,000,000","284,000,000","122,000,000","198,000,000","278,000,000","276,000,000","205,000,000","91,000,000","310,000,000","180,000,000","79,000,000",,"53,000,000",
		Receivables,"98,000,000","112,000,000","176,000,000","181,000,000","179,000,000","156,000,000","153,000,000","160,000,000","98,000,000","137,000,000","143,000,000","173,000,000","176,000,000","149,000,000","121,000,000","146,000,000","143,000,000","81,000,000","81,000,000","74,000,000","68,000,000","74,000,000","110,000,000","117,000,000","117,000,000"
			AccountsReceivable,"70,000,000","67,000,000","97,000,000","105,000,000","102,000,000","99,000,000","86,000,000","83,000,000","78,000,000","88,000,000","79,000,000","85,000,000","77,000,000","80,000,000","65,000,000","73,000,000","63,000,000","81,000,000","81,000,000","74,000,000","68,000,000","74,000,000","110,000,000","117,000,000","117,000,000"
				GrossAccountsReceivable,"71,000,000","68,000,000","99,000,000","106,000,000","104,000,000","100,000,000","87,000,000","84,000,000","79,000,000","89,000,000","80,000,000","87,000,000","79,000,000","81,000,000","67,000,000","75,000,000","64,000,000","83,000,000","83,000,000","75,000,000","70,000,000",,"112,000,000",,
				AllowanceForDoubtfulAccountsReceivable,"-1,000,000","-1,000,000","-2,000,000","-1,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000","-1,000,000","-1,000,000","-1,000,000","-2,000,000","-2,000,000","-1,000,000","-2,000,000","-2,000,000","-1,000,000","-2,000,000","-2,000,000","-1,000,000","-2,000,000",,"-2,000,000",,
			OtherReceivables,"28,000,000","45,000,000","79,000,000","76,000,000","77,000,000","57,000,000","67,000,000","77,000,000","20,000,000","49,000,000","64,000,000","88,000,000","99,000,000","69,000,000","56,000,000","73,000,000","80,000,000",,,,,,,,
		Inventory,"345,000,000","432,000,000","390,000,000","380,000,000","345,000,000","398,000,000","346,000,000","346,000,000","317,000,000","380,000,000","317,000,000","309,000,000","280,000,000","307,000,000","270,000,000","276,000,000","261,000,000","297,000,000","246,000,000","266,000,000","231,000,000","268,000,000","218,000,000","216,000,000","170,000,000"
		PrepaidAssets,"154,000,000","176,000,000","139,000,000","131,000,000","122,000,000","119,000,000","95,000,000","89,000,000","92,000,000","85,000,000","77,000,000","75,000,000","80,000,000","108,000,000","123,000,000","132,000,000","123,000,000","160,000,000","159,000,000","150,000,000","169,000,000","120,000,000","80,000,000","81,000,000","144,000,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,"0","17,000,000","17,000,000"
	TotalNonCurrentAssets,"8,373,000,000","8,507,000,000","6,424,000,000","6,264,000,000","6,081,000,000","5,939,000,000","5,586,000,000","4,660,000,000","4,532,000,000","4,691,000,000","4,454,000,000","4,588,000,000","4,695,000,000","2,658,000,000","2,645,000,000","2,637,000,000","2,773,000,000","2,461,000,000","2,406,000,000","2,329,000,000","2,255,000,000","2,301,000,000","2,305,000,000","2,301,000,000","2,329,000,000"
		NetPPE,"4,777,000,000","4,863,000,000","4,197,000,000","4,027,000,000","3,889,000,000","3,929,000,000","3,676,000,000","3,390,000,000","3,399,000,000","3,579,000,000","3,399,000,000","3,525,000,000","3,636,000,000","1,615,000,000","1,605,000,000","1,657,000,000","1,755,000,000","1,691,000,000","1,652,000,000","1,617,000,000","1,627,000,000","1,647,000,000","1,707,000,000","1,742,000,000","1,787,000,000"
			GrossPPE,"7,241,000,000","7,237,000,000","6,500,000,000","6,276,000,000","6,074,000,000","6,057,000,000","5,722,000,000","5,316,000,000","5,314,000,000","5,456,000,000","5,209,000,000","5,353,000,000","5,469,000,000","3,348,000,000","3,347,000,000","3,405,000,000","3,593,000,000","3,416,000,000","3,337,000,000","3,207,000,000","3,177,000,000",,"3,302,000,000","3,325,000,000","3,390,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0"
				LandAndImprovements,,,,,,,,"129,000,000","129,000,000","133,000,000","130,000,000","137,000,000","141,000,000","138,000,000",,,,,,,,,,,
