name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
MarketCap,"7,501,427,705","13,165,000,000","11,612,720,000","6,757,580,000","5,452,300,000","5,077,800,000","2,611,000,000","1,842,400,000","1,602,300,000","959,100,000","2,385,760,000","2,091,240,000","2,669,067,256","2,646,200,638","1,708,480,000","2,545,301,909","2,640,918,897","3,805,242,535","3,572,777,965","3,145,745,967","2,263,410,000","2,514,300,000","3,223,791,298","3,044,690,000","2,965,160,000","2,599,200,000","3,556,420,000","4,411,680,000","4,601,662,570","6,257,366,115","7,011,523,951","5,673,599,076","6,226,656,898","5,143,864,644","4,307,370,840","3,104,898,253","3,097,576,405","2,994,913,872","2,121,808,496","1,635,516,536","1,613,353,551","1,497,193,020","1,126,062,278","1,019,713,133","1,801,655,519","1,886,633,579","1,614,115,495","1,202,577,960","1,013,508,186","1,182,643,463","1,342,432,154","1,366,709,229","577,859,620","92,429,212","70,986,998","581,696,880","849,663,366","1,075,309,122","1,351,821,263","2,376,652,562","2,950,161,568","2,784,398,366","2,194,842,051","1,844,901,600","16,330,101,331","17,354,110,336","17,450,810,463","21,142,856,051","23,406,162,800","21,598,835,381","24,579,489,543","22,741,319,808","24,912,650,554","24,877,579,703","22,466,847,646","18,905,885,733","18,552,565,773","12,986,292,036","10,812,378,173","11,152,929,789","16,527,975,905","18,879,803,328","19,172,469,464","10,978,742,272","16,712,960,940","12,381,646,448","7,081,174,966","7,924,652,411","10,166,164,820","13,395,639,100","18,915,660,937","12,640,112,250","15,766,140,000","12,249,452,250","15,884,419,062","9,899,047,875","17,769,551,500","33,504,284,750","12,589,243,000","10,100,805,625","8,640,420,750","10,021,515,625","9,714,250,000","8,696,960,758","6,301,328,417","6,944,141,201","6,282,400,219","5,368,530,395","4,569,740,893","3,961,266,361","3,664,572,087","3,530,439,147","3,439,526,624","3,581,760,790","4,270,614,153","3,390,508,237","2,286,918,964","1,965,170,832","1,677,383,111","1,329,175,736","1,335,329,399","1,362,116,830","932,806,001","837,600,086","714,120,347","543,884,399","359,198,316","410,426,471","337,692,695","264,685,037","289,655,649","231,252,366","295,434,817","358,921,308","440,571,782","447,237,261","476,192,799","341,499,144","265,980,732","450,802,668","333,571,292","317,111,813","205,273,433","282,282,408","305,139,992","258,466,086","121,237,158"
EnterpriseValue,"26,209,427,705","30,436,000,000","27,848,720,000","22,581,580,000","19,504,300,000","18,044,800,000","16,217,000,000","17,766,400,000","19,145,300,000","17,395,100,000","19,231,760,000","19,976,240,000","19,378,067,256","15,814,200,638","15,586,480,000","17,400,301,909","16,085,918,897","16,014,242,535","16,915,777,965","17,303,745,967","14,821,410,000","14,425,300,000","16,204,791,298","17,212,690,000","15,788,160,000","14,468,200,000","16,499,420,000","18,520,680,000","15,513,662,570","17,169,366,115","19,133,523,951","19,372,599,076","17,080,656,898","15,181,864,644","15,738,370,840","15,374,898,253","13,337,576,405","12,099,913,872","11,226,808,496","12,487,516,536","10,759,353,551","9,732,193,020","8,755,062,278","8,648,713,133","9,941,655,519","8,583,633,579","7,720,115,495","7,984,577,960","8,646,508,186","7,473,643,463","7,365,432,154","7,297,709,229","7,382,859,620","6,548,429,212","7,635,986,998","8,846,696,880","9,880,663,366","9,887,309,122","8,530,821,263","11,298,652,562","10,917,161,568","9,724,398,366","9,744,842,051","6,972,901,600","21,458,101,331","32,312,110,336","32,646,810,463","36,338,856,051","38,845,162,800","25,165,835,381","44,140,489,543","41,143,319,808","46,116,650,554","44,777,579,703","41,550,847,646","40,363,885,733","36,817,565,773","31,909,292,036","29,034,378,173","26,712,929,789","30,775,975,905","32,884,803,328","33,177,469,464","23,927,742,272","28,370,960,940","15,402,646,448","10,083,174,966","8,762,652,411","11,004,164,820","16,859,639,100","20,596,660,937","18,154,512,250","20,588,540,000","21,413,752,250","25,135,419,062","18,494,847,875","25,235,251,500","40,148,184,750","12,231,943,000","9,938,105,625","8,394,220,750","9,491,915,625","9,369,450,000","8,422,860,758","6,029,728,417","6,688,541,201","6,136,400,219","5,247,330,395","4,404,140,893","3,795,666,361","3,520,572,087","3,410,339,147","3,344,826,624","3,487,060,790","4,263,214,153","3,405,108,237","2,301,518,964","2,004,670,832","1,732,783,111","1,384,575,736","1,399,429,399","1,443,616,830","1,021,606,001","935,900,086","815,220,347","621,484,399","469,698,316","524,926,471","447,492,695","311,685,037","423,555,649","208,952,366","273,134,817","336,621,308","431,771,782","438,437,261","467,392,799","358,799,144","283,280,732","468,102,668","350,871,292","316,311,813","204,473,433","281,482,408","304,339,992","257,666,086","114,937,158"
PeRatio,"4.919","13.544","17.5","46.98",,,,,"7.579","3.492","14.14","11.678","18.124","16.922","5.018","6.809","7.353","11.021","32.504","55.159","26.476","16.903","18.069","21.79","12.689","9.181","11.27","13.693","20.99","26.583","37.688","49.009","97.852","324.667",,"22.881","13.009","11.5","8.19",,,,"11.052","9.969","15.536","19.467","31.755","64.722",,,,,,,,,,,,,,,"5.878","2.472","22.014","19.494","11.424","13.669","14.526","13","13.672","13.012","15.692","15.941","15.794","13.643","15.931","12.7","10.076","24.455","32.407","42.667","43.577","13.333","21.91","18.706",,,,,,"14.916","20.918","87.5","105.903","193.75","347.917","660.417","35.542","43.973","46.944","60.671","72.059","46.334","36.666","43.899","42.747","39.379","39.011","34.197","34.824","36.187","38.399","41.828","58.622","50.206","33.881","47.497","47.407","38.762","49.175","56.338","35.557","37.794","36.21","33.09","24.327","41.147","41.166","32.265",,,,,"19.643","21.868","27.165","21.252","21.584","36.582","30.453","60.074","39.501","72.426","117.436","114.144","37.835"
ForwardPeRatio,"4.69","12.438","12.063","13.228","20.161",,,,,"3.196","9.452","6.761","9.132","9.497",,"8.21","8.969","14.368","13.889","11.641","8.237","8.368","10.684","9.775","10.267","7.496","9.852","11.468","10.989","14.306","17.986","14.451","13.021","11.481","11.737","7.003","5.952","6.835","5.889","5.266","5.173","8.006","5.669","5.403",,,"12.837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.202","0.254","0.204","0.184","0.162","0.166","0.099","0.084","0.097","0.083","0.074","0.073","0.504","0.211","0.27",,,"0.855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.932","1.869","1.763","1.232","1.082","0.947","0.43","0.26","0.191","0.115","0.272","0.242","0.305","0.306","0.201","0.293","0.303","0.449","0.435","0.39","0.287","0.319","0.408","0.394","0.387","0.338","0.457","0.559","0.572","0.769","0.841","0.749","0.822","0.684","0.609","0.432","0.473","0.46","0.328","0.241","0.255","0.252","0.251","0.226","0.443","0.434","0.38","0.272","0.199","0.231","0.261","0.263","0.105","0.016","0.012","0.096","0.14","0.184","0.224","0.403","0.511","0.483","0.121","0.102","0.904","0.992","0.882","1.055","1.181","1.078","1.255","1.174","1.351","1.368","1.27","1.116","1.172","0.862","0.777","0.868","1.534","2.014","2.057","1.891","3.859","2.759","1.585","1.646","2.119","2.722","3.863","2.694","3.482","2.531","3.191","1.863","3.345","6.35","4.517","3.953","3.517","4.241","4.359","4.697","4.321","5.069","5.007","4.604","4.391","3.85","3.871","3.748","3.835","4.178","5.23","4.23","2.855","2.697","2.399","1.962","2.15","2.205","1.916","1.848","1.629","1.285","0.757","1.011","0.875","0.716","0.845","0.726","1.187","1.424","1.789","2.141","2.42","1.735","1.555","2.636","2.122","2.593","1.705","2.671","3.339","3.796","1.647"
PbRatio,"7.139",,,"73.452",,,,,"5.487","1.462","4.82","5.562","8.247","6.399","3.279","6.739","5.714","6.621","8.864","21.087","16.053","11.377","6.655","8.981","7.992","5.921","5.927","7.402","8.832","9.41","9.579","8.506","8.857","6.672","5.357","4.806","4.495","3.976","2.803","3.439","3.731","3.65","2.048","1.847","3.387","4.307","3.937","3.224","4.504","5.233","6.047","5.968","4.698","2.101","0.763","1.531","0.583","0.792","0.923","0.939","1.206","1.14","0.867","0.176","1.555","1.564","1.556","1.885","2.084","1.929","1.936","1.832","2.242","2.339","2.206","1.899","1.898","1.363","1.161","1.221","2.186","2.671","2.713","1.916","3.128","4.463","2.632","3.188","4.089","5.186","8.575","3.284","3.268","2.992","3.285","2.103","3.589","6.845","7.646","6.757","6.251","7.985","8.272","8.307","7.822","9.549","10.044","9.675","10.308","8.936","9.256","10.76","12.073","12.572","20.012","19.33","13.038","25.655","29.325","23.237","42.526",,"37.312","132.952",,,,,,,,"2.114","2.701","3.281","3.92","3.979","4.237","4.73","3.684","6.244","4.62","9.086","5.882","8.088","8.743","7.406","8.247"
EnterprisesValueRevenueRatio,"2.527","12.515","10.84","7.525","8.226","13.152","11.968","11.582","25.191","9.923","8.895","7.256","8.292","8.237","7.603","6.264","6.91","8.137","8.378","6.288","6.623","7.844","8.624","6.481","7.039","7.692","8.675","7.187","7.139","9.281","10.14","7.621","7.785","8.154","8.507","6.42","6.662","7.155","6.612","5.755","5.766","5.996","5.368","5.329","7.041","6.95","6.297","5.281","6.682","6.482","6.35","4.981","5.627","5.484","6.056","5.201","6.265","6.842","6.155","6.573","7.201","7.124","7.321","4.453","5.047","7.662","7.131","7.202","8.204","6.491","9.001","7.672","8.853","10.002","9.325","7.974","8.039","7.794","7.541","6.958","8.133","12.121","12.859","9.644","11.806","11.821","10.417","8.393","9.678","14.946","16.05","12.872","14.948","16.41","17.717","12.687","19.318","27.947","15.789","14.773","13.437","14.077","15.559","17.175","15.461","15.372","17.974","16.605","15.057","13.469","13.351","13.379","13.691","15.155","19.195","15.779","11.118","10.161","9.261","7.671","8.047","5.938","7.462","7.026","6.32","5.14","4.102","4.781","4.274","3.233","4.506","2.335","3.259","4.531","6.073","6.797","8.031","6.913","5.587","9.732","7.867","7.696","5.482","8.23","11.842","11.106","5.108"
EnterprisesValueEBITDARatio,"4.842","22.039","20.907","15.044","16.267","48.248","31.986","22.432","478.633","35","24.313","16.361","19.957","25.343","28.033","17.383","23.313","36.562","30.261","16.931","23.158","37.566","33.004","17.546","23.116","31.659","31.548","19.979","23.052","33.798","34.662","21.034","26.73","29.827","35.288","18.935","26.203","31.185","30.508","16.366","18.205","23.737","141.211","13.306","17.053","19.117","77.201","12.418","17.021","20.254","179.645","12.475","13.904","15.554","-6.193","12.953","16.634","19.775","-8.696","15.847","19.391","19.645","-23.884","12.363","22.19","37.098","85.018","27.098","31.53","28.695","31.462","21.362","29.188","30.012","23.894","24.962","22.657","23.445","22.826","11.721","23.511","26.933","14.825","20.574","25.063","26.694","37.907","15.99","24.784","38.405","38.788","32.396","25.771","28.098","36.571","19.598","41.046","53.617","35.496","31.751","30.206","29.496","25.012","35.36","29.413","32.033","32.061","30.958","27.874","25.137","24.213","24.623","24.924","26.337","35.616","29.228","20.586","18.493","16.922","13.682","14.136","10.686","13.031","12.282","11.45","9.374","2.854","43.027","30.65","6.197","9.089","2.335","3.259","-1.598","6.073","6.797","8.031","-3.181","5.587","9.732","7.867","-3.862","5.482","8.23","11.842","-4.852","5.108"
