name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
MarketCap,"1,672,988,383","2,205,874,636","2,070,094,825","2,026,070,037","2,139,137,079","2,219,179,443","1,729,083,797","998,555,686","1,061,107,580","1,168,269,157","2,434,815,058","2,378,989,916","2,348,576,692","2,467,939,288","1,936,444,628","2,652,739,696","2,602,605,080","2,106,870,779","2,304,300,354","2,246,636,566","2,067,275,704","1,823,914,017","2,075,857,942","1,628,745,735","1,805,945,654","1,692,635,136","1,711,922,132","1,949,782,155","2,427,735,627","2,540,370,582"
EnterpriseValue,"2,923,527,383","3,182,728,636","3,046,917,825","3,019,838,037","3,158,578,079","3,203,836,443","2,991,562,797","2,323,817,686","2,297,073,580","2,350,482,157","3,466,832,058","3,418,041,916","3,424,030,692","3,531,614,288","2,980,292,628","3,585,680,696","3,675,178,080","3,357,579,779","3,139,750,354","3,108,263,566","2,941,894,704","2,684,992,017","3,059,674,942","2,616,691,735","2,936,378,654","2,665,017,136","2,798,834,132","2,879,669,155","3,367,816,627","3,672,365,582"
PeRatio,"425",,,,,,,,"466.5","21.02","17.288","17.171","15.109","12.52","18.298","24.184","17.781","21.435","16.867","15.478","20.606","21.608","21.82","17.651","19.976","19.772","58.637","112.399","178.302","23.137"
ForwardPeRatio,"56.18",,,,,,,,,"17.452","36.63",,,,,,,,,,,,,,,,,,,
PsRatio,"2.257","3.563","4.22","5.319","8.789","5.985","2.988","1.271","0.984","1.012","2.135","2.137","2.145","2.285","1.798","2.489","2.63","2.233","2.551","2.462","2.23","1.943","2.169","1.686","1.9","1.794","1.788","2.074","2.594","2.741"
PbRatio,"1.171","1.542","1.426","1.377","1.425","1.428","1.133","0.634","0.636","0.672","1.39","1.34","1.302","1.353","1.096","1.507","1.653","1.305","1.415","1.366","1.285","1.119","1.294","1.009","1.106","0.98","1.013","1.15","1.43","1.674"
EnterprisesValueRevenueRatio,"3.958","15.131","14.967","17.478","20.784","36.469","39.546","36.336","154.946","10.915","12.286","12.71","11.253","12.025","10.811","14.879","13.265","12.694","12.116","13.92","12.038","12.291","13.92","11.185","11.234","11.339","11.259","11.59","13.406","16.116"
EnterprisesValueEBITDARatio,"24.801","67.384","102.38","98.174","311.958","-546.264","37.607","-404.564","-42.742","414.255","58.441","57.307","47.89","46.45","19.32","61.173","42.289","29.384","47.664","51.311","23.582","46.959","33.128","37.1","35.127","57.498","25.469","42.272","44.237","91.194"
