name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,12/31/2013
TotalAssets,"8,303,961,000","8,237,093,000","8,216,959,000","8,019,674,000","7,954,649,000","8,063,306,000","7,384,731,000","7,407,131,000","7,590,292,000","7,453,795,000","7,377,313,000","7,396,981,000","7,387,530,000","7,254,909,000","7,209,693,000","7,173,200,000","7,241,904,000","7,285,867,000","7,296,954,000","1,336,259,000","1,291,598,000","1,288,507,000","1,244,154,000","1,252,104,000","1,228,342,000","1,211,219,000","1,303,041,000","1,215,744,000","1,276,503,000","1,245,087,000","1,316,041,000","1,320,521,000","1,233,111,000"
	CurrentAssets,"1,876,258,000","1,766,456,000","1,764,199,000","1,748,296,000","1,674,378,000","1,738,012,000","1,595,713,000","1,597,399,000","1,774,537,000","1,562,164,000","1,492,512,000","1,466,750,000","1,407,760,000","1,491,962,000","1,356,422,000","1,417,073,000","1,388,512,000","1,422,179,000","1,362,802,000","582,727,000","539,146,000","522,629,000","487,041,000","484,429,000","450,078,000","422,046,000","521,302,000","426,687,000","477,322,000","426,899,000","478,619,000","471,730,000","376,182,000"
		CashCashEquivalentsAndShortTermInvestments,"119,040,000","106,475,000","122,425,000","260,868,000","264,689,000","272,173,000","248,896,000","343,030,000","335,960,000","163,689,000","129,204,000","107,256,000","107,921,000","153,863,000","132,402,000","171,528,000","186,719,000","321,262,000","304,327,000","169,654,000","164,405,000","102,471,000","102,948,000","91,916,000","53,181,000","85,011,000","136,091,000","98,511,000","156,349,000","126,453,000","185,803,000","155,549,000","96,972,000"
			CashAndCashEquivalents,"119,040,000","106,475,000","122,425,000","260,868,000","264,689,000","272,173,000","248,896,000","343,030,000","335,960,000","163,689,000","129,204,000","107,256,000","107,921,000","153,863,000","132,402,000","171,528,000","186,719,000","321,262,000","304,327,000","169,654,000","164,405,000","102,471,000","102,948,000","91,916,000","53,181,000","85,011,000","136,091,000","98,511,000","156,349,000","126,453,000","185,803,000","155,549,000","96,972,000"
		Receivables,"1,596,315,000","1,524,890,000","1,527,032,000","1,369,921,000","1,299,168,000","1,344,781,000","1,264,502,000","1,174,021,000","1,340,648,000","1,303,641,000","1,295,089,000","1,287,509,000","1,221,660,000","1,256,731,000","1,141,400,000","1,160,390,000","1,105,266,000","1,015,988,000","960,380,000","374,533,000","346,834,000","385,349,000","347,451,000","356,077,000","362,653,000","298,012,000","330,747,000","276,267,000","272,446,000","248,371,000","237,808,000","263,416,000","228,835,000"
			AccountsReceivable,"918,248,000","873,265,000","848,453,000","768,681,000","705,783,000","774,605,000","663,065,000","659,556,000","771,925,000","787,652,000","774,309,000","781,440,000","729,727,000","733,142,000","662,138,000","689,797,000","610,333,000","652,061,000","564,618,000","229,448,000","193,708,000","217,360,000","184,277,000","195,005,000","202,870,000","161,872,000","180,234,000","147,260,000","153,751,000","133,997,000","134,590,000","157,850,000","131,012,000"
				GrossAccountsReceivable,,,,,,,,,,"787,652,000","774,309,000","781,440,000","729,727,000","733,142,000","662,138,000","689,797,000","610,333,000","652,061,000","564,618,000","229,448,000","193,708,000","217,360,000","184,277,000","195,005,000","202,870,000","161,872,000","180,234,000","147,260,000","153,751,000","133,997,000","134,590,000","157,850,000","131,012,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"-5,381,000","-4,974,000","-5,296,000","-5,882,000","-4,587,000","-5,456,000","-7,382,000","-9,537,000","-9,076,000","-7,361,000","-6,001,000","-5,889,000","-5,884,000","-5,323,000","-4,629,000","-4,661,000","-3,557,000","-3,282,000","-3,643,000","-4,006,000","-3,727,000","-4,157,000","-2,937,000","-1,384,000"
			OtherReceivables,"685,514,000","659,210,000","686,166,000","608,559,000","601,064,000","577,791,000","609,596,000","522,414,000","576,655,000","521,370,000","525,754,000","511,365,000","497,815,000","528,176,000","484,718,000","477,975,000","504,470,000","373,003,000","403,123,000","151,086,000","159,015,000","173,873,000","168,497,000","165,701,000","164,444,000","139,697,000","153,795,000","132,650,000","122,701,000","118,101,000","107,375,000","108,503,000","99,207,000"
			ReceivablesAdjustmentsAllowances,"-7,447,000","-7,585,000","-7,587,000","-7,319,000","-7,679,000","-7,615,000","-8,159,000","-7,949,000","-7,932,000","-5,381,000","-4,974,000","-5,296,000","-5,882,000","-4,587,000","-5,456,000","-7,382,000","-9,537,000","-9,076,000","-7,361,000","-6,001,000","-5,889,000","-5,884,000","-5,323,000","-4,629,000","-4,661,000","-3,557,000","-3,282,000","-3,643,000","-4,006,000","-3,727,000","-4,157,000","-2,937,000","-1,384,000"
