name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000
OperatingCashFlow,"132,687,000","19,183,000","15,852,000","44,250,000","52,772,000","38,720,000","28,334,000","38,688,000","41,490,000","10,771,000","32,616,000","12,802,000","14,917,000","-19,242,000","15,655,000","33,343,000","13,769,000","-23,293,000","29,960,000","5,385,000","-9,274,000","-3,062,000","8,789,000","8,975,000","25,895,000","840,000","5,477,000","7,116,000","-681,000","-2,943,000","3,605,000","-6,641,000","4,705,000","-12,182,000","-9,724,000","15,108,000","-16,698,000","-10,248,000","19,743,000","-18,085,000","21,753,000","1,378,000","16,351,000","-1,931,000","1,122,000","5,446,000","9,642,000","13,688,000","9,041,000","14,702,000","4,833,000","9,446,000","28,529,000","5,057,000","7,792,000","-678,000","18,951,000","656,000","14,894,000","3,479,000","6,609,000","4,560,000","13,079,000","10,547,000","-1,662,000","1,743,000","5,898,000","14,189,000","4,089,000","7,090,000","4,707,000","-2,085,000","1,149,000","-834,000","2,558,000","1,249,000","10,497,000","3,495,000","-179,000","2,110,000","1,545,000","1,630,000","2,957,000","-526,000","-22,000","705,000","-960,000","63,000","-86,000"
	CashFlowFromContinuingOperatingActivities,"132,687,000","19,183,000","15,852,000","44,250,000","52,772,000","38,720,000","28,334,000","38,688,000","41,490,000","10,771,000","32,616,000","12,802,000","14,917,000","-19,242,000","15,655,000","33,343,000","13,769,000","-23,293,000","29,960,000","5,385,000","-9,274,000","-3,062,000","8,789,000","8,975,000","25,895,000","840,000","5,477,000","7,116,000","-681,000","-2,943,000","3,605,000","-6,641,000","4,705,000","-12,182,000","-9,724,000","15,108,000","-16,698,000","-10,248,000","19,743,000","-18,085,000","21,753,000","1,378,000","16,351,000","-1,931,000","1,122,000","5,446,000","9,642,000","13,688,000","9,041,000","14,702,000","4,833,000","9,446,000","28,529,000","5,057,000","7,792,000","-678,000","18,951,000","656,000","14,919,000","3,479,000","6,609,000","4,535,000","13,604,000","10,209,000","-1,662,000","1,743,000","5,898,000","14,189,000","4,089,000","7,090,000","4,707,000","-2,085,000","1,149,000","-834,000","2,558,000","1,249,000","10,497,000","3,495,000","-179,000","2,110,000","1,545,000","1,630,000","1,677,000","-526,000","-23,000","906,000","-898,000","-88,000","-421,000"
		NetIncomeFromContinuingOperations,"72,978,000","19,523,000","11,481,000","21,757,000","20,217,000","11,668,000","6,027,000","15,397,000","18,265,000","3,215,000","22,460,000","8,509,000","7,865,000","1,861,000","6,551,000","10,168,000","9,141,000","3,680,000","4,314,000","8,826,000","4,563,000","-1,886,000","-5,774,000","3,155,000","2,543,000","-7,336,000","-856,000","1,365,000","-995,000","-16,700,000","-5,934,000","-2,217,000","2,446,000","480,000","-51,484,000","2,094,000","-16,217,000","-4,419,000","5,780,000","4,071,000","7,666,000","195,000","-48,419,000","5,941,000","6,292,000","1,482,000","13,373,000","4,721,000","5,850,000","2,280,000","1,064,000","8,828,000","9,770,000","5,866,000","3,832,000","5,977,000","5,140,000","3,117,000","4,717,000","3,444,000","3,797,000","2,511,000","3,153,000","3,990,000","3,155,000","3,022,000","5,066,000","2,247,000","2,401,000","827,000","3,046,000","716,000","1,623,000","268,000","359,000","2,292,000","1,572,000","1,196,000","2,414,000","1,241,000","697,000","370,000","-751,000","-1,668,000","-4,431,000","-693,000","-1,046,000","-1,110,000","-3,025,000"
		OperatingGainsLosses,"-6,453,000","-2,746,000","-211,000","-1,697,000","-1,799,000","247,000","-138,000","-465,000","-104,000","-222,000","4,243,000","-25,000","-403,000","-38,000","-114,000","4,000","-220,000","-250,000","722,000","600,000","-38,000","-358,000","-112,000","19,000","-449,000","175,000","-274,000","-206,000","0","-759,000","-90,000","11,000","-633,000","-283,000","-691,000","-725,000","65,000","-571,000","-313,000","-866,000","-1,070,000","-1,853,000","45,000","-72,000","456,000","59,000","2,982,000","-791,000","-97,000","-156,000","290,000","73,000","196,000","-89,000","328,000","309,000","322,000","229,000","-49,000","-13,000","-106,000","-271,000","-29,000","-89,000","-223,000","65,000","43,000","62,000","128,000","-49,000","305,000","286,000","485,000","387,000","363,000","2,017,000","445,000","324,000","-1,047,000","380,000","342,000","278,000","-445,000","922,000","3,568,000","-128,000",,,
			GainLossOnSaleOfPPE,"-1,556,000","-228,000","-220,000","-739,000","-369,000","-68,000","-453,000","-444,000","-205,000","-393,000","-61,000","-25,000","-403,000","-38,000","-114,000","4,000","-220,000","-250,000","-33,000","600,000","-38,000","-358,000","-112,000","19,000","-449,000","175,000","-274,000","-206,000","-240,000","-759,000","-90,000","11,000","-633,000","-283,000","-1,072,000","-730,000","65,000","-100,000","-207,000",,,,,,,,,,"158,000","-31,000","84,000","73,000","196,000","-89,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-100,000","-90,000","9,000","10,000","-29,000","-22,000","14,000","-21,000","101,000","171,000",,,,,,,,,,,,,,,,,,,,,"0",,"0","0","381,000","5,000","0","-471,000",,,,,,,,"204,000","1,082,000","-80,000","-547,000","-417,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"37,663,000","11,767,000","8,865,000","8,629,000","8,402,000","8,305,000","8,146,000","8,098,000","8,256,000","8,285,000","8,452,000","3,815,000","4,084,000","4,389,000","4,259,000","4,204,000","4,183,000","4,124,000","3,854,000","4,753,000","4,317,000","4,070,000","3,951,000","3,953,000","3,982,000","4,162,000","4,050,000","4,089,000","4,116,000","4,274,000","4,539,000","4,608,000","4,568,000","4,633,000","4,630,000","4,534,000","4,864,000","4,622,000","4,370,000","5,243,000","4,854,000","4,530,000","4,547,000","4,339,000","4,225,000","4,211,000","3,954,000","3,713,000","4,131,000","3,972,000","3,413,000","3,349,000","3,365,000","3,603,000","3,413,000","3,203,000","3,267,000","3,285,000","2,780,000","2,103,000","2,210,000","2,451,000","1,437,000","1,931,000","1,839,000","1,804,000","1,238,000","1,294,000","1,277,000","1,255,000","1,071,000","1,195,000","1,181,000","1,181,000","1,225,000","1,296,000","1,206,000","1,080,000","1,175,000","959,000","839,000","882,000","573,000","36,000","44,000","36,000","36,000","34,000","-220,000"
			DepreciationAndAmortization,"37,663,000","11,767,000","8,865,000","8,629,000","8,402,000","8,305,000","8,146,000","8,098,000","8,256,000","8,285,000","8,452,000","3,815,000","4,084,000","4,389,000","4,259,000","4,204,000","4,183,000","4,124,000","3,854,000","4,753,000","4,317,000","4,070,000","3,951,000","3,953,000","3,982,000","4,162,000","4,050,000","4,089,000","4,116,000","4,274,000","4,539,000","4,608,000","4,568,000","4,633,000","4,630,000","4,534,000","4,864,000","4,622,000","4,370,000","5,243,000","4,854,000","4,530,000","4,547,000","4,339,000","4,225,000","4,211,000","3,954,000","3,713,000","4,131,000","3,972,000","3,413,000","3,349,000","3,365,000","3,603,000","3,413,000","3,203,000","3,267,000","3,285,000","2,780,000","2,103,000","2,210,000","2,451,000","1,437,000","1,931,000","1,839,000","1,804,000","1,238,000","1,294,000","1,277,000","1,255,000","1,071,000","1,195,000","1,181,000","1,181,000","1,225,000","1,296,000","1,206,000","1,080,000","1,175,000","959,000","839,000","882,000","573,000","36,000","44,000","36,000","36,000","34,000","-220,000"
		DeferredTax,"22,926,000","5,640,000","4,015,000","6,119,000","7,152,000","4,142,000","8,493,000","4,723,000","5,310,000","913,000","-28,959,000","800,000","620,000","141,000","151,000",,,,,,,,,,,,,,,,"0","0","0","0","15,324,000","-894,000","-9,141,000","-139,000","440,000","1,529,000","-185,000","-2,951,000","-22,475,000","2,101,000","397,000","1,268,000","1,846,000","1,069,000","662,000","283,000","-563,000","734,000","2,153,000","2,158,000","2,666,000","3,777,000","1,312,000","1,183,000","1,954,000","1,568,000","1,783,000","1,295,000","1,229,000","1,809,000","1,677,000","1,541,000","-289,000","1,162,000","1,240,000","418,000","-3,456,000","369,000","794,000","189,000",,,"822,000","601,000",,,"477,000","270,000",,,,,,"711,000",
			DeferredIncomeTax,"22,926,000","5,640,000","4,015,000","6,119,000","7,152,000","4,142,000","8,493,000","4,723,000","5,310,000","913,000","-28,959,000","800,000","620,000","141,000","151,000",,,,,,,,,,,,,,,,"0","0","0","0","15,324,000","-894,000","-9,141,000","-139,000","440,000","1,529,000","-185,000","-2,951,000","-22,475,000","2,101,000","397,000","1,268,000","1,846,000","1,069,000","662,000","283,000","-563,000","734,000","2,153,000","2,158,000","2,666,000","3,777,000","1,312,000","1,183,000","1,954,000","1,568,000","1,783,000","1,295,000","1,229,000","1,809,000","1,677,000","1,541,000","-289,000","1,162,000","1,240,000","418,000","-3,456,000","369,000","794,000","189,000",,,"822,000","601,000",,,"477,000","270,000",,,,,,"711,000",
