name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,06/30/2018,03/31/2018
TotalRevenue,"7,177,000","915,000","2,836,000","2,508,000","918,000","863,000","2,776,000","5,826,000","3,334,000","872,000","267,000","794,000","1,000,000","7,032,000","2,500,000","2,500,000"
	OperatingRevenue,"7,177,000","915,000","2,836,000","2,508,000","918,000","863,000","2,776,000","5,826,000","3,334,000","872,000","267,000","794,000","1,000,000","7,032,000","2,500,000","2,500,000"
OperatingExpense,"94,200,000","29,932,000","22,240,000","21,309,000","20,719,000","19,421,000","19,883,000","21,384,000","20,501,000","18,483,000","16,721,000","13,841,000","11,601,000","10,644,000","9,173,000","11,397,000"
	SellingGeneralAndAdministration,"14,397,000","5,051,000","3,645,000","2,848,000","2,853,000","3,009,000","2,215,000","1,622,000","1,532,000","1,467,000","4,434,000","1,481,000","1,636,000","1,467,000","989,000","911,000"
		GeneralAndAdministrativeExpense,"14,397,000","5,051,000","3,645,000","2,848,000","2,853,000","3,009,000","2,215,000","1,622,000","1,532,000","1,467,000","4,434,000","1,481,000","1,636,000","1,467,000","989,000","911,000"
			OtherGandA,"14,397,000","5,051,000","3,645,000","2,848,000","2,853,000","3,009,000","2,215,000","1,622,000","1,532,000","1,467,000","4,434,000","1,481,000","1,636,000","1,467,000","989,000","911,000"
	ResearchAndDevelopment,"79,897,000","24,895,000","18,615,000","18,485,000","17,902,000","16,438,000","17,668,000","19,837,000","18,974,000","17,016,000","12,283,000","12,785,000","12,174,000","10,665,000","8,495,000","10,779,000"
	OtherOperatingExpenses,"-94,000","-14,000","-20,000","-24,000","-36,000","-26,000","0","-75,000","-5,000",,"4,000","-425,000","-2,209,000","-1,488,000","-311,000","-293,000"
OperatingIncome,"-87,023,000","-29,017,000","-19,404,000","-18,801,000","-19,801,000","-18,558,000","-17,107,000","-15,558,000","-17,167,000","-17,611,000","-16,454,000","-13,047,000","-10,601,000","-3,612,000","-6,673,000","-8,897,000"
NetNonOperatingInterestIncomeExpense,"-6,745,000","-2,274,000","-1,779,000","-1,778,000","-914,000","-745,000","-532,000","-4,428,000","-3,405,000","-2,451,000","-2,312,000","-2,670,000","-490,000","-247,000","-388,000","-451,000"
	InterestExpenseNonOperating,"6,745,000","2,274,000","1,779,000","1,778,000","914,000","745,000","532,000","4,428,000","3,405,000","2,451,000","2,312,000","2,670,000","490,000","247,000","388,000","451,000"
OtherIncomeExpense,"35,000","37,000","-6,000","-1,000","5,000","16,000","-7,000","-24,000","2,687,000","-31,000","2,461,000","-3,546,000","4,000","12,000","12,000","28,000"
	GainOnSaleOfSecurity,,,,,,,"0","-24,000","2,692,000","-41,000","2,460,000","-3,476,000",,,,
	OtherNonOperatingIncomeExpenses,"35,000","37,000","-6,000","-1,000","5,000","16,000","-7,000","-4,452,000","-5,000","10,000","1,000","-70,000","4,000","12,000","12,000","28,000"
PretaxIncome,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,287,000","-17,646,000","-20,010,000","-17,885,000","-20,093,000","-16,305,000","-19,263,000","-11,087,000","-3,847,000","-7,049,000","-9,320,000"
TaxProvision,"0","0","0","0","0","2,000","3,000","0","0","0","0","900,000","-2,000","0","0","0"
EarningsFromEquityInterestNetOfTax,,,"0","0",,,"0","-487,000",,,,"0",,,,
NetIncomeCommonStockholders,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,289,000","-17,649,000","-20,497,000","-17,885,000","-20,093,000","-10,051,000","-20,163,000","-11,085,000","-3,847,000","-7,156,000","-9,355,000"
	NetIncome,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,289,000","-17,649,000","-20,497,000","-17,885,000","-20,093,000","-16,305,000","-20,163,000","-11,085,000","-3,847,000","-7,156,000","-9,355,000"
		NetIncomeIncludingNoncontrollingInterests,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,289,000","-17,649,000","-20,497,000","-17,885,000","-20,093,000","-16,305,000","-20,163,000","-11,085,000","-3,847,000","-7,049,000","-9,320,000"
			NetIncomeContinuousOperations,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,289,000","-17,649,000","-20,497,000","-17,885,000","-20,093,000","-16,305,000","-20,163,000","-11,085,000","-3,847,000","-7,049,000","-9,320,000"
		MinorityInterests,,,,,,,,,,,,,"0","0","-107,000","-35,000"
DilutedNIAvailtoComStockholders,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,289,000","-17,649,000","-20,497,000","-17,885,000","-20,093,000","-10,051,000","-20,163,000","-11,085,000","-3,847,000","-7,156,000","-9,355,000"
BasicEPS,,"-0.8","-0.55","-0.54","-0.55","-0.51","-0.47","-0.77","-0.502","-0.698",,"-0.7",,"-0.134",,"-0.325"
DilutedEPS,,"-0.8","-0.55","-0.54","-0.55","-0.51","-0.47","-0.77","-0.502","-0.698",,"-0.7",,"-0.134",,"-0.325"
BasicAverageShares,,"39,017,000","38,581,000","37,893,000","37,824,000","37,736,000","37,712,000","26,750,000","35,654,606","28,789,000",,"28,789,000",,"28,789,000",,"28,789,000"
DilutedAverageShares,,"39,017,000","38,581,000","37,893,000","37,824,000","37,736,000","37,712,000","26,750,000","35,654,606","28,789,000",,"28,789,000",,"28,789,000",,"28,789,000"
TotalOperatingIncomeAsReported,"-87,023,000","-29,017,000","-19,404,000","-18,801,000","-19,801,000","-18,558,000","-17,107,000","-15,558,000","-17,167,000","-17,611,000","-16,454,000","-13,047,000","-10,601,000","-3,612,000","-6,673,000","-8,897,000"
TotalExpenses,"94,200,000","29,932,000","22,240,000","21,309,000","20,719,000","19,421,000","19,883,000","21,384,000","20,501,000","18,483,000","16,721,000","13,841,000","11,601,000","10,644,000","9,173,000","11,397,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,289,000","-17,649,000","-20,497,000","-17,885,000","-20,093,000","-16,305,000","-20,163,000","-11,085,000","-3,847,000","-7,156,000","-9,355,000"
NormalizedIncome,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,289,000","-17,649,000","-20,473,000","-20,577,000","-20,052,000","-18,765,000","-17,625,520","-11,085,000","-3,847,000","-7,156,000","-9,355,000"
InterestExpense,"6,745,000","2,274,000","1,779,000","1,778,000","914,000","745,000","532,000","4,428,000","3,405,000","2,451,000","2,312,000","2,670,000","490,000","247,000","388,000","451,000"
NetInterestIncome,"-6,745,000","-2,274,000","-1,779,000","-1,778,000","-914,000","-745,000","-532,000","-4,428,000","-3,405,000","-2,451,000","-2,312,000","-2,670,000","-490,000","-247,000","-388,000","-451,000"
EBIT,"-86,988,000","-28,980,000","-19,410,000","-18,802,000","-19,796,000","-18,542,000","-17,114,000","-15,582,000","-14,480,000","-17,642,000","-13,993,000","-16,593,000","-10,597,000","-3,600,000","-6,661,000","-8,869,000"
EBITDA,"-85,777,000"
ReconciledDepreciation,"1,211,000","307,000","307,000","299,000","298,000","291,000","265,000","249,000","249,000","256,000","237,000","522,000","-360,000","764,000","165,000","151,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-93,733,000","-31,254,000","-21,189,000","-20,580,000","-20,710,000","-19,289,000","-17,649,000","-20,497,000","-17,885,000","-20,093,000","-16,305,000","-20,163,000","-11,085,000","-3,847,000","-7,156,000","-9,355,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,"0","-24,000","2,692,000","-41,000","2,460,000","-3,476,000",,,,
TotalUnusualItems,,,,,,,"0","-24,000","2,692,000","-41,000","2,460,000","-3,476,000",,,,
NormalizedEBITDA,"-85,777,000","-28,673,000","-19,103,000","-18,503,000","-19,498,000","-18,251,000","-16,849,000","-15,309,000","-16,923,000","-17,345,000","-16,216,000","-12,595,000","-10,597,000","-2,836,000","-6,496,000","-8,718,000"
TaxRateForCalcs,"0","0","0","0","0","0.27","0.27","0","0","0","0","0.27","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","-938,520","0","0","0","0"
