name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
		NetIssuancePaymentsOfDebt,"6,495,000","-254,487,000","74,556,000","133,253,000","53,173,000","61,507,000","-277,638,000","-576,592,000","-2,507,000","405,087,000","-125,706,000","23,377,000","-74,435,000","-47,251,000","172,482,000","6,901,000","19,311,000","-78,361,000","65,301,000","-5,115,000","-2,778,000","-132,040,000","-82,822,000","-42,390,000","-64,896,000","105,653,000","-16,449,000","150,165,000","-46,650,000","-165,672,000","-25,647,000","30,375,000","24,862,000","293,598,000","-69,481,000","-23,092,000","263,829,000","-4,027,000","83,853,000","115,092,000","227,612,000","-31,357,000"
			NetLongTermDebtIssuance,"6,495,000","-222,958,000","169,719,000","6,561,000","53,173,000","61,507,000","7,362,000","-376,592,000","-2,507,000","-79,913,000","74,294,000","23,377,000","-39,435,000","-82,251,000","-27,518,000","6,901,000","19,311,000","-78,361,000","65,301,000","-5,115,000","-2,778,000","-132,040,000","132,178,000","-42,390,000","30,104,000","-89,347,000","98,551,000","25,165,000","-151,650,000","-125,672,000","84,353,000","-79,625,000","-15,138,000","293,598,000","-69,481,000","-23,092,000","351,829,000","-42,027,000","33,853,000","115,092,000","227,612,000","-31,357,000"
				LongTermDebtIssuance,"3,304,492,000","580,311,000","1,066,851,000","820,043,000","837,287,000","734,266,000","718,903,000","1,214,194,000","658,630,000","450,693,000","406,129,000","727,660,000","827,162,000","161,588,000","312,980,000","249,882,000","182,436,000","147,748,000","283,227,000","179,570,000","206,572,000","190,424,000","396,088,000","274,063,000","328,649,000","235,009,000","333,893,000","273,720,000","546,174,000","158,638,000","319,687,000","150,973,000","139,001,000","441,037,000","205,311,000","215,110,000","732,348,000","146,056,000","53,439,000","-63,536,000","692,441,000","81,884,000"
				LongTermDebtPayments,"-3,297,997,000","-803,269,000","-897,132,000","-813,482,000","-784,114,000","-672,759,000","-711,541,000","-1,590,786,000","-661,137,000","-530,606,000","-331,835,000","-704,283,000","-866,597,000","-243,839,000","-340,498,000","-242,981,000","-163,125,000","-226,109,000","-217,926,000","-184,685,000","-209,350,000","-322,464,000","-263,910,000","-316,453,000","-298,545,000","-324,356,000","-235,342,000","-248,555,000","-697,824,000","-284,310,000","-235,334,000","-230,598,000","-154,139,000","-147,439,000","-274,792,000","-238,202,000","-380,519,000","-188,083,000","-19,586,000","178,628,000","-464,829,000","-113,241,000"
			NetShortTermDebtIssuance,"0","-31,529,000","-95,163,000","126,692,000","0","0","-285,000,000","-200,000,000","0","485,000,000","-200,000,000","0","-35,000,000","35,000,000",,,,,,"0","0","0","-215,000,000","0","-95,000,000","195,000,000","-115,000,000","125,000,000","105,000,000","-40,000,000","-110,000,000","110,000,000","40,000,000","0","0","0","-88,000,000","38,000,000",,,"0","0"
				ShortTermDebtIssuance,"164,077,000","32,548,000","4,837,000","126,692,000","0","0","0","135,000,000","0","695,000,000","220,000,000","0","60,000,000","35,000,000",,,,,,"0","0","0","0","15,000,000","10,000,000","230,000,000","155,000,000","210,000,000","115,000,000","0","50,000,000","110,000,000","40,000,000","53,000,000","0","0","436,000,000","471,000,000",,,"0","0"
				ShortTermDebtPayments,"-164,077,000","-64,077,000","-100,000,000","0","0","0","-285,000,000","-335,000,000","0","-210,000,000","-420,000,000","0",,,,,,,,"0","0","0","-215,000,000","-15,000,000","-105,000,000","-35,000,000","-270,000,000","-85,000,000","-10,000,000","-40,000,000","-160,000,000","0","0","-53,000,000","0","0","-524,000,000","-433,000,000",,,"0","0"
		NetCommonStockIssuance,"-301,031,000","-58,029,000","-44,589,000","-91,659,000","-106,754,000","-38,418,000","-13,169,000","0","0","-90,163,000","0","0","-79,600,000","-77,839,000","-138,466,000","0","-158,000","-202,626,000","-356,000","-4,198,000","-1,167,000","-830,000","0","-3,833,000","-19,717,000","-4,993,000",,,,,"0","0",,,"-3,239,000","0",,,,,,
			CommonStockIssuance,,,,,,,,,,,"0","0","0","0","-1,000","0","0","767,116,000","229,500,000","0","464,200,000","418,106,000",,,,,,,,,"0","0",,,"0","0",,,,,,
			CommonStockPayments,"-301,031,000","-58,029,000","-44,589,000","-91,659,000","-106,754,000","-38,418,000","-13,169,000","0","0","-90,163,000","0","0","-79,600,000","-77,839,000","-138,465,000","0","-158,000","-969,742,000","-229,856,000","-4,198,000","-465,367,000","-418,936,000","0","-3,833,000","-19,717,000","-4,993,000",,,,,"0","0",,,"-3,239,000","0",,,,,,
