name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998
TotalAssets,"7,119,115,000","7,259,602,000","7,135,691,000","7,182,408,000","6,998,886,000","7,008,227,000","7,190,960,000","7,329,611,000","7,273,638,000","6,748,913,000","6,542,075,000","6,372,870,000","6,217,196,000","6,123,494,000","6,105,354,000","6,250,173,000","6,373,197,000","6,498,097,000","5,484,430,000","5,578,482,000","5,656,249,000","5,563,767,000","5,464,903,000","5,035,005,000","5,019,012,000","5,162,076,000","4,837,475,000","4,856,018,000","4,732,393,000","4,807,261,000","3,368,031,000","3,498,662,000","3,434,344,000","3,445,663,000","3,467,974,000","3,384,978,000","3,312,097,000","3,237,403,000","3,221,085,000","3,400,956,000","3,217,444,000","3,303,817,000","3,210,279,000","3,115,208,000","3,098,716,000","2,999,621,000","3,017,527,000","2,966,751,000","3,049,741,000","3,024,288,000","2,941,563,000","2,743,277,000","2,763,872,000","2,700,238,000","2,524,098,000","2,323,788,000","2,262,871,000","2,196,322,000","1,904,029,000","1,821,776,000","1,820,225,000","1,890,976,000","1,881,291,000","1,875,676,000","1,819,844,000","1,783,462,000","1,733,735,000","1,691,911,000","1,661,951,000","1,619,643,000","1,541,671,000","1,515,780,000","1,476,079,000","1,454,952,000","1,423,596,000","1,382,196,000","1,326,745,000","1,349,186,000","1,305,623,000","1,307,781,000","1,258,536,000","1,276,737,000","1,238,220,000","1,213,730,000","1,186,757,000","1,151,881,000","1,100,536,000","1,062,782,000","1,012,489,000","1,012,600,000","981,000,000","959,000,000","925,700,000","876,300,000","780,200,000","678,900,000"
TotalLiabilitiesNetMinorityInterest,"6,334,874,000","6,347,430,000","6,257,825,000","6,288,008,000","6,140,289,000","6,132,930,000","6,351,812,000","6,512,006,000","6,477,838,000","5,944,333,000","5,731,622,000","5,585,105,000","5,459,163,000","5,392,203,000","5,352,848,000","5,498,363,000","5,626,801,000","5,743,957,000","4,928,407,000","5,031,417,000","5,124,783,000","5,045,493,000","4,992,343,000","4,562,705,000","4,561,436,000","4,718,014,000","4,390,327,000","4,424,344,000","4,297,579,000","4,382,018,000","3,076,922,000","3,214,702,000","3,162,951,000","3,186,145,000","3,228,666,000","3,149,545,000","3,056,385,000","2,979,640,000","2,944,512,000","3,137,600,000","2,957,565,000","3,044,890,000","2,952,136,000","2,870,733,000","2,876,333,000","2,784,185,000","2,794,009,000","2,747,187,000","2,842,070,000","2,822,039,000","2,738,898,000","2,560,427,000","2,587,409,000","2,539,149,000","2,381,486,000","2,182,512,000","2,120,464,000","2,063,496,000","1,780,550,000","1,706,282,000","1,704,669,000","1,780,372,000","1,764,642,000","1,770,520,000","1,713,308,000","1,674,172,000","1,628,288,000","1,586,259,000","1,563,746,000","1,514,946,000","1,435,071,000","1,416,360,000","1,370,005,000","1,354,566,000","1,336,633,000","1,295,407,000","1,242,678,000","1,267,019,000","1,227,443,000","1,234,422,000","1,189,456,000","1,208,152,000","1,170,236,000","1,115,499,000","1,127,883,000","1,100,186,000","1,054,620,000","1,019,976,000","973,531,000","974,900,000","943,600,000","918,900,000","881,600,000","829,900,000","735,400,000","637,100,000"
TotalEquityGrossMinorityInterest,"784,241,000","912,172,000","877,866,000","894,400,000","858,597,000","875,297,000","839,148,000","817,605,000","795,800,000","804,580,000","810,453,000","787,765,000","758,033,000","731,291,000","752,506,000","751,810,000","746,396,000","754,140,000","556,023,000","547,065,000","531,466,000","518,274,000","472,560,000","472,300,000","457,576,000","444,062,000","447,148,000","431,674,000","434,814,000","425,243,000","291,109,000","283,960,000","271,393,000","259,518,000","239,308,000","235,433,000","255,712,000","257,763,000","276,573,000","263,356,000","259,879,000","258,927,000","258,143,000","244,475,000","222,383,000","215,436,000","223,518,000","219,564,000","207,671,000","202,249,000","202,665,000","182,850,000","176,463,000","161,089,000","142,612,000","141,276,000","142,407,000","132,826,000","123,479,000","115,494,000","115,556,000","110,604,000","116,649,000","105,156,000","106,536,000","109,290,000","105,447,000","105,652,000","98,205,000","104,697,000","106,600,000","99,420,000","106,074,000","100,386,000","86,963,000","86,789,000","84,067,000","82,167,000","78,180,000","73,359,000","69,080,000","68,585,000","67,984,000","98,231,000","58,874,000","51,695,000","45,916,000","42,806,000","38,958,000","37,700,000","37,400,000","40,100,000","44,100,000","46,400,000","44,800,000","41,800,000"
	StockholdersEquity,"784,241,000","912,172,000","877,866,000","894,400,000","858,597,000","875,297,000","839,148,000","817,605,000","795,800,000","804,580,000","810,453,000","787,765,000","758,033,000","731,291,000","752,506,000","751,810,000","746,396,000","754,140,000","556,023,000","547,065,000","531,466,000","518,274,000","472,560,000","472,300,000","457,576,000","444,062,000","447,148,000","431,674,000","434,814,000","425,243,000","291,109,000","283,960,000","271,393,000","259,518,000","239,308,000","235,433,000","255,712,000","257,763,000","276,573,000","263,356,000","259,879,000","258,927,000","258,143,000","242,479,000","220,520,000","214,323,000","222,059,000","218,357,000","206,829,000","201,781,000","202,665,000","182,294,000","176,230,000","160,617,000","142,427,000","140,989,000","142,147,000","132,328,000","123,096,000","115,494,000","115,556,000","110,604,000","116,649,000","105,156,000","106,536,000","109,290,000","105,447,000","105,652,000","98,205,000","104,697,000","106,600,000","99,420,000","106,074,000","100,386,000","86,963,000","86,789,000","84,067,000","82,167,000","78,180,000","73,359,000","69,080,000","68,585,000","67,984,000","61,281,000","58,874,000","51,695,000","45,916,000","42,806,000","38,958,000","37,700,000","37,400,000","40,100,000","44,100,000","46,400,000","44,800,000","41,800,000"
		CapitalStock,"47,471,000","47,461,000","47,450,000","47,439,000","47,430,000","47,419,000","47,402,000","47,387,000","47,373,000","47,360,000","47,346,000","47,333,000","47,320,000","47,307,000","47,291,000","47,278,000","47,265,000","47,253,000","40,321,000","40,306,000","39,375,000","39,320,000","36,489,000","36,455,000","34,853,000","34,832,000","34,803,000","34,776,000","33,239,000","33,223,000","26,731,000","26,644,000","26,619,000","25,483,000","25,451,000","25,420,000","25,390,000","24,308,000","24,247,000","24,228,000","24,199,000","23,146,000","23,112,000","23,092,000","23,081,000","22,075,000","22,042,000","22,005,000","21,946,000","20,928,000","20,872,000","20,821,000","20,740,000","19,695,000","19,628,000","19,529,000","19,428,000","18,581,000","18,544,000","18,507,000","17,626,000","17,594,000","17,536,000","17,480,000","17,428,000","16,633,000","16,549,000","16,447,000","16,384,000","15,608,000","15,542,000","14,845,000","14,795,000","14,724,000","13,062,000","12,299,000","12,056,000","11,947,000","11,840,000","11,271,000","10,965,000","10,917,000","10,870,000","10,348,000","10,296,000","10,269,000","9,794,000","9,780,000","9,759,000","9,700,000","9,700,000",,,,,
			CommonStock,"47,471,000","47,461,000","47,450,000","47,439,000","47,430,000","47,419,000","47,402,000","47,387,000","47,373,000","47,360,000","47,346,000","47,333,000","47,320,000","47,307,000","47,291,000","47,278,000","47,265,000","47,253,000","40,321,000","40,306,000","39,375,000","39,320,000","36,489,000","36,455,000","34,853,000","34,832,000","34,803,000","34,776,000","33,239,000","33,223,000","26,731,000","26,644,000","26,619,000","25,483,000","25,451,000","25,420,000","25,390,000","24,308,000","24,247,000","24,228,000","24,199,000","23,146,000","23,112,000","23,092,000","23,081,000","22,075,000","22,042,000","22,005,000","21,946,000","20,928,000","20,872,000","20,821,000","20,740,000","19,695,000","19,628,000","19,529,000","19,428,000","18,581,000","18,544,000","18,507,000","17,626,000","17,594,000","17,536,000","17,480,000","17,428,000","16,633,000","16,549,000","16,447,000","16,384,000","15,608,000","15,542,000","14,845,000","14,795,000","14,724,000","13,062,000","12,299,000","12,056,000","11,947,000","11,840,000","11,271,000","10,965,000","10,917,000","10,870,000","10,348,000","10,296,000","10,269,000","9,794,000","9,780,000","9,759,000","9,700,000","9,700,000",,,,,
		AdditionalPaidInCapital,"781,814,000","780,501,000","778,600,000","777,413,000","774,815,000","771,511,000","770,639,000","769,407,000","768,440,000","766,718,000","765,512,000","764,220,000","763,582,000","762,470,000","761,594,000","759,562,000","758,653,000","757,439,000","563,553,000","561,728,000","536,653,000","535,240,000","459,808,000","458,817,000","424,753,000","424,078,000","423,167,000","422,392,000","390,515,000","389,886,000","244,150,000","240,305,000","239,678,000","214,091,000","213,242,000","212,648,000","212,151,000","195,602,000","194,485,000","193,994,000","193,553,000","176,791,000","176,086,000","178,450,000","178,274,000","162,877,000","162,335,000","162,010,000","161,460,000","146,357,000","145,726,000","145,301,000","144,564,000","131,112,000","130,433,000","129,620,000","128,934,000","115,250,000","114,835,000","114,462,000","101,012,000","100,736,000","100,219,000","99,709,000","99,322,000","87,962,000","87,429,000","86,765,000","86,229,000","75,268,000","74,720,000","64,070,000","63,679,000","63,144,000","54,039,000","46,057,000","44,595,000","44,050,000","43,369,000","37,385,000","35,507,000","35,195,000","34,923,000","30,559,000","30,284,000","30,226,000","27,718,000","27,640,000","27,542,000","27,500,000","27,400,000",,,,,
		RetainedEarnings,"193,739,000","179,813,000","163,809,000","145,277,000","134,782,000","111,208,000","93,916,000","77,134,000","65,863,000","80,274,000","74,477,000","65,183,000","57,023,000","64,797,000","58,578,000","48,843,000","39,184,000","32,851,000","25,677,000","19,408,000","37,920,000","30,098,000","26,420,000","19,874,000","49,254,000","41,527,000","37,783,000","31,871,000","59,218,000","55,396,000","65,409,000","63,469,000","56,997,000","78,673,000","69,252,000","65,219,000","58,720,000","70,708,000","71,691,000","66,565,000","62,339,000","72,646,000","70,028,000","61,472,000","53,117,000","64,567,000","62,328,000","53,955,000","47,401,000","53,812,000","48,517,000","40,109,000","32,836,000","34,021,000","26,309,000","22,290,000","15,559,000","26,187,000","23,321,000","21,392,000","32,050,000","29,648,000","27,194,000","24,493,000","22,297,000","32,054,000","30,070,000","27,501,000","25,061,000","33,718,000","31,336,000","39,064,000","36,434,000","32,979,000","29,939,000","35,240,000","32,489,000","29,805,000","27,584,000","30,000,000","27,353,000","25,133,000","21,806,000","24,064,000","21,931,000","19,891,000","20,767,000","18,767,000","16,660,000","14,600,000","12,400,000","14,100,000","12,600,000","11,400,000","10,100,000","12,100,000"
		TreasuryStock,"158,512,000","155,308,000","155,967,000","140,616,000","138,016,000","123,921,000","119,080,000","119,334,000","119,415,000","94,008,000","93,573,000","93,906,000","94,119,000","93,055,000","45,966,000","46,551,000","46,736,000","47,105,000","47,291,000","47,832,000","47,891,000","47,891,000","47,891,000","47,891,000","47,891,000","37,692,000","37,692,000","37,692,000","37,692,000","37,692,000","37,692,000","37,692,000","37,692,000","37,692,000","37,692,000","37,692,000","37,692,000","35,793,000","28,377,000","28,377,000","28,377,000","28,377,000","28,377,000","28,377,000","28,377,000","28,377,000","28,261,000","23,569,000","23,569,000","23,545,000","23,545,000","23,545,000","23,545,000","23,115,000","23,115,000","23,115,000","22,983,000","22,983,000","22,983,000","22,983,000","22,850,000","22,850,000","22,850,000","22,850,000","22,850,000","22,850,000","22,850,000","22,850,000","22,850,000","17,853,000","17,333,000","17,219,000","16,544,000","16,544,000","16,544,000","15,481,000","13,257,000","12,714,000","12,692,000","11,883,000","9,364,000","8,511,000","7,972,000","7,416,000","7,006,000","5,357,000","5,238,000","5,170,000","5,102,000","4,500,000","4,200,000",,,,,
		GainsLossesNotAffectingRetainedEarnings,"-80,271,000","59,705,000","43,974,000","64,887,000","39,586,000","69,080,000","46,271,000","43,011,000","33,539,000","4,236,000","16,691,000","4,935,000","-15,773,000","-50,228,000","-68,991,000","-57,322,000","-51,970,000","-36,298,000","-26,237,000","-26,545,000","-34,591,000","-38,493,000","-2,266,000","5,045,000","-3,393,000","-18,683,000","-10,913,000","-19,673,000","-10,466,000","-15,570,000","-7,489,000","-8,766,000","-14,209,000","-21,037,000","-30,945,000","-30,162,000","-2,857,000","2,938,000","14,527,000","6,946,000","8,165,000","14,721,000","17,294,000","7,842,000","-5,575,000","-6,819,000","3,615,000","3,956,000","-409,000","4,229,000","11,095,000","-392,000","1,635,000","-1,096,000","-10,828,000","-7,335,000","1,209,000","-4,707,000","-10,621,000","-15,884,000","-12,282,000","-14,524,000","-5,450,000","-13,676,000","-9,661,000","-4,509,000","-5,751,000","-2,211,000","-6,619,000","-2,044,000","2,335,000","-1,340,000","7,710,000","6,083,000","6,467,000","8,674,000","8,184,000","9,079,000","8,079,000","6,586,000","4,619,000","5,851,000","8,357,000","3,726,000","3,369,000","-3,334,000","-7,125,000","-8,211,000","-9,901,000","-9,600,000","-7,900,000",,,,"4,100,000","1,700,000"
