name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"6,261,151,000","1,720,062,000","1,398,789,000","1,675,198,000","1,467,102,000","1,440,892,000","1,141,738,000","1,194,256,000","999,013,000","913,970,000","1,075,935,000","1,558,675,000","1,160,786,000","1,021,803,000","811,483,000","1,348,609,000","1,225,347,000","1,101,423,000","871,623,000","1,403,138,000","1,144,001,000","1,002,794,000","818,596,000","1,191,942,000","913,283,000","811,050,000","678,371,000","985,783,000","843,157,000","622,969,000","580,121,000","796,041,000","589,214,000","565,007,000","450,687,000","618,531,000","548,974,000","524,406,000","405,219,000","566,518,000","424,504,000","302,852,000","254,558,000","469,568,000","367,316,000","271,738,000","196,940,000","450,963,000","501,003,000","374,052,000","263,978,000","674,568,000","458,451,000","384,470,000","307,361,000","919,037,000","681,610,000","639,065,000","794,224,000","2,070,580,000","1,543,900,000","1,413,208,000","1,767,234,000","3,545,680,000","2,674,391,000","2,592,071,000","2,191,650,000","3,150,140,000","2,525,064,000","2,130,326,000","1,636,120,000","2,380,597,000","1,748,292,000","1,570,386,000","1,353,409,000","1,873,241,000","1,442,259,000","1,440,104,000","1,094,950,000","1,590,606,000","1,292,969,000","1,116,645,000","915,665,000","1,426,419,000","1,215,148,000","1,051,953,000","808,195,000","1,225,152,000","965,374,000","906,182,000","786,225,000","1,217,000,000","1,052,000,000","847,500,000","682,200,000","780,300,000","659,000,000","526,700,000","417,300,000","636,300,000","460,600,000","407,000,000","339,600,000","511,700,000","472,800,000","473,800,000","295,800,000","449,300,000","372,300,000","315,500,000","229,800,000","375,800,000","348,900,000","326,000,000","256,900,000","373,100,000","319,900,000","320,000,000","224,900,000","384,600,000","290,300,000","234,800,000","184,500,000","317,800,000","277,100,000","307,200,000","318,900,000","375,200,000","325,300,000","349,800,000","315,700,000","569,800,000","276,700,000","246,100,000","172,600,000","254,300,000","226,600,000","287,600,000","134,900,000","262,100,000","158,600,000","140,800,000","110,500,000","217,700,000","123,500,000","81,900,000","81,900,000","171,900,000","78,100,000"
	OperatingRevenue,"6,261,151,000","1,720,062,000","1,398,789,000","1,675,198,000","1,467,102,000","1,440,892,000","1,141,738,000","1,194,256,000","999,013,000","913,970,000","1,075,935,000","1,558,675,000","1,160,786,000","1,021,803,000","811,483,000","1,348,609,000","1,225,347,000","1,101,423,000","871,623,000","1,403,138,000","1,144,001,000","1,002,794,000","818,596,000","1,191,942,000","913,283,000","811,050,000","678,371,000","985,783,000","843,157,000","622,969,000","580,121,000","796,041,000","589,214,000","565,007,000","450,687,000","618,531,000","548,974,000","524,406,000","405,219,000","566,518,000","424,504,000","302,852,000","254,558,000","469,568,000","367,316,000","271,738,000","196,940,000","450,963,000","501,003,000","374,052,000","263,978,000","674,568,000","458,451,000","384,470,000","307,361,000","919,037,000","681,610,000","639,065,000","794,224,000","2,070,580,000","1,543,900,000","1,413,208,000","1,767,234,000","3,545,680,000","2,674,391,000","2,592,071,000","2,191,650,000","3,177,041,000","2,515,803,000","2,120,313,000","1,628,493,000","2,368,758,000","1,739,538,000","1,558,092,000","1,341,879,000","1,855,042,000","1,418,075,000","1,420,886,000","1,081,426,000","1,656,312,000","1,266,726,000","1,116,645,000","910,187,000","1,426,419,000","1,215,148,000","1,051,953,000","808,195,000","1,225,152,000","965,374,000","906,182,000","786,225,000","1,217,000,000","1,052,000,000","847,500,000","682,200,000","780,300,000","659,000,000","526,700,000","417,300,000","636,300,000","460,600,000","407,000,000","339,600,000","511,700,000","472,800,000","473,800,000","295,800,000","449,300,000","372,300,000","315,500,000","229,800,000","375,800,000","348,900,000","326,000,000","256,900,000","373,100,000","319,900,000","320,000,000","224,900,000","384,600,000","290,300,000","234,800,000","184,500,000","317,800,000","277,100,000","307,200,000","318,900,000","375,200,000","325,300,000","349,800,000","315,700,000","569,800,000","276,700,000","246,100,000","172,600,000","254,300,000","226,600,000","287,600,000","134,900,000","262,100,000","158,600,000","140,800,000","110,500,000","217,700,000","123,500,000","81,900,000","81,900,000","171,900,000","78,100,000"
CostOfRevenue,"4,803,248,000","1,281,752,000","1,082,112,000","1,291,742,000","1,147,642,000","1,128,018,000","901,909,000","951,450,000","798,495,000","744,453,000","886,053,000","1,250,575,000","943,754,000","843,744,000","670,855,000","1,101,689,000","1,001,509,000","911,244,000","729,478,000","1,146,791,000","955,001,000","846,596,000","698,080,000","1,023,079,000","760,490,000","688,714,000","568,818,000","813,392,000","709,148,000","524,410,000","492,418,000","680,393,000","479,424,000","456,560,000","369,274,000","504,442,000","446,381,000","442,998,000","343,265,000","493,348,000","348,617,000","250,362,000","228,193,000","406,931,000","303,737,000","251,168,000","170,796,000","363,092,000","411,813,000","306,843,000","226,540,000","667,568,000","414,575,000","376,810,000","290,958,000","993,774,000","654,817,000","755,840,000","912,641,000","2,169,586,000","2,003,494,000","1,480,476,000","1,456,036,000","3,226,049,000","2,087,950,000","1,921,203,000","1,618,315,000","2,294,989,000","1,828,499,000","1,552,276,000","1,212,375,000","1,773,097,000","1,319,387,000","1,190,304,000","1,043,068,000","1,422,714,000","1,097,389,000","1,110,887,000","848,029,000","1,286,735,000","995,908,000","887,799,000","719,801,000","1,132,447,000","976,975,000","840,197,000","641,549,000","963,469,000","764,468,000","723,401,000","630,221,000","955,900,000","825,800,000","678,400,000","551,800,000","644,300,000","521,600,000","427,000,000","341,200,000","514,100,000","376,800,000","331,400,000","276,300,000","411,000,000","385,000,000","385,100,000","241,800,000","374,900,000","297,600,000","253,500,000","185,400,000","312,800,000","275,300,000","255,700,000","199,000,000","290,300,000","250,700,000","245,500,000","171,800,000","288,400,000","233,900,000","184,700,000","140,600,000","235,800,000","206,900,000","250,100,000","266,600,000","300,400,000","249,000,000","262,400,000","224,700,000",,,,,,,,,,,,,,,,,,
GrossProfit,"1,457,903,000","438,310,000","316,677,000","383,456,000","319,460,000","312,874,000","239,829,000","242,806,000","200,518,000","169,517,000","189,882,000","308,100,000","217,032,000","178,059,000","140,628,000","246,920,000","223,838,000","190,179,000","142,145,000","256,347,000","189,000,000","156,198,000","120,516,000","168,863,000","152,793,000","122,336,000","109,553,000","172,391,000","134,009,000","98,559,000","87,703,000","115,648,000","109,790,000","108,447,000","81,413,000","114,089,000","102,593,000","81,408,000","61,954,000","73,170,000","75,887,000","52,490,000","26,365,000","62,637,000","63,579,000","20,570,000","26,144,000","87,871,000","89,190,000","67,209,000","37,438,000","7,000,000","43,876,000","7,660,000","16,403,000","-74,737,000","26,793,000","-116,775,000","-118,417,000","-99,006,000","-459,594,000","-67,268,000","311,198,000","319,631,000","586,441,000","670,868,000","573,335,000","855,151,000","696,565,000","578,050,000","423,745,000","607,500,000","428,905,000","380,082,000","310,341,000","450,527,000","344,870,000","329,217,000","246,921,000","303,871,000","297,061,000","228,846,000","195,864,000","293,972,000","238,173,000","211,756,000","166,646,000","261,683,000","200,906,000","182,781,000","156,004,000","261,100,000","226,200,000","169,100,000","130,400,000","136,000,000","137,400,000","99,700,000","76,100,000","122,200,000","83,800,000","75,600,000","63,300,000","100,700,000","87,800,000","88,700,000","54,000,000","74,400,000","74,700,000","62,000,000","44,400,000","63,000,000","73,600,000","70,300,000","57,900,000","82,800,000","69,200,000","74,500,000","53,100,000","96,200,000","56,400,000","50,100,000","43,900,000","82,000,000","70,200,000","57,100,000","52,300,000","74,800,000","76,300,000","87,400,000","91,000,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"623,661,000","169,976,000","143,827,000","164,299,000","145,559,000","146,368,000","123,205,000","123,879,000","108,766,000","115,121,000","127,096,000","141,568,000","128,629,000","123,868,000","107,618,000","121,435,000","115,698,000","114,188,000","96,677,000","121,398,000","109,985,000","104,733,000","93,708,000","110,751,000","99,035,000","94,681,000","88,791,000","99,229,000","95,984,000","79,460,000","72,036,000","83,191,000","73,756,000","72,396,000","62,126,000","63,963,000","64,220,000","70,735,000","59,932,000","66,221,000","62,780,000","66,472,000","55,686,000","38,246,000","60,185,000","77,092,000","49,605,000","56,205,000","79,356,000","83,982,000","73,096,000","95,036,000","80,361,000","73,388,000","62,795,000","195,361,000","133,211,000","141,567,000","130,554,000","220,511,000","300,723,000","190,189,000","267,139,000","371,099,000","348,627,000","329,081,000","299,168,000","362,337,000","322,755,000","283,298,000","227,522,000","271,969,000","252,951,000","213,265,000","188,832,000","233,957,000","207,524,000","206,955,000","156,487,000","168,241,000","158,704,000","141,507,000","121,607,000","144,560,000","143,585,000","143,751,000","121,719,000","145,956,000","129,947,000","124,368,000","117,213,000","148,200,000","136,500,000","123,600,000","104,400,000","108,000,000","84,700,000","74,300,000","63,200,000","80,300,000","59,600,000","56,100,000","52,600,000","66,900,000","63,800,000","65,400,000","43,200,000","63,700,000","51,900,000","45,400,000","34,600,000","57,300,000","46,500,000","43,100,000","35,100,000","51,500,000","35,600,000","43,200,000","32,400,000","57,500,000","34,400,000","32,600,000","25,900,000","42,500,000","39,100,000","34,400,000","28,400,000","48,300,000","43,200,000","42,700,000","39,900,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"623,661,000","169,976,000","143,827,000","164,299,000","145,559,000","146,368,000","123,205,000","123,879,000","108,766,000","115,121,000","127,096,000","141,568,000","128,629,000","123,868,000","107,618,000","121,435,000","115,698,000","114,188,000","96,677,000","121,398,000","109,985,000","104,733,000","93,708,000","110,751,000","99,035,000","94,681,000","88,791,000","99,229,000","95,984,000","79,460,000","72,036,000","83,191,000","73,756,000","72,396,000","62,126,000","63,963,000","64,220,000","70,735,000","59,932,000","66,221,000","62,780,000","66,472,000","55,686,000","75,576,000","60,185,000","62,520,000","49,605,000","56,205,000","79,356,000","83,982,000","73,096,000","86,059,000","84,793,000","73,388,000","62,035,000","121,113,000","133,211,000","120,178,000","128,757,000","228,650,000","197,164,000","193,585,000","262,950,000","410,694,000","345,591,000","325,713,000","296,589,000","358,603,000","319,628,000","281,477,000","225,839,000","305,404,000","235,867,000","209,890,000","187,769,000","224,460,000","192,498,000","195,139,000","154,317,000","191,190,000","158,704,000","147,182,000","121,607,000","164,822,000","143,585,000","137,902,000","110,416,000","134,898,000","119,309,000","114,164,000","106,803,000","137,400,000","125,800,000","113,400,000","96,300,000","102,700,000","80,100,000","69,800,000","59,500,000","76,100,000","56,400,000","52,600,000","49,300,000","63,600,000","60,300,000","62,100,000","41,000,000","61,500,000","49,800,000","43,500,000","32,800,000","55,700,000","45,200,000","41,800,000","33,800,000","49,800,000","33,800,000","38,700,000","28,100,000","41,400,000","33,500,000","31,800,000","25,100,000","38,100,000","35,000,000","30,400,000","24,300,000","44,300,000","39,300,000","38,400,000","36,000,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"623,661,000","169,976,000","143,827,000","164,299,000","145,559,000","146,368,000","123,205,000","123,879,000","108,766,000","115,121,000","127,096,000","141,568,000","128,629,000","123,868,000","107,618,000","121,435,000","115,698,000","114,188,000","96,677,000","121,398,000","109,985,000","104,733,000","93,708,000","110,751,000","99,035,000","94,681,000","88,791,000","99,229,000","95,984,000","79,460,000","72,036,000","83,191,000","73,756,000","72,396,000","62,126,000","63,963,000","64,220,000","70,735,000","59,932,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"623,661,000","169,976,000","143,827,000","164,299,000","145,559,000","146,368,000","123,205,000","123,879,000","108,766,000","115,121,000","127,096,000","141,568,000","128,629,000","123,868,000","107,618,000","121,435,000","115,698,000","114,188,000","96,677,000","121,398,000","109,985,000","104,733,000","93,708,000","110,751,000","99,035,000","94,681,000","88,791,000","99,229,000","95,984,000","79,460,000","72,036,000","83,191,000","73,756,000","72,396,000","62,126,000","63,963,000","64,220,000","70,735,000","59,932,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,465,000","11,303,000","11,058,000","10,638,000","10,204,000","10,410,000","10,800,000","10,700,000","10,200,000","8,100,000","5,300,000","4,600,000","4,500,000","3,700,000","4,200,000","3,200,000","3,500,000","3,300,000","3,300,000","3,500,000","3,300,000","2,200,000","2,200,000","2,100,000","1,900,000","1,800,000","1,600,000","1,300,000","1,300,000","1,300,000","1,700,000","1,800,000","4,500,000","4,300,000","16,100,000","900,000","800,000","800,000","4,400,000","4,100,000","4,000,000","4,100,000","4,000,000","3,900,000","4,300,000","3,900,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,465,000","11,303,000","11,058,000","10,638,000","10,204,000","10,410,000","10,800,000","10,700,000","10,200,000","8,100,000","5,300,000","4,600,000","4,500,000","3,700,000","4,200,000","3,200,000","3,500,000","3,300,000","3,300,000","3,500,000","3,300,000","2,200,000","2,200,000","2,100,000","1,900,000","1,800,000","1,600,000","1,300,000","1,300,000","1,300,000","1,700,000","1,800,000","4,500,000","4,300,000","16,100,000","900,000","800,000","800,000","4,400,000","4,100,000","4,000,000","4,100,000","4,000,000","3,900,000","4,300,000","3,900,000",,,,,,,,,,,,,,,,,,
