name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,01/31/2006
TotalAssets,"5,012,036,000","4,764,379,000","5,287,767,000","4,954,585,000","5,087,544,000","5,089,969,000","4,870,994,000","5,497,121,000","5,530,551,000","4,863,872,000","4,928,848,000","4,710,375,000","4,766,353,000","3,191,172,000","3,332,691,000","3,073,349,000","3,022,249,000","2,908,687,000","2,834,873,000","2,702,217,000","2,707,601,000","2,551,878,000","2,551,201,000","2,305,788,000","2,218,950,000","2,230,918,000","2,239,998,000","2,115,910,000","2,077,951,000","1,983,170,000","1,922,759,000","1,779,812,000","1,699,225,000","1,602,727,000","1,535,347,000","1,391,992,000","1,331,577,000","1,275,249,000","1,233,246,000","1,038,769,000","1,058,001,000","957,217,000","930,072,000","815,848,000","765,807,000","730,488,000","709,422,000","599,325,000","567,763,000","553,635,000","621,229,000","547,957,000","570,943,000","568,932,000","623,312,000","533,667,000","526,839,000","469,413,000","503,052,000","397,594,000","377,852,000","338,597,000","282,615,000"
	CurrentAssets,"2,531,867,000","2,281,183,000","2,833,693,000","2,494,934,000","2,563,756,000","2,514,777,000","2,245,009,000","2,799,188,000","2,728,820,000","2,055,317,000","2,097,468,000","1,920,600,000","2,019,332,000","1,914,861,000","2,025,973,000","1,830,158,000","1,802,699,000","1,693,743,000","1,646,288,000","1,592,494,000","1,672,972,000","1,536,237,000","1,538,465,000","1,376,082,000","1,338,417,000","1,375,173,000","1,388,190,000","1,316,085,000","1,325,201,000","1,260,355,000","1,230,742,000","1,127,693,000","1,090,490,000","1,002,697,000","941,302,000","846,787,000","828,615,000","789,324,000","766,081,000","617,706,000","673,097,000","580,232,000","556,278,000","464,272,000","433,660,000","404,389,000","378,032,000","297,992,000","281,997,000","262,774,000","327,483,000","259,420,000","284,803,000","276,708,000","327,112,000","251,209,000","267,636,000","228,944,000","272,394,000","194,787,000","197,900,000","172,046,000","145,451,000"
		CashCashEquivalentsAndShortTermInvestments,"654,486,000","431,560,000","605,053,000","770,144,000","947,456,000","1,046,051,000","560,902,000","1,157,318,000","1,153,540,000","502,325,000","208,843,000","327,398,000","521,831,000","409,251,000","296,944,000","386,107,000","469,079,000","397,445,000","106,787,000","272,860,000","471,725,000","415,010,000","243,108,000","304,084,000","369,254,000","475,840,000","359,761,000","475,423,000","536,216,000","539,358,000","395,060,000","463,204,000","456,709,000","419,476,000","240,916,000","286,210,000","293,214,000","320,475,000","191,724,000","197,401,000","266,345,000","253,738,000","130,657,000","142,545,000","116,811,000","111,185,000","8,351,000","15,916,000","8,670,000","4,017,000","3,795,000","3,663,000","3,840,000","3,638,000","3,648,000","3,255,000","3,975,000","3,789,000","3,512,000","3,165,000","3,161,000","3,645,000","2,839,000"
			CashAndCashEquivalents,"654,486,000","431,560,000","605,053,000","770,144,000","947,456,000","1,046,051,000","560,902,000","1,157,318,000","1,043,540,000","392,325,000","208,843,000","177,398,000","326,831,000","409,251,000","296,944,000","237,107,000","231,886,000","277,445,000","46,787,000","92,860,000","321,725,000","385,010,000","133,108,000","194,084,000","239,254,000","345,840,000","209,552,000","325,214,000","386,007,000","389,149,000","295,060,000","363,058,000","456,709,000","419,476,000","240,916,000","286,210,000","293,214,000","320,475,000","191,724,000","197,401,000","266,345,000","253,738,000","130,657,000","142,545,000","116,811,000","111,185,000","8,351,000","15,916,000","8,670,000","4,017,000","3,795,000","3,663,000","3,840,000","3,638,000","3,648,000","3,255,000","3,975,000","3,789,000","3,512,000","3,165,000","3,161,000","3,645,000","2,839,000"
				CashFinancial,,"165,122,000",,,,"887,299,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"266,438,000",,,,"158,752,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,"0","0","0","0","110,000,000","110,000,000",,"150,000,000","195,000,000","0","0","149,000,000","237,193,000","120,000,000","60,000,000","180,000,000","150,000,000","30,000,000","110,000,000","110,000,000","130,000,000","130,000,000","150,209,000","150,209,000","150,209,000","150,209,000","100,000,000","100,146,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"192,754,000","233,682,000","169,212,000","154,416,000","154,342,000","193,109,000","136,271,000","127,992,000","88,691,000","139,337,000","112,888,000","107,263,000","110,046,000","136,168,000","102,353,000","103,666,000","100,274,000","99,719,000","82,934,000","67,593,000","62,936,000","88,631,000","65,708,000","55,998,000","54,112,000","64,992,000","50,939,000","45,277,000","43,558,000","52,440,000","49,399,000","42,110,000","26,722,000","47,049,000","46,911,000","30,998,000","29,925,000","41,515,000","36,649,000","32,279,000","22,328,000","26,153,000","21,080,000","19,939,000","15,634,000","22,292,000","20,386,000","11,418,000","8,051,000","13,477,000","13,340,000","13,135,000","12,392,000","18,268,000","20,488,000","19,164,000","19,533,000","20,643,000","16,089,000","14,295,000","17,137,000","18,476,000","15,757,000"
			AccountsReceivable,"192,754,000","233,682,000","169,212,000","154,416,000","154,342,000","193,109,000","136,271,000","127,992,000","88,691,000","139,337,000","112,888,000","107,263,000","110,046,000","136,168,000","102,353,000","103,666,000","100,274,000","99,719,000","82,934,000","67,593,000","62,936,000","88,631,000","65,708,000","55,998,000","54,112,000","64,992,000","50,939,000","45,277,000","43,558,000","52,440,000","49,399,000","42,110,000","26,722,000","47,049,000","46,911,000","30,998,000","29,925,000","41,515,000","36,649,000","32,279,000","22,328,000","26,153,000",,,,,,,,,,,,,"20,488,000","19,164,000","19,533,000","20,643,000","16,089,000","14,295,000","17,137,000","18,476,000","15,757,000"
		Inventory,"1,570,552,000","1,499,218,000","1,916,343,000","1,443,685,000","1,353,565,000","1,168,215,000","1,439,098,000","1,368,543,000","1,340,566,000","1,293,701,000","1,616,920,000","1,315,999,000","1,250,037,000","1,214,329,000","1,484,565,000","1,219,685,000","1,136,816,000","1,096,424,000","1,349,714,000","1,144,702,000","1,048,431,000","943,975,000","1,137,023,000","930,205,000","843,490,000","761,793,000","884,407,000","705,660,000","662,936,000","581,229,000","709,667,000","541,508,000","531,427,000","457,933,000","582,303,000","461,156,000","442,085,000","361,125,000","462,833,000","316,734,000","332,065,000","244,647,000","354,891,000","258,752,000","255,547,000","218,516,000","301,559,000","224,329,000","228,082,000","206,948,000","273,978,000","209,152,000","230,286,000","213,602,000","268,928,000","197,028,000","212,564,000","176,109,000","219,453,000","148,559,000","152,867,000","129,237,000","109,374,000"
