name,03/31/2022,09/30/2021,06/30/2021,12/31/2020,06/30/2020,03/31/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,06/30/2015,12/31/2014,06/30/2014,12/31/2013,06/30/2013,12/31/2012,06/30/2012,06/30/2011,12/31/2010,06/30/2010,12/31/2009,06/30/2009,12/31/2008,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1997
TotalAssets,"281,543,530","180,045,513","187,851,629","85,577,966","27,658,949","16,607,546","16,729,975","6,783,145","11,207,504","8,056,598","12,653,919.894","3,748,333.999","1,057,410.155","1,435,475.849","1,557,014.504","1,839,762.076","2,265,123.947","3,558,148.643","4,694,685.348","6,187,020.999","8,278,607","9,419,377.981","11,962,245.901","13,386,660","12,061,056.389","11,699,850","9,127,990.929","10,115,567","16,211,005.444","15,094,318","13,119,346.056","5,853,840","2,078,303.973","1,019,458.932","283,854.549","9,055,871.493","11,383,290.17","23,229,895.439","31,409,039.346","31,030,960.868","35,814,945.439"
	CurrentAssets,"167,528,049","84,422,097","143,902,970","71,244,095","19,012,771","9,096,984","11,454,680","4,491,829","9,648,435","7,310,599","11,767,498.927","3,566,816.002","852,918.257","1,395,664.187","1,515,151.736","1,784,528.832","2,188,251.657","3,419,218.747","4,585,493.739","6,068,796.372",,"9,056,004.257","11,139,062.266",,"9,445,209.706",,"4,815,504.245",,"8,162,470.7",,"10,218,520.78",,"2,077,564.892","1,019,458.932","283,854.549","6,647,710.428","5,324,287.805","11,651,689.35","16,796,226.64","16,002,456.576","20,932,808.826"
		CashCashEquivalentsAndShortTermInvestments,"166,444,773","81,953,152","142,651,648","70,936,994","18,857,088","8,951,553","11,392,862","4,432,150","9,584,024","7,238,489","11,676,040.716","3,532,872.007","840,632.337","1,385,350.39","1,501,283.638","1,765,247.204","2,168,717.991","3,379,520.591","4,548,538.226","6,038,931.528","8,085,683","9,022,408.253","11,065,653.122","10,761,224","9,426,442.018","6,040,591","4,475,625.464","6,893,644","7,919,787.411","9,932,959","10,045,652.248","2,611,556","2,022,970.125","1,011,071.461","283,854.549","2,482,279.061","194,797.883","255,150.207","1,401,874.739","1,078,757.293","7,900,012.058"
			CashAndCashEquivalents,"165,910,492","81,953,152","142,651,648","70,936,994","18,857,088","8,951,553","11,392,862","4,432,150","9,584,024","7,238,489","11,676,040.716","3,532,872.007","840,632.337","1,385,350.39","1,501,283.638","1,765,247.204","2,168,717.991","3,379,520.591","4,548,538.226","6,038,931.528","8,085,683","9,022,408.253","11,065,653.122","10,761,224","9,426,442.018","6,040,591","4,475,625.464","6,893,644","7,919,787.411","9,932,959","10,045,652.248","2,611,556","2,022,970.125","1,011,071.461","283,854.549","11,454.599","194,797.883","255,150.207","1,401,874.739","1,078,757.293","6,392,807.62"
				CashFinancial,,,,,"14,307,088",,,"2,224,380",,"2,714,776","11,676,040.716","843,295.269","840,632.337","3,334.379","1,501,283.638","4,401.049","2,168,717.991","96,231.194","4,548,538.226","281,734.306","8,085,683","446,277.913","649,641.964","10,761,224","4,798,771.087","6,040,591","323,285.825","6,893,644","7,919,787.411","9,932,959","10,045,652.248","2,611,556","2,022,970.125","1,011,071.461","283,854.549","11,454.599","194,797.883","255,150.207","1,373,216.311","475,961.603","6,392,807.62"
				CashEquivalents,,,,,"4,550,000",,,"2,207,770",,"4,523,713",,"2,689,576.737",,"1,382,016.011",,"1,760,846.155",,"3,283,289.397",,"5,757,197.222",,"8,576,130.34","10,416,011.158",,"4,627,670.93",,"4,152,339.639",,,,,,,,,,,"2,814,000","28,658.427","602,795.69",
			OtherShortTermInvestments,"534,281",,,,,,,,,,,"0",,"0",,"0",,"0",,"0",,"0","0",,"0",,"0",,"0",,"0",,"0","0","0","2,470,824.462","0","0",,,"1,507,204.437"
		Receivables,,,,"189,175","130,096","145,431","61,818","24,679","64,411","35,493","91,458.211","33,943.995","12,285.92","10,313.798","13,868.098","19,281.627","19,533.666","39,698.157","36,955.514","29,864.844","48,638","33,596.005","73,409.144","15,936","18,767.688","32,356","339,878.781","405,800","242,683.289","248,772","172,868.533","68,346","17,411.436","8,387.471","0","1,375,225.723","1,392,861.164","5,551,558.202","9,893,724.999","9,184,790.59","8,419,243.986"
			AccountsReceivable,,,,"189,175","27,412","35,961","61,818",,"64,411",,"91,458.211",,"12,285.92",,"13,868.098",,"19,533.666",,"36,955.514",,"48,638",,,"15,936",,"32,356","271,051.909","405,800",,"248,772",,"68,346",,,,"1,249,225.13","1,294,336.223","5,159,137.184","8,692,459.251","8,473,852.152","6,483,239.887"
				GrossAccountsReceivable,,,,,,,,,,,"91,458.211",,"12,285.92",,"13,868.098",,"19,533.666",,"36,955.514",,"48,638",,,"15,936",,"32,356","271,051.909","405,800",,"248,772",,"68,346",,,,"1,308,519.527","1,329,805.202","5,399,488.679","8,692,459.251","8,737,533.544","6,805,028.034"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-59,294.397","-35,468.979","-240,351.495",,"-263,681.393","-321,788.147"
