name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalAssets,"4,845,417,000","4,875,050,000","2,567,797,000","1,490,599,000","1,434,260,000","1,408,982,000","1,367,885,000","1,349,209,000","1,321,912,000","1,272,517,000","1,246,560,000","1,191,934,000","1,147,367,000","1,174,925,000","1,179,298,000","1,147,963,000","1,142,751,000","1,129,150,000","1,114,646,000","1,120,604,000","1,108,847,000","1,097,709,000","1,103,516,000","1,098,640,000","1,098,510,000","1,098,894,000","1,096,459,000","1,106,078,000","632,073,000","617,247,000","606,989,000","600,513,000","620,993,000","603,025,000","582,668,000","563,902,000","542,442,000","532,684,000","505,332,000","483,221,000","459,518,000","440,579,000","426,408,000","418,507,000","425,982,000","407,945,000","394,030,000","379,831,000","375,955,000","380,623,000","384,333,000","384,526,000","382,067,000","363,814,000","353,038,000","345,361,000","337,112,000","308,775,000","299,691,000","290,849,000","273,713,000","274,786,000","272,105,000","267,738,000","275,923,000","271,424,000","264,652,000","247,143,000","250,169,000"
	CurrentAssets,"962,237,000","987,237,000","1,859,881,000","786,124,000","728,202,000","692,342,000","661,014,000","638,849,000","612,006,000","554,736,000","533,950,000","514,441,000","503,281,000","538,290,000","517,093,000","490,798,000","483,650,000","470,062,000","457,859,000","459,065,000","447,960,000","437,232,000","437,409,000","431,113,000","428,957,000","428,459,000","424,734,000","438,720,000","425,384,000","413,426,000","403,619,000","397,252,000","417,545,000","403,291,000","393,114,000","392,909,000","373,521,000","366,070,000","355,250,000","335,909,000","314,298,000","298,640,000","285,292,000","278,974,000","285,342,000","267,524,000","254,991,000","240,645,000","234,503,000","240,288,000","245,590,000","244,639,000","244,113,000","229,733,000","222,227,000","218,113,000","215,359,000","195,403,000","186,555,000","182,559,000","172,871,000","177,189,000","172,044,000","171,807,000","178,074,000","178,025,000","170,716,000","156,549,000","158,991,000"
		CashCashEquivalentsAndShortTermInvestments,"182,862,000","255,503,000","1,348,611,000","296,091,000","241,335,000","201,731,000","166,352,000","143,615,000","103,255,000","60,328,000","36,398,000","32,713,000","29,884,000","81,697,000","60,365,000","55,656,000","54,163,000","43,822,000","42,885,000","45,463,000","38,923,000","39,472,000","37,462,000","37,261,000","39,208,000","44,403,000","44,077,000","61,562,000","125,455,000","119,240,000","109,447,000","104,537,000","123,626,000","118,275,000","112,339,000","128,108,000","115,778,000","113,165,000","100,011,000","90,921,000","68,621,000","59,711,000","49,455,000","51,223,000","67,887,000","60,775,000","47,386,000","37,872,000","28,623,000","40,463,000","41,620,000","43,428,000","30,557,000","15,098,000","9,262,000","13,397,000","9,859,000","9,194,000","5,772,000","4,615,000","5,184,000","13,456,000","7,930,000","9,057,000","16,126,000","10,312,000","4,521,000","1,074,000","2,635,000"
			CashAndCashEquivalents,"182,862,000","255,503,000","1,348,611,000","175,771,000","151,086,000","126,192,000","166,352,000","143,615,000","103,255,000","60,328,000","36,398,000","32,713,000","29,884,000","81,697,000","60,365,000","55,656,000","54,163,000","43,822,000","42,885,000","45,463,000","38,923,000","39,472,000","37,462,000","37,261,000","39,208,000","44,403,000","44,077,000","61,562,000","125,455,000","119,240,000","109,447,000","102,154,000","121,207,000","115,989,000","110,202,000","126,081,000","114,480,000","111,955,000","99,184,000","90,921,000","68,621,000","59,711,000","49,455,000","50,973,000","63,975,000","52,705,000","39,075,000","30,290,000","21,389,000","34,157,000","36,795,000","38,698,000","30,557,000","15,098,000","9,262,000","13,397,000","9,859,000","9,194,000","5,772,000","4,615,000","5,184,000","13,456,000","7,930,000","9,057,000","16,126,000","10,312,000","4,521,000","1,074,000","2,635,000"
				CashFinancial,,,,,,,,,"103,255,000",,,"32,713,000","29,884,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,557,000",,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"0",,"0","120,320,000","90,249,000","75,539,000",,,,,,,,,,,,,,,,,,,,,,,"0","0","0","2,383,000","2,419,000","2,286,000","2,137,000","2,027,000","1,298,000","1,210,000","827,000",,"0","0","0","250,000","3,912,000","8,070,000","8,311,000","7,582,000","7,234,000","6,306,000","4,825,000","4,730,000",,,,,,,,,,,,,,,,,
		Receivables,"247,487,000","199,785,000","109,650,000","105,756,000","110,472,000","106,506,000","108,078,000","113,184,000","128,995,000","121,847,000","129,618,000","130,088,000","130,735,000","116,673,000","119,521,000","116,211,000","116,890,000","109,923,000","109,688,000","112,640,000","109,700,000","98,312,000","103,942,000","101,508,000","102,351,000","90,332,000","97,132,000","101,961,000","76,651,000","66,580,000","72,001,000","73,082,000","75,642,000","67,296,000","72,051,000","69,580,000","69,715,000","61,831,000","69,487,000","69,371,000","72,560,000","62,894,000","67,237,000","64,798,000","60,095,000","53,243,000","57,997,000","56,005,000","53,978,000","46,251,000","48,230,000","49,178,000","63,692,000","62,954,000","66,836,000","64,044,000","66,137,000","57,697,000","56,051,000","59,017,000","54,636,000","51,824,000","52,212,000","53,618,000","50,935,000","46,722,000","47,860,000","48,646,000","53,967,000"
			AccountsReceivable,"247,487,000","199,785,000","109,650,000","105,756,000","110,472,000","106,506,000","108,078,000","113,184,000","128,995,000","121,847,000","129,618,000","130,088,000","130,735,000","116,673,000","119,521,000","116,211,000","116,890,000","109,923,000","109,688,000","112,640,000","109,700,000","98,312,000","103,942,000","101,508,000","102,351,000","90,332,000","97,132,000","101,961,000","76,651,000","66,580,000","72,001,000","73,082,000","75,642,000","67,296,000","72,051,000","69,580,000","69,715,000","61,831,000","69,487,000","69,371,000","72,560,000","62,894,000","67,237,000","64,798,000","60,095,000","53,243,000","57,997,000","56,005,000","53,978,000","46,251,000","48,230,000","49,178,000","63,692,000","62,954,000","66,836,000","64,044,000","66,137,000","57,697,000","56,051,000","59,017,000","54,636,000","51,824,000","52,212,000","53,618,000","50,935,000","46,722,000","47,860,000","48,646,000","53,967,000"
				GrossAccountsReceivable,"250,224,000","202,404,000","111,562,000","107,628,000","112,264,000","108,380,000","109,781,000","114,826,000","130,622,000","123,596,000","131,288,000","131,644,000","132,165,000","118,368,000","120,853,000","117,463,000","118,216,000","111,399,000","111,153,000","113,893,000","110,913,000","99,324,000","105,268,000","102,844,000","103,675,000","92,174,000","98,775,000","103,543,000","77,511,000","67,505,000","73,001,000","74,095,000","76,702,000","68,354,000","73,056,000","71,058,000","71,434,000","63,227,000","71,160,000","71,144,000","74,376,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,737,000","-2,619,000","-1,912,000","-1,872,000","-1,792,000","-1,874,000","-1,703,000","-1,642,000","-1,627,000","-1,749,000","-1,670,000","-1,556,000","-1,430,000","-1,695,000","-1,332,000","-1,252,000","-1,326,000","-1,476,000","-1,465,000","-1,253,000","-1,213,000","-1,012,000","-1,326,000","-1,336,000","-1,324,000","-1,842,000","-1,643,000","-1,582,000","-860,000","-925,000","-1,000,000","-1,013,000","-1,060,000","-1,058,000","-1,005,000","-1,478,000","-1,719,000","-1,396,000","-1,673,000","-1,773,000","-1,816,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
