name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
OperatingIncome,"270,815,000","56,824,000","77,964,000","72,279,000","63,748,000","66,190,000","70,004,000","56,975,000","67,228,000","101,812,000","120,533,000","84,047,000","91,118,000","85,860,000","98,831,000","92,705,000","105,256,000","98,610,000","265,284,000","70,480,000","91,511,000","79,052,000","74,641,000","72,516,000","52,826,000","74,758,000","70,093,000","68,271,000","65,321,000","68,911,000","65,665,000","66,145,000","62,324,000","69,525,000","61,249,000","109,279,000","104,065,000","99,966,000","84,057,000","84,579,000"
NetNonOperatingInterestIncomeExpense,"-11,687,000","-2,804,000","-2,873,000","-2,788,000","-3,222,000","-3,225,000","-3,398,000","-2,119,000","-1,464,000","-9,966,000","-359,000","476,000","157,000","-1,081,000","-859,000","-688,000","-1,061,000","-1,236,000","-1,508,000","-1,495,000","-1,486,000","-2,017,000","-857,000","-152,000","-40,000","-285,000","-937,000","241,000","349,000","204,000","122,000","191,000","378,000","400,000","21,000","220,000","366,000","281,000","94,000","224,000"
	InterestExpenseNonOperating,"9,692,000","2,804,000","2,873,000","2,788,000","3,222,000",,"3,398,000","2,119,000","1,464,000","9,966,000","359,000","-476,000","-157,000","1,081,000","859,000","688,000","1,061,000","1,236,000","1,508,000","1,495,000","1,486,000","2,017,000","857,000","152,000","40,000","285,000","937,000","-241,000","-349,000","-204,000","-122,000","-191,000","-378,000","-400,000","-21,000","-220,000",,"-281,000","-94,000","-224,000"
	TotalOtherFinanceCost,"807,000",,,,"3,222,000","3,225,000","3,398,000","2,119,000","1,464,000","9,966,000","359,000","-476,000","-157,000","1,081,000","859,000","688,000","1,061,000","1,236,000","1,508,000","1,495,000","1,486,000","2,017,000","857,000","152,000","40,000","285,000","937,000","-241,000","-349,000","-204,000","-122,000","-191,000","-378,000","-400,000","-21,000","-220,000",,"-281,000","-94,000","-224,000"
OtherIncomeExpense,"80,218,000","-257,000","8,508,000","70,848,000","1,119,000","1,923,000","-5,045,000","7,691,000","3,861,000","-14,469,000","35,958,000","-3,970,000","-7,411,000","115,000","8,643,000","749,000","-1,885,000","-7,537,000","-12,499,000","4,395,000","-2,431,000","1,618,000","209,829,000","9,067,000","6,034,000","6,627,000","4,513,000","2,781,000","-9,374,000","4,940,000","4,291,000","4,362,000","7,178,000","41,468,000","4,491,000","4,118,000","2,853,000","2,150,000","3,396,000","2,781,000"
	GainOnSaleOfSecurity,"58,379,000",,,"64,110,000","-5,731,000","-5,195,000","-14,507,000","-1,919,000","-3,787,000","-13,906,000","30,222,000",,,,,,,,,,,,,,,,,,"0","-1,000,000",,,"522,000","37,850,000",,,,,,
	EarningsFromEquityInterest,"22,215,000","3,991,000","6,116,000","7,058,000","5,050,000","5,524,000","4,572,000","5,927,000","1,499,000","4,442,000","2,989,000","3,607,000","971,000","553,000","1,444,000","2,690,000","604,000","-4,939,000","1,257,000","4,252,000","-44,000","83,000","5,127,000","9,579,000","5,645,000","6,627,000","4,785,000","4,590,000","6,473,000","5,197,000","4,749,000","4,866,000","4,805,000","3,566,000","4,491,000","4,114,000","3,636,000","2,155,000","3,396,000","2,781,000"
	SpecialIncomeCharges,,,,,,,,,,,,,"-6,378,000","-303,000","0","0","-651,000","-5,000","-400,000","-1,320,000","134,000","-725,000","204,833,000","-1,518,000",,,,,"-15,243,000",,,,,,"0","4,000",,,"0","0"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,"0","0","0",,"-313,000","0","-204,833,000",,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,"-6,378,000","-303,000","0","0","-651,000","-5,000","-400,000","-1,320,000","-179,000","-725,000","0","-1,518,000",,,,,"-15,243,000",,,,,,"0","4,000",,,"0","0"
