name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
OperatingCashFlow,"7,269,372,000","3,890,152,000","3,570,367,000","320,090,000","-511,228,000","-495,357,000","-29,925,000","-880,445,000","1,454,897,000","1,311,416,000","693,810,000","466,825,000","-2,482,790,000","-300,393,000","-1,153,353,000","-272,537,000","-316,883,000","513,659,000","-281,901,000","-274,347,000","35,372,000","-378,842,000","36,797,000","181,130,000","173,516,000","169,353,000","-41,348,000","-155,164,000","535,866,000","-18,591,000","86,559,000","41,379,000","25,371,000","2,064,000","48,360,000","86,527,000","18,053,000","0","0","0","0","0"
	CashFlowFromContinuingOperatingActivities,"7,269,372,000","3,890,152,000","3,570,367,000","320,090,000","-511,228,000","-495,357,000","-29,925,000","-880,445,000","1,454,897,000","1,311,416,000","693,810,000","466,825,000","-2,482,790,000","-300,393,000","-1,153,353,000","-272,537,000","-316,883,000","513,659,000","-281,901,000","-274,347,000","35,372,000","-378,842,000","36,797,000","181,130,000","173,516,000","169,353,000","-41,348,000","-155,164,000","535,866,000","-18,591,000","86,559,000","41,379,000","25,371,000","2,064,000","48,360,000","86,527,000","18,053,000","0","0","0","0","0"
		NetIncomeFromContinuingOperations,"1,194,177,000","689,931,000","187,839,000","170,681,000","145,726,000","301,336,000","101,522,000","103,920,000","44,129,000","-1,607,255,000","230,381,000","244,660,000","-25,020,000","155,912,000","8,854,000","195,477,000","185,836,000","614,364,000","300,370,000","239,721,000","337,403,000","137,158,000","242,065,000","131,086,000","93,627,000","115,938,000","99,052,000","61,755,000","79,277,000","41,798,000","50,928,000","152,098,000","182,208,000","56,865,000","80,181,000","63,145,000","109,222,000","13,075,000","20,317,000","11,768,000","6,474,000","2,688,000"
		OperatingGainsLosses,"-2,395,500,000","-1,110,594,000","-606,581,000","-506,978,000","-157,826,000","-609,349,000","-416,476,000","-412,353,000","-256,262,000","731,830,000","-274,832,000","-315,088,000","-31,874,000","-19,587,000","84,679,000","-20,529,000","-12,753,000","8,226,000","-83,331,000","-22,038,000","-53,247,000","305,000","-22,478,000","-24,790,000","24,098,000","-15,087,000","1,035,000","40,167,000","-28,452,000","-2,053,000","-39,617,000","-117,064,000","-177,274,000","-34,722,000","-82,567,000","-56,195,000","-94,426,000","-2,827,000","-2,510,000","-1,774,000","-3,523,000","-1,216,000"
			GainLossOnInvestmentSecurities,,,"-1,131,000","489,000","-1,725,000","186,000","-3,014,000","-4,342,000","-929,000","5,050,000","2,960,000","1,103,000","-1,451,000","-2,786,000","15,515,000","145,000","972,000","-5,772,000","1,641,000","-8,540,000","-13,371,000","13,674,000","4,510,000","17,079,000","12,711,000","14,500,000","16,766,000","16,409,000","1,733,000","-17,701,000","22,347,000","-938,000","-52,539,000","-4,357,000","-41,386,000","-11,213,000",,,"0","0",,
			EarningsLossesFromEquityInvestments,"-9,025,000","-256,000","-57,000","-10,546,000","1,834,000","2,783,000","2,042,000","4,716,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-969,000",,,,
		DepreciationAmortizationDepletion,"9,784,000","4,083,000","2,898,000","1,824,000","979,000","371,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"9,784,000","4,083,000","2,898,000","1,824,000","979,000","371,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Depreciation,"9,784,000","4,083,000","2,898,000","1,824,000","979,000","371,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"267,323,000","201,354,000","31,521,000","27,484,000","6,964,000","85,231,000","57,468,000","99,201,000","25,277,000","-166,917,000","34,911,000","-6,653,000","-21,598,000","46,331,000","-67,374,000","-1,865,000","-1,759,000","-9,056,000","54,502,000","28,410,000","82,188,000","3,418,000","21,848,000","17,129,000","6,550,000","-10,681,000","-12,518,000","-5,456,000","14,348,000","-3,007,000","-7,371,000","4,840,000",,,,,,,,,,
