name,03/31/2022,12/31/2021,09/30/2021,12/31/2020
TotalAssets,"1,674,120,000","1,729,442,000","484,659,000","500,528,000"
	CurrentAssets,"1,655,260,000","1,706,202,000","467,038,000","492,276,000"
		CashCashEquivalentsAndShortTermInvestments,"1,623,268,000","1,678,542,000","456,470,000","489,682,000"
			CashAndCashEquivalents,"1,623,268,000","1,678,542,000","456,470,000","489,682,000"
		PrepaidAssets,"31,992,000","27,660,000","10,568,000","2,594,000"
	TotalNonCurrentAssets,"18,860,000","23,240,000","17,621,000","8,252,000"
		NetPPE,"3,695,000","4,657,000","5,453,000","7,583,000"
			GrossPPE,"5,626,000","6,178,000","6,665,000","7,921,000"
				Properties,"0","0","0","0"
				MachineryFurnitureEquipment,"1,437,000","1,437,000","1,279,000","1,031,000"
				OtherProperties,"2,084,000","2,672,000","3,243,000","4,863,000"
				ConstructionInProgress,"613,000","577,000","651,000","548,000"
				Leases,"1,492,000","1,492,000","1,492,000","1,479,000"
			AccumulatedDepreciation,"-1,931,000","-1,521,000","-1,212,000","-338,000"
		InvestmentsAndAdvances,"4,000,000","4,000,000",,
			OtherInvestments,"4,000,000","4,000,000",,
		OtherNonCurrentAssets,"11,165,000","14,583,000","12,168,000","669,000"
TotalLiabilitiesNetMinorityInterest,"125,543,000","214,603,000","839,849,000","758,601,000"
	CurrentLiabilities,"56,637,000","39,646,000","26,420,000","14,196,000"
		PayablesAndAccruedExpenses,"50,319,000","36,127,000","18,533,000","12,364,000"
			Payables,"7,323,000","7,640,000","3,223,000","1,319,000"
				AccountsPayable,"7,323,000","7,640,000","3,223,000","1,319,000"
			CurrentAccruedExpenses,"42,996,000","28,487,000","15,310,000","11,045,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"3,689,000","417,000","4,874,000","120,000"
		CurrentDebtAndCapitalLeaseObligation,"2,629,000","3,102,000","3,013,000","1,712,000"
			CurrentCapitalLeaseObligation,"2,629,000","3,102,000","3,013,000","1,712,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"68,906,000","174,957,000","813,429,000","744,405,000"
		LongTermDebtAndCapitalLeaseObligation,"0","272,000","1,075,000","3,373,000"
			LongTermCapitalLeaseObligation,"0","272,000","1,075,000","3,373,000"
		DerivativeProductLiabilities,"17,168,000","21,115,000",,
		PreferredSecuritiesOutsideStockEquity,,,"811,411,000","740,155,000"
		OtherNonCurrentLiabilities,"51,738,000","153,570,000","943,000","877,000"
TotalEquityGrossMinorityInterest,"1,548,577,000","1,514,839,000","-355,190,000","-258,073,000"
	StockholdersEquity,"1,548,577,000","1,514,839,000","-355,190,000","-258,073,000"
		CapitalStock,"49,000","49,000","4,000","3,000"
			PreferredStock,"0",,,
			CommonStock,"49,000","49,000","4,000","3,000"
		AdditionalPaidInCapital,"1,886,294,000","1,873,289,000","4,530,000","415,000"
		RetainedEarnings,"-337,774,000","-358,500,000","-359,724,000","-258,491,000"
		GainsLossesNotAffectingRetainedEarnings,"8,000","1,000",,
TotalCapitalization,"1,548,577,000","1,514,839,000","-355,190,000","-258,073,000"
CommonStockEquity,"1,548,577,000","1,514,839,000","-355,190,000","-258,073,000"
CapitalLeaseObligations,"2,629,000","3,374,000","4,088,000","5,085,000"
NetTangibleAssets,"1,548,577,000","1,514,839,000","-355,190,000","-258,073,000"
WorkingCapital,"1,598,623,000","1,666,556,000","440,618,000","478,080,000"
InvestedCapital,"1,548,577,000","1,514,839,000","-355,190,000","-258,073,000"
TangibleBookValue,"1,548,577,000","1,514,839,000","-355,190,000","-258,073,000"
TotalDebt,"2,629,000","3,374,000","4,088,000","5,085,000"
ShareIssued,"471,379,724","537,632,615","487,632,615","487,632,615"
OrdinarySharesNumber,"471,379,724","469,369,433","487,632,615","487,632,615"
TreasurySharesNumber,,"68,263,182",,
