name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,03/31/2015
OperatingCashFlow,"88,300,000","45,849,000","19,131,000","652,000","22,668,000","24,494,000","10,270,000","-12,411,000","17,908,000","26,336,000","-599,000","-4,000,000","18,425,000","6,560,000","4,831,000","-9,640,000","8,506,000","18,685,000","29,665,090","-57,140","-297,738","-147,212","-1,343,964","-934,443","-1,127,643","-95,529","1,691,747","-1,351"
	CashFlowFromContinuingOperatingActivities,"88,300,000","45,849,000","19,131,000","652,000","22,668,000","24,494,000","10,270,000","-12,411,000","17,908,000","26,336,000","-599,000","-4,000,000","18,425,000","6,560,000","4,831,000","-9,640,000","8,506,000","18,685,000","29,665,090","-57,140","-297,738","-147,212","-1,343,964","-934,443","-1,127,643","-95,529","1,691,747","-1,351"
		NetIncomeFromContinuingOperations,"81,882,000","3,087,000","70,057,000","1,931,000","6,807,000","-3,576,000","3,659,000","3,306,000","3,470,000","2,545,000","-121,000","1,739,000","4,087,000","11,824,000","2,342,000","-48,368,000","-25,446,000","3,507,000","-53,229,968","-37,618","-25,143","-4,271","-963,971","-347,057","-747,743","-802,394","-45,209,802","-9,351"
		OperatingGainsLosses,,,"1,160,000","2,053,000","-3,698,000","4,668,000",,,,,,,,,"0","-7,800,000","6,700,000","-500,000",,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"1,160,000","2,053,000","-3,698,000","4,668,000",,,,,,,,,"0","-7,800,000","6,700,000","-500,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"8,386,000","1,980,000","2,146,000","2,123,000","2,137,000","2,137,000","2,056,000","2,016,000","1,985,000","1,948,000","451,000","496,000","472,000","494,000","439,000","449,000","466,000","484,000",,,,,,,,,,
			DepreciationAndAmortization,"8,386,000","1,980,000","2,146,000","2,123,000","2,137,000","2,137,000","2,056,000","2,016,000","1,985,000","1,948,000","451,000","496,000","472,000","494,000","439,000","449,000","466,000","484,000",,,,,,,,,,
				Depreciation,"8,386,000","1,980,000","2,146,000","2,123,000","2,137,000","2,137,000","2,056,000","2,016,000","1,985,000","1,948,000",,,,,,,,,,,,,,,,,,
		DeferredTax,"-61,827,000","671,000","-62,319,000","-164,000","-15,000","180,000","-239,000","-308,000","-31,000","64,000","-322,000","59,000","-48,000","-26,000","20,000","-6,000","-243,000","-6,000",,,,,,,,,,
			DeferredIncomeTax,"-61,827,000","671,000","-62,319,000","-164,000","-15,000","180,000","-239,000","-308,000","-31,000","64,000","-322,000","59,000","-48,000","-26,000","20,000","-6,000","-243,000","-6,000",,,,,,,,,,
		AssetImpairmentCharge,"1,256,000","0","1,256,000","0","0","393,000",,,,,,,"0","0","0","0","704,000","7,169,000",,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,"0","0","12,552,000","2,684","-27,744","25,060","12,275",,,"-103,291","0",
		StockBasedCompensation,"10,528,000","3,051,000","2,606,000","2,393,000","2,478,000","2,233,000","2,036,000","2,189,000","1,726,000","1,510,000","1,703,000","1,621,000","1,053,000","1,155,000","1,251,000","1,178,000","1,098,000","867,000",,,,,,,,,,
		OtherNonCashItems,,"240,000","245,000",,,,"39,000","0",,,"-3,000","0","57,000","269,000","229,000","56,286,000","6,477,000","17,171,000","45,679,801","-313,290","-251,336","-200,175","-91,783","-55,234","-177,112","-161,227","195,566",
		ChangeInWorkingCapital,"47,879,000","36,820,000","3,980,000","-7,880,000","14,959,000","18,459,000","1,552,000","-19,614,000","10,750,000","20,269,000","-2,307,000","-7,915,000","12,804,000","-7,156,000","550,000","-11,379,000","18,750,000","-2,838,000","19,851,257","291,084","6,485","32,174","-300,485","-531,495","-306,079","971,383","43,361,983","8,000"
			ChangeInReceivables,"-6,983,000","44,980,000","-59,808,000","9,050,000","-1,205,000","33,176,000","-50,914,000","-4,090,000","11,104,000","35,353,000","-49,768,000","9,322,000","-7,790,000","17,015,000","-38,242,000","20,555,000","7,060,000","-7,409,000",,,,,,,,,,
				ChangesInAccountReceivables,"-6,983,000","44,980,000","-59,808,000","9,050,000","-1,205,000","33,176,000","-50,914,000","-4,090,000","11,104,000","35,353,000","-49,768,000","9,322,000","-7,790,000","17,015,000","-38,242,000","20,555,000","7,060,000","-7,409,000",,,,,,,,,,
			ChangeInPrepaidAssets,"-1,435,000","-490,000","834,000","-1,909,000","130,000","-2,510,000","-1,467,000","879,000","2,636,000","1,141,000","-5,187,000","534,000","10,078,000","-14,669,000","2,008,000","-548,000","-872,000","272,000","-3,482,918","227,250","15,417","-38,749","16,249","30,000","-180,344","-75,622","-2,660,688",
