name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
			PurchaseOfBusiness,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-394,549,000",,,,,,,,,,,,,"-27,379,000","-8,633,000","-32,068,000","-3,120,000","-3,073,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,"23,545,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,387,000",,,,"-43,387,000","0",,,,,,,,,,,,,,,,"0",,,"400,000",,,,"0","2,400,000",,,,,,,,,,,"-1,000,000","18,900,000",,,,,,,,,,
			SaleOfInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,"0",,,"400,000",,,,"0","2,400,000",,,,,,,,,,,"-1,000,000","18,900,000",,,,,,,,,,
		NetOtherInvestingChanges,"812,000","656,000","3,000","4,000","149,000","4,000","4,000","0","8,000","75,000","0","186,000","11,000","18,000","-306,000","5,464,000","974,000","1,551,000","869,000","-200,162,000","0","0","-104,000","1,186,000","126,000","11,519,000","73,891,000","-337,000","116,000","2,020,000","248,993,000","668,000","95,964,000","19,861,000","-6,927,000","-36,321,000","878,000","3,443,000","93,276,000","180,000","0","0","0","0","100,000","-251,583,000","0","140,040,000","272,000","7,543,000","2,876,000","5,568,000","254,000","-435,000","33,215,000","334,000","405,000","628,000","0","0",,"0","0","0","0","0",,"-9,766,000","9,766,000","-656,000","800,000","95,000","528,000","149,000","136,000","124,000","121,000","110,000","110,000","109,000","226,000","316,000","245,000","246,000","245,000","-784,000","567,000","484,000","659,000","300,000","500,000","600,000","200,000","-3,100,000","300,000","200,000","1,500,000","-9,500,000","1,100,000","1,100,000","1,300,000","-17,100,000","500,000","1,400,000","1,400,000","-17,700,000","-500,000","1,300,000","1,000,000","700,000","900,000","1,200,000","900,000","900,000","800,000","900,000","1,000,000","3,100,000","100,000","500,000","400,000","3,600,000","400,000","600,000","400,000","400,000","0","0","0"
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancingCashFlow,"-114,746,000","-80,641,000","-409,336,000","366,630,000","8,125,000","1,391,000","-10,000,000","-36,074,000","-39,004,000","37,000,000","-8,000,000","30,302,000","12,482,000","4,000,000","38,265,000","39,000,000","48,500,000","117,246,000","19,775,000","207,528,000","5,940,000","4,970,000","-50,511,000","-5,393,000","-75,000","30,000,000","-78,067,000","43,189,000","120,933,000","27,376,000","-57,204,000","173,016,000","-16,640,000","75,853,000","58,720,000","458,438,000","36,252,000","71,643,000","-104,779,000","58,410,000","17,414,000","81,416,000","10,303,000","58,034,000","-1,738,000","-2,616,000","-2,270,000","-3,146,000","150,555,000","-38,636,000","57,206,000","8,192,000","47,396,000","101,549,000","175,452,000","123,405,000","45,198,000","80,537,000","159,745,000","98,552,000","45,807,000","40,316,000","34,905,000","131,538,000","-25,818,000","-23,746,000","44,685,000","7,961,000","198,074,000","-3,877,000","29,419,000","1,452,000","-14,539,000","-1,413,000","-2,224,000","-1,284,000","26,686,000","46,924,000","-8,665,000","-2,483,000","1,636,000","52,098,000","122,658,000","-20,906,000","-9,723,000","-61,141,000","-4,509,000","34,150,000","-6,853,000","-4,100,000","43,200,000","-800,000","-4,200,000","4,700,000","1,900,000","-3,500,000","-4,600,000","-2,600,000","-1,900,000","-3,500,000","3,000,000","-5,800,000","-1,900,000","13,600,000","-5,500,000","-11,800,000","-4,900,000","-6,600,000","13,500,000","-4,300,000","-2,800,000","-6,300,000","-2,800,000","-7,200,000","-1,900,000","-3,400,000","-1,900,000","6,800,000","-7,300,000","-5,700,000","-7,400,000","-4,300,000","-4,800,000","3,900,000","1,300,000","-1,300,000","-2,000,000","-3,700,000","1,500,000"
	CashFlowFromContinuingFinancingActivities,"-114,746,000","-80,641,000","-409,336,000","366,630,000","8,125,000","1,391,000","-10,000,000","-36,074,000","-39,004,000","37,000,000","-8,000,000","30,302,000","12,482,000","4,000,000","38,265,000","39,000,000","48,500,000","117,246,000","19,775,000","207,528,000","5,940,000","4,970,000","-50,511,000","-5,393,000","-75,000","30,000,000","-78,067,000","43,189,000","120,933,000","27,376,000","-57,204,000","173,016,000","-16,640,000","75,853,000","58,720,000","458,438,000","36,252,000","71,643,000","-104,779,000","58,410,000","17,414,000","81,416,000","10,303,000","58,034,000","-1,738,000","-2,616,000","-2,270,000","56,501,000","150,555,000","-38,636,000","57,206,000","8,192,000","47,396,000","101,549,000","175,452,000","123,405,000","45,198,000","80,537,000","159,745,000","98,552,000","45,807,000","40,316,000","34,905,000","131,538,000","-25,818,000","-23,746,000","44,685,000","7,961,000","198,074,000","-3,877,000","29,419,000","1,452,000","-14,539,000","-1,413,000","-2,224,000","-1,284,000","26,686,000","46,924,000","-8,665,000","-2,483,000","1,636,000","52,098,000","122,658,000","-20,906,000","-9,723,000","-61,141,000","-4,509,000","34,150,000","-6,853,000","-4,100,000","43,200,000","-800,000","-4,200,000","4,700,000","1,900,000","-3,500,000","-4,600,000","-2,600,000","-1,900,000","-3,500,000","3,000,000","-5,800,000","-1,900,000","13,600,000","-5,500,000","-11,800,000","-4,900,000","-6,600,000","13,500,000","-4,300,000","-2,800,000","-6,300,000","-2,800,000","-7,200,000","-1,900,000","-3,400,000","-1,900,000","6,800,000","-7,300,000","-5,700,000","-7,400,000","-4,300,000","-4,800,000","3,900,000","1,300,000","-1,300,000","-2,000,000","-3,700,000","1,500,000"
		NetIssuancePaymentsOfDebt,"-101,471,000","-80,083,000","-397,710,000","368,197,000","8,125,000","-138,640,000","-10,000,000","-35,000,000","-40,000,000","37,000,000","-8,000,000","30,400,000","15,000,000","4,000,000","38,500,000","39,000,000","48,500,000","118,000,000","20,000,000","216,000,000","7,000,000","5,000,000","-50,350,000","-5,393,000","-75,000","30,000,000","-72,000,000","50,000,000","127,000,000","35,000,000","-55,000,000","-135,000,000","-16,000,000","78,000,000","61,000,000","484,910,000","38,000,000","-81,915,000","-103,000,000","61,000,000","20,000,000","84,000,000","15,000,000",,,"0","0","2,000,000","-2,000,000","-8,000,000","-39,000,000","-26,991,000","77,458,000","123,111,000","198,031,000","-3,600,000","56,000,000","-59,958,000","175,000,000","106,500,000","58,000,000","-67,600,000","45,000,000","142,800,000","-15,300,000","-10,615,000","51,815,000","16,700,000","82,300,000","3,000,000","37,000,000","7,000,000","-9,000,000","6,000,000","4,633,000","5,367,000","33,561,000","5,037,000","-3,051,000","3,077,000","6,254,000","-83,014,000","118,618,000","-22,297,000","-13,425,000","-60,094,000","-5,205,000","35,036,000","-6,000","-2,200,000","45,000,000","300,000","-2,600,000","5,600,000","3,500,000","-2,300,000","-2,800,000","-800,000","-100,000","-2,000,000","13,500,000","12,700,000","-3,800,000","19,200,000","-4,000,000","-9,800,000","-2,800,000","-4,700,000","15,400,000","-1,000,000","-1,100,000","-4,400,000","-1,100,000","-100,000","-500,000",,,"9,700,000","-7,500,000","-2,100,000","-5,600,000","-1,500,000","-3,000,000","7,900,000","3,000,000","1,800,000","200,000","-1,800,000","3,200,000"
			NetLongTermDebtIssuance,"-571,000","-83,000","-449,700,000",,,"-53,140,000","-10,000,000","-35,000,000","-40,000,000","37,000,000","-8,000,000","30,400,000","15,000,000","4,000,000","0","39,000,000","48,500,000","118,000,000","0","216,000,000","7,000,000","5,000,000","-50,350,000","0","0","30,000,000","6,000,000","70,000,000","127,000,000","35,000,000","75,000,000","217,000,000","85,000,000","78,000,000","66,000,000","570,910,000","38,000,000","409,085,000","-200,000,000","0","-3,000,000","114,000,000","-15,000,000",,,"0","0","2,000,000","-2,000,000","-8,000,000","-39,000,000","-26,991,000","77,458,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
