name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
OperatingCashFlow,"13,412,000,000","2,763,000,000","3,310,000,000","3,276,000,000","4,063,000,000","2,971,000,000","1,264,289,000","892,748,000","-23,875,000","-106,191,000","-95,773,000","-107,048,000","-112,220,000","-143,927,000","-91,020,000","-80,211,000","-48,249,000","-111,385,000","-102,927,000"
	CashFlowFromContinuingOperatingActivities,"13,412,000,000","2,763,000,000","3,310,000,000",,,"2,971,000,000","1,264,289,000","892,748,000","-23,875,000","-106,191,000","-95,773,000","-107,048,000","-112,220,000","-143,927,000","-91,020,000","-80,211,000","-48,249,000","-111,385,000","-102,927,000"
		NetIncomeFromContinuingOperations,"14,638,000,000","3,657,000,000","4,868,000,000","3,333,000,000","2,780,000,000","1,221,000,000","-272,485,000","-233,636,000","-116,713,000","-124,230,000","-123,116,000","-123,194,000","-135,054,000","-132,657,000","-141,426,000","-80,331,000","-90,601,000","-72,376,000","-37,944,000"
		OperatingGainsLosses,,,,,,,"-49,000","61,000","89,000","137,000","246,000","56,000","-5,000","19,000",,,,,
			GainLossOnSaleOfPPE,,,,,,,"-49,000","61,000","89,000","137,000","246,000","56,000","-5,000","19,000",,,"0","0",
		DepreciationAmortizationDepletion,"296,000,000","79,000,000","78,000,000",,,"15,000,000","7,706,000","8,500,000","7,596,000","7,449,000","8,939,000","7,265,000","7,489,000","7,328,000","7,350,000","6,481,000","5,878,000","5,153,000","5,915,000"
			DepreciationAndAmortization,"296,000,000","79,000,000","78,000,000","70,000,000","69,000,000","15,000,000","7,706,000","8,500,000","7,596,000","7,449,000","8,939,000","7,265,000","7,489,000","7,328,000","7,350,000","6,481,000","5,878,000","5,153,000","5,915,000"
				Depreciation,,,,,,,,,,,,,,,,,,,"5,915,000"
		AmortizationOfSecurities,"67,000,000","18,000,000","21,000,000","20,000,000","8,000,000","5,000,000","5,132,000","3,106,000","1,432,000","515,000","-314,000","-1,068,000","-1,355,000","-1,005,000","-763,000","-572,000","-448,000","-83,000","-265,000"
		StockBasedCompensation,"156,000,000","44,000,000","37,000,000","40,000,000","35,000,000","30,000,000","25,479,000","23,206,000","23,923,000","20,413,000","20,326,000","20,804,000","21,495,000","18,497,000","31,641,000","14,720,000","14,353,000","11,851,000","11,028,000"
		ChangeInWorkingCapital,"-1,745,000,000","-1,035,000,000","-1,694,000,000",,,"1,700,000,000","1,436,220,000","1,091,511,000","59,798,000","-10,475,000","-1,854,000","-10,911,000","-4,790,000","-36,109,000","11,287,000","-20,509,000","22,569,000","-55,930,000","-81,661,000"
			ChangeInReceivables,"36,000,000","1,000,000","-33,000,000",,,"-1,819,000,000","-1,200,059,000","-157,139,000","-26,062,000","-1,931,000","2,847,000","-3,698,000","2,093,000","5,974,000","-1,028,000","605,000","25,908,000","-24,653,000","1,407,000"
				ChangesInAccountReceivables,"36,000,000","1,000,000","-33,000,000","-1,122,000,000","1,190,000,000","-1,819,000,000","-1,200,059,000","-157,139,000","-26,062,000","-1,931,000","2,847,000","-3,698,000","2,093,000","5,974,000","-1,028,000","605,000","25,908,000","-24,653,000","1,407,000"
			ChangeInInventory,"-1,447,000,000","-501,000,000","-476,000,000","-322,000,000","-148,000,000","-448,000,000",,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-891,000,000","-414,000,000","-303,000,000","-76,000,000","-98,000,000","-12,000,000","-173,047,000","-56,206,000","-7,483,000","-4,305,000","11,158,000","-3,722,000","-998,000","3,313,000","-43,000","3,626,000","-6,631,000","-2,241,000","-227,000"
			ChangeInPayablesAndAccruedExpense,"2,504,000,000","795,000,000","878,000,000",,,"270,000,000","254,260,000","114,345,000","42,284,000","-10,622,000","112,000","1,829,000","1,559,000","-30,826,000","40,276,000","9,827,000","9,265,000","-35,564,000","2,790,000"
				ChangeInPayable,"1,686,000,000","681,000,000","489,000,000",,,"-15,000,000","-1,758,000","2,160,000","9,142,000","2,331,000","-4,779,000","-17,714,000","-3,202,000","1,731,000","14,299,000","2,058,000","-2,807,000","1,467,000","-2,831,000"
					ChangeInTaxPayable,"1,502,000,000","716,000,000","311,000,000",,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"1,502,000,000","716,000,000","311,000,000",,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"184,000,000","-35,000,000","178,000,000","-18,000,000","59,000,000","-15,000,000","-1,758,000","2,160,000","9,142,000","2,331,000","-4,779,000","-17,714,000","-3,202,000","1,731,000","14,299,000","2,058,000","-2,807,000","1,467,000","-2,831,000"
				ChangeInAccruedExpense,"818,000,000","114,000,000","389,000,000","233,000,000","82,000,000","285,000,000","256,018,000","112,185,000","33,142,000","-12,953,000","4,891,000","19,543,000","4,761,000","-32,557,000","25,977,000","7,769,000","12,072,000","-37,031,000","5,621,000"
			ChangeInOtherCurrentAssets,"-50,000,000","10,000,000","-33,000,000","-11,000,000","-16,000,000","2,000,000","2,575,000","-730,000","1,732,000","-14,119,000",,,,,,,,,
			ChangeInOtherCurrentLiabilities,"164,000,000","25,000,000","109,000,000","-417,000,000","357,000,000","91,000,000","-3,320,000","2,689,000","-2,564,000","20,976,000","4,861,000","1,564,000","-431,000","484,000","56,000","62,000","609,000","183,000","-803,000"
			ChangeInOtherWorkingCapital,"-2,061,000,000","-951,000,000","-1,836,000,000",,,"3,616,000,000","2,602,338,000","1,188,552,000","51,891,000","-474,000","-15,168,000","-6,884,000","-7,013,000","-15,054,000","-27,974,000","-34,629,000","-6,582,000","6,345,000","-84,828,000"
InvestingCashFlow,"-12,264,000,000","-3,921,000,000","-1,138,000,000","-3,327,000,000","-3,878,000,000","-180,000,000","-190,129,000","-1,178,260,000","12,479,000","-316,018,000","130,348,000","113,367,000","-246,901,000","-11,759,000","6,409,000","116,468,000","-11,645,000","-483,704,000","112,799,000"
	CashFlowFromContinuingInvestingActivities,"-12,264,000,000","-3,921,000,000","-1,138,000,000",,,"-180,000,000","-190,129,000","-1,178,260,000","12,479,000","-316,018,000","130,348,000","113,367,000","-246,901,000","-11,759,000","6,409,000","116,468,000","-11,645,000","-483,704,000","112,799,000"
