name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999
TotalRevenue,"855,575,000","191,191,000","262,194,000","211,918,000","190,272,000","213,389,000","228,739,000","205,339,000","183,815,000","229,351,000","260,024,000","216,421,000","186,024,000","235,002,000","246,008,000","223,797,000","205,111,000","235,224,000","268,944,000","256,863,000","225,756,000","318,920,000","302,192,000","272,048,000","268,952,000","285,887,000","307,679,000","261,110,000","100,743,000","119,385,000","122,833,000","103,599,000","107,852,000","112,317,000","110,428,000","92,097,000","81,805,000","98,077,000","91,567,000","84,545,000","76,361,000","89,462,000","83,297,000","72,624,000","63,296,000","77,980,000","76,336,000","69,413,000","66,811,000","71,874,000","70,715,000","59,691,000","58,062,000","66,086,000","72,050,000","68,861,000","60,607,000","57,690,000","53,741,000","29,612,000","27,912,000","27,318,000","26,499,000","25,080,000","23,575,000","25,814,000","24,911,000","23,650,000","23,501,000","22,628,000","22,000,000","20,489,000","20,097,000","19,526,000","18,890,000","17,515,000","15,603,000","17,717,000","18,155,000","17,937,000","17,849,000","22,903,000","21,483,000","19,732,000","18,166,000","21,490,000","32,473,000","28,819,000","25,169,000","23,959,000","22,800,000","20,300,000","19,100,000"
	OperatingRevenue,"855,575,000","191,191,000","262,194,000","211,918,000","190,272,000","213,389,000","228,739,000","205,339,000","183,815,000","229,351,000","260,024,000","216,421,000","186,024,000","235,002,000","246,008,000","223,797,000","205,111,000","235,224,000","268,944,000","256,863,000","225,756,000","318,920,000","302,192,000","272,048,000","268,952,000","285,887,000","307,679,000","261,110,000","100,743,000","119,385,000","122,833,000","103,599,000","107,852,000","112,317,000","110,428,000","92,097,000","81,805,000","98,077,000","91,567,000","84,545,000","76,361,000","89,462,000","83,297,000","72,624,000","63,296,000","77,980,000","76,336,000","69,413,000","66,811,000","71,874,000","70,715,000","59,691,000","58,062,000","66,086,000","72,050,000","68,861,000","60,607,000","57,690,000","53,741,000","29,612,000","27,912,000","27,318,000","26,499,000","25,080,000","23,575,000","25,814,000","24,911,000","23,650,000","23,501,000","22,628,000","22,000,000","20,489,000","20,097,000","19,526,000","18,890,000","17,515,000","15,603,000","17,717,000","18,155,000","17,937,000","17,849,000","22,903,000","21,483,000","19,732,000","18,166,000","21,490,000","32,473,000","28,819,000","25,169,000","23,959,000","22,800,000","20,300,000","19,100,000"
CostOfRevenue,"214,186,000","47,662,000","60,470,000","51,644,000","54,410,000","54,942,000","55,275,000","58,900,000","52,980,000","62,732,000","65,585,000","59,132,000","54,743,000","58,536,000","69,584,000","63,980,000","62,027,000","66,591,000","64,509,000","74,243,000","66,562,000","92,917,000","81,678,000","84,510,000","87,034,000","100,851,000","106,115,000","100,187,000","21,296,000","23,388,000","26,982,000","21,595,000","22,596,000","24,285,000","23,602,000","19,704,000","16,922,000","21,040,000","19,164,000","16,941,000","16,863,000","18,960,000","17,239,000","15,577,000","13,896,000","16,387,000","16,092,000","14,307,000","14,575,000","15,618,000","15,405,000","12,873,000","12,168,000","15,430,000","16,026,000","17,346,000","15,338,000","18,538,000","15,683,000","6,703,000","6,139,000","5,844,000","5,944,000","5,697,000","5,123,000","6,278,000","5,929,000","5,477,000","5,796,000","5,785,000","5,154,000","4,978,000","4,718,000","4,645,000","4,528,000","4,380,000","3,825,000","4,273,000","4,591,000","4,635,000","4,348,000","6,003,000","5,517,000","5,206,000","5,367,000","4,518,000","7,515,000","7,135,000","5,920,000","5,421,000","5,100,000","4,800,000","4,600,000"
GrossProfit,"641,389,000","143,529,000","201,724,000","160,274,000","135,862,000","158,447,000","173,464,000","146,439,000","130,835,000","166,619,000","194,439,000","157,289,000","131,281,000","176,466,000","176,424,000","159,817,000","143,084,000","168,633,000","204,435,000","182,620,000","159,194,000","226,003,000","220,514,000","187,538,000","181,918,000","185,036,000","201,564,000","160,923,000","79,447,000","95,997,000","95,851,000","82,004,000","85,256,000","88,032,000","86,826,000","72,393,000","64,883,000","77,037,000","72,403,000","67,604,000","59,498,000","70,502,000","66,058,000","57,047,000","49,400,000","61,593,000","60,244,000","55,106,000","52,236,000","56,256,000","55,310,000","46,818,000","45,894,000","50,656,000","56,024,000","51,515,000","45,269,000","39,152,000","38,058,000","22,909,000","21,773,000","21,474,000","20,555,000","19,383,000","18,452,000","19,536,000","18,982,000","18,173,000","17,705,000","16,843,000","16,846,000","15,511,000","15,379,000","14,881,000","14,362,000","13,135,000","11,778,000","13,444,000","13,564,000","13,302,000","13,501,000","16,900,000","15,966,000","14,526,000","12,799,000","16,972,000","24,958,000","21,684,000","19,249,000","18,538,000","17,700,000","15,500,000","14,500,000"
OperatingExpense,"592,755,000","151,848,000","146,269,000","148,109,000","146,529,000","142,379,000","141,694,000","142,691,000","145,229,000","151,849,000","157,427,000","164,434,000","155,606,000","145,761,000","163,170,000","171,285,000","183,119,000","174,770,000","162,811,000","183,568,000","192,582,000","185,081,000","187,351,000","186,838,000","190,638,000","189,958,000","198,739,000","196,193,000","67,058,000","65,409,000","67,912,000","63,360,000","65,654,000","62,047,000","59,562,000","56,511,000","56,000,000","55,173,000","54,842,000","49,564,000","51,369,000","49,828,000","48,240,000","45,545,000","45,108,000","44,640,000","43,999,000","41,804,000","40,671,000","44,720,000","41,474,000","35,137,000","37,044,000","40,631,000","42,758,000","42,444,000","41,254,000","48,478,000","40,503,000","19,339,000","18,914,000","19,665,000","18,645,000","16,789,000","17,397,000","17,517,000","16,739,000","16,421,000","17,040,000","16,304,000","15,773,000","14,666,000","15,056,000","15,686,000","14,044,000","13,258,000","12,874,000","14,123,000","14,532,000","14,708,000","15,652,000","19,398,000","18,991,000","18,008,000","18,051,000","16,240,000","21,194,000","20,588,000","13,662,000","12,538,000","11,700,000","11,100,000","9,800,000"
	SellingGeneralAndAdministration,"361,883,000","94,811,000","89,713,000","88,656,000","88,703,000","83,587,000","82,652,000","80,873,000","84,587,000","89,836,000","92,701,000","98,244,000","95,736,000","87,094,000","96,812,000","97,345,000","104,191,000","99,718,000","100,303,000","106,761,000","115,233,000","114,566,000","111,752,000","108,233,000","112,515,000","119,941,000","122,359,000","120,454,000","48,191,000","46,227,000","48,227,000","43,263,000","46,025,000","41,683,000","40,354,000","39,016,000","39,181,000","37,457,000","38,644,000","33,718,000","36,706,000","35,833,000","34,082,000","33,891,000","33,306,000","33,269,000","33,378,000","31,516,000","30,416,000","34,553,000","31,803,000","25,976,000","27,336,000","30,159,000","32,368,000","31,819,000","30,591,000","36,505,000","30,917,000","14,628,000","14,374,000","14,996,000","13,824,000","12,264,000","12,936,000","12,970,000","12,320,000","11,743,000","12,307,000","12,072,000","11,593,000","10,608,000","10,737,000","11,497,000","10,208,000","9,588,000","9,593,000","9,585,000","10,210,000","10,454,000","10,578,000","11,455,000","11,474,000","10,391,000","10,804,000","12,092,000","13,356,000","13,120,000","10,321,000","9,076,000","8,700,000","7,900,000","7,000,000"
		GeneralAndAdministrativeExpense,"97,692,000","27,811,000","23,665,000","23,471,000","22,745,000","21,525,000","21,718,000","20,573,000","25,153,000","27,558,000","25,048,000","25,177,000","22,211,000","19,431,000","22,788,000","25,294,000","26,059,000","27,079,000","23,033,000","29,495,000","29,872,000","27,444,000","28,540,000","31,527,000","30,927,000","35,237,000","30,973,000","41,301,000","10,099,000","14,085,000","13,391,000","11,067,000","8,753,000","8,256,000","7,929,000","7,457,000","6,981,000","7,647,000","8,539,000","6,975,000","6,557,000","7,353,000","6,564,000","7,037,000","6,534,000","5,830,000","6,356,000","5,825,000","5,297,000","5,300,000","5,475,000","4,604,000","5,230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"97,692,000","27,811,000","23,665,000","23,471,000","22,745,000","21,525,000","21,718,000","20,573,000","25,153,000","27,558,000","25,048,000","25,177,000","22,211,000","19,431,000","22,788,000","25,294,000","26,059,000","27,079,000","23,033,000","29,495,000","29,872,000","27,444,000","28,540,000","31,527,000","30,927,000","35,237,000","30,973,000","41,301,000","10,099,000","14,085,000","13,391,000","11,067,000","8,753,000","8,256,000","7,929,000","7,457,000","6,981,000","7,647,000","8,539,000","6,975,000","6,557,000","7,353,000","6,564,000","7,037,000","6,534,000","5,830,000","6,356,000","5,825,000","5,297,000","5,300,000","5,475,000","4,604,000","5,230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"264,191,000","67,000,000","66,048,000","65,185,000","65,958,000","62,062,000","60,934,000","60,300,000","59,434,000","62,278,000","67,653,000","73,067,000","73,525,000","67,663,000","74,024,000","72,051,000","78,132,000","72,639,000","77,270,000","77,266,000","85,361,000","87,122,000","83,212,000","76,706,000","81,588,000","84,704,000","91,386,000","79,153,000","38,092,000","32,142,000","34,836,000","32,196,000","37,272,000","33,427,000","32,425,000","31,559,000","32,200,000","29,810,000","30,105,000","26,743,000","30,149,000","28,480,000","27,518,000","26,854,000","26,772,000","27,439,000","27,022,000","25,691,000","25,119,000","29,253,000","26,328,000","21,372,000","22,106,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"171,131,000","42,191,000","41,637,000","44,483,000","42,820,000","43,558,000","43,769,000","46,455,000","45,381,000","45,903,000","48,606,000","50,058,000","43,727,000","42,241,000","49,925,000","55,959,000","55,463,000","53,314,000","44,287,000","58,509,000","58,966,000","53,020,000","58,084,000","61,046,000","60,551,000","59,545,000","65,131,000","65,896,000","18,058,000","18,370,000","18,864,000","19,241,000","18,767,000","19,503,000","18,348,000","16,638,000","15,965,000","16,916,000","15,352,000","15,201,000","14,077,000","13,405,000","13,593,000","11,160,000","11,320,000","10,894,000","10,145,000","9,811,000","9,778,000","9,581,000","9,181,000","8,670,000","9,218,000","9,981,000","9,900,000","10,135,000","10,173,000","11,482,000","9,272,000","4,711,000","4,534,000","4,630,000","4,782,000","4,486,000","4,422,000","4,508,000","4,380,000","4,639,000","4,614,000","4,232,000","4,180,000","4,058,000","4,319,000","4,189,000","3,836,000","3,670,000","3,009,000","4,266,000","4,050,000","3,982,000","4,802,000","5,361,000","4,884,000","4,983,000","4,613,000","4,388,000","4,125,000","3,818,000","2,572,000","2,526,000","2,300,000","2,500,000","2,200,000"
