name,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015
TotalAssets,"5,751,751,000","5,900,069,000","5,990,772,000","5,544,661,000","6,236,194,000","5,641,241,000","5,547,269,000","5,487,972,000","5,115,243,000","4,232,418,000","4,138,997,000","3,909,393,000","3,708,368,000","3,542,660,000","3,417,677,000","3,220,076,000","3,218,309,000","3,354,692,000","3,221,950,000","2,955,157,000","2,930,315,000","2,987,096,000","2,989,373,000","2,917,572,000","2,838,231,000","2,884,395,000"
	CurrentAssets,"2,613,030,000","2,709,901,000","3,231,025,000","2,970,033,000","3,695,595,000","3,126,241,000","3,081,916,000","3,052,353,000","2,744,999,000","2,870,186,000","2,813,667,000","2,607,146,000","2,447,302,000","2,288,059,000","2,195,981,000","2,004,354,000","1,983,064,000","1,994,392,000","1,886,875,000","1,641,600,000","1,659,181,000","1,686,147,000","1,673,857,000","1,585,203,000","1,509,422,000","1,528,149,000"
		CashCashEquivalentsAndShortTermInvestments,"777,149,000","901,816,000","1,472,136,000","1,318,608,000","2,067,875,000","1,593,686,000","1,425,321,000","1,524,313,000","957,542,000","1,014,978,000","943,993,000","940,669,000","721,951,000","713,120,000","612,506,000","698,724,000","590,230,000","633,622,000","491,289,000","437,517,000","368,623,000","375,563,000","271,640,000","359,540,000","271,101,000","318,571,000"
			CashAndCashEquivalents,"678,306,000","810,266,000","1,376,625,000","1,224,080,000","1,973,602,000","1,497,155,000","1,353,042,000","1,448,235,000","873,564,000","934,237,000","863,773,000","860,933,000","621,934,000","713,120,000","612,506,000","698,724,000","590,230,000","633,622,000","491,289,000","437,517,000","368,623,000","375,563,000","271,640,000","359,540,000","271,101,000","318,571,000"
			OtherShortTermInvestments,"98,843,000","91,550,000","95,511,000","94,528,000","94,273,000","96,531,000","72,279,000","76,078,000","83,978,000","80,741,000","80,220,000","79,736,000","100,017,000",,,,,,,,,,,,,
		Receivables,"648,233,000","707,625,000","667,291,000","579,905,000","600,271,000","540,227,000","543,257,000","333,599,000","709,989,000","782,846,000","722,001,000","574,389,000","633,534,000","534,164,000","487,240,000","342,322,000","428,469,000","485,485,000","446,701,000","309,392,000","406,689,000","479,018,000","445,238,000","334,796,000","388,620,000","498,196,000"
			AccountsReceivable,"648,233,000","707,625,000","667,291,000","579,905,000","600,271,000","540,227,000","543,257,000","333,599,000","709,989,000","782,846,000","722,001,000","574,389,000","633,534,000","534,164,000","487,240,000","342,322,000","428,469,000","485,485,000","446,701,000","309,392,000","406,689,000","479,018,000","445,238,000","334,796,000","388,620,000","498,196,000"
				GrossAccountsReceivable,"659,233,000","719,224,000","680,091,000","594,005,000","614,971,000","554,915,000","560,694,000","359,933,000","715,824,000","789,018,000","731,439,000","584,265,000","641,866,000","544,201,000","496,353,000","353,039,000","439,751,000","497,211,000","459,467,000","322,723,000","419,091,000","490,992,000","458,608,000","347,394,000","399,663,000","509,221,000"
				AllowanceForDoubtfulAccountsReceivable,"-11,000,000","-11,599,000","-12,800,000","-14,100,000","-14,700,000","-14,688,000","-17,437,000","-26,334,000","-5,835,000","-6,172,000","-9,438,000","-9,876,000","-8,332,000","-10,037,000","-9,113,000","-10,717,000","-11,282,000","-11,726,000","-12,766,000","-13,331,000","-12,402,000","-11,974,000","-13,370,000","-12,598,000","-11,043,000","-11,025,000"
		Inventory,"1,006,180,000","897,950,000","902,346,000","863,360,000","835,357,000","817,692,000","944,334,000","986,223,000","854,701,000","884,192,000","935,557,000","895,319,000","914,277,000","883,773,000","938,253,000","842,568,000","826,443,000","759,396,000","826,131,000","780,579,000","767,227,000","716,181,000","851,170,000","790,372,000","740,291,000","606,859,000"
