name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
	CashFlowFromContinuingInvestingActivities,"-198,833,000","-48,793,000","-87,832,000","-36,715,000","-25,493,000","-20,715,000","-28,655,000","-18,644,000","-9,860,000","-14,608,000","-21,507,000","-1,104,619,000","-9,736,000","-12,523,000","-11,151,000","-11,887,000","-6,983,000","1,280,000","-2,289,000","-11,233,000","-18,203,000","-19,838,000","-17,003,000","-11,623,000","-12,795,000","-13,615,000","-10,303,000","-9,539,000","-15,561,000","-44,221,000","-6,130,000","-9,096,000","-16,646,000","-11,651,000","-8,592,000","-13,404,000","-8,120,000","-2,717,000"
		CapitalExpenditureReported,"-149,083,000","-48,716,000","-36,603,000","-38,218,000","-25,546,000","-21,082,000","-28,716,000","-18,664,000","-10,295,000","-21,384,000","-20,671,000","-15,899,000","-9,723,000","-12,282,000","-11,831,000","-12,425,000","-6,874,000","-6,585,000","-8,089,000","-9,086,000","-17,949,000","-10,172,000","-12,708,000","-11,201,000","-12,595,000","-14,972,000","-9,773,000","-9,602,000","-10,595,000","-10,002,000","-5,834,000","-8,193,000","-7,450,000","-13,191,000","-5,536,000","-8,419,000","-13,142,000","-3,335,000"
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,,,,"0",,,,"-504,000",,,,,,,,,,,,,,,,
			PurchaseOfPPE,,,,,,,,,,,,,,,,,,"0",,,,"-504,000",,,,,,,,,,,,,,,,
		NetIntangiblesPurchaseAndSale,,,,,,,,,,,,,,,,,,,,,,,,,,,"-167,000","-397,000","-940,000",,,"-688,000","-1,320,000",,,"-82,000","-104,000",
			PurchaseOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,"-167,000","-397,000","-940,000",,,"-688,000","-1,320,000",,,"-82,000","-104,000",
		NetBusinessPurchaseAndSale,"-49,309,000","-99,000",,,,"0","0",,,"0","-705,000",,,"0","0",,,"0","0",,,"-8,573,000","0",,,"0","0","-3,188,000","0","-36,385,000","0","0","-7,566,000","-90,000","-985,000","-4,750,000","-550,000","-200,000"
			PurchaseOfBusiness,"-49,309,000","-99,000",,,,"0","0",,,"0","-705,000",,,"0","0",,,"0","0",,,"-8,573,000","0",,,"0","0","-3,188,000","0","-36,385,000","0","0","-7,566,000","-90,000","-985,000","-4,750,000","-550,000","-200,000"
		NetOtherInvestingChanges,"-441,000","22,000","-2,019,000","1,503,000","53,000","367,000","61,000","20,000","435,000","6,776,000","-131,000","-103,000","-13,000","-241,000","680,000","538,000","-109,000","7,865,000","5,800,000","-157,000","-254,000","-589,000","-179,000","-422,000","-200,000","-147,000","-363,000","3,648,000","-4,026,000","2,767,000","-2,304,000","-215,000","-310,000","4,940,000","-2,257,000","-153,000","5,676,000","1,897,000"
FinancingCashFlow,"-251,068,000","-34,494,000","-2,981,000","-82,272,000","-131,321,000","-11,467,000","-115,323,000","-164,845,000","-62,948,000","83,156,000","-59,721,000","1,040,770,000","-52,633,000","-2,276,000","-76,289,000","-37,492,000","-1,598,000","-424,000","-100,703,000","-31,021,000","37,195,000","26,245,000","-50,259,000","-35,013,000","16,202,000","6,852,000","-97,490,000","-27,071,000","34,745,000","48,034,000","-64,079,000","-20,957,000","38,793,000","36,302,000","-67,819,000","-23,625,000","37,430,000","-15,351,000"
