name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,03/31/2011,06/30/2010,03/31/2010,06/30/2009,03/31/2009
TotalRevenue,"191,453,000","38,437,000","53,722,000","21,639,000","77,655,000","50,631,000","67,032,000","87,721,000","76,234,000","-171,001,000","20,086,000","22,284,000","23,186,000","43,567,000","-1,767,000","28,557,000","24,521,000","24,499,000","28,605,000","25,610,000","27,616,000","28,140,000","34,169,000","25,687,000","45,229,000","7,913,000","-19,567,000","10,468,000","21,189,000","23,585,000","-7,332,000","9,091,000","31,656,000","37,829,000","29,902,000","28,676,000","19,718,000","23,979,000","26,156,639","9,741,672","7,023,133","6,581,304","5,213,485","11,211,720","8,596,969","9,076,930","5,092,264","2,909,767"
	OperatingRevenue,"191,453,000","38,437,000","53,722,000","21,639,000","77,655,000","50,631,000","67,032,000","87,721,000","76,234,000","-171,001,000","20,086,000","22,284,000","23,186,000","43,567,000","-1,767,000","28,557,000","24,521,000","24,499,000","28,605,000","25,610,000","27,616,000","28,140,000","34,169,000","25,687,000","45,229,000","7,913,000","-19,567,000","10,468,000","21,189,000","23,585,000","-7,332,000","9,091,000","31,656,000","37,829,000","29,902,000","28,676,000","19,718,000","23,979,000","26,156,639","9,741,672","7,023,133","6,581,304","5,213,485","11,211,720","8,596,969","9,076,930","5,092,264","2,909,767"
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0"
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,783,000",,,,,"9,741,672","7,023,133","6,581,304","5,213,485","11,211,720","8,596,969","9,076,930","5,092,264","2,909,767"
OperatingExpense,"-1,134,000","1,293,000","375,000","-1,257,000","-1,545,000","-1,340,000","-578,000","-1,733,000","-868,000","2,319,000","-1,470,000","-885,000","-825,000","-260,000","486,000","1,570,000","277,000","721,000","1,128,000","334,000","297,000","-1,602,000","98,000","597,000","570,000","545,000","464,000","255,000","637,000","21,000","1,186,000","1,565,000","7,608,000","14,381,000","11,957,000","11,209,000","8,726,000","8,463,000","6,405,335","5,168,105","2,993,721","3,151,583","1,753,053","235,820","377,783","287,984","215,410","26,515"
	SellingGeneralAndAdministration,"9,907,000","2,623,000","2,530,000","2,495,000","2,259,000","2,297,000","2,499,000","2,197,000","2,650,000","2,444,000","2,045,000","2,256,000","2,333,000","2,273,000","2,612,000","3,336,000","2,048,000","2,043,000","2,446,000","1,817,000","1,786,000","2,024,000","1,638,000","1,699,000","1,874,000","2,148,000","1,817,000","1,825,000","1,884,000","1,803,000","1,872,000","1,887,000","1,239,000",,,,,,,"9,214,437",,,,"235,820","377,783","287,984","215,410","26,515"
		GeneralAndAdministrativeExpense,"9,907,000","2,623,000","2,530,000","2,495,000","2,259,000","2,297,000","2,499,000","2,197,000","2,650,000","2,444,000","2,045,000","2,256,000","2,333,000","2,273,000","2,612,000","3,336,000","2,048,000","2,043,000","2,446,000","1,817,000","1,786,000","2,024,000","1,638,000","1,699,000","1,874,000","2,148,000","1,817,000","1,825,000","1,884,000","1,803,000","1,872,000","1,887,000","1,239,000",,,,,,,"9,214,437",,,,"235,820",,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,561,173",,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,"16,812,000",,,,,,,,,,,,,,,,,,,,"3,653,264",,,,"235,820",,,,
	OtherOperatingExpenses,"-11,041,000","-1,330,000","-2,155,000","-3,752,000","-3,804,000","-3,637,000","-3,077,000","-3,930,000","-3,518,000","-125,000","-3,515,000","-3,141,000","-3,158,000","-2,533,000","-2,126,000","-1,766,000","-1,771,000","-1,322,000","-1,318,000","-1,483,000","-1,489,000","-3,626,000","-1,540,000","-1,102,000","-1,304,000","-1,603,000","-1,353,000","-1,570,000","-1,247,000","-1,782,000","-686,000","-322,000","6,369,000","14,381,000","11,957,000","11,209,000","8,726,000","8,463,000",,,,,,,,,,
