name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
		CurrentDeferredLiabilities,"5,364,000","5,095,000","4,876,000","4,752,000","4,877,000","6,606,000","9,173,000","10,004,000","10,470,000","10,585,000","10,730,000","10,686,000","10,749,000","10,695,000","10,833,000","10,919,000","11,045,000","11,028,000","10,951,000","11,023,000","11,207,000","11,374,000","11,693,000","11,783,000","12,205,000","12,216,000","12,502,000","12,711,000","12,791,000","12,555,000","12,483,000","12,914,000","13,065,000","13,456,000","14,429,000","15,411,000","16,298,000","18,434,000","9,080,000","9,080,000","9,080,000","9,080,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","258,000","258,000","258,000","258,000","9,080,000","9,080,000","9,080,000","9,080,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"5,364,000","5,095,000","4,876,000","4,752,000","4,877,000","6,606,000","9,173,000","10,004,000","10,470,000","10,585,000","10,730,000","10,686,000","10,749,000","10,695,000","10,833,000","10,919,000","11,045,000","11,028,000","10,951,000","11,023,000","11,207,000","11,374,000","11,693,000","11,783,000","12,205,000","12,216,000","12,502,000","12,711,000","12,791,000","12,555,000","12,483,000","12,914,000","13,065,000","13,456,000","14,171,000","15,153,000","16,040,000","18,176,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"156,568,000","147,029,000","108,159,000","75,644,000","63,040,000","70,312,000","69,283,000","60,233,000","48,875,000","47,902,000","53,448,000","48,947,000","58,697,000","65,301,000","61,173,000","55,675,000","48,073,000","57,341,000","75,504,000","73,608,000","71,787,000","65,262,000","58,659,000","56,792,000","58,730,000","76,944,000","60,438,000","62,700,000","51,676,000","73,106,000","55,167,000","76,002,000","47,983,000","80,885,000","64,253,000","78,731,000","64,243,000","91,580,000","92,812,000","109,618,000","90,715,000","112,759,000","255,846,000","125,751,000","107,745,000","152,120,000","167,994,000","150,829,000","213,759,000","206,375,000","155,138,000","184,566,000","183,909,000","950,361,000","984,228,000","896,985,000","1,356,212,000","1,115,119,000","1,097,619,000","708,605,000",,"764,345,000","839,100,000","842,500,000","330,987,000","332,200,000",,"20,700,000","21,800,000","94,700,000",,"62,476,000","90,497,000","125,918,000","132,885,000",,,"150,000,000","100,000,000","111,126,000","77,800,000","35,000,000","0","0","0","0","0",,"0",,"0",,"0","26,600,000","45,200,000",,"-100,000",,,"103,300,000","138,000,000","-200,000","130,400,000","-100,000","0","100,000","100,000","51,500,000","-100,000","100,000","-100,000","100,000","63,500,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"5,873,314,000","5,768,214,000","5,567,970,000","5,327,075,000","4,332,434,000","4,842,189,000","4,646,409,000","4,540,737,000","4,561,101,000","4,578,014,000","4,508,586,000","4,695,857,000","4,827,638,000","4,588,975,000","4,020,469,000","3,988,095,000","4,133,097,000","4,037,482,000","4,141,694,000","4,010,901,000","3,749,030,000","3,909,571,000","3,931,993,000","3,907,600,000","3,779,661,000","3,630,459,000","3,687,071,000","3,400,506,000","3,447,618,000","3,318,422,000","3,199,230,000","3,332,981,000","3,441,397,000","3,245,412,000","3,258,233,000","3,238,113,000","3,181,664,000","3,237,921,000","3,142,115,000","3,109,118,000","3,094,572,000","3,163,408,000","2,973,253,000","2,971,565,000","2,971,494,000","2,971,511,000","2,986,696,000","2,979,642,000","2,964,925,000","2,946,043,000","2,850,761,000","2,854,041,000","2,799,783,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermProvisions,"236,877,000","234,146,000","192,132,000","188,007,000","185,700,000","183,421,000","181,159,000","181,805,000","184,951,000","181,962,000","179,646,000","176,743,000","161,685,000","158,674,000","155,203,000","152,300,000","149,453,000","146,679,000","133,841,000","132,261,000","129,730,000","127,519,000","119,032,000","116,716,000","114,446,000","111,895,000","111,595,000","108,406,000","106,267,000","104,170,000","102,115,000","100,100,000","98,076,000","96,135,000","93,519,000","89,395,000","87,651,000","85,893,000","84,191,000","82,503,000","80,848,000","79,233,000","77,290,000","75,483,000","78,207,000","76,637,000",,,,"70,963,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"3,667,410,000","3,575,573,000","3,451,081,000","3,252,187,000","2,276,625,000","2,800,697,000","2,591,685,000","2,528,566,000","2,564,293,000","2,622,961,000","2,573,623,000","2,788,619,000","2,896,876,000","2,670,111,000","2,142,631,000","2,122,352,000","2,271,984,000","2,180,750,000","2,282,390,000","2,199,105,000","1,969,304,000","2,119,364,000","2,207,005,000","2,217,114,000","2,108,395,000","1,966,969,000","1,980,381,000","1,731,158,000","1,791,941,000","1,642,024,000","1,542,106,000","1,717,188,000","1,845,338,000","1,670,420,000","1,696,311,000","1,711,153,000","1,669,926,000","1,669,760,000","1,672,124,000","1,671,958,000","1,671,792,000","1,671,626,000","1,564,077,000","1,563,916,000","1,563,756,000","1,563,595,000","1,565,687,000","1,565,527,000","1,565,366,000","1,565,206,000","1,531,170,000","1,531,010,000","1,530,906,000","1,379,011,000","1,481,011,000","1,517,007,000","1,064,253,000","1,231,859,000","1,233,563,000","1,531,850,000","1,766,994,000","1,765,907,000","1,745,845,000","1,743,555,000","1,744,929,000","1,746,395,000","1,647,077,000","1,938,038,000","1,231,251,000","987,823,000","987,986,000","985,346,000","986,776,000","987,210,000","987,296,000","953,934,000","980,106,000","980,092,000","953,926,000","953,912,000","953,897,000","953,884,000","953,870,000","953,854,000","953,839,000","953,823,000","953,808,000","953,792,000","953,777,000","988,500,000","977,100,000","987,100,000","1,008,600,000","1,008,600,000","1,008,600,000","574,300,000","574,300,000","714,000,000","714,000,000","714,200,000","714,300,000","713,900,000","712,300,000","712,600,000","728,900,000","728,800,000","728,900,000","742,800,000","746,800,000","752,100,000","888,200,000","893,000,000","902,500,000"
			LongTermDebt,"3,620,041,000","3,519,580,000","3,395,975,000","3,186,052,000","2,205,133,000","2,719,632,000","2,509,752,000","2,437,246,000","2,468,720,000","2,517,449,000","2,467,002,000","2,672,155,000","2,771,939,000","2,670,111,000","2,142,631,000","2,122,352,000","2,271,984,000","2,180,750,000","2,282,390,000","2,199,105,000","1,969,304,000","2,119,364,000","2,207,005,000","2,217,114,000","2,108,395,000","1,966,969,000","1,980,381,000","1,731,158,000","1,791,941,000","1,642,024,000","1,542,106,000","1,717,188,000","1,845,338,000","1,670,420,000","1,696,311,000","1,711,153,000","1,669,926,000","1,669,760,000","1,672,124,000","1,671,958,000","1,671,792,000","1,671,626,000","1,564,077,000","1,563,916,000","1,563,756,000","1,563,595,000","1,565,687,000","1,565,527,000","1,565,366,000","1,565,206,000","1,531,170,000","1,531,010,000","1,530,906,000","1,379,011,000","1,481,011,000","1,517,007,000","1,064,253,000","1,231,859,000","1,233,563,000","1,531,850,000","1,766,994,000","1,765,907,000","1,745,845,000","1,743,555,000","1,744,929,000","1,746,395,000","1,647,077,000","1,938,038,000","1,231,251,000","987,823,000","987,986,000","985,346,000","986,776,000","987,210,000","987,296,000","953,934,000","980,106,000","980,092,000","953,926,000","953,912,000","953,897,000","953,884,000","953,870,000","953,854,000","953,839,000","953,823,000","953,808,000","953,792,000","953,777,000","988,500,000","977,100,000","987,100,000","1,008,600,000","1,008,600,000","1,008,600,000","574,300,000","574,300,000","714,000,000","714,000,000","714,200,000","714,300,000","713,900,000","712,300,000","712,600,000","728,900,000","728,800,000","728,900,000","742,800,000","746,800,000","752,100,000","888,200,000","893,000,000","902,500,000"
			LongTermCapitalLeaseObligation,"47,369,000","55,993,000","55,106,000","66,135,000","71,492,000","81,065,000","81,933,000","91,320,000","95,573,000","105,512,000","106,621,000","116,464,000","124,937,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"1,107,554,000","1,098,045,000","1,022,045,000","983,642,000","961,087,000","949,742,000","925,681,000","875,165,000","852,908,000","811,811,000","795,850,000","762,915,000","783,361,000","765,876,000","713,907,000","696,789,000","685,490,000","678,916,000","1,148,065,000","1,101,234,000","1,074,784,000","1,081,195,000","1,073,482,000","1,039,364,000","1,023,342,000","1,011,085,000","1,056,714,000","1,019,801,000","1,003,717,000","994,870,000","1,012,904,000","976,876,000","958,225,000","937,068,000","862,980,000","831,731,000","838,383,000","832,310,000","814,795,000","784,557,000","776,563,000","767,248,000","721,889,000","709,584,000","684,433,000","558,195,000","701,875,000","690,073,000","673,295,000","673,078,000","638,593,000","636,751,000","604,223,000","23,834,000","24,582,000","25,330,000","26,078,000","26,825,000","27,678,000","28,531,000","29,383,000","30,236,000","31,080,000","31,989,000","32,897,000","33,806,000","34,776,000","35,746,000","34,586,000","35,360,000","36,135,000","36,911,000","37,686,000","38,462,000","39,242,000","40,022,000","40,803,000","41,583,000","42,366,000","43,149,000","43,931,000","44,714,000","45,499,000","46,284,000","43,834,000","47,853,000","48,639,000","49,425,000","50,210,000","51,000,000",,,,"54,400,000",,,,"57,800,000",,,,"62,300,000",,,,"66,700,000",,,,"71,600,000",,,
