name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
OperatingCashFlow,"204,029,000","3,261,000","80,603,000","50,815,000","69,350,000","49,809,000","38,157,000","66,656,000","56,035,000","8,988,000","46,881,000","59,454,000","14,966,000","-12,575,000","34,071,000","42,360,000","41,707,000","-753,000","37,004,000","36,059,000","26,543,000","9,001,000","24,935,000","25,938,000","12,151,000","13,791,000","-1,403,000","21,177,000","7,402,000","-2,748,000","21,174,000","16,932,000","11,572,000","6,319,000","14,272,000","4,418,000","6,412,000","3,755,000","9,452,000","9,223,000","4,936,000","4,930,000","5,913,000","6,163,000","7,637,000","5,008,000","5,448,000","1,867,000","-6,688,000","840,000","4,485,000","3,706,000","1,714,000","-1,540,000"
	CashFlowFromContinuingOperatingActivities,"204,029,000","3,261,000","80,603,000","50,815,000","69,350,000","49,809,000","38,157,000","66,656,000","56,035,000","8,988,000","46,881,000","59,454,000","14,966,000","-12,575,000","34,071,000","42,360,000","41,707,000","-753,000","37,004,000","36,059,000","26,543,000","9,001,000","24,935,000","25,938,000","12,151,000","13,791,000","-1,403,000","21,177,000","7,402,000","-2,748,000","21,174,000","16,932,000","11,572,000","6,319,000","14,272,000","4,418,000","6,412,000","3,755,000","9,452,000","9,223,000","4,936,000","4,930,000","5,913,000","6,163,000","7,637,000","5,008,000","5,448,000","1,867,000","-6,688,000","840,000","4,485,000","3,706,000","1,714,000","-1,540,000"
		NetIncomeFromContinuingOperations,"-16,949,000","-14,708,000","-5,310,000","11,438,000","-8,369,000","14,935,000","7,694,000","2,323,000","-5,471,000","-7,190,000","3,417,000","-2,964,000","613,000","-18,268,000","-512,000","2,511,000","-5,991,000","8,002,000","17,645,000","-1,320,000","-6,470,000","-13,135,000","-32,574,000","-4,057,000","-7,943,000","-10,993,000","-3,913,000","3,302,000","2,536,000","2,511,000","3,693,000","3,768,000","3,650,000","2,868,000","695,000","1,306,000","1,118,000","541,000",,,,,,,,"1,404,000",,"625,000","393,000","-2,511,000","-2,983,000","846,000","481,000","784,000"
		OperatingGainsLosses,"4,592,000","1,545,000","1,540,000","750,000","757,000","3,288,000","1,119,000","994,000","1,256,000","2,030,000","854,000","957,000","347,000","203,000","209,000","305,000","151,000","670,000","492,000","282,000","486,000","285,000","468,000","1,130,000",,,,,,,,,,,,,,,,"0","0","3,000","-617,000","206,000","207,000","208,000","243,000","193,000",,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"132,000","47,000","0","10,000","7,000","0",,,"178,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"4,592,000","1,545,000","1,540,000","750,000","757,000","3,288,000","1,119,000","994,000","1,256,000","2,030,000","854,000","957,000","347,000","203,000","77,000","258,000","151,000","660,000","485,000","282,000","417,000","285,000","290,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"120,993,000","31,618,000","29,515,000","29,850,000","30,010,000","28,392,000","28,584,000","28,951,000","28,443,000","27,683,000","28,104,000","26,735,000","26,915,000","19,517,000","19,332,000","19,563,000","19,185,000","19,546,000","16,028,000","15,492,000","15,465,000","15,835,000","14,127,000","16,692,000","17,100,000","16,080,000","10,747,000","6,157,000","5,725,000","5,333,000","5,361,000","4,253,000","4,615,000","4,422,000","4,663,000","4,467,000","3,081,000","3,118,000","3,384,000","3,393,000","3,224,000","2,399,000","1,700,000","1,550,000","1,578,000","1,548,000","1,493,000","1,451,000","1,413,000","1,346,000","1,227,000","1,167,000","1,076,000","1,047,000"
			DepreciationAndAmortization,"120,993,000","31,618,000","29,515,000","29,850,000","30,010,000","28,392,000","28,584,000","28,951,000","28,443,000","27,683,000","28,104,000","26,735,000","26,915,000","19,517,000","19,332,000","19,563,000","19,185,000","19,546,000","16,028,000","15,492,000","15,465,000","15,835,000","14,127,000","16,692,000","17,100,000","16,080,000","10,747,000","6,157,000","5,725,000","5,333,000","5,361,000","4,253,000","4,615,000","4,422,000","4,663,000","4,467,000","3,081,000","3,118,000","3,384,000","3,393,000","3,224,000","2,399,000","1,700,000","1,550,000","1,578,000","1,548,000","1,493,000","1,451,000","1,413,000","1,346,000","1,227,000","1,167,000","1,076,000","1,047,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,331,000",,,,"1,047,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000",,,,"0"
