name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
			NetIncomeContinuousOperations,"-546,458,000","-138,595,000","-140,564,000","-151,273,000","-116,026,000","-63,853,000","-76,412,000","-58,323,000","-59,637,000","-35,372,000","-35,183,000","-23,137,000","-32,416,000","-34,091,000","-31,841,000","-29,616,000","-33,824,000","-32,873,000","-45,502,000","-27,119,000","-27,732,000","-35,961,000","-37,907,000","-26,017,000","-23,156,000","-8,685,000","-22,960,000","-17,630,000","-19,681,000","-10,004,000","1,254,000","3,724,000","-514,000","-9,616,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,552,000",,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000",,
AverageDilutionEarnings,,,,,,,,,,,,,,,,,,,,,,"-1,042,000",,,,,,"0",,,,"1,000,000",,
DilutedNIAvailtoComStockholders,"-546,458,000","-138,595,000","-140,564,000","-151,273,000","-116,026,000","-63,853,000","-76,412,000","-58,323,000","-59,637,000","-35,372,000","-35,183,000","-23,137,000","-32,416,000","-34,091,000","-31,841,000","-29,616,000","-33,824,000","-32,873,000","-46,650,000","-27,119,000","-27,732,000","-37,003,000","-37,907,000","-26,017,000","-23,156,000","-8,685,000","-22,960,000","-17,630,000","-19,681,000","-10,004,000","1,254,000","1,172,000","-514,000","-9,616,000"
BasicEPS,,"-1.45",,"-1.63","-1.32","-0.74",,"-0.72","-0.75","-0.45",,"-0.33","-0.48","-0.54",,"-0.49","-0.62","-0.61",,"-0.51","-0.52","-0.68",,"-0.5","-0.46","-0.17",,"-0.39","-0.441","-0.27",,"0.005","-0.014","-0.262"
DilutedEPS,,"-1.45",,"-1.63","-1.32","-0.74",,"-0.72","-0.75","-0.45",,"-0.33","-0.48","-0.54",,"-0.49","-0.62","-0.61",,"-0.51","-0.52","-0.7",,"-0.5","-0.46","-0.17",,"-0.39","-0.441","-0.27",,"0.005","-0.014","-0.262"
BasicAverageShares,,"95,578,000",,"92,558,000","88,077,000","86,689,000",,"80,908,000","79,069,000","78,287,000",,"70,456,000","68,224,000","62,831,000",,"60,570,000","54,551,000","54,132,000",,"53,447,000","53,088,000","52,758,000",,"52,012,000","51,445,000","50,439,000",,"44,944,000","44,677,337","36,686,000",,"36,686,000","36,686,000","36,686,000"
DilutedAverageShares,,"95,578,000",,"92,558,000","88,077,000","86,689,000",,"80,908,000","79,069,000","78,287,000",,"70,456,000","68,224,000","62,831,000",,"60,570,000","54,551,000","54,132,000",,"53,447,000","53,088,000","53,043,000",,"52,012,000","51,445,000","50,439,000",,"44,944,000","44,677,337","36,686,000",,"36,686,000","36,686,000","36,686,000"
TotalOperatingIncomeAsReported,"-542,287,000","-137,130,000","-139,666,000","-150,197,000","-115,294,000","-63,017,000","-73,968,000","-55,777,000","-51,660,000","-34,872,000","-34,811,000","-21,094,000","-28,636,000","-31,746,000","-29,727,000","-27,166,000","-27,218,000","-30,517,000","-44,916,000","-25,043,000","-27,037,000","-37,031,000","-37,713,000","-26,655,000","-22,515,000","-9,605,000","-17,348,000","-20,741,000","-15,472,000","-6,277,000","4,373,000","4,779,000","-1,205,000","-7,282,000"
TotalExpenses,"1,209,590,000","331,263,000","312,694,000","308,313,000","257,320,000","215,333,000","186,346,000","153,920,000","138,132,000","128,884,000","118,051,000","113,391,000","102,991,000","98,570,000","96,692,000","92,446,000","90,287,000","92,857,000","98,681,000","81,699,000","80,654,000","83,932,000","87,012,000","80,544,000","74,499,000","71,507,000","70,259,000","65,662,000","60,559,000","53,712,000","45,511,000","41,495,000","37,041,000","34,577,000"
