name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007
TotalRevenue,"147,237,000","15,714,000","42,116,000","38,997,000","50,410,000","91,248,000","67,650,000","72,170,000","121,846,000","-162,647,000","20,946,000","16,954,000","22,686,000","58,245,000","29,243,000","36,377,000","24,736,000","22,093,000","-25,891,000","-120,783,000","-3,186,000","11,937,000","-71,642,000","407,000","-1,360,000","11,183,000","-53,836,000","2,886,000","23,729,000","28,871,000","-26,401,000","31,611,000","23,205,000","32,931,000","37,493,000","28,331,000","27,979,000","33,565,000","21,229,000","36,224,000","35,397,000","36,478,000","33,773,000","32,190,000","27,465,000","26,976,987","23,396,473","168,312","18,914,113","15,864,036","14,255,598","12,191,995","10,627,493","7,141,440","12,544,527","11,703,808","8,567,483","6,781,259","5,312,135"
	OperatingRevenue,"147,237,000","15,714,000","42,116,000","38,997,000","50,410,000","91,248,000","67,650,000","72,170,000","121,846,000","-162,647,000","20,946,000","16,954,000","22,686,000","58,245,000","29,243,000","36,377,000","24,736,000","22,093,000","-25,891,000","-120,783,000","-3,186,000","11,937,000","-71,642,000","407,000","-1,360,000","11,183,000","-53,836,000","2,886,000","23,729,000","28,871,000","-26,401,000","31,611,000","23,205,000","32,931,000","37,493,000","28,331,000","27,979,000","33,565,000","21,229,000","36,224,000","35,397,000","36,478,000","33,773,000","32,190,000","27,465,000","26,976,987","23,396,473","168,312","18,914,113","15,864,036","14,255,598","12,191,995","10,627,493","7,141,440","12,544,527","11,703,808","8,567,483","6,781,259","5,312,135"
OperatingExpense,"6,500,000","1,252,000","1,778,000","1,877,000","1,593,000","2,134,000","1,861,000","1,710,000","1,683,000","4,525,000","6,943,000","2,640,000","2,527,000","-6,149,000","939,000","2,424,000","484,000","2,473,000","4,550,000","4,688,000","2,871,000","3,136,000","2,600,000","3,840,000","3,858,000","6,203,000","9,050,000","2,687,000","3,278,000","3,465,000","4,260,000","3,172,000","2,918,000","2,831,000","3,787,000","2,194,000","1,973,000","1,731,000","3,386,000",,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"9,500,000","2,002,000","2,528,000","2,627,000","2,343,000","2,242,000","1,861,000","1,710,000","1,683,000","1,984,000","6,943,000","1,799,000","2,527,000","1,752,000","2,503,000","2,132,000","2,032,000","2,305,000","4,684,000","4,746,000","2,931,000","3,854,000","3,260,000","3,920,000","3,868,000","6,284,000","9,146,000","2,832,000","3,457,000","3,576,000","4,371,000","3,396,000","3,147,000","3,065,000","3,787,000","2,194,000","2,995,000","3,031,000","3,386,000","13,328,000","13,098,000","13,123,000","12,998,000","12,626,000","10,483,000","9,913,377","8,650,382","6,967,783","6,707,743","6,060,147","5,226,708","4,483,476","4,189,463","3,887,473","485,682",,,"194,217","41,452"
		GeneralAndAdministrativeExpense,"9,500,000","2,002,000","2,528,000","2,627,000","2,343,000","2,242,000","1,861,000","1,710,000","1,683,000","1,984,000","6,943,000","1,799,000","2,527,000","1,752,000","2,503,000","2,132,000","2,032,000","2,305,000","4,684,000","4,746,000","2,931,000","3,854,000","3,260,000","3,920,000","3,868,000","6,284,000","9,146,000","2,832,000","3,457,000","3,576,000","4,371,000","3,396,000","3,147,000","3,065,000","3,787,000","2,194,000","2,995,000","3,031,000","3,386,000","13,328,000","13,098,000","13,123,000","12,998,000","12,626,000","10,483,000","9,913,377","8,650,382","6,967,783","6,707,743","6,060,147","5,226,708","4,483,476","4,189,463","3,887,473","485,682",,,"140,222","41,452"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"395,000","30,000","70,000","56,000","320,000","46,000","36,000","49,500","166,918","30,500","43,000","38,000","177,000","45,000","49,000","485,682",,,"140,222",
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,933,000","13,068,000","13,053,000","12,942,000","12,306,000","10,437,000","9,877,377","8,600,882","6,800,865","6,677,243","6,017,147","5,188,708","4,306,476","4,144,463","3,838,473",,,,,"41,452"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,995",
	OtherOperatingExpenses,"-3,000,000","-750,000","-750,000","-750,000","-750,000","-108,000",,"0",,"2,541,000","5,200,000","841,000","634,000","-7,901,000","-1,564,000","292,000","-1,548,000","168,000","-134,000","-58,000","-60,000","-718,000","-660,000","-80,000","-10,000","-81,000","-96,000","-145,000","-179,000","-111,000","-111,000","-224,000","-229,000","-234,000",,"0","-1,022,000","-1,300,000",,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"140,737,000","14,462,000","40,338,000","37,120,000","48,817,000","89,114,000","65,789,000","70,460,000","120,163,000","-167,172,000","14,003,000","14,314,000","20,159,000","64,394,000","28,304,000","33,953,000","24,252,000","19,620,000","-30,441,000","-125,471,000","-6,057,000","8,801,000","-74,242,000","-3,433,000","-5,218,000","4,980,000","-62,886,000","199,000","20,451,000","25,406,000","-30,661,000","28,439,000","20,287,000","30,100,000","33,706,000","26,137,000","26,006,000","31,834,000","17,843,000","27,072,000","22,089,000","20,056,000","10,184,000","-23,744,000","20,832,000","15,670,990",,,,,,,,,,,,,
