name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006
OperatingCashFlow,"177,180,000","87,116,000","26,794,000","26,059,000","37,211,000","64,708,000","17,005,000","26,957,000","15,285,000","32,456,000","889,000","23,979,000","31,140,000","36,586,000","31,064,000","17,760,000","24,770,000","23,341,000","31,210,000","9,685,000","19,933,000","28,985,000","26,768,000","20,239,000","24,047,000","37,179,000","15,765,000","9,572,000","21,897,000","35,982,000","20,239,000","32,182,000","35,444,000","39,919,000","30,162,000","24,482,000","24,574,000","42,881,000","27,459,000","24,434,000","17,909,000","30,117,000","27,732,000","11,058,000","31,093,000","18,954,000","10,005,000","7,532,000","15,919,000","22,171,000","11,538,000","10,585,000","12,953,000","6,467,000","8,393,000","14,178,000","14,071,000","10,998,000","13,082,000","4,466,000","5,846,000","8,085,000","8,731,000","7,100,000","6,678,000"
	CashFlowFromContinuingOperatingActivities,"177,180,000","87,116,000","26,794,000","26,059,000","37,211,000","64,708,000","17,005,000","26,957,000","15,285,000","32,456,000","889,000","23,979,000","31,140,000","36,586,000","31,064,000","17,760,000","24,770,000","23,341,000","31,210,000","9,685,000","19,933,000","28,985,000","26,768,000","20,239,000","24,047,000","37,179,000","15,765,000","9,572,000","21,897,000","35,982,000","20,239,000","32,182,000","35,444,000","39,919,000","30,162,000","24,482,000","24,574,000","42,881,000","27,459,000","24,434,000","17,909,000","30,117,000","27,732,000","11,058,000","31,093,000","18,954,000","10,005,000","7,532,000","15,919,000","22,171,000","11,538,000","10,585,000","12,953,000","6,467,000","8,393,000","14,178,000","14,071,000","10,998,000","13,082,000","4,466,000","5,846,000","8,085,000","8,731,000","7,100,000","6,678,000"
		NetIncomeFromContinuingOperations,"33,624,000","7,988,000","10,008,000","1,731,000","13,897,000","6,261,000","1,673,000","-41,171,000","2,283,000","8,935,000","-650,000","-7,084,000","-6,846,000","-2,163,000","13,400,000","891,000","-8,567,000","-1,661,000","-58,945,000","-1,010,000","-284,000","3,188,000","-42,000","-562,000","-2,044,000","5,794,000","4,878,000","-9,236,000","-1,300,000","3,352,000","3,073,000","6,496,000","12,729,000","15,657,000","17,591,000","17,354,000","13,462,000","16,985,000","12,200,000","13,899,000","10,125,000",,,,,"4,835,000","7,252,000","5,419,000","3,498,000","5,812,000","5,440,000","4,718,000","2,435,000","239,000","3,883,000","4,729,000","3,477,000","6,189,000","8,198,000","3,438,000","2,979,000","51,848,000","4,634,000","4,431,000","3,341,000"
		OperatingGainsLosses,,,"436,000",,,,,,,,,,,,,,,"3,340,000","158,000","162,000","-39,000","414,000","300,000","158,000","86,000","83,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,"436,000",,,,,,,,,,,"0","0","0","0","3,340,000","158,000","162,000","-39,000","414,000","300,000","158,000","86,000","83,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"10,950,000","2,923,000","2,769,000","2,665,000","2,593,000","2,499,000","2,636,000","5,365,000","5,378,000","5,447,000","5,564,000","3,136,000","2,918,000","2,948,000","3,040,000","3,013,000","3,059,000","3,339,000","2,879,000","2,795,000","2,772,000","2,659,000","2,569,000","2,502,000","2,502,000","2,670,000","2,793,000","2,859,000","2,857,000","2,814,000","2,786,000","1,776,000","1,670,000","1,613,000","1,577,000","1,544,000","1,473,000","1,334,000","1,244,000","1,201,000","1,160,000","1,135,000","1,152,000","1,134,000","1,063,000","1,025,000","1,014,000","944,000","923,000","885,000","911,000","912,000","922,000","895,000","939,000","969,000","888,000","829,000","826,000","759,000","741,000","848,000","832,000","660,000","553,000"
			DepreciationAndAmortization,"10,950,000","2,923,000","2,769,000","2,665,000","2,593,000","2,499,000","2,636,000","5,365,000","5,378,000","5,447,000","5,564,000","3,136,000","2,918,000","2,948,000","3,040,000","3,013,000","3,059,000","3,339,000","2,879,000","2,795,000","2,772,000","2,659,000","2,569,000","2,502,000","2,502,000","2,670,000","2,793,000","2,859,000","2,857,000","2,814,000","2,786,000","1,776,000","1,670,000","1,613,000","1,577,000","1,544,000","1,473,000","1,334,000","1,244,000","1,201,000","1,160,000","1,135,000","1,152,000","1,134,000","1,063,000","1,025,000","1,014,000","944,000","923,000","885,000","911,000","912,000","922,000","895,000","939,000","969,000","888,000","829,000","826,000","759,000","741,000","848,000","832,000","660,000","553,000"
		DeferredTax,"49,000","49,000",,,,"-92,000",,,,"-1,783,000","0","0","0","314,000","123,000","-168,000","-105,000","55,000","56,471,000","-1,459,000","-1,330,000","-2,971,000","-1,153,000","-2,947,000","-3,974,000","-1,452,000","-3,353,000","-3,081,000","-1,446,000","2,269,000","2,268,000","-142,000","-323,000","-5,995,000","773,000","2,786,000","-3,994,000","-4,207,000","-703,000","2,579,000","237,000","-4,628,000","1,642,000","-516,000","-1,491,000","5,841,000","-649,000","-978,000","-448,000","1,252,000","433,000","416,000","1,943,000","952,000","1,253,000","1,715,000","-37,000","231,000","-4,003,000","362,000","-6,000",,,,
			DeferredIncomeTax,"49,000","49,000",,,,"-92,000",,,,"-1,783,000","0","0","0","314,000","123,000","-168,000","-105,000","55,000","56,471,000","-1,459,000","-1,330,000","-2,971,000","-1,153,000","-2,947,000","-3,974,000","-1,452,000","-3,353,000","-3,081,000","-1,446,000","2,269,000","2,268,000","-142,000","-323,000","-5,995,000","773,000","2,786,000","-3,994,000","-4,207,000","-703,000","2,579,000","237,000","-4,628,000","1,642,000","-516,000","-1,491,000","5,841,000","-649,000","-978,000","-448,000","1,252,000","433,000","416,000","1,943,000","952,000","1,253,000","1,715,000","-37,000","231,000","-4,003,000","362,000","-6,000",,,,
		AssetImpairmentCharge,"0","0","0","0","0","380,000","612,000","40,925,000","467,000","566,000","145,000","1,332,000","718,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
