name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
			DepreciationAndAmortization,"44,290,000","10,826,000","11,198,000","11,042,000","11,224,000","10,813,000","12,663,000","10,800,000","11,909,000","11,992,000","11,243,000","9,480,000","10,045,000","9,797,000","7,627,000","7,661,000","11,325,000","13,473,000","13,830,000","13,747,000","13,780,000","13,880,000","14,670,000","13,597,000","11,148,000","10,688,000","9,165,000","9,348,000","9,391,000","9,549,000","9,598,000","10,112,000","10,255,000","10,278,000","11,374,000","11,278,000","10,877,000","10,831,000","10,417,000","11,191,000","11,212,000","10,715,000","10,589,000","10,044,000","6,670,000","4,782,000","4,347,000","3,673,000","3,588,000","3,559,000","3,397,000","3,283,000","3,352,000","3,613,000","3,682,000","3,733,000","4,188,000","4,062,000","3,890,000","4,105,000","4,057,000","4,436,000","6,861,000","4,444,000","4,045,000","4,307,000","1,081,000","6,546,000","2,672,000","4,276,000","2,656,000","2,646,000","1,495,000","1,350,000","1,498,000","1,416,000","1,399,000","1,330,000","1,304,000","1,355,000","1,323,000","1,045,000","1,407,000","1,518,000","1,542,000","1,467,000","826,000","1,354,000","851,000","940,000","900,000","800,000","700,000","800,000","800,000","700,000","700,000","700,000","700,000","700,000","600,000"
				Depreciation,"27,652,000","7,040,000","7,187,000","6,870,000","6,555,000","6,198,000","8,098,000","6,228,000","7,325,000","7,300,000","7,281,000","6,294,000","5,123,000","4,809,000","2,638,000","2,578,000","2,587,000","2,942,000","3,304,000","3,249,000","3,330,000","3,392,000","3,577,000","3,423,000","2,996,000","2,969,000","3,005,000","3,079,000","3,068,000","3,227,000","3,275,000","3,371,000","3,498,000","3,481,000","3,885,000","3,895,000","3,880,000","3,791,000","3,607,000","3,215,000","3,269,000","3,099,000","3,306,000","3,117,000","2,668,000","2,803,000","2,868,000","2,374,000","2,386,000","2,473,000","2,622,000","2,600,000","2,632,000","2,807,000","2,886,000","2,903,000","2,835,000","2,702,000","2,567,000","2,782,000","2,737,000","3,116,000","2,964,000","2,931,000","2,538,000","2,815,000","2,424,000","2,426,000","2,343,000","1,972,000","1,735,000","1,726,000","1,165,000","1,020,000",,,,,,"1,269,000","1,256,000","1,209,000","1,270,000","1,278,000","1,320,000",,,,,,,,,,,,,,,,
				AmortizationCashFlow,"16,638,000","3,786,000","4,011,000","4,172,000","4,669,000","4,615,000","4,565,000","4,572,000","4,584,000","4,692,000","3,962,000","3,186,000","4,922,000","4,988,000","4,989,000","5,083,000","8,738,000","10,531,000","10,526,000","10,498,000","10,450,000","10,488,000","11,093,000","10,174,000","8,152,000","7,719,000","6,160,000","6,269,000","6,323,000","6,322,000","6,323,000","6,741,000","6,757,000","6,797,000","7,489,000","7,383,000","6,997,000","7,040,000","6,810,000","7,976,000","7,943,000","7,616,000","7,283,000","6,927,000","4,002,000","1,979,000","1,479,000","1,299,000","1,202,000","1,086,000","775,000","683,000","720,000","806,000","796,000","830,000","1,353,000","1,360,000","1,323,000","1,323,000","1,320,000","1,320,000","3,897,000","1,513,000","1,507,000","1,492,000","-1,343,000","4,120,000","329,000","2,304,000","921,000","920,000","330,000","330,000",,,,,,"86,000","67,000","-164,000","137,000","240,000","222,000",,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"16,638,000","3,786,000","4,011,000","4,172,000","4,669,000","4,615,000","4,565,000","4,572,000","4,584,000","4,692,000","3,962,000","3,186,000","4,922,000","4,988,000","4,989,000","5,083,000","8,738,000","10,531,000","10,526,000","10,498,000","10,450,000","10,488,000","11,093,000","10,174,000","8,152,000","7,719,000","6,160,000","6,269,000","6,323,000","6,322,000","6,323,000","6,741,000","6,757,000","6,797,000","7,489,000","7,383,000","6,997,000","7,040,000","6,810,000","7,976,000","7,943,000","7,616,000","7,283,000","6,927,000","4,002,000","1,979,000","1,479,000","1,299,000","1,202,000","1,086,000","775,000","683,000","720,000","806,000","796,000","830,000","1,353,000","1,360,000","1,323,000","1,323,000","1,320,000","1,320,000","3,897,000","1,513,000","1,507,000","1,492,000","-1,343,000","4,120,000","329,000","2,304,000","921,000","920,000","330,000","330,000",,,,,,"86,000","67,000","-164,000","137,000","240,000","222,000",,,,,,,,,,,,,,,,
		DeferredTax,"1,754,000","648,000","-417,000","622,000","901,000","416,000","67,000","516,000","-225,000","327,000","302,000","-1,852,000","-52,000","-214,000","1,294,000","88,862,000","-1,368,000","-8,834,000","43,643,000","-4,622,000","728,000","-214,000","-2,959,000","-6,973,000","1,674,000","1,142,000","-1,944,000","-172,742,000","589,000","644,000","-4,165,000","534,000","-26,000","5,967,000","1,314,000","-270,000","612,000","263,000","3,767,000","-39,000","0","0","3,167,000","-3,364,000","-3,000","-46,000","-680,000","-49,000","-20,000","-29,000",,"-85,000","-26,000","95,000","890,000","-25,000","130,428,000","-6,113,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100,000","400,000",,,"1,000,000","-3,400,000",,,,
			DeferredIncomeTax,"1,754,000","648,000","-417,000","622,000","901,000","416,000","67,000","516,000","-225,000","327,000","302,000","-1,852,000","-52,000","-214,000","1,294,000","88,862,000","-1,368,000","-8,834,000","43,643,000","-4,622,000","728,000","-214,000","-2,959,000","-6,973,000","1,674,000","1,142,000","-1,944,000","-172,742,000","589,000","644,000","-4,165,000","534,000","-26,000","5,967,000","1,314,000","-270,000","612,000","263,000","3,767,000","-39,000","0","0","3,167,000","-3,364,000","-3,000","-46,000","-680,000","-49,000","-20,000","-29,000",,"-85,000","-26,000","95,000","890,000","-25,000","130,428,000","-6,113,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100,000","400,000",,,"1,000,000","-3,400,000",,,,
		AssetImpairmentCharge,,,,,,,,"0",,,,"-1,853,000",,,,,,,,,,,,,,,,,,,"0","600,000",,,"9,681,000","8,070,000",,,"0",,,,,,,,"0","0","0","0","0","0","0","164,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,"-155,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"28,763,000","7,778,000","6,205,000","7,482,000","7,298,000","6,501,000","6,165,000","6,834,000","6,707,000","6,072,000","4,819,000","7,388,000","7,080,000","7,189,000","6,145,000","6,189,000","1,888,000","7,514,000","7,234,000","6,964,000","6,609,000","6,596,000","5,657,000","5,443,000","5,049,000","4,864,000","3,347,000","3,568,000","4,415,000","3,766,000","3,535,000","3,441,000","4,855,000","2,899,000","3,096,000","3,363,000","3,574,000","4,948,000","4,516,000","5,089,000","6,215,000","6,726,000","6,458,000","7,219,000","7,029,000","7,290,000","7,320,000","7,463,000","7,931,000","7,834,000","7,567,000","7,749,000","7,850,000","8,419,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,"0","0","0","0","-269,000","-336,000","-106,000","-485,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"12,387,000","1,305,000","7,254,000","1,927,000","1,901,000","1,874,000","1,849,000","1,823,000","1,798,000","-27,000","1,750,000","1,725,000","1,701,000","1,678,000","1,656,000","2,191,000","2,716,000","3,350,000","2,254,000","1,801,000","1,774,000","1,749,000","-5,121,000","1,699,000","1,675,000","1,651,000","2,211,000","1,604,000","1,581,000","1,559,000","1,537,000","1,515,000","5,469,000","6,242,000","5,927,000","5,135,000","4,145,000","4,742,000",,,"3,557,000","3,510,000","3,296,000","254,000","3,056,000","3,016,000","2,834,000","2,797,000","1,584,000","3,860,000","5,666,000","5,513,000","2,775,000","2,670,000","-31,507,000","11,723,000","8,953,000","10,529,000","16,408,000","8,661,000","10,324,000","9,417,000","9,849,000","10,479,000",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,"200,000","0","-100,000","0","0","200,000","-100,000",,
		ChangeInWorkingCapital,"93,875,000","12,489,000","41,503,000","21,032,000","18,851,000","22,267,000","33,157,000","36,807,000","52,499,000","26,665,000","34,239,000","27,870,000","39,766,000","36,708,000","20,405,000","31,153,000","5,766,000","37,156,000","27,657,000","-10,260,000","-333,000","-7,827,000","6,621,000","-6,649,000","9,739,000","-3,443,000","-3,174,000","-8,287,000","1,848,000","-7,714,000","11,546,000","2,246,000","-15,653,000","-16,509,000","-1,468,000","3,819,000","-22,809,000","6,212,000","-4,172,000","13,489,000","-8,412,000","-4,053,000","7,187,000","20,933,000","13,825,000","-15,357,000","9,081,000","9,622,000","-1,723,000","11,375,000","-8,094,000","3,650,000","-7,605,000","1,828,000","-1,803,000","5,429,000","-12,144,000","-9,606,000","2,142,000","-4,687,000","-10,884,000","7,764,000","9,185,000","13,639,000","5,429,000","-7,805,000","2,210,000","2,650,000","-355,000","-2,113,000","-11,508,000","-9,558,000","-4,655,000","-8,147,000","-10,658,000","-3,416,000","-7,280,000","-1,559,000","11,326,000","6,489,000","-1,575,000","-793,000","-571,000","21,378,000","-9,844,000","-4,701,000","865,000","19,665,000","-7,092,000","-135,000","-6,400,000","-4,600,000","-5,600,000","-700,000","-1,100,000","0","13,200,000","5,400,000","-9,900,000","16,400,000","9,500,000"
			ChangeInReceivables,"108,542,000","26,344,000","33,854,000","30,441,000","17,903,000","22,733,000","38,914,000","44,920,000","51,422,000","40,996,000","32,820,000","29,331,000","42,803,000","51,553,000","18,221,000","47,770,000","7,223,000","47,017,000","22,546,000","-10,504,000","-7,668,000","-5,484,000","5,464,000","-14,476,000","4,794,000","10,015,000","-6,094,000","-3,569,000","-204,000","-540,000","-902,000","7,404,000","-4,687,000","-5,565,000","-654,000","-594,000","-943,000","469,000","-77,000","-339,000","615,000","298,000","-109,000","437,000","175,000","2,211,000","-2,445,000","89,000","226,000","479,000","-195,000","796,000","-363,000","316,000","927,000","-246,000","5,212,000","-5,476,000","1,261,000","224,000","-2,266,000","1,455,000","-1,154,000","1,218,000","-850,000","-854,000","375,000","338,000","1,929,000","-2,161,000","307,000","-1,288,000","336,000","9,473,000","-7,276,000","948,000","464,000","-3,319,000","-768,000","-115,000","1,740,000","-1,662,000","2,093,000","3,731,000","-5,587,000","1,276,000","-1,720,000","5,037,000","-3,105,000","499,000","-1,000,000",,,"0","-100,000","3,700,000","5,800,000","-10,800,000","300,000","2,100,000","4,300,000"
