name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,09/30/1992
TotalAssets,"1,536,097,000","1,504,825,000","1,453,088,000","1,416,472,000","1,455,303,000","1,459,486,000","1,477,244,000","1,510,172,000","1,524,785,000","1,514,209,000","1,512,231,000","1,499,480,000","1,496,366,000","1,513,620,000","1,535,851,000","1,499,629,000","1,479,130,000","1,465,570,000","1,431,193,000","1,440,558,000","1,391,590,000","1,394,896,000","1,373,386,000","1,380,125,000","1,318,850,000","1,275,424,000","1,216,915,000","1,043,050,000","995,420,000","965,819,000","952,571,000","945,188,000","942,241,000","931,410,000","841,243,000","845,064,000","792,664,000","789,592,000","709,833,000","654,854,000","658,604,000","647,097,000","619,016,000","614,423,000","635,428,000","561,264,000","523,051,000","517,094,000","512,042,000","490,593,000","477,013,000","490,240,000","501,001,000","506,053,000","508,988,000","511,220,000","526,216,000","544,105,000","547,098,000","565,374,000","564,765,000","567,767,000","580,413,000","587,993,000","590,998,000","585,271,000","578,663,000","552,832,000","552,112,000","547,880,000","574,593,000","543,227,000","553,436,000","574,924,000","590,057,000","589,259,000","596,877,000","599,925,000","631,338,000","629,701,000","635,310,000","648,568,000","603,033,000","640,661,000","659,856,000","676,585,000","700,830,000","718,278,000","722,555,000","721,811,000","720,700,000","715,400,000","721,400,000","689,814,000","698,800,000","726,200,000","695,800,000","656,664,000","655,000,000","615,800,000","567,900,000","494,149,000","451,000,000","446,800,000","378,400,000","357,200,000","312,200,000","292,000,000","263,000,000","239,400,000","280,200,000","261,200,000","207,200,000","154,300,000","146,900,000","155,300,000","147,600,000","146,800,000"
	CurrentAssets,"518,304,000","445,799,000","388,418,000","345,240,000","346,095,000","342,002,000","357,297,000","389,319,000","383,167,000","380,530,000","354,394,000","352,151,000","346,498,000","362,822,000","379,349,000","350,422,000","361,101,000","352,603,000","346,035,000","345,808,000","344,269,000","342,126,000","321,464,000","332,569,000","321,684,000","301,096,000","282,195,000","266,699,000","218,125,000","235,514,000","219,157,000","214,881,000","213,440,000","210,035,000","140,128,000","139,916,000","87,874,000","85,005,000","45,483,000","46,504,000","44,815,000","46,364,000","44,450,000","44,936,000","60,828,000","43,987,000","48,242,000","40,590,000","53,597,000","45,954,000","38,649,000","46,846,000","53,679,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"4,393,000","5,161,000","45,459,000","5,714,000","8,201,000","7,772,000","22,811,000","50,370,000","30,888,000","4,244,000","3,960,000","3,207,000","6,715,000","2,656,000","20,408,000","4,260,000","3,784,000","5,213,000","3,842,000","9,299,000","8,732,000","7,991,000","3,613,000","17,756,000","24,280,000","12,942,000","11,729,000","8,051,000","3,417,000","25,237,000","7,589,000","8,064,000","7,542,000","6,778,000","60,338,000","63,315,000","9,621,000","7,191,000","8,274,000","10,313,000","9,783,000","10,893,000","11,697,000","12,876,000","29,869,000","13,381,000","18,970,000","11,974,000","25,684,000","15,329,000","11,548,000","20,578,000","28,157,000","27,586,000","22,617,000","20,375,000","32,333,000","49,095,000","55,623,000","70,024,000","40,913,000","39,826,000","57,591,000","62,911,000","64,759,000","13,502,000","3,941,000","13,962,000","12,819,000","4,315,000","44,897,000","2,793,000","3,748,000","30,200,000","21,348,000","12,883,000","17,015,000","15,969,000","31,839,000","23,482,000","11,998,000","15,077,000","11,569,000","15,261,000","17,293,000","17,743,000","17,688,000","15,920,000","16,887,000","16,845,000","112,000,000","112,100,000","99,900,000","102,103,000","101,200,000","107,600,000","87,700,000","346,874,000","87,700,000","321,900,000","336,000,000","272,948,000","92,700,000","92,700,000","92,900,000","228,400,000","67,700,000","68,000,000","87,300,000","149,400,000","40,900,000","144,200,000","147,500,000","119,500,000",,,,
			CashAndCashEquivalents,"4,393,000","5,161,000","45,459,000","5,714,000","8,201,000","7,772,000","22,811,000","50,370,000","30,888,000","4,244,000","3,960,000","3,207,000","6,715,000","2,656,000","20,408,000","4,260,000","3,784,000","5,213,000","3,842,000","9,299,000","8,732,000","7,991,000","3,613,000","17,756,000","24,280,000","12,942,000","11,729,000","8,051,000","3,417,000","25,237,000","7,589,000","8,064,000","7,542,000","6,778,000","60,338,000","63,315,000","9,621,000","7,191,000","8,274,000","10,313,000","3,297,000","4,408,000","5,214,000","6,395,000","23,390,000","6,903,000","12,493,000","5,498,000","19,210,000","8,856,000","5,076,000","14,108,000","21,688,000","21,118,000","16,150,000","13,909,000","25,868,000","42,631,000","49,160,000","63,562,000","30,973,000","29,887,000","45,954,000","51,362,000","54,824,000","3,569,000","3,941,000","13,962,000","12,819,000","4,315,000","44,897,000","2,793,000","3,748,000","17,919,000","11,476,000","3,233,000","8,888,000","8,001,000","22,968,000","14,701,000","3,217,000","6,322,000","3,329,000","9,805,000","2,420,000","1,870,000","2,267,000","1,516,000","2,322,000","2,655,000","0","0","0","1,503,000","0","0","0","4,974,000","0","0","0","3,148,000","0","0","0","0","0","0","0","0","0","0","0","0",,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","6,486,000","6,485,000","6,483,000","6,481,000","6,479,000","6,478,000","6,477,000","6,476,000","6,474,000","6,473,000","6,472,000","6,470,000","6,469,000","6,468,000","6,467,000","6,466,000","6,465,000","6,464,000","6,463,000","6,462,000","9,940,000","9,939,000","11,637,000","11,549,000","9,935,000","9,933,000",,,,"0","0","0","0","12,281,000","9,872,000","9,650,000","8,127,000","7,968,000","8,871,000","8,781,000","8,781,000","8,755,000","8,240,000","5,456,000","14,873,000","15,873,000","15,421,000","14,404,000","14,565,000","14,190,000","112,000,000","112,100,000","99,900,000","100,600,000","101,200,000","107,600,000","87,700,000","341,900,000","87,700,000","321,900,000","336,000,000","269,800,000","92,700,000","92,700,000","92,900,000","228,400,000","67,700,000","68,000,000","87,300,000","149,400,000","40,900,000","144,200,000","147,500,000","119,500,000",,,,
		Receivables,"473,128,000","436,447,000","339,278,000","331,115,000","329,727,000","328,914,000","327,590,000","331,482,000","346,803,000","344,315,000","340,651,000","339,543,000","328,503,000","350,243,000","347,655,000","335,797,000","334,258,000","319,849,000","312,983,000","308,329,000","308,677,000","311,187,000","297,072,000","289,672,000","276,384,000","266,711,000","249,691,000","245,600,000","202,051,000","200,346,000","204,710,000","200,248,000","199,137,000","196,501,000","72,337,000","70,129,000","71,597,000","70,266,000","29,987,000","28,798,000","27,376,000","25,266,000","24,161,000","24,237,000","22,232,000","21,661,000","20,738,000","20,356,000","19,491,000","21,962,000","18,334,000","17,691,000","16,680,000","4,905,000","5,139,000","3,337,000","2,343,000","2,553,000","2,349,000","2,627,000","2,916,000","3,170,000","3,048,000","3,446,000","3,669,000","3,436,000","3,356,000","3,007,000","2,949,000","3,161,000","79,784,000","3,187,000","3,159,000","75,274,000","86,102,000","87,656,000","3,665,000","86,456,000","3,543,000","88,486,000","3,590,000","3,258,000","104,083,000","4,576,000","110,436,000","110,707,000","4,581,000","5,612,000","129,521,000","135,243,000","4,200,000","4,100,000","4,000,000","183,064,000","3,200,000","3,700,000","4,000,000","257,956,000","3,500,000","3,500,000","3,200,000","180,079,000","2,500,000","2,400,000","2,400,000","2,100,000","1,700,000","1,700,000","1,600,000",,,,"1,100,000","900,000","800,000","700,000","400,000",
			AccountsReceivable,"23,912,000","24,146,000","24,298,000","24,357,000","24,377,000","24,452,000","24,374,000","29,619,000","46,541,000","45,703,000","44,814,000","43,730,000","42,455,000","73,857,000","73,114,000","70,036,000","68,017,000","64,490,000","61,070,000","59,287,000","58,115,000","55,276,000","50,092,000","47,373,000","45,492,000","42,685,000","39,641,000","37,060,000","34,903,000","32,651,000","31,581,000","30,913,000","30,393,000","29,760,000","29,684,000","28,839,000","27,925,000","26,998,000","28,952,000","27,736,000","26,073,000","23,772,000","22,822,000","22,702,000","20,853,000","20,090,000","19,294,000","18,747,000","18,021,000","17,309,000","16,532,000","15,719,000","14,892,000","2,010,000","2,152,000",,,,,,,,,,,,,,,,,,,,,"83,642,000",,,,"84,841,000",,,"99,646,000",,"105,811,000","106,149,000",,,"124,945,000","131,143,000",,,,"179,664,000",,,,"254,056,000",,,,"177,279,000",,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,"45,703,000","44,814,000",,,"74,603,000","73,853,000","70,743,000","68,743,000","65,304,000","61,971,000","60,300,000","59,103,000","56,236,000","50,999,000",,"46,353,000","43,518,000",,"37,835,000",,"33,382,000","32,301,000","31,627,000","31,941,000","31,301,000",,"30,371,000","29,492,000","28,555,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"0",,,,"-746,000","-739,000","-707,000","-726,000","-814,000","-901,000","-1,013,000","-988,000","-960,000","-907,000",,"-861,000","-833,000",,"-775,000",,"-731,000","-720,000","-714,000","-1,548,000","-1,541,000",,"-1,532,000","-1,567,000","-1,557,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"346,543,000","344,442,000","258,829,000","257,051,000","257,282,000","257,251,000","257,671,000","272,162,000","254,396,000","254,099,000","253,186,000","252,016,000","244,314,000","242,939,000","242,609,000","233,823,000","233,383,000","223,907,000","221,861,000","220,385,000","223,292,000","229,801,000","234,347,000","232,897,000","223,053,000","217,529,000","204,476,000","204,031,000","163,647,000","165,656,000","171,321,000","168,068,000","167,472,000","165,444,000","40,668,000","39,272,000","39,741,000","39,299,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
