name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987
TotalRevenue,"1,781,460,000","489,972,000","548,349,000","465,886,000","277,253,000","293,537,000","485,795,000","347,325,000","242,573,000","279,291,000","374,668,000","388,912,000","238,253,000","240,441,000","324,295,000","366,305,000","254,483,000","303,173,000","482,741,000","425,537,000","320,735,000","327,864,000","523,029,000","428,619,000","259,428,000","231,999,000","347,863,000","306,756,000","282,633,000","255,183,000","298,606,000","210,214,000","152,565,000","149,659,000","218,883,000","190,671,000","155,125,000","206,873,000","310,133,000","193,774,000","99,006,000","110,631,000","122,368,000","101,602,000","92,242,000","91,433,000","95,625,000","100,598,000","81,915,000","62,639,000","65,162,000","55,674,000","37,514,000","33,520,000","43,833,000","53,278,000","44,011,000","44,822,000","48,905,000","47,034,000","41,124,000","43,647,000","45,298,000","48,179,000","45,181,000","42,158,000","48,253,000","50,461,000","52,822,000","40,415,000","44,036,000","51,332,000","59,117,000","50,214,000","55,270,000","50,130,000","40,724,000","52,145,000","60,516,000","73,314,000","76,024,000","83,610,000","76,970,000","77,276,000","179,673,000","199,725,000","207,998,000","189,537,000","181,412,000","160,200,000","150,800,000","132,800,000","120,600,000","127,400,000","153,100,000","169,700,000","178,000,000","287,900,000","240,800,000","224,000,000","201,600,000","213,000,000","253,300,000","236,000,000","214,900,000","233,000,000","295,800,000","317,800,000","300,300,000","273,200,000","228,600,000","202,200,000","176,000,000","170,200,000","149,900,000","124,800,000","99,200,000","123,800,000","91,700,000","76,300,000","63,000,000","44,000,000","36,600,000","38,800,000","40,400,000","39,200,000","37,000,000","34,600,000","31,000,000","28,500,000","23,700,000","18,000,000","14,800,000","12,100,000","9,400,000","9,300,000","6,100,000","2,300,000","2,300,000","2,300,000","2,300,000"
	OperatingRevenue,"1,781,460,000","489,972,000","548,349,000","465,886,000","277,253,000","293,537,000","485,795,000","347,325,000","242,573,000","279,291,000","374,668,000","388,912,000","238,253,000","240,441,000","324,295,000","366,305,000","254,483,000","303,173,000","482,741,000","425,537,000","320,735,000","327,864,000","523,029,000","428,619,000","259,428,000","231,999,000","347,863,000","306,756,000","282,633,000","255,183,000","298,606,000","210,214,000","152,565,000","149,659,000","218,883,000","190,671,000","155,125,000","206,873,000","310,133,000","193,774,000","99,006,000","110,631,000","122,368,000","101,602,000","92,242,000","91,433,000","95,625,000","100,598,000","81,915,000","62,639,000","65,162,000","55,674,000","37,514,000","33,520,000","43,833,000","53,278,000","44,011,000","44,822,000","48,905,000","47,034,000","41,124,000","43,647,000","45,297,000","48,179,000","45,181,000","42,158,000","48,253,000","50,461,000","52,822,000","40,415,000","44,036,000","51,332,000","59,117,000","50,214,000","55,270,000","50,130,000","40,724,000","52,145,000","60,516,000","73,314,000","76,024,000","83,610,000","76,970,000","77,276,000","179,673,000","199,725,000","207,998,000","189,537,000","181,412,000","160,200,000","150,800,000","132,800,000","120,600,000","127,400,000","153,100,000","169,700,000","178,000,000","287,900,000","240,800,000","224,000,000","201,600,000","213,000,000","253,300,000","236,000,000","214,900,000","233,000,000","295,800,000","317,800,000","300,300,000","273,200,000","228,600,000","202,200,000","176,000,000","170,200,000","149,900,000","124,800,000","99,200,000","123,800,000","91,700,000","76,300,000","63,000,000","44,000,000","36,600,000","38,800,000","40,400,000","39,200,000","37,000,000","34,600,000","31,000,000","28,500,000","23,700,000","18,000,000","14,800,000","12,100,000","9,400,000","9,300,000","6,100,000","2,300,000","2,300,000","2,300,000","2,300,000"
CostOfRevenue,"857,819,000","231,243,000","258,827,000","230,442,000","137,307,000","145,418,000","234,295,000","167,115,000","115,101,000","133,056,000","177,163,000","180,979,000","115,759,000","115,802,000","161,115,000","181,186,000","129,924,000","150,543,000","247,653,000","214,255,000","159,019,000","163,585,000","267,877,000","216,920,000","132,743,000","116,745,000","182,952,000","164,535,000","150,179,000","136,208,000","167,775,000","109,647,000","77,190,000","76,291,000","115,034,000","91,223,000","75,627,000","123,259,000","152,083,000","93,687,000","45,566,000","48,284,000","56,338,000","47,247,000","44,533,000","45,415,000","43,163,000","43,818,000","35,180,000","27,355,000","30,276,000","26,700,000","17,927,000","15,051,000","19,755,000","23,292,000","19,360,000","20,115,000","21,565,000","20,213,000","16,759,000","17,369,000","17,886,000","20,014,000","18,023,000","17,678,000","21,686,000","23,596,000","25,522,000","18,955,000","26,834,000","28,404,000","27,444,000","23,921,000","26,552,000","24,132,000","20,989,000","25,778,000","29,361,000","37,227,000","37,391,000","43,042,000","70,656,000","46,584,000","158,998,000","136,761,000","117,474,000","102,736,000","100,257,000","96,802,000","85,200,000","71,600,000","63,800,000","248,600,000","157,200,000","135,500,000","99,400,000","185,600,000","128,200,000","115,400,000","104,400,000","141,500,000","135,400,000","124,300,000","109,600,000","202,400,000","181,100,000","161,700,000","164,900,000","159,400,000","125,400,000","104,700,000","82,900,000","78,900,000","70,300,000","59,500,000","56,400,000","68,800,000","45,000,000","37,800,000","30,000,000","20,400,000","15,400,000","17,000,000","17,200,000","17,100,000","16,700,000","15,900,000","14,400,000","12,700,000","10,800,000",,,,,,,,,,
GrossProfit,"923,641,000","258,729,000","289,522,000","235,444,000","139,946,000","148,119,000","251,500,000","180,210,000","127,472,000","146,235,000","197,505,000","207,933,000","122,494,000","124,639,000","163,180,000","185,119,000","124,559,000","152,630,000","235,088,000","211,282,000","161,716,000","164,279,000","255,152,000","211,699,000","126,685,000","115,254,000","164,911,000","142,221,000","132,454,000","118,975,000","130,831,000","100,567,000","75,375,000","73,368,000","103,849,000","99,448,000","79,498,000","83,614,000","158,050,000","100,087,000","53,440,000","62,347,000","66,030,000","54,355,000","47,709,000","46,018,000","52,462,000","56,780,000","46,735,000","35,284,000","34,886,000","28,974,000","19,587,000","18,469,000","24,078,000","29,986,000","24,651,000","24,707,000","27,340,000","26,821,000","24,365,000","26,278,000","27,412,000","28,165,000","27,158,000","24,480,000","26,567,000","26,865,000","27,300,000","21,460,000","17,202,000","22,928,000","31,673,000","26,293,000","28,718,000","25,998,000","19,735,000","26,367,000","31,155,000","36,087,000","38,633,000","40,568,000","6,314,000","30,692,000","20,675,000","62,964,000","90,524,000","86,801,000","81,155,000","63,398,000","65,600,000","61,200,000","56,800,000","-121,200,000","-4,100,000","34,200,000","78,600,000","102,300,000","112,600,000","108,600,000","97,200,000","71,500,000","117,900,000","111,700,000","105,300,000","30,600,000","114,700,000","156,100,000","135,400,000","113,800,000","103,200,000","97,500,000","93,100,000","91,300,000","79,600,000","65,300,000","42,800,000","55,000,000","46,700,000","38,500,000","33,000,000","23,600,000","21,200,000","21,800,000","23,200,000","22,100,000","20,300,000","18,700,000","16,600,000","15,800,000","12,900,000",,,,,,,,,,
OperatingExpense,"557,303,000","150,864,000","145,348,000","140,248,000","120,843,000","123,415,000","121,850,000","116,057,000","108,445,000","114,329,000","124,826,000","121,257,000","118,350,000","122,445,000","118,939,000","129,541,000","130,716,000","131,863,000","131,582,000","120,394,000","114,416,000","109,724,000","108,963,000","107,762,000","104,474,000","93,062,000","100,922,000","97,361,000","94,954,000","88,568,000","83,257,000","66,102,000","59,460,000","53,334,000","51,051,000","48,937,000","47,728,000","49,809,000","48,629,000","49,662,000","42,969,000","41,459,000","39,631,000","36,442,000","33,373,000","32,853,000","29,749,000","26,822,000","29,238,000","25,902,000","24,397,000","24,101,000","22,579,000","22,033,000","21,951,000","24,232,000","23,608,000","25,630,000","27,644,000","28,527,000","23,894,000","30,085,000","24,668,000","22,492,000","22,903,000","12,815,000","21,182,000","26,395,000","3,194,000","25,397,000","27,917,000","34,374,000","34,620,000","3,531,000","-11,194,000","22,006,000","36,941,000","161,734,000","44,251,000","50,555,000","53,120,000","99,756,000","85,660,000","49,396,000","56,275,000","61,434,000","68,346,000","71,625,000","64,949,000","57,922,000","60,400,000","58,500,000","57,000,000","60,700,000","68,100,000","81,000,000","81,000,000","89,000,000","95,300,000","92,600,000","91,800,000","107,400,000","112,500,000","111,000,000","114,600,000","136,500,000","119,300,000","107,700,000","104,900,000","92,800,000","83,500,000","75,400,000","72,500,000","70,200,000","61,700,000","57,300,000","50,700,000","56,500,000","31,500,000","27,100,000","26,900,000","20,000,000","20,500,000","14,000,000","15,200,000","14,500,000","13,600,000","12,400,000","10,700,000","10,100,000","8,500,000",,,,,,,,,,
	SellingGeneralAndAdministration,"150,996,000","39,470,000","38,247,000","38,132,000","35,147,000","33,642,000","32,415,000","31,247,000","29,704,000","32,464,000","36,113,000","33,018,000","29,520,000","30,194,000","30,364,000","33,160,000","32,784,000","36,307,000","34,604,000","30,041,000","30,859,000","31,752,000","32,884,000","32,089,000","30,540,000","27,228,000","30,632,000","30,103,000","29,119,000","30,498,000","27,783,000","21,545,000","19,683,000","17,823,000","18,625,000","19,215,000","19,198,000","19,724,000","19,021,000","20,194,000","18,059,000","17,354,000","16,488,000","16,760,000","14,606,000","15,252,000","13,431,000","15,372,000","14,011,000","12,678,000","11,428,000","11,746,000","10,071,000","10,649,000","11,055,000","11,597,000","12,003,000","13,304,000","14,450,000","12,819,000","12,981,000","14,797,000","13,478,000","12,389,000","11,177,000","9,437,000","10,740,000","15,765,000","14,301,000","7,127,000","9,611,000","13,162,000","12,494,000","14,635,000","12,163,000","12,203,000","12,517,000","15,342,000","17,909,000","19,939,000","20,471,000","95,570,000","24,120,000","22,403,000","25,448,000","26,907,000","27,155,000","29,299,000","26,268,000","21,349,000","23,300,000","22,600,000","22,700,000","21,700,000","22,700,000","26,800,000","27,100,000","30,200,000","29,200,000","28,400,000","29,500,000","33,700,000","31,500,000","30,900,000","30,600,000","45,800,000","43,000,000","38,400,000","38,100,000","36,200,000","32,300,000","29,200,000","27,800,000","26,000,000","23,100,000","51,400,000","45,200,000","51,900,000","27,500,000","23,600,000","23,700,000","17,600,000","17,800,000","12,300,000","13,600,000","13,000,000","12,200,000","11,200,000","9,700,000","8,700,000","7,500,000",,,,,,,,,,
	ResearchAndDevelopment,"406,307,000","111,394,000","107,101,000","102,116,000","85,696,000","89,773,000","89,435,000","84,810,000","78,741,000","81,865,000","88,713,000","88,239,000","88,830,000","92,251,000","88,575,000","96,381,000","97,932,000","95,556,000","96,978,000","90,353,000","83,557,000","77,972,000","76,079,000","75,673,000","73,934,000","65,834,000","70,290,000","67,258,000","65,835,000","58,070,000","55,474,000","44,557,000","39,777,000","35,511,000","32,426,000","29,722,000","28,530,000","30,085,000","29,608,000","29,468,000","24,910,000","24,105,000","23,143,000","19,682,000","18,767,000","17,044,000","16,348,000","15,450,000","15,092,000","13,724,000","12,834,000","12,355,000","12,508,000","10,950,000","10,896,000","10,864,000","11,605,000","12,326,000","13,194,000","12,051,000","10,913,000","10,998,000","11,190,000","10,103,000","11,726,000","10,378,000","10,442,000","10,630,000","13,651,000","14,851,000","15,480,000","17,793,000","18,707,000","16,871,000","18,224,000","20,427,000","20,646,000","5,664,000","26,342,000","30,616,000","32,649,000","2,288,000","61,540,000","26,993,000","30,827,000","28,105,000","33,905,000","34,549,000","31,039,000","28,155,000","28,900,000","27,900,000","26,700,000","29,500,000","31,100,000","34,100,000","35,500,000","43,000,000","47,700,000","44,600,000","44,200,000","51,300,000","59,800,000","58,500,000","61,200,000","70,200,000","60,100,000","54,500,000","54,000,000","49,500,000","40,900,000","37,200,000","36,800,000","35,800,000","32,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,419,000","3,419,000","3,419,000","3,419,000",,"3,419,000","3,778,000","3,778,000",,,,,,,,,"6,422,000","7,286,000","7,777,000","7,642,000","8,418,000","8,200,000","8,000,000","7,600,000","9,500,000","14,300,000","20,100,000","18,400,000","15,800,000","18,400,000","19,600,000","18,100,000","22,400,000","21,200,000","21,600,000","22,800,000","20,500,000","16,200,000","14,800,000","12,800,000","7,100,000","10,300,000","9,000,000","7,900,000","8,400,000","6,500,000","5,900,000","5,500,000","4,600,000","4,000,000","3,500,000","3,200,000","2,400,000","2,700,000","1,700,000","1,600,000","1,500,000","1,400,000","1,200,000","1,000,000","1,400,000","1,000,000",,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,419,000","3,419,000","3,419,000","3,419,000",,"3,419,000","3,778,000","3,778,000",,,,,,,,,"6,422,000","7,286,000","7,777,000","7,642,000","8,418,000","8,200,000","8,000,000","7,600,000","9,500,000","14,300,000","20,100,000","18,400,000","15,800,000","18,400,000","19,600,000","18,100,000","22,400,000","21,200,000","21,600,000","22,800,000","20,500,000","16,200,000","14,800,000","12,800,000","7,100,000","10,300,000","9,000,000","7,900,000","8,400,000","6,500,000","5,900,000","5,500,000","4,600,000","4,000,000","3,500,000","3,200,000","2,400,000","2,700,000","1,700,000","1,600,000","1,500,000","1,400,000","1,200,000","1,000,000","1,400,000","1,000,000",,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,419,000","3,419,000","3,419,000","3,419,000",,"3,419,000","3,778,000","3,778,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
