name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"395,899,000","397,154,000","389,847,000","275,635,366","154,887,000"
	CurrentAssets,"286,450,000","311,040,000","305,578,000","601,823","87,469,000"
		CashCashEquivalentsAndShortTermInvestments,"251,958,000","278,904,000","290,327,000","31,197","80,848,000"
			CashAndCashEquivalents,"154,050,000","278,904,000","290,327,000","31,197","80,848,000"
				CashFinancial,,,,"31,197",
			OtherShortTermInvestments,"97,908,000","2,671,000",,,
		Receivables,"26,216,000","26,023,000","7,924,000","12,187,000","2,992,000"
			AccountsReceivable,"26,216,000","26,023,000","7,924,000","12,187,000","2,992,000"
		PrepaidAssets,"8,276,000","6,113,000","7,327,000","570,626","3,629,000"
	TotalNonCurrentAssets,"109,449,000","86,114,000","84,269,000","275,033,543","67,418,000"
		NetPPE,"41,233,000","42,369,000","44,032,000","44,790,000","24,923,000"
			GrossPPE,"61,353,000","61,839,000","63,313,000","44,790,000","39,762,000"
				Properties,"0","0","0",,"0"
				MachineryFurnitureEquipment,"26,794,000","26,681,000","27,570,000",,"26,102,000"
				OtherProperties,"20,896,000","21,495,000","22,080,000","44,790,000",
				Leases,"13,663,000","13,663,000","13,663,000",,"13,660,000"
			AccumulatedDepreciation,"-20,120,000","-19,470,000","-19,281,000",,"-14,839,000"
		GoodwillAndOtherIntangibleAssets,"36,892,000","37,628,000","38,419,000","39,321,000","41,126,000"
			Goodwill,"33,159,000","33,159,000","33,159,000","33,159,000","33,159,000"
			OtherIntangibleAssets,"3,733,000","4,469,000","5,260,000","6,162,000","7,967,000"
		InvestmentsAndAdvances,"29,593,000","4,292,000",,"275,033,543","0"
			OtherInvestments,,,,"275,033,543",
		NonCurrentDeferredAssets,"1,436,000","1,477,000","1,511,000","1,574,000","1,235,000"
			NonCurrentDeferredTaxesAssets,"1,436,000","1,477,000","1,511,000","1,574,000","1,235,000"
		OtherNonCurrentAssets,"295,000","348,000","307,000","4,955,000","134,000"
TotalLiabilitiesNetMinorityInterest,"90,161,000","104,562,000","381,350,000","44,168,684","356,999,000"
	CurrentLiabilities,"65,647,000","59,337,000","53,938,000","3,658,684","26,267,000"
		PayablesAndAccruedExpenses,"7,401,000","7,534,000","6,071,000","3,658,684","3,171,000"
			Payables,"5,565,000","6,117,000","4,492,000","140,869","1,486,000"
				AccountsPayable,"4,527,000","5,043,000","3,480,000","46,895","1,301,000"
				TotalTaxPayable,"1,038,000","1,074,000","1,012,000","64,802","185,000"
				DuetoRelatedPartiesCurrent,,,,"29,172",
			CurrentAccruedExpenses,"1,836,000","1,417,000","1,579,000","3,517,815","1,685,000"
				InterestPayable,,,"14,000",,"259,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"4,194,000","6,600,000","4,820,000","4,381,000","3,269,000"
		CurrentDebtAndCapitalLeaseObligation,"2,498,000","2,433,000","2,726,000","10,049,000","4,619,000"
			CurrentDebt,,,,"7,746,000","4,128,000"
				OtherCurrentBorrowings,,,,"7,746,000","4,128,000"
			CurrentCapitalLeaseObligation,"2,498,000","2,433,000","2,726,000","2,303,000","491,000"
		CurrentDeferredLiabilities,"9,054,000","3,077,000","6,003,000","8,167,000","751,000"
			CurrentDeferredRevenue,"9,054,000","3,077,000","6,003,000","8,167,000","751,000"
		OtherCurrentLiabilities,"42,500,000","39,693,000","34,318,000","42,518,000","14,457,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"24,514,000","45,225,000","327,412,000","40,510,000","330,732,000"
		LongTermDebtAndCapitalLeaseObligation,"24,447,000","25,198,000","25,933,000","56,162,000","33,398,000"
			LongTermDebt,,,,"29,969,000","33,398,000"
			LongTermCapitalLeaseObligation,"24,447,000","25,198,000","25,933,000","26,193,000","0"
		NonCurrentDeferredLiabilities,,"0","0","9,625,000","2,248,000"
			NonCurrentDeferredRevenue,,"0","0","9,625,000","2,248,000"
		DerivativeProductLiabilities,"0","19,943,000","34,294,000","30,885,000","0"
		PreferredSecuritiesOutsideStockEquity,,"0","0","290,427,000","290,427,000"
