name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994
MarketCap,"13,542,515,946","14,851,207,890","15,252,930,000","13,312,927,890","14,207,315,466","14,191,333,076","12,990,506,672","12,799,084,848","12,476,835,000","13,108,096,944","11,811,540,000","12,053,833,745","12,681,196,372","13,948,217,758","11,935,344,000","12,326,816,000","12,645,456,000","12,956,389,587","14,414,704,000","12,047,280,000","13,847,840,000","14,755,422,021","15,818,809,263","15,289,146,424","17,948,283,803","15,197,511,525","15,356,684,194","14,047,482,919","13,365,558,421","13,861,404,441","10,502,429,532","10,590,584,056","10,145,030,037","9,832,104,632","10,077,009,172","11,692,497,958","11,829,246,165","10,992,646,300","9,614,828,170","9,288,415,657","8,481,649,305","8,781,971,855","8,922,287,985","8,768,865,019","8,912,335,006","8,707,251,965","7,209,072,759","7,681,761,794","7,339,137,930","7,274,606,612","7,149,944,561","6,272,193,636","5,950,742,154","4,666,146,176","5,347,212,204","5,277,337,227","2,669,369,607","2,724,575,886","2,615,083,958","3,073,973,657","3,209,828,044","3,177,475,966","2,686,060,994","2,782,149,930","2,555,274,940","2,235,819,467","2,531,414,205","2,667,997,348","2,778,920,855","2,904,773,953","2,721,665,704","2,601,085,520","2,440,032,478","2,624,137,176","2,334,060,182","2,193,250,770","2,000,439,841","1,805,527,168","1,990,614,280","1,816,595,814","1,660,217,991","862,970,346","795,115,388","820,007,210","662,981,782","637,249,250","598,033,327","538,147,701","256,674,847","228,112,646","251,222,862","285,313,339","347,227,094","309,453,660","359,834,738","316,649,065","341,839,532","353,675,152","368,955,236","392,358,504","347,361,568","251,571,705","251,571,705","237,185,631","255,158,017","303,872,943","298,489,849","282,299,714","314,666,319","309,409,319","332,801,144","341,790,550"
EnterpriseValue,"17,979,515,946","19,094,307,890","19,861,430,000","17,924,327,890","18,778,615,466","18,685,933,076","17,877,906,672","17,919,484,848","17,869,235,000","18,601,996,944","17,635,240,000","17,941,333,745","18,490,696,372","19,830,817,758","18,039,244,000","18,849,716,000","17,284,856,000","17,712,689,587","19,492,004,000","17,092,080,000","19,079,540,000","19,702,822,021","21,048,409,263","20,531,246,424","23,268,483,803","20,341,311,525","21,082,184,194","19,911,182,919","19,410,858,421","15,929,504,441","12,833,829,532","12,792,284,056","12,219,730,037","11,692,904,632","12,167,109,172","13,637,097,958","13,590,646,165","12,622,340,300","11,480,469,170","11,154,056,657","10,240,050,305","10,622,806,855","10,623,061,985","10,344,429,019","9,896,529,006","9,419,069,965","7,920,890,759","8,411,913,794","7,965,567,930","7,901,036,612","8,200,483,561","7,443,407,636","7,121,956,154","5,746,179,176","6,369,105,204","6,299,230,227","3,315,615,607","3,330,084,886","3,077,843,958","3,578,014,657","3,683,489,044","3,402,999,966","2,960,275,994","3,126,581,930","2,930,633,940","2,598,487,467","2,894,082,205","3,075,628,348","3,185,034,855","3,347,328,953","3,164,220,704","3,104,332,520","2,453,356,478","2,637,461,176","2,369,400,182","2,228,590,770","1,967,971,841","1,759,302,168","1,974,783,280","1,852,770,814","1,721,122,991","906,056,346","862,675,388","921,789,210","746,989,782","721,124,250","702,245,327","663,940,701","306,306,847","277,058,646","300,168,862","307,813,339","347,510,094","309,736,660","363,234,738","320,049,065","345,239,532","357,075,152","372,355,236","395,758,504","350,761,568","254,971,705","254,971,705","261,585,631","286,058,017","347,025,943","289,789,849","324,599,714","324,666,319","314,209,319","337,601,144","389,990,550"
PeRatio,"21.82","25.69","20.054","17.231","16.831","15.576","15.06","14.841","15.987","20.969","21.145","22.437","24.6","22.216","8.903","9.156","9.433","10.268","25.634","22.279","23.902","22.077","22.162","21.597","26.764","39.558","39.483","35.252","33.541","21.231","18.892","19.367","18.384","17.707","18.256","21.428","22.504","21.871","20.469","19.778","18.824","19.613","19.995","19.112","19.24","17.705","14.66","15.378","14.802","14.716","17.616","16.582","15.733","12.628","14.425","14.236","15.928","16.627","15.188","17.576","18.791","20.225","18.057","20","18.291","17.219","19.079","19.369","21.049","22.251","20.951","20.136","18.919","23.665","21.372","20.101","18.71","17.96","22.689","23.903","26.374","29.613","23.23","25.104","21.742","21.269","26.794","224.943","35.734","65.17","71.283","14.902","18.751","16.666","19.187","17.349","18.73","19.809","19.903","21.166","19.569","16.51","22.796","21.697","20.371","20.915","9.505","8.376","8.597","20.476","22.024","21.097"
ForwardPeRatio,"15.798","15.625","15.773","14.749","14.948","15.773","14.065","13.532","13.28","13.812","12.723","12.707","13.263","14.859","12.887","12.953","13.298","13.245","16","13.68","15.337","16.129","17.123","18.727","20.04","19.38","20.161","20.576","19.608","20.04","17.391","17.212","16.42","15.291","14.728","18.382","18.587","17.637","15.456","15.129","13.569","15.337","14.085","13.774","13.986","14.815","12.547","13.038",,"13.889",,,,,,,"12.707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"2.937","4.398","4.445","7.728","7.832","16.96","15.132",,"26.037","27.084","15.155","8.76","10.361","6.909","4.397","4.422","4.26","2.403","5.243","3.718","3.015","2.561","2.278","2.244","2.237","1.581","1.254","1.653","1.975","3.148","3.723","2.714","2.351","2.222","1.849","2.146","2.071","1.957","1.985","2.096","1.867","1.883","1.816","1.796","1.93","2.043","1.792","1.665",,"1.736",,,,,,,"1.656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.716","1.884","1.943","1.724","1.835","1.815","1.642","1.595","1.59","1.71","1.538","1.55","1.604","1.804","1.558","1.63","1.707","1.757","1.973","1.663","1.906","1.992","2.123","2.022","2.348","1.998","2.091","2.01","2.035","2.137","1.906","1.909","1.838","1.775","1.756","2.021","2.059","1.92","1.701","1.644","1.516","1.633","1.694","1.72","1.891","1.884","1.56","1.655","1.588","1.579","1.539","1.288","1.223","0.894","0.905","0.893","1.041","1.122","1.1","1.336","1.456","1.48","1.26","1.304","1.197","1.073","1.189","1.242","1.341","1.446","1.362","1.535","1.487","1.86","1.659","1.56","1.445","1.319","1.468","1.337","1.24","1.33","1.126","1.215","1.015","1.035","0.937","0.844","0.404","0.361","0.395","0.465","0.576","0.512","0.622","0.557","0.601","0.625","0.661","0.703","0.62","0.464","0.568","0.496","0.496","0.575","0.474","0.45","0.498","0.499","0.536","1.182"
PbRatio,"1.664","1.763","1.841","1.63","1.749","1.728","1.501","1.534","1.523","1.604","1.46","1.505","1.591","1.739","1.486","1.554","1.602","1.66","2.049","1.738","2.022","1.985","2.203","2.155","2.561","2.016","2.123","1.97","1.886","2.653","2.032","2.083","2.017","1.889","1.95","2.304","2.297","2.09","1.866","1.803","1.624","1.701","1.659","1.635","1.684","1.598","1.344","1.424","1.378","1.366","1.393","1.246","1.182","0.945","3.536","3.49","1.469","1.514","1.413","1.603","1.739","1.77","1.53","1.586","1.464","1.284","1.453","1.544","1.644","1.731","1.621","1.602","2.015","2.167","1.993","1.873","1.755","1.606","1.789","1.666","1.553","3.08","2.965","3.237","2.651","2.579","2.438","2.257","0.806","0.707","0.779","0.878","1.071","0.954","1.158","1.035","1.117","1.17","1.241","1.32","1.181","0.862","0.877","0.833","0.915","1.1","1.089","1.028","1.193","1.211","1.303","1.364"
EnterprisesValueRevenueRatio,"2.248","9.388","9.655","8.744","10.107","9.731","8.609","8.81","9.062","8.892","8.941","9.164","10.394","10.426","8.966","9.325","9.085","9.944","10.241","8.885","10.909","11.045","11.203","10.727","12.814","11.253","10.68","9.583","9.944","11.008","8.912","8.633","9.231","9.473","8.302","8.742","10.06","9.422","7.361","6.848","7.476","7.838","7.238","6.833","8.324","7.934","6.036","6.577","7.606","7.391","6.8","5.821","6.773","5.378","5.386","7.471","4.996","5.644","4.626","5.054","6.56","6.896","5.659","5.168","5.566","5.18","5.395","5.073","6.241","6.811","5.751","5.271","5.9","8.105","6.669","5.774","5.618","5.347","5.794","5.049","6.26","5.145","5.123","5.333","4.399","4.25","4.65","3.979","1.872","1.769","1.995","1.877","2.152","1.982","2.58","2.066","2.294","2.51","2.849","2.726","2.38","1.807","2.048","1.832","2.132","8.307","1.815","1.811","2.194","2.208","2.146","2.116"
EnterprisesValueEBITDARatio,"12.283","46.312","75.147","42.175","51.846","53.327","34.681","38.77","37.747","40.669","44.121","40.813","50.562","75.316","56.426","43.413","51.048","42.909","74.17","39.238","56.616","64.304","61.509","49.918","58.084","56.963","49.465","47.419","51.638","-747.864","40.32","40.202","47.715","44.494","37.129","43.486","49.529","46.243","36.074","36.143","40.733","42.736","42.352","41.21","41.155","41.183","28.691","27.359","37.196","34.41","31.821","26.904","33.306","35.065","29.894","57.726","35.94","40.305","34.651","34.933","43.786","39.725","37.577","35.166","45.25","36.037","36.699","30.74","43.794","46.557","38.528","35.54","38.176","70.607","37.574","32.193","35.947","33.315","32.94","30.501","42.426","42.056","38.595","41.751","33.345","33.556","36.222","57.434","19.066","405.057","36.389","20.385","20.204","21.251","26.708","22.381","20.798","23.862","30.273","28.472","21.923","16.66","23.179","19.377","21.508","41.841","22.818","19.437","19.797","27.089","22.658","18.84"
