name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"181,624","181,625","128,034","128,034"
		AssetImpairmentCharge,,,"0",,,,"0","871,000","0","0","0","0","104,000","2,003,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,"-573,000","-1,045,000","7,256,000","-1,727,000","-651,000","-1,108,000","-1,615,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"40,188,000","11,339,000","9,550,000","9,745,000","9,554,000","10,800,000","9,096,000","9,247,000","8,989,000","9,695,000","8,696,000","9,977,000","12,073,000","12,349,000","11,228,000","12,757,000","15,169,000","14,400,000","12,622,000","12,630,000","18,810,000","18,830,000","16,559,000","18,481,000","18,039,000","18,917,000","19,709,000","20,420,000","19,786,000","19,605,000","20,148,000","19,344,000","20,486,000","28,278,000","27,760,000","26,837,000","23,851,000","576,969,000",,,,"0",,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","-316,000","169,000","-377,000","-776,000","-213,000","-184,000",,,,,,,,,,,,,,,,
		OtherNonCashItems,"-6,966,000","-3,169,000","6,430,000","6,866,000","-17,093,000","-53,492,000","-32,220,000","-26,838,000","3,871,000","397,000","-6,849,000","-11,727,000","-8,298,000","-19,028,000","-9,180,000","-14,322,000","-15,907,000","7,435,000","-38,628,000","-6,551,000","-16,175,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","112,000","-652,000",,,"182,000","19,170,000",,,"70,649",,
		ChangeInWorkingCapital,"-90,633,000","87,405,000","-139,317,000","5,468,000","-44,189,000","126,807,000","-57,053,000","25,894,000","2,278,000","42,960,000","-42,672,000","13,809,000","18,971,000","43,692,000","-56,597,000","16,072,000","2,279,000","71,909,000","-94,190,000","5,431,000","-11,322,000","46,664,000","-58,486,000","1,988,000","773,000","43,023,000","-55,895,000","6,188,000","-2,153,000","49,422,000","-29,203,000","-4,582,000","-4,765,000","54,023,000","-83,551,000","-3,904,000","4,840,000","-180,549,000","-44,366,000","66,291,000","5,863,000","65,006,000","-30,519,000","-37,700,302","6,021,081","29,290,221","23,246,900","35,102,531"
			ChangeInReceivables,"-7,455,000","-6,644,000","6,298,000","-494,000","-6,615,000","-15,151,000","-1,465,000","-4,317,000","2,603,000","-14,841,000","9,445,000","-4,105,000","-7,952,000","-11,566,000","9,128,000","0","-2,061,000","1,935,000","-3,021,000","-5,915,000","-4,358,000","-3,661,000","5,785,000","-2,700,000","-6,433,000","3,666,000","7,510,000","9,157,000","-10,314,000","2,950,000","-2,163,000","-2,513,000","-2,814,000","1,891,000","-4,363,000","-5,555,000","-2,362,000","-5,459,000","128,000","-3,071,000","-1,998,000","-1,664,000","-2,356,000","3,238,110","-2,200,126","-1,366,984","2,096,977","-92,338"
				ChangesInAccountReceivables,"-7,455,000","-6,644,000","6,298,000","-494,000","-6,615,000","-15,151,000","-1,465,000","-4,317,000","2,603,000","-14,841,000","9,445,000","-4,105,000","-7,952,000","-11,566,000","9,128,000","0","-2,061,000","1,935,000","-3,021,000","-5,915,000","-4,358,000","-3,661,000","5,785,000","-2,700,000","-6,433,000","3,666,000","7,510,000","9,157,000","-10,314,000","2,950,000","-2,163,000","-2,513,000","-2,814,000","1,891,000","-4,363,000","-5,555,000","-2,362,000","-5,459,000","128,000","-3,071,000","-1,998,000","-1,664,000","-2,356,000","3,238,110","-2,200,126","-1,366,984","2,096,977","-92,338"
			ChangeInPrepaidAssets,"8,655,000","2,871,000","1,050,000","-3,571,000","8,305,000","-8,948,000","-1,614,000","-3,742,000","-11,516,000","10,762,000","1,036,000","632,000","225,000","-862,000","-1,392,000","985,000","-3,511,000","1,643,000","502,000","1,647,000","-2,109,000","1,589,000","-3,099,000","300,000","-932,000","-1,167,000","-803,000","35,000","-72,000","-1,774,000","19,000","-646,000","462,000","-1,442,000","-374,000","-2,010,000","681,000","-263,000","-758,000","472,000","-187,000","-224,000","1,348,000","-4,071","179,618","-242,547","437,516","108,324"
