name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996
TotalAssets,"6,019,199,000","5,905,801,000","5,826,326,000","5,963,487,000","5,949,613,000","5,933,619,000","5,953,350,000","6,069,437,000","6,434,458,000","6,597,641,000","6,560,681,000","6,554,943,000","6,614,811,000","6,479,071,000","6,935,168,000","7,057,632,000","7,109,836,000","7,137,481,000","7,137,634,000","5,640,376,000","5,686,191,000","5,702,592,000","5,655,484,000","5,665,811,000","5,569,374,000","5,459,599,000","5,449,245,000","3,404,281,000","3,272,140,000","3,230,374,000","3,112,612,000","3,043,129,000","2,857,553,000","2,862,202,000","2,679,570,000","2,333,052,000","2,275,283,000","2,109,664,000","2,107,155,000","2,000,350,000","2,070,275,000","1,730,844,000","1,691,203,000","1,562,763,000","1,567,650,000","1,506,735,000","1,179,497,000","1,174,451,000","1,147,976,000","1,148,127,000","1,168,269,000","1,188,082,000","1,177,537,000","1,178,674,000","1,281,464,000","1,199,242,000","923,033,000","908,523,000","894,640,000","203,326,000","191,729,000","191,087,000","192,982,000","207,653,000","187,996,000","181,777,000","186,619,000","181,116,000","166,657,000","143,154,000","147,225,000","141,377,000","143,896,000","147,115,000","130,445,000","132,131,000","143,593,000","137,537,000","128,379,000","127,527,000","133,850,000","230,113,000","357,994,000","455,082,000","356,568,000","449,343,000","510,771,000","573,524,000","540,558,000","380,600,000","366,500,000","284,100,000","275,300,000","297,200,000","324,400,000","312,800,000","308,000,000","331,100,000","430,700,000","400,100,000","460,700,000","509,900,000"
	CurrentAssets,"669,599,000","542,484,000","481,683,000","619,721,000","644,143,000","580,169,000","516,592,000","472,790,000","496,880,000","593,074,000","517,746,000","436,397,000","440,070,000","443,279,000","761,424,000","575,669,000","580,094,000","636,033,000","590,824,000","327,710,000","352,568,000","359,569,000","311,776,000","372,526,000","326,371,000","306,316,000","345,396,000","359,770,000","307,940,000","355,366,000","469,307,000","519,771,000","454,336,000","535,223,000","524,069,000","486,000,000","482,257,000","404,034,000","427,267,000","341,723,000","442,131,000","376,104,000","343,363,000","342,242,000","328,795,000","252,538,000","250,737,000","233,423,000","201,832,000","189,244,000","189,572,000","182,873,000","165,699,000","168,127,000","261,186,000","272,645,000","235,800,000","214,240,000","178,593,000","107,083,000","102,281,000","99,992,000","102,293,000","114,662,000","98,386,000","90,449,000","107,456,000","100,247,000","99,262,000","77,396,000","82,225,000","82,606,000","86,232,000","88,211,000","84,434,000","85,417,000","97,170,000","92,830,000","84,986,000","83,518,000","88,536,000","182,100,000","264,140,000","359,756,000","259,527,000","350,604,000","409,676,000","471,391,000","436,644,000","274,700,000","259,200,000","175,100,000","164,800,000","185,200,000","215,000,000","209,000,000","208,400,000","232,200,000","332,700,000","302,700,000","362,300,000","410,400,000"
		CashCashEquivalentsAndShortTermInvestments,"9,547,000","19,987,000","10,407,000","24,205,000","18,449,000","21,282,000","105,874,000","28,020,000","18,137,000","29,128,000","56,609,000","9,579,000","11,204,000","10,300,000","11,878,000","7,846,000","16,092,000","9,041,000","9,694,000","10,077,000","10,773,000","7,029,000","3,447,000","8,550,000","12,311,000","10,895,000","15,568,000","8,719,000","11,138,000","9,462,000","16,925,000","14,326,000","11,676,000","8,866,000","16,859,000","18,668,000","15,983,000","11,282,000","15,461,000","15,042,000","14,324,000","10,817,000","4,376,000","5,434,000","4,155,000","5,762,000","7,567,000","10,438,000","15,512,000","8,350,000","12,788,000","10,904,000","19,257,000","22,743,000","22,371,000","9,187,000","11,431,000","11,851,000","7,767,000","3,832,000","2,920,000","2,318,000","2,384,000","1,716,000","382,000","3,099,000","2,149,000","1,628,000","3,131,000","2,078,000","905,000","1,732,000","340,000","2,869,000","3,933,000","2,863,000","1,923,000","1,071,000","4,939,000","5,934,000","531,000","5,777,000","9,871,000","18,100,000","10,842,000","5,508,000","14,872,000","5,674,000","1,975,000","6,700,000","2,400,000","2,200,000","7,200,000","7,700,000","2,900,000","3,700,000","6,100,000","11,800,000","17,500,000","13,500,000","11,600,000","11,900,000"
			CashAndCashEquivalents,"9,547,000","19,987,000","10,407,000","24,205,000","18,449,000","21,282,000","36,504,000","28,020,000","18,137,000","29,128,000","56,609,000","9,579,000","11,204,000","10,300,000","11,878,000","7,846,000","16,092,000","9,041,000","9,694,000","10,077,000","10,773,000","7,029,000","3,447,000","8,550,000","12,311,000","10,895,000","15,568,000","8,719,000","11,138,000","9,462,000","16,925,000","14,326,000","11,676,000","8,866,000","16,859,000","18,668,000","15,983,000","11,282,000","15,461,000","15,042,000","14,324,000","10,817,000","4,376,000","5,434,000","4,155,000","5,762,000","3,058,000","6,033,000","11,210,000","4,148,000","8,700,000","6,929,000","15,392,000","18,985,000","22,371,000","9,187,000","11,431,000","11,851,000","7,767,000","3,832,000","2,920,000","2,318,000","2,384,000","1,716,000","382,000","3,099,000","2,149,000","1,628,000","3,131,000","2,078,000","905,000","1,732,000","340,000","2,869,000","3,933,000","2,863,000","1,923,000","1,071,000","4,939,000","5,934,000","531,000","5,777,000","9,871,000","18,100,000","10,842,000","5,508,000","14,872,000","5,674,000","1,975,000","6,700,000","2,400,000","2,200,000","7,200,000","7,700,000","2,900,000","3,700,000","6,100,000","11,800,000","17,500,000","13,500,000","11,600,000","11,900,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,210,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,"69,370,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,509,000","4,405,000","4,302,000","4,202,000","4,088,000","3,975,000","3,865,000","3,758,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"531,791,000","400,334,000","321,637,000","433,310,000","473,929,000","392,465,000","247,819,000","238,300,000","315,645,000","417,002,000","330,581,000","297,847,000","307,390,000","323,462,000","365,646,000","432,777,000","419,903,000","495,449,000","437,039,000","217,834,000","214,866,000","224,682,000","210,808,000","249,133,000","214,111,000","219,532,000","243,372,000","273,567,000","202,632,000","271,529,000","323,535,000","346,548,000","307,978,000","368,033,000","364,080,000","353,545,000","356,972,000","270,925,000","318,892,000","231,526,000","293,871,000","237,989,000","223,797,000","225,776,000","268,090,000","171,550,000","169,685,000","124,801,000","124,293,000","129,865,000","128,863,000","120,701,000","109,589,000","115,104,000","202,131,000","235,229,000","199,692,000","180,099,000","154,622,000","89,485,000","88,004,000","89,106,000","92,697,000","102,040,000","88,321,000","84,676,000","97,461,000","90,231,000","92,589,000","71,446,000","75,637,000","78,590,000","83,343,000","82,256,000","74,582,000","76,795,000","88,661,000","80,664,000","72,115,000","72,508,000","79,945,000","163,368,000","232,263,000","329,272,000","230,900,000","334,991,000","383,903,000","454,513,000","422,806,000","248,500,000","248,300,000","160,600,000","146,500,000","172,200,000","201,700,000","194,200,000","195,500,000","209,900,000","310,700,000","283,000,000","345,700,000","388,800,000"
			AccountsReceivable,"531,791,000","400,334,000","321,637,000","433,310,000","473,929,000","392,465,000","247,819,000","238,300,000","315,645,000","417,002,000","330,581,000","297,847,000","307,390,000","323,462,000","365,646,000","432,777,000","419,903,000","495,449,000","437,039,000","217,834,000","214,866,000","224,682,000","210,808,000","249,133,000","214,111,000","219,532,000","243,372,000","273,567,000","202,632,000","271,529,000","323,535,000","346,548,000","307,978,000","368,033,000","364,080,000","353,545,000","356,972,000","270,925,000","318,892,000","231,526,000","293,871,000","237,989,000","223,797,000","225,776,000","268,090,000","171,550,000","169,685,000","124,801,000","124,293,000","129,865,000","128,863,000","120,701,000","109,589,000","115,104,000","202,131,000","235,229,000","199,692,000","180,099,000","154,622,000","89,485,000","88,004,000","89,106,000","91,702,000","101,045,000","86,968,000","82,634,000","95,420,000","89,614,000","90,492,000","69,321,000","74,536,000","77,227,000","74,406,000","66,732,000","74,582,000","76,795,000","88,661,000","80,664,000","72,115,000","72,508,000","79,945,000","160,734,000","230,021,000","326,048,000","227,676,000",,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"405,159,000",,,,"398,723,000",,,,"418,064,000",,,,"330,855,000",,,,"503,917,000",,,,"231,187,000",,,,"220,978,000",,,,"274,502,000",,,,"369,559,000",,,,"273,297,000",,,,"239,033,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-4,825,000",,,,"-6,258,000",,,,"-1,062,000",,,,"-7,393,000",,,,"-8,468,000",,,,"-6,505,000",,,,"-1,446,000",,,,"-2,973,000",,,,"-1,526,000",,,,"-2,372,000",,,,"-1,044,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
