name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
OperatingCashFlow,"281,520,000","-23,730,000","145,711,000","62,813,000","96,726,000","-23,159,000","227,620,000","-48,353,000","104,853,000","120,369,000","89,141,000","67,692,000","69,733,000","39,369,000","70,105,000","67,994,000","54,379,000","31,439,000","46,452,000","52,465,000","38,569,000","30,549,000","56,315,000","52,643,000","28,714,000","-57,383,000","43,858,000","35,743,000","30,561,000","10,034,000","41,363,000","32,177,000","26,265,000","10,147,000","23,550,000","37,080,000","19,970,000","10,279,000","28,312,000","27,375,000","12,521,000","13,374,000","18,687,000","27,382,000","18,343,000","1,066,000","22,563,000","19,026,000","22,638,000","-81,000","19,314,000","18,126,000","8,217,000","-2,330,000","9,785,000","8,928,000","10,829,000","-1,908,000","6,790,000","10,031,000","14,059,000","-1,760,000","9,022,000","7,467,000","5,431,000","-4,819,000","7,784,000","5,769,000","7,282,000","-3,927,000","10,382,879","6,559,403","7,245,718","-3,816,000"
	CashFlowFromContinuingOperatingActivities,"281,520,000","-23,730,000","145,711,000","62,813,000","96,726,000","-23,159,000","227,620,000","-48,353,000","104,853,000","120,369,000","89,141,000","67,692,000","69,733,000","39,369,000","70,105,000","67,994,000","54,379,000","31,439,000","46,452,000","52,465,000","38,569,000","30,549,000","56,315,000","52,643,000","28,714,000","-57,383,000","43,858,000","35,743,000","30,561,000","10,034,000","41,363,000","32,177,000","26,265,000","10,147,000","23,550,000","37,080,000","19,970,000","10,279,000","28,312,000","27,375,000","12,521,000","13,374,000","18,687,000","27,382,000","18,343,000","1,066,000","22,563,000","19,026,000","22,638,000","-81,000","19,314,000","18,126,000","8,217,000","-2,330,000","9,785,000","8,928,000","10,829,000","-1,908,000","6,790,000","10,031,000","14,059,000","-1,760,000","9,022,000","7,467,000","5,431,000","-4,819,000","7,784,000","5,769,000","7,282,000","-3,927,000","10,382,879","6,559,403","7,245,718","-3,816,000"
		NetIncomeFromContinuingOperations,"242,200,000","64,769,000","52,185,000","57,958,000","67,288,000","80,457,000","72,931,000","67,776,000","83,854,000","74,816,000","50,273,000","54,002,000","48,105,000","52,522,000","45,831,000","38,594,000","40,487,000","47,940,000","33,473,000","34,130,000","38,023,000","42,463,000","33,165,000","30,918,000","33,126,000","28,963,000","24,491,000","22,715,000","24,238,000","24,593,000","21,636,000","17,504,000","18,191,000","17,475,000","15,491,000","18,214,000","19,343,000","15,326,000","20,465,000","13,482,000","12,629,000","13,493,000",,,"11,937,000","10,780,000","8,947,000","8,611,000","7,169,000","6,701,000","5,436,000","4,640,000","3,187,000","2,839,000","1,936,000","1,519,000","2,848,000","1,596,000","1,908,000","2,410,000","3,552,000","2,450,000","2,238,000","1,297,000","800,000","1,086,000","2,090,000","1,171,000","1,824,000","3,057,000","2,600,461","9,134,309","43,995,230","2,916,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"63,573,000","16,770,000","16,351,000","15,651,000","14,801,000","13,443,000","12,288,000","10,853,000","9,985,000","9,712,000","9,221,000","8,169,000","7,889,000","7,373,000","5,848,000","6,173,000","5,790,000","5,269,000","5,208,000","4,583,000","4,790,000","4,693,000","4,292,000","4,325,000","4,540,000","4,681,000","4,685,000","4,642,000","4,603,000","4,612,000","4,425,000","4,482,000","4,351,000","4,121,000","3,746,000","3,559,000","3,177,000","2,569,000","2,337,000","2,081,000","1,961,000","1,854,000","1,793,000","1,799,000","1,627,000","1,562,000","1,552,000","1,560,000","1,622,000","1,616,000","1,666,000","1,654,000","1,679,000","1,791,000","1,789,000","2,494,000","1,816,000","1,780,000","1,694,000","1,686,000",,,"1,703,000","1,703,000","1,637,000","1,685,000","880,000","1,634,000","1,084,000","1,008,000","983,809","644,157","1,094,034","746,000"
			DepreciationAndAmortization,"63,573,000","16,770,000","16,351,000","15,651,000","14,801,000","13,443,000","12,288,000","10,853,000","9,985,000","9,712,000","9,221,000","8,169,000","7,889,000","7,373,000","5,848,000","6,173,000","5,790,000","5,269,000","5,208,000","4,583,000","4,790,000","4,693,000","4,292,000","4,325,000","4,540,000","4,681,000","4,685,000","4,642,000","4,603,000","4,612,000","4,425,000","4,482,000","4,351,000","4,121,000","3,746,000","3,559,000","3,177,000","2,569,000","2,337,000","2,081,000","1,961,000","1,854,000","1,793,000","1,799,000","1,627,000","1,562,000","1,552,000","1,560,000","1,622,000","1,616,000","1,666,000","1,654,000","1,679,000","1,791,000","1,789,000","2,494,000","1,816,000","1,780,000","1,694,000","1,686,000","1,879,000","1,911,000","1,703,000","1,703,000","1,637,000","1,685,000","880,000","1,634,000","1,084,000","1,008,000","983,809","644,157","1,094,034","746,000"
				Depreciation,"63,573,000","16,770,000","16,351,000","15,651,000","14,801,000","13,443,000","12,288,000","10,853,000","9,985,000","9,712,000","9,221,000","8,169,000","7,889,000","7,373,000","5,848,000","6,173,000","5,790,000","5,269,000","5,208,000","4,583,000","4,790,000","4,693,000","4,292,000","4,325,000","4,540,000","4,681,000","4,685,000","4,642,000","4,603,000","4,612,000","4,425,000","4,482,000","4,351,000","4,121,000","3,746,000","3,559,000","3,177,000","2,569,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"1,884,000","-643,000","80,000","1,438,000","1,009,000","591,000","1,444,000","3,914,000","2,007,000","2,734,000","2,609,000","-1,558,000","-391,000","2,022,000","-1,420,000","-1,286,000","-613,000","2,061,000","6,264,000","-1,073,000","-428,000","1,827,000","-1,194,000","-1,694,000","-2,024,000","2,331,000","-1,174,000","-2,108,000","-861,000","1,719,000","-1,949,000","-971,000","387,000","2,159,000","332,000","-1,593,000","-502,000","2,764,000","-2,601,000","-661,000","-4,000","2,623,000","1,633,000","4,719,000","5,747,000","4,030,000","4,785,000","3,749,000","3,856,000","3,377,000","5,102,000","2,957,000","2,052,000","2,144,000","966,000","471,000","1,886,000","1,496,000","-654,000","1,096,000","2,655,000","1,599,000","141,000","554,000","656,000","-448,000","-2,975,000","493,000","1,025,000","2,004,000","2,717,879","-4,272,893","-39,854,986","0"
			DeferredIncomeTax,"1,884,000","-643,000","80,000","1,438,000","1,009,000","591,000","1,444,000","3,914,000","2,007,000","2,734,000","2,609,000","-1,558,000","-391,000","2,022,000","-1,420,000","-1,286,000","-613,000","2,061,000","6,264,000","-1,073,000","-428,000","1,827,000","-1,194,000","-1,694,000","-2,024,000","2,331,000","-1,174,000","-2,108,000","-861,000","1,719,000","-1,949,000","-971,000","387,000","2,159,000","332,000","-1,593,000","-502,000","2,764,000","-2,601,000","-661,000","-4,000","2,623,000","1,633,000","4,719,000","5,747,000","4,030,000","4,785,000","3,749,000","3,856,000","3,377,000","5,102,000","2,957,000","2,052,000","2,144,000","966,000","471,000","1,886,000","1,496,000","-654,000","1,096,000","2,655,000","1,599,000","141,000","554,000","656,000","-448,000","-2,975,000","493,000","1,025,000","2,004,000","2,717,879","-4,272,893","-39,854,986","0"
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,000","143,000","40,000","110,000","-37,000","92,000","354,000","1,121,000","178,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"27,989,000","8,099,000","7,002,000","6,754,000","6,134,000","7,424,000","6,694,000","6,451,000","5,791,000","6,677,000","6,225,000","7,944,000","5,929,000","5,196,000","4,299,000","3,950,000","3,650,000","3,951,000","3,432,000","3,521,000","3,525,000","3,943,000","3,875,000","3,699,000","3,443,000","3,494,000","3,243,000","3,251,000","2,983,000","3,042,000","2,590,000","2,528,000","2,335,000","2,316,000","2,460,000","2,241,000","2,181,000","1,997,000","2,201,000","2,156,000","2,066,000","1,962,000","1,862,000","1,898,000","809,000","2,290,000","2,341,000","2,128,000","2,306,000","2,194,000","2,110,000","2,152,000","2,113,000","2,039,000","1,765,000","1,785,000",,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-1,621,000","-1,229,000","-420,000","130,000","-102,000","-74,000","-1,277,000","-1,472,000","163,000","2,036,000","-1,672,000","1,182,000","291,000","-587,000","333,000","991,000","1,200,000","-186,000","663,000","550,000","347,000","393,000","292,000","232,000","317,000","329,000","411,000","437,000","772,000","429,000","243,000","630,000","294,000","558,000","676,000","155,000","-820,000","-307,000","-72,000","286,000",,,"11,543,000",,,"-64,000","213,000","84,000","63,000","242,000","-21,000","229,000","346,000","98,000","332,000","275,000","-1,374,000","2,027,000","1,673,000","1,390,000","-603,000","3,586,000","5,058,000","1,764,000","-6,553,000","9,868,000","3,914,000","431,000","479,000","478,000","-8,071,598","-655,158","10,031,756","3,031,000"
