name,02/28/2022,08/31/2021,02/28/2021,08/31/2020,02/29/2020,08/31/2019,02/28/2019,08/31/2018,02/28/2018,08/31/2017,02/28/2017,08/31/2016,02/29/2016,08/31/2015,02/28/2015,08/31/2014,02/28/2014,08/31/2013,02/28/2013,08/31/2012,02/29/2012,08/31/2011,02/28/2011
TotalAssets,"1,130,826,099","1,212,369,885","577,777,271","575,605,276","597,342,436","569,580,023","557,289,626","565,992,374","571,627,447","582,113,817","576,179,460","609,569,789","593,272,543","582,172,076","597,117,292","586,347,715","563,828,442","539,573,804","630,432,317","620,112,140","588,643,694","522,889,630","500,804,421"
TotalLiabilitiesNetMinorityInterest,"441,691,240","473,856,863","227,924,803","227,277,398","231,552,652","212,931,280","217,847,984","223,554,875","225,544,986","225,212,821","225,704,265","230,997,465","227,331,894","224,303,998","226,793,153","223,309,224","223,881,138","227,244,512","249,783,297","243,337,777","229,171,247","197,176,700","195,199,277"
TotalEquityGrossMinorityInterest,"689,134,859","738,513,022","349,852,468","348,327,878","365,789,784","356,648,743","339,441,642","342,437,499","346,082,461","356,900,996","350,475,195","378,572,324","365,940,649","357,868,078","370,324,139","363,038,491","339,947,304","312,329,292","380,649,020","376,774,363","359,472,447","325,712,930","305,605,144"
	StockholdersEquity,"689,134,859","738,513,022","349,852,468","348,327,878","365,789,784","356,648,743","339,441,642","342,437,499","346,082,461","356,900,996","350,475,195","378,572,324","365,940,649","357,868,078","370,324,139","363,038,491","339,947,304","312,329,292","380,649,020","376,774,363","359,472,447","325,712,930","305,605,144"
		CapitalStock,"669,372,756","666,316,256","325,490,558","325,263,339","325,161,855","324,985,338","327,395,423","327,395,423","331,761,649","331,634,424","333,383,570","333,228,292","332,911,711","332,911,711","332,937,772","332,663,092","332,752,122","332,601,683","332,425,167","0","0","0","0"
			CommonStock,"669,372,756","666,316,256","325,490,558","325,263,339","325,161,855","324,985,338","327,395,423","327,395,423","331,761,649","331,634,424","333,383,570","333,228,292","332,911,711","332,911,711","332,937,772","332,663,092","332,752,122","332,601,683","332,425,167","0","0","0","0"
		AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,,,"332,039,578","332,146,400","331,549,576","330,974,923"
		RetainedEarnings,"19,762,103","72,196,766","24,361,910","23,064,539","40,627,929","31,663,405","12,046,219","1,959,535","2,005,300","2,322,957","3,230,550","3,728,046","3,578,581","3,870,037","4,196,631","4,746,351","5,223,479","6,088,102","6,411,182","-5,360,312","-9,412,336","-11,153,333","-10,287,633"
		OtherEquityInterest,,,,,,,,,,,"32,479,226",,,,,,,,,,,,
TotalCapitalization,,,,"348,607,114",,,,,,"357,113,226",,"378,605,506",,,,,,,,,"359,482,279",,
CommonStockEquity,"689,134,859","738,513,022","349,852,468","348,327,878","365,789,784","356,648,743","339,441,642","342,437,499","346,082,461","356,900,996","350,475,195","378,572,324","365,940,649","357,868,078","370,324,139","363,038,491","339,947,304","312,329,292","380,649,020","376,774,363","359,472,447","325,712,930","305,605,144"
NetTangibleAssets,"689,134,859","738,513,022","349,852,468","348,327,878","365,789,784","356,648,743","339,441,642","342,437,499","346,082,461","356,900,996","350,475,195","378,572,324","365,940,649","357,868,078","370,324,139","363,038,491","339,947,304","312,329,292","380,649,020","376,774,363","359,472,447","325,712,930","305,605,144"
InvestedCapital,,,,"348,607,114",,,,,,"357,113,226","350,475,195","378,605,506","365,940,649",,"370,324,139","363,038,491","339,947,304","312,329,292","380,649,020","376,774,363","359,482,279","325,712,930","305,605,144"
TangibleBookValue,"689,134,859","738,513,022","349,852,468","348,327,878","365,789,784","356,648,743","339,441,642","342,437,499","346,082,461","356,900,996","350,475,195","378,572,324","365,940,649","357,868,078","370,324,139","363,038,491","339,947,304","312,329,292","380,649,020","376,774,363","359,472,447","325,712,930","305,605,144"
TotalDebt,,,,"279,236",,,,,,"212,230","0","33,182","0",,"0","0","0","0","0","0","9,832","0","0"
NetDebt,,,,"279,236",,,,,,"212,230",,"28,182",,,,,,,,,"9,832",,
ShareIssued,"48,856,664","48,653,996","23,567,998","23,552,797","23,544,171","23,532,446","23,529,861","23,529,861","23,529,861","23,521,456","23,500,329","23,490,373","23,470,421","23,470,421","23,470,421","23,453,016","23,453,016","23,442,189","23,425,489","23,401,885","23,376,530","23,335,130","23,292,010"
OrdinarySharesNumber,"48,856,664","48,653,996","23,567,998","23,552,797","23,544,171","23,532,446","23,529,861","23,529,861","23,529,861","23,521,456","23,500,329","23,490,373","23,470,421","23,470,421","23,470,421","23,453,016","23,453,016","23,442,189","23,425,489","23,401,885","23,376,530","23,335,130","23,292,010"
PreferredSharesNumber,,,,,,,,,,,"1,513",,"1,513",,"1,513","1,513","1,513","1,513","1,513","1,513","1,513","6,052","6,052"
