name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalAssets,"372,520,000","345,682,000","298,995,000","276,359,000","269,070,000","272,042,000","280,658,000","287,353,000","220,738,000","231,938,000","137,889,000","146,807,000","157,539,000","53,421,000"
	CurrentAssets,"309,910,000","285,902,000","256,028,000","239,631,000","233,112,000","246,300,000","257,868,000","264,314,000","197,606,000","216,697,000","131,075,000","140,623,000","151,525,000","48,736,000"
		CashCashEquivalentsAndShortTermInvestments,"201,127,000","200,981,000","182,954,000","174,746,000","177,428,000","202,354,000","215,256,000","231,405,000","170,389,000","195,349,000","114,098,000","125,137,000","138,064,000","39,643,000"
			CashAndCashEquivalents,"66,252,000","89,209,000","91,195,000","84,268,000","57,006,000","50,423,000","215,256,000","218,296,000","123,111,000","139,045,000","39,452,000","41,924,000","138,064,000","39,643,000"
				CashFinancial,"42,541,000",,,,,,,,,,"8,864,000",,,
				CashEquivalents,"23,711,000",,,,,,,,,,"30,588,000",,,
			OtherShortTermInvestments,"134,875,000","111,772,000","91,759,000","90,478,000","120,422,000","151,931,000","0","13,109,000","47,278,000","56,304,000","74,646,000","83,213,000",,"0"
		Receivables,"47,842,000","37,435,000","29,966,000","24,955,000","19,613,000","11,689,000","10,711,000","6,365,000","7,811,000","7,377,000","5,551,000","5,242,000","3,939,000","2,850,000"
			AccountsReceivable,"47,842,000","37,435,000","29,966,000","24,955,000","19,613,000","11,689,000","10,711,000","6,365,000","7,811,000","7,377,000","5,551,000","5,242,000","3,939,000","2,850,000"
		Inventory,"53,369,000","42,978,000","38,744,000","36,149,000","33,538,000","29,859,000","28,868,000","23,427,000","15,921,000","12,074,000","9,227,000","8,291,000","7,014,000","5,131,000"
			RawMaterials,"13,627,000","7,685,000","6,781,000","6,555,000","6,265,000","4,995,000","5,030,000","4,138,000","2,726,000","2,501,000","2,169,000","1,978,000","1,915,000","1,084,000"
			WorkInProcess,"12,049,000","13,315,000","11,066,000","7,905,000","7,233,000","6,051,000","4,425,000","2,682,000","2,044,000","1,364,000","850,000","748,000","1,103,000","634,000"
			FinishedGoods,"27,693,000","21,978,000","20,897,000","21,689,000","20,040,000","18,813,000","19,413,000","16,607,000","11,151,000","8,209,000","6,208,000","5,565,000","3,996,000","3,413,000"
		PrepaidAssets,"7,572,000","4,508,000","4,364,000","3,781,000","2,533,000","2,398,000","3,033,000","3,117,000","3,485,000","1,897,000","2,199,000","1,953,000","2,508,000","1,112,000"
	TotalNonCurrentAssets,"62,610,000","59,780,000","42,967,000","36,728,000","35,958,000","25,742,000","22,790,000","23,039,000","23,132,000","15,241,000","6,814,000","6,184,000","6,014,000","4,685,000"
		NetPPE,"54,615,000","51,857,000","34,875,000","28,292,000","27,444,000","23,930,000","21,123,000","21,417,000","21,579,000","13,735,000","6,266,000","5,642,000","5,448,000","2,619,000"
			GrossPPE,"54,615,000","58,021,000","34,875,000","28,292,000","27,444,000","27,058,000","21,123,000","21,417,000","21,579,000","16,134,000","6,266,000","5,642,000","5,448,000","4,273,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0"
				MachineryFurnitureEquipment,,"1,291,000",,,,"332,000",,,,"173,000",,,,"166,000"
				OtherProperties,"54,615,000","35,444,000","34,875,000","28,292,000","27,444,000","13,118,000","21,123,000","21,417,000","21,579,000","14,079,000","6,266,000","5,642,000","5,448,000","3,107,000"
