name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
OperatingCashFlow,"206,779,000","67,693,000","45,459,000","83,298,000","10,329,000","73,400,000","18,740,000","89,130,000","9,649,000","64,774,000","34,218,000","109,093,000","11,378,000","77,902,000","91,619,000","77,716,000","41,127,000","68,560,000","17,535,000","86,486,000","27,399,000","60,035,000","56,515,000","70,016,000","32,513,000","59,539,000","43,580,000","82,524,000","29,702,000","47,381,000","36,924,000","55,502,000","22,222,000","23,910,000","-131,927,000","17,624,000","1,207,000","43,190,000","8,707,000","18,900,000","19,156,000","47,590,000","-10,748,000","30,836,000","14,215,000","16,224,000","23,825,000"
	CashFlowFromContinuingOperatingActivities,"206,779,000","67,693,000","45,459,000","83,298,000","10,329,000","73,400,000","18,740,000","89,130,000","9,649,000","64,774,000","34,218,000","109,093,000","11,378,000","77,902,000","91,619,000","77,716,000","41,127,000","68,560,000","17,535,000","86,486,000","27,399,000","60,035,000","56,515,000","70,016,000","32,513,000","59,539,000","43,580,000","82,524,000","29,702,000","47,381,000","36,924,000","55,502,000","22,222,000","23,910,000","-131,927,000","17,624,000","1,207,000","43,190,000","8,707,000","18,900,000","19,156,000","47,590,000","-10,748,000","30,836,000","14,215,000","16,224,000","23,825,000"
		NetIncomeFromContinuingOperations,"-27,067,000","-17,221,000","-4,074,000","-10,183,000","4,411,000","-3,191,000","710,000","-12,269,000","-19,618,000","8,288,000","28,720,000","26,784,000","18,930,000","9,856,000","39,781,000","29,230,000","30,184,000","18,058,000","32,260,000","35,489,000","31,359,000","19,145,000","33,008,000","32,897,000","24,640,000","16,705,000","19,370,000","26,085,000","26,585,000","7,888,000","10,964,000","22,734,000","25,281,000","11,231,000","193,431,000","2,281,000","3,071,000","1,930,000","22,043,000","9,015,000","6,476,000","11,109,000","26,008,000","7,080,000","9,824,000","17,330,000","11,845,000"
		OperatingGainsLosses,,,"0","0","0","214,000","0","0","-20,281,000","86,000",,,,,,,,,"-9,360,000","1,825,000","-6,107,000","104,000",,,,,,,,,,,,,,"-6,918,000","-6,079,000","-1,819,000","-7,069,000","-5,718,000","2,571,000","-4,132,000","11,386,000","2,785,000","-4,472,000","-3,697,000","-11,593,000"
			GainLossOnInvestmentSecurities,,,,,,,"0","0",,,,,,,,,,,"-9,360,000","-332,000","-6,107,000","104,000",,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-6,918,000","-6,079,000","-1,819,000","-9,197,000","-4,780,000","3,001,000","-3,372,000","12,068,000","3,004,000","-3,607,000","-2,347,000","-1,805,000"
		DepreciationAmortizationDepletion,"232,286,000","69,064,000","54,298,000","65,794,000","45,088,000","44,457,000","47,397,000","44,733,000","52,783,000","46,093,000","46,409,000","44,260,000","44,821,000","46,098,000","46,682,000","42,475,000","39,468,000","39,883,000","40,842,000","38,490,000","40,532,000","40,846,000","39,829,000","37,607,000","38,548,000","39,227,000","45,258,000","45,169,000","39,629,000","41,418,000","48,799,000","37,880,000","28,637,000","30,115,000","27,375,000","14,782,000","15,028,000","13,771,000","12,423,000","12,228,000","12,030,000","10,890,000","10,696,000","10,863,000","8,690,000","8,511,000","9,545,000"
			DepreciationAndAmortization,"232,286,000","69,064,000","54,298,000","65,794,000","45,088,000","44,457,000","47,397,000","44,733,000","52,783,000","46,093,000","46,409,000","44,260,000","44,821,000","46,098,000","46,682,000","42,475,000","39,468,000","39,883,000","40,842,000","38,490,000","40,532,000","40,846,000","39,829,000","37,607,000","38,548,000","39,227,000","45,258,000","45,169,000","39,629,000","41,418,000","48,799,000","37,880,000","28,637,000","30,115,000","27,375,000","14,782,000","15,028,000","13,771,000","12,423,000","12,228,000","12,030,000","10,890,000","10,696,000","10,863,000","8,690,000","8,511,000","9,545,000"
				Depreciation,"224,455,000","67,106,000",,,,,,"44,733,000","52,783,000","46,093,000","46,409,000","44,260,000","44,821,000","46,098,000","46,682,000","42,475,000","39,468,000","39,883,000","40,842,000","38,490,000","40,532,000","40,846,000","39,829,000","37,607,000","38,548,000","39,227,000","45,258,000","45,169,000","39,629,000","41,418,000","48,799,000","37,880,000","28,637,000","30,115,000","27,375,000",,,,,,,,,,,,
				AmortizationCashFlow,"7,831,000","1,958,000",,,,,,"1,278,000","592,000","1,050,000","427,000","275,000","214,000","-396,000","225,000","289,000","407,000","790,000","391,000","351,000","838,000","530,000","-552,000","747,000","1,115,000","-2,274,000","-2,568,000","-2,838,000","-2,618,000","-3,333,000","-3,614,000","-2,818,000","-1,601,000","-1,459,000","-1,485,000",,,,,,,,,,,,
					AmortizationOfIntangibles,"7,831,000","1,958,000",,,,,,"1,278,000","592,000","1,050,000","427,000","275,000","214,000","-396,000","225,000","289,000","407,000","790,000","391,000","351,000","838,000","530,000","-552,000","747,000","1,115,000","-2,274,000","-2,568,000","-2,838,000","-2,618,000","-3,333,000","-3,614,000","-2,818,000","-1,601,000","-1,459,000","-1,485,000",,,,,,,,,,,,
		AssetImpairmentCharge,,,"7,723,000","0",,,"0","2,103,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"149,000","-232,000","-371,000","6,000",,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,000","491,000","-11,000","1,079,000","210,000","181,000","-244,000","294,000"
		StockBasedCompensation,"19,986,000","4,460,000","4,844,000","5,378,000","5,304,000","4,734,000","5,321,000","5,504,000","8,779,000","5,891,000","5,465,000","3,647,000","6,326,000","5,419,000","4,721,000","4,853,000","4,656,000","4,555,000","3,292,000","3,841,000","3,813,000","3,154,000","2,475,000","2,608,000","2,549,000","2,097,000","1,224,000","1,335,000","1,230,000","1,694,000","812,000","939,000","944,000","1,025,000","2,994,000",,,,,,,,,,,,
		OtherNonCashItems,"-1,630,000","10,214,000","-11,151,000","-2,794,000","143,000","-2,310,000","4,603,000","3,453,000","6,483,000","-6,091,000","-3,921,000","-3,646,000","-916,000","-3,726,000","-3,147,000","-2,638,000","-3,326,000","-4,070,000","-5,443,000","-6,411,000","-6,365,000","-5,176,000","-8,981,000","-8,649,000","-5,607,000","-7,135,000","-8,551,000","-8,262,000","-7,851,000","-6,215,000","-9,830,000","-9,973,000","-11,943,000","-13,505,000","-332,828,000","-1,476,000","-1,062,000","-845,000",,,,,,,,,
		ChangeInWorkingCapital,"-24,519,000","1,176,000","-6,181,000","25,103,000","-44,617,000","29,496,000","-39,291,000","45,606,000","-22,598,000","10,507,000","-30,653,000","38,048,000","-57,783,000","20,255,000","3,582,000","3,796,000","-29,855,000","10,134,000","-44,056,000","13,252,000","-35,833,000","1,962,000","-9,816,000","5,553,000","-27,617,000","8,645,000","-13,721,000","18,197,000","-29,891,000","2,596,000","-13,821,000","3,922,000","-20,697,000","-4,956,000","-23,048,000","8,058,000","-10,511,000","29,016,000","-26,202,000","3,342,000","-2,412,000","29,734,000","-59,917,000","10,907,000","-1,017,000","-5,676,000","10,923,000"
			ChangeInReceivables,"-1,051,000","847,000","3,017,000","-2,426,000","-2,489,000","4,792,000","4,312,000","3,947,000","-7,252,000","2,874,000","3,866,000","1,976,000","-9,212,000","7,385,000","1,901,000","-9,777,000","3,612,000","2,989,000","6,332,000","-10,667,000","-3,415,000","1,963,000","-2,972,000","-5,049,000","307,000","3,954,000","13,624,000","-15,975,000","-3,672,000","10,986,000","5,610,000","-1,408,000","3,463,000","-4,530,000","-7,590,000","-928,000","1,603,000","-755,000","-1,550,000","-956,000","2,094,000","4,896,000","-2,964,000","-289,000","-1,345,000","-1,459,000","13,542,000"
			ChangeInPrepaidAssets,"7,097,000","26,540,000","-9,532,000","13,034,000","-22,945,000","24,205,000","-47,258,000","17,464,000","-6,939,000","24,852,000","-24,808,000","18,349,000","-47,230,000","22,803,000","-5,806,000","17,669,000","-24,028,000","22,101,000","-21,565,000","15,161,000","-19,356,000","17,867,000","-20,064,000","14,209,000","-17,987,000","20,553,000","-16,701,000","14,098,000","-17,142,000","17,789,000","-17,413,000","8,612,000","-16,123,000","11,872,000","-15,120,000","3,593,000","-4,461,000","3,952,000","-3,176,000","3,252,000","-4,262,000","3,032,000","-2,599,000","2,597,000","-2,386,000","2,873,000","-2,935,000"
			ChangeInPayablesAndAccruedExpense,"-9,458,000","-12,661,000","1,186,000","3,947,000","-1,930,000","-3,302,000","-1,606,000","7,400,000","-3,838,000","-5,261,000","3,397,000","1,460,000","762,000","-5,192,000","3,174,000","1,510,000","1,485,000","-4,176,000","-16,187,000","1,992,000","-2,768,000","-8,141,000","10,162,000","568,000","-824,000","-6,415,000","3,182,000","-2,699,000","4,649,000","-6,057,000","-1,783,000","-1,900,000","-1,918,000","-9,155,000","9,400,000","8,529,000","-1,485,000","-906,000","6,112,000","1,503,000","180,000","-5,382,000","4,150,000","932,000","833,000","-3,071,000","-140,000"
				ChangeInPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,140,000","8,601,000","-1,486,000","-828,000","5,858,000","1,183,000","450,000","-5,598,000","4,175,000","1,112,000","844,000","-2,982,000","-181,000"
					ChangeInAccountPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,140,000","8,601,000","-1,486,000","-828,000",,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"260,000","-72,000","1,000","-78,000","254,000","320,000","-270,000","216,000","-25,000","-180,000","-11,000","-89,000","41,000"
					ChangeInInterestPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"260,000","-72,000","1,000","-78,000","254,000","320,000","-270,000","216,000","-25,000","-180,000","-11,000","-89,000","41,000"
			ChangeInOtherWorkingCapital,"-21,107,000","-13,550,000","-852,000","10,548,000","-17,253,000","3,801,000","5,261,000","16,795,000","-4,569,000","-11,958,000","-13,108,000","16,263,000","-2,103,000","-4,741,000","4,313,000","-5,606,000","-10,924,000","-10,780,000","-12,636,000","6,766,000","-10,294,000","-9,727,000","3,058,000","-4,175,000","-9,113,000","-9,447,000","-13,826,000","22,773,000","-13,726,000","-20,122,000","-235,000","-1,382,000","-6,119,000","-3,143,000","-9,738,000","-3,136,000","-6,168,000","26,725,000","-27,588,000","-457,000","-424,000","27,188,000","-58,504,000","7,667,000","1,881,000","-4,019,000","456,000"
		DividendReceivedCFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","1,129,000","1,131,000","1,131,000",,,,,,,,,
