name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalRevenue,"361,447,000","64,399,000","105,099,000","99,219,000","92,730,000","104,277,000","120,526,000","105,747,000","83,350,000","83,623,000","112,893,000","81,816,000","52,101,000","35,486,000","67,825,000","71,506,000","68,722,000","89,074,000","117,962,000","94,259,000","66,625,000","72,729,000","99,226,000"
	OperatingRevenue,"361,447,000","64,399,000","105,099,000","99,219,000","92,730,000","104,277,000","120,526,000","105,747,000","83,350,000","83,623,000","112,893,000","81,816,000","52,101,000","35,486,000","67,825,000","71,506,000","68,722,000","89,074,000","117,962,000","94,259,000","66,625,000","72,729,000","99,226,000"
CostOfRevenue,"202,628,000","37,720,000","59,098,000","58,595,000","47,215,000","48,237,000","58,304,000","53,153,000","40,220,000","40,970,000","53,378,000","42,602,000","12,796,000","10,989,000","18,146,000","14,575,000","19,321,000","27,119,000","27,009,000","25,266,000","20,847,000","20,389,000","23,041,000"
GrossProfit,"158,819,000","26,679,000","46,001,000","40,624,000","45,515,000","56,040,000","62,222,000","52,594,000","43,130,000","42,653,000","59,515,000","39,214,000","39,305,000","24,497,000","49,679,000","56,931,000","49,401,000","61,955,000","90,953,000","68,993,000","45,778,000","52,340,000","76,185,000"
OperatingExpense,"171,441,000","45,002,000","41,954,000","42,607,000","41,878,000","43,486,000","44,933,000","43,453,000","41,798,000","46,202,000","49,510,000","47,981,000","35,562,000","38,598,000","32,847,000","34,308,000","32,859,000","38,986,000","36,560,000","28,830,000","26,909,000","29,543,000","25,505,000"
	SellingGeneralAndAdministration,"86,012,000","22,329,000","21,071,000","21,029,000","21,583,000","21,880,000","24,285,000","21,630,000","21,110,000","24,991,000","27,002,000","23,823,000","17,302,000","20,193,000","15,502,000","17,905,000","16,163,000","18,456,000","19,795,000","13,613,000","12,682,000","15,075,000","13,508,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,"17,302,000","20,193,000","5,439,000","7,671,000","6,542,000","7,188,000","7,176,000","4,866,000","4,526,000","4,995,000","4,683,000"
			OtherGandA,,,,,,,,,,,,,"17,302,000","20,193,000","5,439,000","7,671,000","6,542,000","7,188,000","7,176,000","4,866,000","4,526,000","4,995,000","4,683,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,"10,063,000","10,234,000","9,621,000","11,268,000","12,619,000","8,747,000","8,156,000","10,080,000","8,825,000"
	ResearchAndDevelopment,"85,429,000","22,673,000","20,883,000","21,578,000","20,295,000","21,606,000","20,648,000","21,823,000","20,688,000","21,211,000","22,508,000","24,158,000","18,260,000","18,405,000","17,345,000","16,403,000","16,696,000","20,530,000","16,765,000","15,217,000","14,227,000","14,468,000","11,997,000"
OperatingIncome,"-12,622,000","-18,323,000","4,047,000","-1,983,000","3,637,000","12,554,000","17,289,000","9,141,000","1,332,000","-3,549,000","10,005,000","-8,767,000","3,743,000","-14,101,000","16,832,000","22,623,000","16,542,000","22,969,000","54,393,000","40,163,000","18,869,000","22,797,000","50,680,000"
NetNonOperatingInterestIncomeExpense,"-14,446,000","-3,654,000","-3,007,000","-3,889,000","-3,896,000","-3,804,000","-4,037,000","-3,601,000","-4,036,000","-4,222,000","-4,336,000","-4,580,000","-3,655,000","-3,545,000","-3,521,000","-3,211,000","-3,195,000","-3,577,000","-3,764,000","-3,883,000","-3,691,000","-3,689,000","-249,000"
	InterestIncomeNonOperating,"282,000","34,000","65,000","80,000","103,000","114,000","152,000","170,000","271,000","406,000","524,000","660,000","1,570,000","1,652,000","1,663,000","1,821,000","1,680,000","1,095,000","765,000","600,000","570,000","504,000","397,000"
	InterestExpenseNonOperating,"14,728,000","3,688,000","3,072,000","3,969,000","3,999,000","3,918,000","4,189,000","3,771,000","4,307,000","4,628,000","4,860,000","5,240,000","5,225,000","5,197,000","5,184,000","5,032,000","4,875,000","4,672,000","4,529,000","4,483,000","4,261,000","4,193,000","646,000"
OtherIncomeExpense,"255,000","-255,000","554,000","-292,000","248,000","-675,000","323,000","332,000","563,000","214,000","801,000","-763,000","645,000","137,000","-57,000","480,000","-124,000","177,000","218,000","331,000","925,000","149,000","217,000"
	GainOnSaleOfSecurity,"-1,639,000","-273,000","-760,000","-375,000","-231,000","-747,000","-222,000","-6,000","528,000","152,000","756,000","-869,000","503,000","-92,000","-466,000","69,000","-490,000","-24,000","113,000","138,000","605,000","30,000","-283,000"
	OtherNonOperatingIncomeExpenses,"1,894,000","18,000","1,314,000","83,000","479,000","72,000","545,000","338,000","35,000","62,000","45,000","106,000","142,000","229,000","409,000","411,000","366,000","201,000","105,000","193,000","320,000","119,000","500,000"
PretaxIncome,"-26,813,000","-22,232,000","1,594,000","-6,164,000","-11,000","8,075,000","13,575,000","5,872,000","-2,141,000","-7,557,000","6,470,000","-14,110,000","733,000","-17,509,000","13,254,000","19,892,000","13,223,000","19,569,000","50,847,000","36,611,000","16,103,000","19,257,000","50,648,000"
TaxProvision,"8,313,000","10,352,000","67,000","-5,288,000","3,182,000","2,326,000","-9,619,000","2,399,000","887,000","-8,719,000","32,130,000","-5,612,000","-558,000","-2,170,000","-1,662,000","995,000","-8,194,000","1,793,000","21,984,000","12,288,000","-1,057,000","1,103,000","10,797,000"
NetIncomeCommonStockholders,"-35,126,000","-32,584,000","1,527,000","-876,000","-3,193,000","5,749,000","23,194,000","3,473,000","-3,028,000","1,162,000","-25,660,000","-8,498,000","1,291,000","-15,339,000","14,916,000","18,897,000","21,417,000","17,776,000","-47,788,000","10,390,000","17,160,000","7,588,000","39,851,000"
	NetIncome,"-35,126,000","-32,584,000","1,527,000","-876,000","-3,193,000","5,749,000","23,194,000","3,473,000","-3,028,000","1,162,000","-25,660,000","-8,498,000","1,291,000","-15,339,000","14,916,000","18,897,000","21,417,000","17,776,000","28,863,000","24,323,000","17,160,000","18,154,000","39,851,000"
		NetIncomeIncludingNoncontrollingInterests,"-35,126,000","-32,584,000","1,527,000","-876,000","-3,193,000","5,749,000","23,194,000","3,473,000","-3,028,000","1,162,000","-25,660,000","-8,498,000","1,291,000","-15,339,000","14,916,000","18,897,000","21,417,000","17,776,000","28,863,000","24,323,000","17,160,000","18,154,000","39,851,000"
			NetIncomeContinuousOperations,"-35,126,000","-32,584,000","1,527,000","-876,000","-3,193,000","5,749,000","23,194,000","3,473,000","-3,028,000","1,162,000","-25,660,000","-8,498,000","1,291,000","-15,339,000","14,916,000","18,897,000","21,417,000","17,776,000","28,863,000","24,323,000","17,160,000","18,154,000","39,851,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,"24,703,000","1,483,000",,"1,451,000",
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,"0",,"0",,"12,450,000",,"9,115,000",
AverageDilutionEarnings,,,,,,,,,,,,,,,,"0",,"0",,"1,405,000",,"1,055,000",
