name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
TotalAssets,"2,478,830,000","2,470,022,000","2,524,542,000","2,576,794,000","2,634,912,000","2,701,176,000","2,668,695,000","2,752,607,000","1,057,209,000","1,047,945,000","1,038,148,000","1,074,737,000","1,138,861,000","1,235,107,000","1,139,776,000","1,173,030,000","1,226,360,000","1,110,024,000","1,099,696,000","1,125,406,000","1,143,303,000","1,186,436,000","524,533,000","507,328,000","513,037,000","539,352,000","550,923,000","565,878,000","568,038,000","577,123,000","556,523,000","447,068,000","501,119,000","484,753,000","557,573,000","630,765,000","651,850,000","705,102,000","718,989,000","718,987,000","708,928,000","716,526,000","711,214,000","745,299,000","723,271,000","711,854,000","696,213,000","662,543,000","638,401,000","616,318,000","606,068,000","582,247,000","576,241,000","501,589,000","481,216,000","467,342,000","454,698,000","444,436,000","403,550,000","372,951,000","347,265,000","321,288,000","297,718,000","210,010,000","199,247,000","190,127,000","177,558,000","168,949,000","156,479,000","139,682,000","104,944,000","88,502,000","74,841,000","70,081,000","31,612,000"
	CurrentAssets,"531,533,000","519,474,000","518,707,000","520,210,000","545,653,000","546,304,000","515,120,000","544,786,000","313,493,000","281,215,000","305,305,000","307,834,000","335,207,000","397,528,000","303,100,000","306,235,000","326,026,000","245,517,000","194,042,000","192,028,000","169,618,000","199,941,000","423,435,000","397,508,000","392,832,000","411,658,000","431,304,000","479,667,000","469,757,000","475,510,000","430,812,000","363,011,000","414,087,000","392,311,000","410,153,000","417,928,000","431,242,000","475,286,000","508,977,000","503,324,000","517,701,000","518,174,000","562,768,000","549,617,000","523,721,000","505,680,000","495,123,000","462,473,000","436,423,000","412,261,000","401,317,000","380,416,000","381,188,000","303,387,000","286,081,000","267,192,000","254,747,000","313,840,000","285,007,000","254,380,000","227,224,000","220,655,000","182,095,000","155,309,000","143,947,000","134,425,000","166,806,000","158,447,000","143,995,000","128,077,000","102,819,000","86,538,000","72,819,000","68,254,000","29,764,000"
		CashCashEquivalentsAndShortTermInvestments,"266,815,000","261,655,000","237,301,000","199,161,000","236,904,000","257,135,000","202,983,000","199,577,000","142,472,000","121,477,000","122,468,000","98,318,000","107,489,000","154,364,000","105,435,000","95,253,000","80,790,000","200,692,000","148,760,000","127,948,000","113,686,000","113,005,000","396,255,000","371,758,000","363,447,000","381,744,000","387,185,000","431,893,000","435,274,000","434,421,000","398,708,000","329,243,000","379,021,000","359,587,000","376,814,000","380,506,000","402,713,000","442,603,000","465,906,000","474,795,000","490,432,000","492,445,000","535,589,000","527,072,000","499,495,000","475,005,000","473,655,000","437,331,000","417,382,000","387,958,000","378,358,000","357,039,000","361,264,000","276,500,000","260,668,000","244,253,000","219,519,000","289,724,000","265,819,000","236,282,000","204,259,000","194,076,000","156,784,000","146,503,000","133,677,000","127,594,000","146,142,000","138,046,000","127,127,000","108,339,000","96,376,000","76,286,000","67,980,000","64,379,000","25,191,000"
			CashAndCashEquivalents,"214,095,000","201,121,000","165,438,000","128,960,000","134,759,000","170,188,000","115,725,000","174,013,000","108,405,000","74,551,000","75,717,000","50,508,000","76,489,000","113,625,000","51,866,000","55,804,000","34,966,000","138,260,000","88,535,000","74,415,000","60,548,000","65,626,000","50,401,000","43,427,000","33,435,000","22,599,000","32,028,000","21,412,000","17,306,000","50,908,000","47,338,000","31,638,000","74,304,000","73,722,000","78,276,000","76,770,000","73,736,000","103,802,000","124,954,000","115,438,000","78,913,000","55,758,000","91,398,000","77,086,000","108,592,000","69,268,000","119,675,000","116,878,000","106,115,000","107,873,000","160,412,000","115,675,000","153,761,000","87,890,000","52,710,000","175,142,000","126,827,000","207,158,000","230,596,000","198,911,000","204,259,000","194,076,000","156,784,000","146,503,000","133,677,000","127,594,000","146,142,000","138,046,000","127,127,000","108,339,000","96,376,000","76,286,000","67,980,000","64,379,000","132,000"
			OtherShortTermInvestments,"52,720,000","60,534,000","71,863,000","70,201,000","102,145,000","86,947,000","87,258,000","25,564,000","34,067,000","46,926,000","46,751,000","47,810,000","31,000,000","40,739,000","53,569,000","39,449,000","45,824,000","62,432,000","60,225,000","53,533,000","53,138,000","47,379,000","345,854,000","328,331,000","330,012,000","359,145,000","355,157,000","410,481,000","417,968,000","383,513,000","351,370,000","297,605,000","304,717,000","285,865,000","298,538,000","303,736,000","328,977,000","338,801,000","340,952,000","359,357,000","411,519,000","436,687,000","444,191,000","449,986,000","390,903,000","405,737,000","353,980,000","320,453,000","311,267,000","280,085,000","217,946,000","241,364,000","207,503,000","188,610,000","207,958,000","69,111,000","92,692,000","82,566,000","35,223,000","37,371,000",,,,,,,,,,,,,,,"25,059,000"
		Receivables,"221,981,000","221,360,000","238,659,000","279,459,000","271,088,000","248,406,000","276,053,000","308,847,000","157,514,000","146,003,000","167,508,000","196,306,000","210,485,000","225,730,000","180,636,000","194,560,000","227,872,000","27,876,000","36,130,000","54,922,000","44,430,000","68,096,000","4,947,000","3,645,000","5,629,000","4,211,000","3,254,000","9,536,000","7,473,000","6,616,000","4,546,000","2,472,000","4,748,000","5,449,000","2,497,000","2,237,000","8,315,000","11,595,000","14,083,000","5,456,000","7,920,000","8,599,000","8,237,000","7,106,000","8,220,000","11,797,000","8,804,000","11,289,000","6,754,000","10,237,000","13,651,000","14,174,000","10,814,000","14,724,000","7,650,000","11,830,000","23,554,000","13,464,000","9,008,000","9,303,000","15,241,000","6,783,000","9,095,000","4,407,000","6,566,000","4,602,000","5,794,000","3,351,000","4,781,000","3,263,000","5,482,000","8,129,000","4,839,000","2,540,000","3,052,000"
			AccountsReceivable,"100,203,000","143,683,000","130,291,000","123,999,000","122,465,000","115,975,000","111,915,000","124,746,000","30,835,000","24,177,000","21,015,000","26,495,000","42,043,000","30,294,000","26,219,000","19,245,000","23,107,000","17,010,000","15,228,000","32,603,000","22,995,000","15,863,000","2,640,000","1,621,000","3,243,000","1,784,000","795,000","6,970,000","4,907,000","4,478,000","2,662,000","2,472,000","2,572,000","3,138,000","2,497,000","2,237,000","5,048,000","11,595,000","14,083,000","5,456,000","7,920,000","8,599,000","8,237,000","7,106,000","8,220,000","11,797,000","8,804,000","11,289,000","6,754,000","10,237,000","13,651,000","14,174,000","10,814,000","14,724,000","7,650,000","11,830,000","23,554,000","13,464,000","9,008,000","9,303,000","14,311,000","6,783,000","3,385,000","855,000","6,566,000","4,602,000","5,794,000","3,351,000","4,781,000","3,263,000","5,482,000","8,129,000","3,613,000","2,540,000","3,052,000"
				GrossAccountsReceivable,"103,098,000","146,785,000","133,668,000","128,130,000","126,503,000","123,311,000","115,539,000","127,215,000","33,345,000","24,743,000",,,,"31,073,000",,,,,,,,,,,,,,,,,,,,"3,138,000","2,497,000","2,237,000","5,091,000","11,638,000","14,126,000","5,499,000","7,963,000","8,642,000","8,280,000","7,149,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,895,000","-3,102,000","-3,377,000","-4,131,000","-4,038,000","-7,336,000","-3,624,000","-2,469,000","-2,510,000","-566,000",,,,"-779,000",,,,,,,,,,,,,,,,,,,,"0","0","0","-43,000","-43,000","-43,000","-43,000","-43,000","-43,000","-43,000","-43,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,"503,000","304,000","410,000","310,000","2,307,000","2,024,000",,"2,427,000","2,459,000","2,566,000","2,566,000","2,138,000","1,884,000",,"2,176,000","2,311,000",,,"3,267,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
