name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalAssets,"11,333,392,000","10,306,828,000","9,514,131,000","9,227,610,000","8,316,733,000","8,183,361,000","8,313,912,000","7,906,739,000","7,698,155,000","8,298,418,000","8,541,306,000","8,573,149,000","7,955,242,000","6,770,595,000","7,159,742,000","6,951,977,000","6,755,620,000","6,739,175,000","6,541,128,000","6,343,751,000","6,175,762,000","5,997,097,000","6,333,690,000","4,262,421,000","4,143,777,000","3,857,946,000","4,348,504,000","4,179,773,000","4,252,977,000","4,118,347,000","4,579,562,000","3,886,652,000","3,700,418,000","3,433,043,000","3,657,457,000","3,448,927,000","3,480,388,000","3,106,684,000","3,062,433,000","2,715,638,000","2,514,041,000","2,278,060,000","2,474,080,000","2,563,209,000","2,397,126,000","2,097,951,000","2,077,684,000","1,639,019,000","1,564,785,000","1,499,662,000","1,555,861,000","1,567,619,000","1,434,670,000","1,611,855,000","2,145,110,000","2,355,494,000","2,006,367,000","1,785,076,000","1,855,604,000","1,879,092,000","1,643,764,000","1,551,015,000","1,584,223,000","1,608,697,000","1,448,789,000","1,420,421,000","1,535,124,000","1,327,578,000","1,238,069,000"
	CurrentAssets,"6,337,739,000","5,299,512,000","4,435,754,000","4,093,922,000","3,708,411,000","3,502,847,000","4,031,089,000","3,560,845,000","3,311,692,000","3,842,375,000","4,054,458,000","4,307,735,000","3,645,164,000","3,398,126,000","3,908,678,000","3,671,259,000","3,421,209,000","3,209,505,000","3,020,918,000","2,819,633,000","2,575,408,000","2,366,573,000","2,711,920,000","2,316,237,000","2,187,932,000","1,894,880,000","2,435,801,000","2,279,404,000","2,334,716,000","2,169,243,000","2,629,420,000","2,543,520,000","2,351,439,000","2,089,510,000","2,320,993,000","2,148,186,000","2,146,952,000","1,769,826,000","2,082,653,000","1,768,038,000","1,602,943,000","1,374,915,000","1,581,595,000","1,624,928,000","1,465,197,000","1,187,729,000","1,182,008,000","1,055,139,000","974,352,000","900,204,000","958,446,000","963,233,000","778,795,000","955,072,000","1,444,749,000","1,640,649,000","1,316,878,000","1,126,106,000","1,119,043,000","1,174,646,000","939,659,000","845,248,000","870,521,000","913,444,000","752,119,000","721,304,000","833,942,000","634,411,000","538,612,000"
		CashCashEquivalentsAndShortTermInvestments,"1,555,293,000","1,537,600,000","533,830,000","425,322,000","561,199,000","852,033,000","1,521,622,000","1,271,523,000","861,188,000","810,932,000","531,410,000","768,393,000","387,274,000","541,498,000","533,361,000","310,784,000","373,169,000","531,430,000","274,702,000","242,654,000","227,408,000","214,455,000","561,310,000","342,252,000","534,500,000","298,551,000","552,364,000","203,004,000","530,028,000","303,703,000","595,446,000","337,831,000","370,830,000","377,449,000","407,379,000","316,294,000","365,508,000","214,012,000","451,526,000","224,614,000","47,194,000","42,835,000","59,098,000","67,515,000","46,574,000","27,247,000","35,401,000","22,847,000","22,447,000","49,900,000","26,842,000","35,455,000","35,194,000","195,650,000","71,169,000","57,710,000","66,416,000","52,513,000","54,186,000","40,380,000","27,874,000","43,083,000","31,228,000","22,587,000","25,293,000","65,872,000","31,223,000","27,548,000","21,261,000"
			CashAndCashEquivalents,"577,536,000","588,923,000","533,830,000","425,322,000","561,199,000","852,033,000","1,521,622,000","1,271,523,000","861,188,000","810,932,000","531,410,000","768,393,000","387,274,000","541,498,000","533,361,000","310,784,000","373,169,000","508,072,000","251,118,000","219,001,000","203,995,000","190,930,000","537,150,000","317,847,000","515,322,000","279,989,000","533,626,000","184,332,000","511,017,000","284,763,000","576,706,000","319,023,000","354,772,000","361,486,000","391,171,000","299,559,000","349,720,000","197,662,000","435,303,000","208,002,000","30,443,000","25,791,000","42,077,000","57,012,000","35,862,000","18,045,000","26,044,000","13,208,000","12,375,000","39,304,000","15,904,000","24,318,000","22,888,000","183,117,000","58,409,000","47,580,000","57,137,000","43,019,000","46,001,000","32,937,000","20,108,000","35,060,000","23,178,000","16,600,000","19,109,000","44,994,000","31,223,000","27,548,000","21,261,000"
			OtherShortTermInvestments,"977,757,000","948,677,000",,,,,,,,,,,,,,,,"23,358,000","23,584,000","23,653,000","23,413,000","23,525,000","24,160,000","24,405,000","19,178,000","18,562,000","18,738,000","18,672,000","19,011,000","18,940,000","18,740,000","18,808,000","16,058,000","15,963,000","16,208,000","16,735,000","15,788,000","16,350,000","16,223,000","16,612,000","16,751,000","17,044,000","17,021,000","10,503,000","10,712,000","9,202,000","9,357,000","9,639,000","10,072,000","10,596,000","10,938,000","11,137,000","12,306,000","12,533,000","12,760,000","10,130,000","9,279,000","9,494,000","8,185,000","7,443,000","7,766,000","8,023,000","8,050,000","5,987,000","6,184,000","20,878,000",,,
		Receivables,"3,863,159,000","2,891,242,000","3,053,565,000","2,861,445,000","2,506,479,000","1,993,329,000","2,151,741,000","1,942,723,000","2,093,924,000","2,661,108,000","3,181,272,000","3,202,961,000","2,830,555,000","2,584,203,000","3,124,204,000","3,087,354,000","2,770,399,000","2,527,840,000","2,595,371,000","2,455,015,000","2,246,815,000","2,054,701,000","2,061,358,000","1,886,744,000","1,567,154,000","1,508,605,000","1,791,681,000","1,972,141,000","1,804,688,000","1,865,540,000","2,033,974,000","2,205,689,000","1,980,609,000","1,712,061,000","1,913,614,000","1,831,892,000","1,781,444,000","1,555,814,000","1,630,699,000","1,532,421,000","1,555,749,000","1,331,670,000","1,519,589,000","1,557,413,000","1,418,623,000","1,160,482,000","1,146,607,000","1,026,427,000","948,970,000","844,152,000","911,455,000","907,529,000","700,778,000","710,128,000","1,373,580,000","1,582,939,000","1,250,462,000","1,073,593,000","1,064,857,000","1,134,266,000","911,785,000","802,165,000","839,293,000","890,857,000","726,826,000","655,432,000","802,719,000","606,863,000","517,351,000"
			AccountsReceivable,"3,863,159,000","2,891,242,000","3,053,565,000","2,861,445,000","2,506,479,000","1,993,329,000","2,151,741,000","1,942,723,000","2,093,924,000","2,661,108,000","3,181,272,000","3,202,961,000","2,830,555,000","2,584,203,000","3,124,204,000","3,087,354,000","2,770,399,000","2,527,840,000","2,595,371,000","2,455,015,000","2,246,815,000","2,054,701,000","2,061,358,000","1,886,744,000","1,567,154,000","1,508,605,000","1,791,681,000","1,972,141,000","1,804,688,000","1,865,540,000","2,033,974,000","2,205,689,000","1,980,609,000","1,712,061,000","1,913,614,000","1,831,892,000","1,781,444,000","1,555,814,000","1,630,699,000","1,532,421,000","1,555,035,000","1,323,915,000","1,512,343,000","1,557,413,000","1,418,623,000","1,160,482,000","1,146,607,000","1,025,898,000","948,970,000","844,152,000","911,455,000","903,170,000","698,600,000","702,225,000","1,372,668,000","1,582,939,000","1,250,462,000","1,070,273,000","1,064,857,000","1,134,266,000","911,785,000","802,165,000","839,293,000","890,857,000","726,826,000","652,132,000","802,719,000","606,863,000","517,351,000"
				GrossAccountsReceivable,"3,939,412,000","2,957,548,000","3,119,257,000","2,919,216,000","2,561,622,000","2,052,476,000","2,206,006,000","2,001,835,000","2,169,350,000","2,713,382,000","3,230,537,000","3,253,536,000","2,877,297,000","2,631,151,000","3,162,307,000","3,117,601,000","2,801,842,000","2,558,047,000","2,628,083,000","2,481,773,000","2,266,907,000","2,074,793,000","2,075,345,000","1,899,808,000","1,579,305,000","1,522,437,000","1,803,216,000","1,981,806,000","1,816,201,000","1,879,459,000","2,047,420,000","2,218,226,000","1,993,772,000","1,722,457,000","1,922,568,000","1,842,322,000","1,792,241,000","1,567,523,000","1,640,767,000","1,540,941,000","1,565,759,000","1,335,441,000","1,525,168,000","1,568,293,000","1,427,899,000","1,170,719,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-76,253,000","-66,306,000","-65,692,000","-57,771,000","-55,143,000","-59,147,000","-54,265,000","-59,112,000","-75,426,000","-52,274,000","-49,265,000","-50,575,000","-46,742,000","-46,948,000","-38,103,000","-30,247,000","-31,443,000","-30,207,000","-32,712,000","-26,758,000","-20,092,000","-20,092,000","-13,987,000","-13,064,000","-12,151,000","-13,832,000","-11,535,000","-9,665,000","-11,513,000","-13,919,000","-13,446,000","-12,537,000","-13,163,000","-10,396,000","-8,954,000","-10,430,000","-10,797,000","-11,709,000","-10,068,000","-8,520,000","-10,724,000","-11,526,000","-12,825,000","-10,880,000","-9,276,000","-10,237,000",,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","714,000","7,755,000","7,246,000",,,,,"529,000",,"0","0","4,359,000","2,178,000","7,903,000",,,,,,,,,,,,,,,
