name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
OperatingCashFlow,"288,941,000","47,797,000","82,516,000","121,739,000","36,889,000","58,296,000","50,920,000","6,084,000","3,294,000","-4,844,000","-26,625,000","-29,588,000","-24,786,000","-4,424,000","10,462,000","-18,927,000","-18,858,000","-22,177,000","153,249,000","20,259,000","-16,996,000","-22,459,000","-15,767,000","-8,748,000","-12,845,000","-13,023,000","-15,197,000","-16,985,000","8,938,000","-13,839,000","-939,000","-13,183,000","-15,766,000","-17,630,000","-15,219,954","-12,413,897","-10,954,726","-10,750,902","-16,918,390","-14,298,123","-13,755,168","-19,357,615","-13,553,841","-13,443,456","3,738,938","-11,092,066","-7,375,069","-11,616,065","-13,791,719","-12,602,653","-10,967,720","-14,482,926","-10,918,229","-3,779,390","-9,039,412","-10,624,822","-10,200,362","-5,509,268","-7,625,669","4,953,385","-3,653,501","6,178,125","16,156,053","-2,798,140","-3,476,235","-2,802,115","-3,603,099","-3,379,286","-2,956,404","-3,057,440","-2,807,652","-2,534,691","-1,496,414","-878,899","-15,129","-6,613","-3,853","-24,137","-39,547","-10,487","6,881","-12,625"
	CashFlowFromContinuingOperatingActivities,"288,941,000","47,797,000","82,516,000","121,739,000","36,889,000","58,296,000","50,920,000","6,084,000","3,294,000","-4,844,000","-26,625,000","-29,588,000","-24,786,000","-4,424,000","10,462,000","-18,927,000","-18,858,000","-22,177,000","153,249,000","20,259,000","-16,996,000","-22,459,000","-15,767,000","-8,748,000","-12,845,000","-13,023,000","-15,197,000","-16,985,000","8,938,000","-13,839,000","-939,000","-13,183,000","-15,766,000","-17,630,000","-15,219,954","-12,413,897","-10,954,726","-10,750,902","-16,918,390","-14,298,123","-13,755,168","-19,357,615","-13,553,841","-13,443,456","3,738,938","-11,092,066","-7,375,069","-11,616,065","-13,791,719","-12,602,653","-10,967,720","-14,482,926","-10,918,229","-3,779,390","-9,039,412","-10,624,822","-10,200,362","-5,509,268","-7,625,669","4,953,385","-3,653,501","6,178,125","16,156,053","-2,798,140","-3,476,235","-2,802,115","-3,603,099","-3,379,286","-2,956,404","-3,057,440","-2,807,652","-2,534,691","-1,496,414","-878,899","-15,129","-6,613","-3,853","-24,137","-39,547","-10,487","6,881","-12,625"
		NetIncomeFromContinuingOperations,"434,923,000","60,108,000","66,770,000","216,587,000","91,458,000","27,895,000","73,164,000","36,207,000","25,817,000","-6,103,000","-34,397,000","-25,015,000","-14,624,000","1,796,000","-2,126,000","-27,850,000","-22,893,000","-27,461,000","123,882,000","2,749,000","-30,763,000","-32,897,000","-27,386,000","-28,946,000","-26,875,000","-19,816,000","4,318,000","-24,460,000","3,019,000","-15,108,000","-5,274,000","-20,280,000","-16,273,000","-26,548,000","-21,986,303","-19,292,368","-22,911,511","-19,288,369",,,,,,,,"-9,635,717","-16,893,674","-12,409,576","-12,150,923","-11,787,477","-12,664,852","-13,910,282","-17,060,025","-14,725,364","-16,825,654","-10,872,158","-11,002,390","-9,953,997","-8,708,391","-7,028,781","-4,801,707","-3,357,304","-4,377,963","-3,651,038","-3,232,791","-3,490,194","-3,513,487","-3,700,476","-2,868,333","-3,193,077","-2,479,112","-3,253,145","-2,074,697","-1,284,422","-53,918","-9,462","-5,837","-9,874","-45,941","-12,610","-16,074","9,362"
		OperatingGainsLosses,,"80,000",,,,,"-141,000","-34,000","0","-597,000",,,,,,,,,"2,000","0","0","44,000",,,,,,,,,,,,,,,,,"13,980","378","0","-6,988","-574","-336","0","-656","5,111","-1,178","4,508","5,101","0","0","0","2,685","-5,225","925","0","9,029","2,558","0",,,"1,110","-7,559","-271,688","282,415","39,600","-1,200","139,850","6,952","65,200",,,,,,,,,,,
			GainLossOnSaleOfPPE,"80,000","80,000","0","0","0","0","-141,000","-34,000","0","-597,000",,,,,,,,,"2,000","0","0","44,000",,,,,,,,,,,,,"0","0","0","0","13,980","378","0","-6,988","-574","-336","0","-656","5,111","-1,178","4,508","5,101","0","0","0","2,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,037,000","778,000","773,000","751,000","735,000","738,000","800,000","803,000","824,000","857,000","1,042,000","1,002,000","1,034,000","990,000","590,000","612,000","620,000","566,000","493,000","496,000","570,000","602,000","644,000","654,000","623,000","489,000","459,000","402,000","395,000","421,000","458,000","464,000","443,000","397,000","333,450","301,777","297,036","294,664","283,261","286,168","272,202","237,793","244,210","238,682","286,750","326,181","343,763","364,533","389,372","410,257","395,176","368,491","351,432","328,639","290,789","280,504","248,379","228,206","213,529","153,196","123,131","86,635","71,297","63,062","56,655","52,985","51,278","43,933","61,020","50,117","39,348","32,568","29,937","21,497",,,,,,,,
			DepreciationAndAmortization,"3,037,000","778,000","773,000","751,000","735,000","738,000","800,000","803,000","824,000","857,000","1,042,000","1,002,000","1,034,000","990,000","590,000","612,000","620,000","566,000","493,000","496,000","570,000","602,000","644,000","654,000","623,000","489,000","459,000","402,000","395,000","421,000","458,000","464,000","443,000","397,000","333,450","301,777","297,036","294,664","283,261","286,168","272,202","237,793","244,210","238,682","286,750","326,181","343,763","364,533","389,372","410,257","395,176","368,491","351,432","328,639","290,789","280,504","248,379","228,206","213,529","153,196","123,131","86,635","71,297","63,062","56,655","52,985","51,278","43,933","61,020","50,117","39,348","32,568","29,937","21,497",,,,,,,,
		DeferredTax,"-142,508,000","12,926,000","-12,953,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-142,508,000","12,926,000","-12,953,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,"2,447,000","541,000","739,000","573,000","594,000","351,000","362,000","280,000","188,000","9,000","-264,000","-472,000","-797,000","-936,000","-924,000","-896,000","-705,000","-565,000","-209,000","-156,000","46,000","16,000","47,000","108,000","184,000","213,000","180,000","151,000","223,000","325,000","395,000","375,000",,,"299,429","318,873","315,407","181,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
